unit,airsect,airpol,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,SE1_RD_NRD,NMVOC,AT	316.2 	301.9 	260.4 	225.0 	197.8 	174.0 	153.3 	133.6 	126.6 	110.0 	100.0 	94.2 	92.6 	89.3 	84.2 	79.1 	67.5 	62.1 	55.1 	50.3 	46.8 	43.7 	40.9 	38.4 	35.9 	34.9 	32.6 
PC,SE1_RD_NRD,NMVOC,BE	252.8 	231.0 	222.0 	204.0 	191.9 	183.0 	167.7 	146.4 	133.7 	118.6 	100.0 	91.9 	80.0 	77.5 	68.1 	59.6 	54.5 	48.4 	42.3 	38.5 	35.5 	32.0 	28.5 	24.6 	23.7 	23.7 	23.1 
PC,SE1_RD_NRD,NMVOC,BG	213.9 	110.1 	129.4 	146.5 	142.0 	149.9 	128.0 	90.3 	110.7 	106.6 	100.0 	89.9 	91.5 	90.5 	71.8 	69.6 	66.7 	58.5 	56.7 	55.5 	49.1 	46.7 	46.3 	40.1 	40.4 	41.1 	37.5 
PC,SE1_RD_NRD,NMVOC,CY	130.5 	124.2 	127.3 	124.7 	125.0 	121.0 	118.4 	114.2 	108.5 	103.7 	100.0 	96.0 	91.5 	93.1 	88.1 	85.0 	77.4 	78.2 	73.8 	67.5 	64.1 	59.9 	55.4 	51.5 	50.0 	48.6 	49.3 
PC,SE1_RD_NRD,NMVOC,CZ	190.7 	174.2 	194.5 	167.4 	168.8 	147.0 	139.3 	124.4 	122.8 	113.6 	100.0 	98.3 	92.9 	92.8 	84.0 	77.6 	71.3 	67.4 	59.2 	50.1 	41.7 	37.4 	33.5 	31.0 	30.0 	29.1 	29.2 
PC,SE1_RD_NRD,NMVOC,DE	397.7 	307.7 	282.2 	246.3 	195.3 	182.3 	165.6 	147.9 	133.5 	117.3 	100.0 	90.7 	82.0 	73.0 	67.4 	60.2 	58.6 	52.5 	46.2 	43.0 	40.0 	38.7 	36.0 	35.2 	34.7 	32.8 	32.7 
PC,SE1_RD_NRD,NMVOC,DK	178.7 	185.4 	184.4 	178.9 	172.7 	163.0 	153.9 	143.4 	131.4 	117.7 	100.0 	92.2 	84.3 	78.0 	68.3 	62.8 	55.4 	49.6 	44.0 	38.5 	35.0 	29.7 	26.5 	24.0 	21.3 	20.0 	18.5 
PC,SE1_RD_NRD,NMVOC,EE	170.7 	164.2 	85.9 	89.0 	113.1 	105.1 	110.9 	118.2 	110.1 	101.8 	100.0 	91.4 	79.2 	64.3 	55.3 	53.6 	53.0 	49.5 	41.2 	36.0 	33.0 	27.4 	27.0 	23.4 	18.7 	18.5 	18.2 
PC,SE1_RD_NRD,NMVOC,EL	135.0 	133.4 	128.6 	128.0 	126.2 	117.2 	115.3 	115.0 	115.1 	113.0 	100.0 	98.6 	91.6 	87.3 	83.9 	73.9 	71.4 	65.9 	58.2 	57.9 	48.7 	43.1 	41.4 	45.6 	46.3 	43.0 	28.8 
PC,SE1_RD_NRD,NMVOC,ES	159.2 	167.0 	178.1 	165.1 	164.8 	148.8 	148.0 	137.0 	133.4 	118.2 	100.0 	89.0 	75.3 	69.0 	59.1 	52.5 	44.3 	39.1 	31.7 	26.8 	23.7 	19.6 	17.6 	13.8 	13.1 	12.4 	13.1 
