unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,Y15-74,ED0-2,AT	11.1 b	10.1 b	9.3 b	8.4 	10.7 	9.2 	9.1 	9.8 	10.4 	11.4 b	11.2 	12.7 	13.0 
PC,T,Y15-74,ED0-2,BE	13.9 b	13.9 	12.9 	12.4 b	13.6 	15.3 	13.9 b	14.0 	15.8 	16.2 b	16.8 	15.9 	14.6 b
PC,T,Y15-74,ED0-2,BG	19.6 b	20.1 b	17.6 	14.6 b	15.5 	22.7 b	26.4 b	28.0 	29.9 	28.3 b	25.1 	22.2 	18.1 
PC,T,Y15-74,ED0-2,CH	7.9 b	7.2 	7.0 	6.2 	7.6 	8.0 b	8.0 	7.8 	8.3 	8.7 b	8.8 	9.4 	8.3 
PC,T,Y15-74,ED0-2,CY	6.1 b	4.8 	4.8 	4.9 	6.1 b	7.1 	7.5 	13.4 	19.3 	19.4 b	18.5 	15.6 	14.1 
PC,T,Y15-74,ED0-2,CZ	26.8 b	24.5 	20.1 	19.1 	24.1 	25.0 	24.3 b	28.5 	25.6 	22.1 b	22.7 	20.5 	13.1 
PC,T,Y15-74,ED0-2,DE	19.2 b	18.7 	17.0 	15.3 	15.7 	14.7 b	13.0 b	12.2 	11.9 	11.8 b	11.2 	10.1 	9.5 
PC,T,Y15-74,ED0-2,DK	7.4 b	6.6 	5.6 b	5.4 	9.1 	11.1 	11.3 	11.7 	11.1 	10.3 b	9.7 	9.1 b	9.0 b
PC,T,Y15-74,ED0-2,EA18	11.9 b	11.3 	10.6 	11.5 	14.9 	16.1 	16.7 	19.1 	20.5 	20.2 b	19.0 	17.8 	16.4 
PC,T,Y15-74,ED0-2,EA19	11.9 b	11.3 	10.6 	11.5 	14.9 	16.2 	16.7 	19.2 	20.5 	20.2 b	19.0 	17.8 	16.5 
PC,T,Y15-74,ED0-2,EE	14.5 b	12.5 	10.9 	12.1 	28.1 	30.5 	25.7 	23.1 	15.0 	13.0 b	12.2 	12.7 	10.9 
PC,T,Y15-74,ED0-2,EL	8.9 b	8.2 	7.6 	7.5 	9.5 b	12.7 	18.1 	26.0 	29.8 	28.2 b	26.7 	26.4 	24.3 
PC,T,Y15-74,ED0-2,ES	11.1 b	10.4 	10.5 	15.3 	24.5 	27.1 	28.9 	33.7 	35.3 	33.8 b	31.0 	28.0 	25.0 
PC,T,Y15-74,ED0-2,EU27	11.8 b	11.4 	10.6 	11.2 	14.4 	15.7 	16.2 	18.2 	19.2 	18.5 b	17.4 	16.1 	14.8 
PC,T,Y15-74,ED0-2,EU28	11.8 b	11.4 	10.6 	11.2 	14.4 	15.6 	16.2 	18.2 	19.2 	18.5 b	17.4 	16.1 	14.8 
PC,T,Y15-74,ED0-2,FI	14.3 b	13.9 	12.6 	12.5 b	14.8 	16.1 	16.1 	16.0 	17.1 	17.2 b	17.6 	16.7 	17.9 
PC,T,Y15-74,ED0-2,FR	12.3 b	12.6 	11.7 	11.1 	13.6 	14.5 	14.4 	15.2 	16.2 b	17.1 b	17.6 	18.0 	17.0 
PC,T,Y15-74,ED0-2,HR	11.5 b	12.6 b	12.7 	9.9 	9.9 	13.0 b	17.4 	18.6 	21.5 	25.7 b	21.5 	17.4 	19.8 
PC,T,Y15-74,ED0-2,HU	14.3 b	16.8 	17.5 	18.9 	23.2 	25.1 	25.0 	24.8 	23.7 	18.5 b	17.4 	13.2 	11.1 
PC,T,Y15-74,ED0-2,IE	7.1 b	6.8 	8.1 b	10.7 	18.1 	21.9 	23.8 	25.3 	21.9 	19.9 b	17.2 	14.7 	11.9 b
PC,T,Y15-74,ED0-2,IS	3.8 b	4.6 	3.6 	4.6 	10.2 	10.5 	10.3 	10.3 	8.4 	7.0 b	6.1 	4.5 	4.7 
PC,T,Y15-74,ED0-2,IT	9.2 b	8.1 	7.3 	8.4 	9.5 	10.3 	10.6 	13.6 	15.9 	16.6 b	15.6 	15.7 	15.5 
PC,T,Y15-74,ED0-2,LT	14.5 bu	10.5 u	7.2 u	12.5 u	29.7 	39.4 	38.4 	34.7 	32.8 	29.8 b	26.3 	25.1 	20.9 
PC,T,Y15-74,ED0-2,LU	6.4 b	6.6 	5.8 b	6.6 	8.1 b	6.1 	8.3 	8.4 	10.2 	10.2 b	10.6 b	9.9 	8.9 
PC,T,Y15-74,ED0-2,LV	16.2 b	14.6 	10.6 	14.7 	31.1 	32.8 	29.2 	26.6 	25.1 	24.0 b	21.9 	20.6 	18.8 
PC,T,Y15-74,ED0-2,ME	: 	: 	: 	: 	: 	: 	30.3 	34.9 	41.4 	32.2 b	28.3 	24.6 	22.2 
PC,T,Y15-74,ED0-2,MK	: 	41.7 	42.7 	41.2 	38.6 	39.0 	37.6 	37.8 	34.3 	32.2 b	29.9 	29.2 	26.5 
PC,T,Y15-74,ED0-2,MT	9.0 b	9.0 	8.3 	8.2 	9.0 	9.6 	9.0 b	9.5 	9.5 	9.0 b	8.7 	7.4 	6.1 
PC,T,Y15-74,ED0-2,NL	7.3 b	6.1 	5.2 	4.6 	5.5 	7.2 b	7.8 b	9.3 	11.3 b	12.1 b	11.2 	9.8 	8.3 
PC,T,Y15-74,ED0-2,NO	10.5 b	6.8 b	5.5 	5.9 	6.5 	7.3 	6.9 	6.2 	7.7 	7.5 b	9.3 	9.9 	9.4 
PC,T,Y15-74,ED0-2,PL	27.3 b	22.4 	15.7 	12.1 	14.7 	17.5 b	18.3 	19.5 	20.5 	19.0 b	16.9 	14.5 	12.2 
PC,T,Y15-74,ED0-2,PT	7.9 b	7.9 	8.2 	7.9 	10.3 	11.8 	13.9 b	16.5 	17.4 	15.3 b	13.6 	12.1 	9.8 
PC,T,Y15-74,ED0-2,RO	6.7 b	7.6 	7.1 	7.1 	7.5 	5.9 b	7.2 	6.7 	6.7 	6.7 b	8.1 	7.6 	6.8 
PC,T,Y15-74,ED0-2,SE	14.0 b	12.5 b	11.9 	12.8 	15.8 	17.0 	16.5 	17.6 	18.8 	19.1 b	18.9 	18.8 	18.5 
PC,T,Y15-74,ED0-2,SI	9.5 b	7.8 	6.8 	6.2 	8.8 	11.7 	13.4 	14.8 	17.8 	15.4 b	13.9 	14.5 	11.1 
PC,T,Y15-74,ED0-2,SK	53.3 b	48.4 	44.9 	39.3 	41.5 	44.2 	42.5 b	44.6 	42.4 	41.1 b	37.6 	31.6 	29.8 
PC,T,Y15-74,ED0-2,TR	: 	8.1 	8.2 	9.3 	12.2 	10.2 	8.1 	7.5 	8.1 	9.3 b	9.7 	9.9 	9.6 
PC,T,Y15-74,ED0-2,UK	7.8 b	8.9 	9.2 b	10.0 b	12.9 	13.8 b	14.1 b	13.9 	13.8 	11.3 b	9.6 	8.3 	7.3 
PC,T,Y15-74,ED3_4,AT	4.9 b	4.5 b	4.1 b	3.6 	4.6 	4.4 	4.0 	4.4 	4.7 	5.0 b	5.4 	5.8 	5.1 
PC,T,Y15-74,ED3_4,BE	8.5 b	8.1 	7.6 	6.9 b	8.1 	8.1 	6.8 b	7.8 	8.2 	8.8 b	8.7 	8.1 	7.1 b
PC,T,Y15-74,ED3_4,BG	9.2 b	7.7 b	5.8 	4.5 b	6.2 	9.7 b	10.5 b	11.7 	12.3 	10.7 b	8.3 	6.7 	5.3 
PC,T,Y15-74,ED3_4,CH	4.0 b	3.8 	3.5 	3.4 	3.9 	4.8 b	4.1 	4.4 	4.6 	4.7 b	4.5 	4.9 	4.7 
PC,T,Y15-74,ED3_4,CY	5.5 b	4.5 	3.9 	3.6 	5.7 b	6.4 	8.8 	12.8 	17.2 	18.2 b	16.6 	14.3 	11.4 
PC,T,Y15-74,ED3_4,CZ	7.2 b	6.4 	4.7 	3.7 	6.1 	6.9 	6.4 b	6.5 	6.8 	6.0 b	4.7 	3.5 	2.7 
PC,T,Y15-74,ED3_4,DE	11.1 b	9.9 	8.3 	7.2 	7.6 	6.8 b	5.7 b	5.2 	5.1 	4.6 b	4.3 	3.7 	3.3 
