unit,nace_r2,s_adj,na_item,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
THS_PER,TOTAL,NSA,EMP_DC,AT	3518.90 	3585.27 	3650.53 	3593.83 	3537.89 	3598.21 	3664.31 	3603.88 	3561.58 	3622.74 	3690.70 	3634.56 	3594.43 	3665.42 	3730.18 	3666.48 	3655.75 	3719.46 	3783.05 	3720.59 	3688.99 	3752.47 	3815.51 	3762.90 	3724.66 	3781.08 	3840.75 	3781.50 	3720.98 	3772.00 	3844.03 	3776.51 	3733.24 	3795.64 	3874.68 	3808.56 	3741.94 	3817.73 	3904.83 	3842.79 	3781.63 	3855.50 	3955.32 	3899.16 	3848.16 	3929.51 	4023.43 	3961.82 	3916.54 	3999.72 	4097.84 	4036.82 	4012.36 	4087.76 	4165.54 	4090.87 	4023.45 	4057.86 	4121.60 	4067.06 	4014.16 	4086.61 	4167.28 	4124.82 	4077.86 	4150.73 	4236.39 	4182.81 	4139.00 	4199.51 	4274.67 	4207.48 	4143.11 	4211.24 	4293.77 	4230.94 	4190.71 	4255.04 	4330.62 	4263.23 	4213.41 	4277.49 	4355.00 	4295.55 	4251.08 	4319.61 	4412.29 	4365.94 	4329.62 	4397.56 	4478.82 	4444.42 	4413.21 	4486.30 
THS_PER,TOTAL,NSA,EMP_DC,BE	3833.60 	3846.50 	3924.60 	3866.70 	3853.70 	3853.00 	3931.70 	3874.10 	3871.00 	3872.10 	3957.70 	3917.20 	3920.60 	3931.30 	4042.00 	3998.10 	3990.30 	3984.40 	4088.70 	4047.70 	4058.50 	4064.60 	4181.70 	4130.80 	4135.90 	4133.60 	4237.00 	4154.10 	4136.60 	4139.00 	4220.30 	4133.20 	4113.10 	4136.20 	4223.60 	4142.50 	4150.80 	4170.50 	4267.90 	4189.50 	4215.00 	4236.20 	4330.90 	4238.60 	4247.20 	4279.80 	4385.00 	4299.40 	4312.30 	4345.60 	4458.50 	4379.30 	4398.60 	4427.80 	4542.20 	4443.20 	4423.80 	4425.80 	4512.90 	4419.60 	4418.80 	4447.40 	4558.90 	4471.00 	4482.80 	4514.80 	4620.20 	4523.50 	4519.00 	4539.20 	4633.40 	4528.50 	4509.80 	4515.90 	4614.40 	4520.40 	4513.70 	4538.90 	4637.70 	4549.50 	4546.10 	4577.10 	4685.20 	4593.20 	4593.10 	4632.70 	4749.40 	4657.10 	4663.20 	4706.30 	4811.30 	4712.70 	4721.60 	4764.60 
THS_PER,TOTAL,NSA,EMP_DC,BG	3340.69 	3582.40 	3689.32 	3461.85 	3459.83 	3710.60 	3792.63 	3496.84 	3393.67 	3614.47 	3666.55 	3340.95 	3301.43 	3586.01 	3684.02 	3300.19 	3195.38 	3481.18 	3471.75 	3124.26 	3130.61 	3436.43 	3370.10 	3019.59 	3107.64 	3330.35 	3342.50 	3078.43 	3084.31 	3342.63 	3359.19 	3102.32 	3091.72 	3415.20 	3492.49 	3270.14 	3186.86 	3522.38 	3592.93 	3311.38 	3248.97 	3624.04 	3687.54 	3420.48 	3385.88 	3727.75 	3783.84 	3550.68 	3506.70 	3833.85 	3906.31 	3660.08 	3623.07 	3891.10 	4016.67 	3727.71 	3648.68 	3890.34 	3879.13 	3579.00 	3480.09 	3705.39 	3783.39 	3446.64 	3424.90 	3619.21 	3696.20 	3357.87 	3347.05 p	3492.33 p	3627.20 p	3278.96 p	3291.07 p	3515.80 p	3624.05 p	3255.36 p	3302.42 p	3526.41 p	3648.24 p	3259.57 p	3327.37 p	3533.52 p	3653.74 p	3270.11 p	3358.24 p	3587.10 p	3618.58 p	3289.40 p	3398.33 p	3619.26 p	3716.85 p	3366.87 p	3439.02 p	3625.50 p
THS_PER,TOTAL,NSA,EMP_DC,CY	287.28 	298.79 	303.29 	294.39 	288.53 	300.38 	304.86 	296.24 	289.51 	302.24 	306.77 	298.77 	294.46 	307.14 	311.56 	302.93 	298.94 	312.74 	317.83 	309.04 	309.70 	314.75 	317.05 	317.55 	315.96 	321.52 	324.04 	324.76 	322.77 	328.19 	330.68 	331.53 	334.70 	339.70 	342.31 	343.70 	349.76 	352.58 	355.15 	356.95 	361.13 	366.55 	370.12 	368.02 	364.89 	375.04 	375.12 	377.96 	379.44 	391.43 	394.31 	393.92 	390.92 	406.50 	413.00 	403.61 	400.11 	406.79 	407.96 	399.71 	397.76 	408.58 	409.72 	406.25 	401.67 	410.66 	408.92 	401.45 	392.44 	399.62 	394.23 	384.71 	371.93 	373.39 	369.66 	362.70 	355.58 	367.01 	366.91 	361.31 	355.71 	371.42 	374.28 	371.18 	368.25 	388.61 	391.84 	391.10 	380.01 p	401.41 p	409.38 p	408.28 p	396.30 p	418.81 p
THS_PER,TOTAL,NSA,EMP_DC,CZ	5067.87 	5088.06 	5130.14 	5136.10 	5124.24 	5111.86 	5143.19 	5148.68 	5105.97 	5090.20 	5098.41 	5089.37 	5017.96 	5019.99 	5003.50 	4988.89 	4899.87 	4896.40 	4902.13 	4900.41 	4824.36 	4848.99 	4881.08 	4882.94 	4822.33 	4827.56 	4876.20 	4859.47 	4799.81 	4889.82 	4909.45 	4908.02 	4831.96 	4831.13 	4844.05 	4845.09 	4781.89 	4821.63 	4851.23 	4860.80 	4856.25 	4905.83 	4963.90 	4964.59 	4940.42 	4979.54 	5007.57 	5028.37 	5025.56 	5087.36 	5124.46 	5135.19 	5135.23 	5192.86 	5239.03 	5249.20 	5137.86 	5114.72 	5104.14 	5083.68 	4992.31 	5049.33 	5096.79 	5090.54 	4998.89 	5048.02 	5072.68 	5054.17 	4996.54 	5055.52 	5105.54 	5100.89 	5020.86 	5089.88 	5109.69 	5103.28 	5052.94 	5090.30 	5139.99 	5152.64 	5120.44 	5176.61 	5208.01 	5222.58 	5204.53 	5246.97 	5286.64 	5319.06 	5282.72 	5316.30 	5390.98 	5394.36 	5376.74 	5416.52 
THS_PER,TOTAL,NSA,EMP_DC,DE	37680.00 	37836.00 	38066.00 	38248.00 	37697.00 	37918.00 	38097.00 	38163.00 	37576.00 	37833.00 	38133.00 	38247.00 	37780.00 	38209.00 	38686.00 	38952.00 	38465.00 	38720.00 	39294.00 	39644.00 	39468.00 	39841.00 	40129.00 	40231.00 	39540.00 	39772.00 	39898.00 	40025.00 	39463.00 	39654.00 	39715.00 	39688.00 	38975.00 	39088.00 	39308.00 	39428.00 	38936.00 	39314.00 	39501.00 	39595.00 	38902.00 	39186.00 	39495.00 	39719.00 	38960.00 	39496.00 	39915.00 	40167.00 	39756.00 	40218.00 	40545.00 	40780.00 	40389.00 	40751.00 	41052.00 	41230.00 	40670.00 	40857.00 	40979.00 	41063.00 	40474.00 	40936.00 	41222.00 	41448.00 	41029.00 	41505.00 	41783.00 	41990.00 	41574.00 	41989.00 	42262.00 	42420.00 	41885.00 	42251.00 	42500.00 	42639.00 	42219.00 	42639.00 	42860.00 	42964.00 	42513.00 	42997.00 	43290.00 	43485.00 	43087.00 	43563.00 	43842.00 	44076.00 	43729.00 	44195.00 	44479.00 	44672.00 	44385.00 	44794.00 
THS_PER,TOTAL,NSA,EMP_DC,DK	2578.00 	2639.00 	2617.00 	2614.00 	2567.00 	2663.00 	2656.00 	2666.00 	2600.00 	2704.00 	2684.00 	2710.00 	2633.00 	2734.00 	2729.00 	2752.00 	2679.00 	2754.00 	2752.00 	2754.00 	2704.00 	2776.00 	2771.00 	2770.00 	2728.00 	2815.00 	2791.00 	2796.00 	2726.00 	2821.00 	2800.00 	2790.00 	2714.00 	2792.00 	2774.00 	2754.00 	2685.00 	2783.00 	2756.00 	2752.00 	2723.00 	2818.00 	2798.00 	2794.00 	2786.00 	2869.00 	2859.00 	2869.00 	2882.00 	2938.00 	2919.00 	2910.00 	2914.00 	2958.00 	2967.00 	2948.00 	2868.00 	2869.00 	2858.00 	2822.00 	2751.00 	2796.00 	2808.00 	2797.00 	2747.00 	2796.00 	2808.00 	2796.00 	2737.00 	2775.00 	2783.00 	2773.00 	2723.00 	2771.00 	2789.00 	2783.00 	2744.00 	2797.00 	2811.00 	2809.00 	2778.00 	2836.00 	2854.00 	2855.00 	2823.00 	2880.00 	2897.00 	2900.00 	2869.00 	2925.00 	2943.00 	2945.00 	2916.00 	2973.00 
THS_PER,TOTAL,NSA,EMP_DC,EE	631.60 	633.20 	634.90 	635.20 	616.60 	618.20 	620.60 	620.20 	617.40 	618.60 	619.20 	621.10 	610.40 	610.70 	607.20 	601.00 	580.60 	580.40 	582.90 	578.40 	572.30 	587.70 	594.10 	586.10 	579.20 	581.50 	597.80 	596.90 	581.20 	587.10 	593.20 	591.00 	581.60 	594.50 	613.20 	613.60 	598.10 	599.90 	598.90 	598.40 	596.90 	613.60 	616.40 	622.80 	631.70 	645.50 	645.30 	645.40 	634.00 	646.40 	650.10 	643.30 	644.70 	640.20 	644.80 	639.00 	596.40 	573.50 	576.40 	561.10 	537.90 	541.80 	549.80 	563.40 	568.50 	580.40 	598.20 	588.80 	583.60 	594.30 	603.80 	593.70 	594.40 	609.90 	605.60 	594.60 	587.90 	608.80 	613.20 	613.20 	609.30 	621.40 	640.20 	620.60 	615.00 	633.90 	633.10 	616.90 	628.60 	634.80 	649.30 	652.10 	634.40 	651.90 
THS_PER,TOTAL,NSA,EMP_DC,EL	4114.94 	4162.05 	4193.51 	4154.86 	4091.41 	4138.58 	4169.63 	4131.00 	4074.69 	4123.15 	4153.34 	4114.51 	4253.42 	4304.37 	4335.88 	4295.42 	4322.95 	4314.10 	4300.64 	4257.08 	4261.28 	4326.73 	4346.31 	4316.83 	4331.53 	4347.65 	4352.98 	4281.35 	4333.98 	4452.61 	4481.25 	4469.32 	4445.70 	4508.67 	4529.87 	4498.49 	4543.18 	4622.13 	4633.88 	4617.17 	4594.08 	4660.79 	4663.62 	4669.00 	4685.84 	4734.76 	4776.23 	4728.52 	4737.68 	4805.16 	4828.13 	4809.30 	4805.95 	4885.86 	4888.44 	4845.20 	4821.97 	4862.37 	4858.29 	4773.38 	4756.67 	4751.54 	4718.30 	4595.43 	4502.36 p	4461.09 p	4364.84 p	4198.99 p	4205.27 p	4140.43 p	4075.28 p	3999.92 p	3986.73 p	4017.32 p	4026.89 p	3959.89 p	3937.61 p	4026.97 p	4102.78 p	4072.00 p	3972.62 p	4096.38 p	4115.95 p	4071.19 p	4036.30 p	4115.68 p	4140.89 p	4039.24 p	4086.31 p	4212.99 p	4236.27 p	4146.37 p	4158.87 p	4275.70 p
THS_PER,TOTAL,NSA,EMP_DC,ES	13693.60 	13894.00 	13915.60 	13875.00 	13791.90 	13976.40 	14169.70 	14241.60 	14286.20 	14518.60 	14683.80 	14792.10 	14877.70 	15141.60 	15374.70 	15441.60 	15558.40 	15862.30 	16068.00 	16114.90 	16338.10 	16671.30 	16852.30 	16902.60 	16999.00 	17229.30 	17379.90 	17383.20 	17393.40 	17688.00 	17853.10 	17837.80 	17935.00 	18264.10 	18455.40 	18473.00 	18652.70 	18911.00 	19136.10 	19180.70 	19354.20 	19690.10 	20044.80 	20047.10 	20271.30 	20529.70 	20815.20 	20820.90 	21001.90 	21227.60 	21490.90 	21419.00 	21499.10 	21487.00 	21434.20 	20875.70 	20138.50 	20037.80 	20021.40 	19749.20 	19545.90 	19682.40 	19779.80 	19550.10 	19102.80 	19289.20 	19194.40 	18863.20 	18385.50 	18498.97 	18433.46 	18052.61 	17696.42 	17908.41 	18041.63 	17801.11 	17581.64 	18062.59 	18322.00 	18190.37 	18043.94 	18569.79 	18878.52 	18707.58 	18553.34 p	19039.77 p	19370.36 p	19138.90 p	18997.42 p	19535.32 p	19884.88 p	19625.70 p	19400.80 p	19958.30 p
