lcstruct,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
D1_D4_MD5,B-S,PCH_Q1_SCA,AT	-0.5 	3.4 	-1.2 	-1.3 	1.3 	1.0 	-0.9 	2.1 	0.1 	-0.3 	2.1 	0.2 p
D1_D4_MD5,B-S,PCH_Q1_SCA,BE	0.0 	0.1 	-0.1 	0.1 	0.2 	0.1 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 p
D1_D4_MD5,B-S,PCH_Q1_SCA,BG	1.2 	2.0 	1.7 	2.6 	0.6 	1.8 	5.7 p	2.0 p	1.7 p	3.4 p	-0.5 p	3.3 p
D1_D4_MD5,B-S,PCH_Q1_SCA,CY	0.0 	0.2 	0.1 	0.2 	0.1 	-0.1 	0.2 p	0.5 p	0.5 p	0.7 p	0.0 p	1.4 p
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ	0.9 	1.8 	0.6 	1.0 	1.9 	1.3 	1.5 p	2.2 p	1.9 p	1.6 p	2.9 p	2.2 p
D1_D4_MD5,B-S,PCH_Q1_SCA,DE	0.4 	0.7 	0.6 	-0.1 	0.9 	1.3 	0.7 	0.3 	0.6 	0.4 	0.9 	0.2 
D1_D4_MD5,B-S,PCH_Q1_SCA,DK	0.2 	0.3 	0.7 	0.4 	0.6 	0.6 	0.4 	0.4 	0.7 	0.3 	0.2 	0.5 
D1_D4_MD5,B-S,PCH_Q1_SCA,EA	0.3 	0.4 	0.4 	0.3 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.6 	0.6 
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19	0.3 	0.4 	0.4 	0.3 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.6 	0.6 
D1_D4_MD5,B-S,PCH_Q1_SCA,EE	1.3 	1.0 	2.2 	0.5 	1.3 	1.5 	2.1 	3.0 	1.7 	1.0 	1.0 	1.1 
D1_D4_MD5,B-S,PCH_Q1_SCA,EL	6.7 	0.1 	-2.9 	2.4 	0.8 	0.5 	-0.4 	0.8 	1.5 	1.1 	1.2 	0.5 
D1_D4_MD5,B-S,PCH_Q1_SCA,ES	0.1 p	0.5 p	-0.2 p	0.0 p	0.2 p	-0.1 p	0.1 p	0.3 p	-0.1 p	0.9 p	0.0 p	0.1 p
D1_D4_MD5,B-S,PCH_Q1_SCA,EU	0.5 	0.4 	0.5 	0.4 	0.5 	0.5 	0.5 	0.6 	0.6 	0.7 	0.7 	0.7 
D1_D4_MD5,B-S,PCH_Q1_SCA,EU28	0.5 	0.4 	0.4 	0.4 	0.5 	0.5 	0.5 	0.6 	0.6 	0.7 	0.7 	0.7 
D1_D4_MD5,B-S,PCH_Q1_SCA,FI	-1.5 p	-0.2 p	1.9 p	-2.0 p	2.0 p	-0.4 p	-2.0 p	0.4 p	-0.6 p	1.4 p	0.1 p	0.5 p
D1_D4_MD5,B-S,PCH_Q1_SCA,FR	0.3 p	0.5 p	0.7 p	-0.2 p	0.3 p	0.3 p	0.7 p	-0.1 p	0.6 p	0.4 p	0.8 p	0.6 p
D1_D4_MD5,B-S,PCH_Q1_SCA,HR	0.2 	1.1 	1.1 e	0.2 e	1.4 e	1.8 e	1.9 e	-0.4 e	1.9 e	1.6 e	3.1 e	2.8 e
D1_D4_MD5,B-S,PCH_Q1_SCA,HU	1.2 	1.4 	0.1 	1.8 	2.4 	1.9 	2.0 	2.6 	2.3 	2.4 	2.6 	2.4 
D1_D4_MD5,B-S,PCH_Q1_SCA,IE	0.1 	0.3 	0.5 	-0.1 	0.1 	0.7 	0.4 	0.7 	0.8 	0.8 	0.9 	0.0 p
D1_D4_MD5,B-S,PCH_Q1_SCA,IT	0.0 	-0.2 	-0.4 	-0.4 	0.4 	0.8 	0.2 	-0.8 	0.6 	-0.2 	1.1 	1.8 
D1_D4_MD5,B-S,PCH_Q1_SCA,LT	2.0 	0.5 	2.5 	1.5 	2.9 	3.0 	1.8 	2.2 	1.1 	2.8 	2.5 	2.9 
D1_D4_MD5,B-S,PCH_Q1_SCA,LU	-1.0 	0.0 	1.2 	-1.5 	1.9 	0.6 	-0.1 	1.8 	0.2 	1.3 	-0.9 	0.5 
D1_D4_MD5,B-S,PCH_Q1_SCA,LV	1.5 	1.8 	0.7 	2.6 	3.0 	1.5 	0.8 	2.2 	1.3 	3.1 	4.3 p	2.4 p
D1_D4_MD5,B-S,PCH_Q1_SCA,MT	2.3 p	0.1 p	-2.6 p	-1.7 p	4.5 p	1.3 p	-1.3 p	2.0 p	-0.2 p	1.0 p	0.8 p	1.2 p
D1_D4_MD5,B-S,PCH_Q1_SCA,NL	0.4 p	-0.3 p	0.9 p	-0.4 p	1.6 p	-0.6 p	0.4 p	0.6 p	0.5 p	0.6 p	0.8 p	-0.7 p
D1_D4_MD5,B-S,PCH_Q1_SCA,PL	1.0 	0.6 	1.9 	-0.7 	3.1 	0.1 	1.2 	3.2 	0.9 	2.0 	1.6 	1.5 
D1_D4_MD5,B-S,PCH_Q1_SCA,PT	-0.4 	0.5 	0.4 p	0.6 p	1.1 p	-0.6 p	1.5 p	0.0 p	-0.4 p	1.1 p	-0.7 p	1.0 p
D1_D4_MD5,B-S,PCH_Q1_SCA,RO	2.5 	4.1 	2.0 	3.9 	3.9 	2.8 	5.4 p	5.4 p	1.3 p	2.5 p	3.2 p	6.3 p
D1_D4_MD5,B-S,PCH_Q1_SCA,SE	0.7 p	1.2 p	1.1 p	0.1 p	1.1 p	0.6 p	0.8 p	0.8 p	0.5 p	0.6 p	0.7 p	0.4 p
D1_D4_MD5,B-S,PCH_Q1_SCA,SI	-1.0 	0.5 	1.9 	0.2 	0.6 	2.6 	-0.3 	2.7 	1.3 	1.2 	-0.2 	1.1 
D1_D4_MD5,B-S,PCH_Q1_SCA,SK	0.1 	2.1 	0.4 	-0.7 	2.3 	2.5 	0.1 p	2.2 p	2.4 p	1.1 p	2.5 p	1.6 p
D1_D4_MD5,B-S,PCH_Q1_SCA,UK	1.2 	-0.2 	1.1 	1.0 	-0.4 	0.6 	-0.3 	1.9 	1.0 	1.2 	0.5 	0.1 
D1_D4_MD5,B-S,PCH_Q4_CA,AT	1.1 	5.4 	1.6 	0.3 	2.2 	-0.2 	0.0 	3.6 	2.2 	1.1 	4.0 	2.1 p
D1_D4_MD5,B-S,PCH_Q4_CA,BE	0.1 	0.1 	0.2 	0.1 	0.3 	0.1 	0.7 	1.1 	1.3 	1.3 	1.8 	1.7 p
D1_D4_MD5,B-S,PCH_Q4_CA,BG	7.5 	6.2 	6.2 	8.0 	7.2 	6.6 	10.9 p	10.3 p	11.5 p	13.2 p	6.8 p	8.5 p
D1_D4_MD5,B-S,PCH_Q4_CA,CY	-0.8 	-0.6 	0.2 	0.7 	0.8 	0.1 	0.3 p	0.7 p	1.1 p	2.0 p	2.3 p	2.4 p
D1_D4_MD5,B-S,PCH_Q4_CA,CZ	3.9 	4.8 	3.6 	4.4 	5.6 	4.3 	5.8 p	7.5 p	7.1 p	6.5 p	9.1 p	9.3 p
D1_D4_MD5,B-S,PCH_Q4_CA,DE	2.8 	2.7 	2.9 	1.5 	2.1 	2.7 	3.0 	3.1 	2.9 	2.0 	2.4 	2.0 
D1_D4_MD5,B-S,PCH_Q4_CA,DK	1.9 	1.6 	2.0 	1.5 	2.1 	2.3 	2.0 	1.8 	2.1 	1.8 	1.6 	1.8 
D1_D4_MD5,B-S,PCH_Q4_CA,EA	1.4 	1.5 	1.6 	0.9 	1.4 	1.5 	1.7 	2.1 	1.8 	1.5 	2.1 	2.2 
D1_D4_MD5,B-S,PCH_Q4_CA,EA19	1.4 	1.5 	1.6 	0.9 	1.4 	1.5 	1.7 	2.1 	1.8 	1.5 	2.1 	2.2 
D1_D4_MD5,B-S,PCH_Q4_CA,EE	6.4 	4.9 	7.2 	4.9 	4.8 	5.7 	5.3 	8.2 	8.6 	8.2 	7.2 	4.2 
D1_D4_MD5,B-S,PCH_Q4_CA,EL	0.2 	-0.6 	0.7 	5.2 	-0.7 	-0.4 	6.2 	1.8 	0.8 	3.8 	4.4 	5.0 
D1_D4_MD5,B-S,PCH_Q4_CA,ES	0.1 p	1.6 p	0.3 p	0.7 p	0.3 p	0.0 p	0.2 p	0.3 p	0.2 p	1.2 p	1.4 p	0.7 p
D1_D4_MD5,B-S,PCH_Q4_CA,EU	2.2 	1.9 	2.0 	1.5 	1.8 	1.9 	1.7 	2.5 	2.3 	2.4 	2.8 	2.6 
D1_D4_MD5,B-S,PCH_Q4_CA,EU28	2.2 	1.9 	2.0 	1.5 	1.8 	1.9 	1.7 	2.5 	2.3 	2.4 	2.8 	2.6 
D1_D4_MD5,B-S,PCH_Q4_CA,FI	1.1 p	0.9 p	1.2 p	-2.2 p	1.7 p	1.7 p	-2.6 p	0.0 p	-3.2 p	-0.8 p	1.5 p	1.5 p
