sitc06,partner,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,UMIC_X_CN,MIO_EUR,EU28	101030 	103784 	102400 	79734 	89461 	104030 	181050 	186194 	247042 	178474 	221525 	340593 	355187 	324689 	329395 	318282 	312740 	353727 
TOTAL,UMIC_X_CN,MIO_EUR,FI	690 	637 	626 	550 	660 	827 	980 	1083 	2034 	1276 	1645 	2617 	2591 	2568 	2547 	1927 	1811 	1723 
TOTAL,UMIC_X_CN,MIO_EUR,FR	14815 	13963 	13152 	9337 	10134 	10934 	16524 	15810 	21101 	16684 	21972 	37552 	36474 	34715 	32586 	31347 	29716 	33217 
TOTAL,UMIC_X_CN,MIO_EUR,HR	117 	185 	240 	169 	210 	253 	377 	494 	1037 	733 	944 	2233 	1956 	2093 	1682 	1982 	2206 	2643 
TOTAL,UMIC_X_CN,MIO_EUR,HU	945 	1224 	1415 	1144 	1146 	804 	1031 	1174 	1806 	1378 	1592 	2460 	2684 	2934 	2680 	3375 	3519 	4525 
TOTAL,UMIC_X_CN,MIO_EUR,IE	1039 	1095 	1064 	946 	830 	1020 	1270 	1316 	1348 	1309 	1721 	2338 	3129 	2092 	2537 	2329 	2022 	2079 
TOTAL,UMIC_X_CN,MIO_EUR,IT	11494 	12166 	11623 	9081 	10817 	12481 	31460 	32985 	40482 	26261 	33097 	56613 	59597 	48830 	45116 	43134 	40796 	47369 
TOTAL,UMIC_X_CN,MIO_EUR,LT	77 	106 	142 	84 	60 	75 	226 	207 	718 	411 	548 	880 	1144 	1238 	1588 	1672 	1326 	2003 
TOTAL,UMIC_X_CN,MIO_EUR,LU	84 	99 	23 	33 	47 	385 	329 	163 	109 	93 	254 	522 	802 	682 	793 	940 	930 	870 
TOTAL,UMIC_X_CN,MIO_EUR,LV	20 	30 	39 	14 	17 	20 	74 	98 	544 	319 	416 	665 	644 	554 	500 	445 	323 	408 
TOTAL,UMIC_X_CN,MIO_EUR,MT	85 	87 	101 	79 	106 	59 	117 	96 	99 	69 	113 	160 	199 	224 	301 	267 	266 	284 
TOTAL,UMIC_X_CN,MIO_EUR,NL	14592 	14076 	13755 	14557 	15986 	19977 	23031 	22171 	31387 	22552 	25875 	39649 	40733 	37895 	37305 	35090 	34868 	39788 
TOTAL,UMIC_X_CN,MIO_EUR,PL	1038 	1441 	1530 	951 	977 	806 	2112 	2501 	4074 	3282 	3480 	4899 	4746 	4801 	6607 	7738 	6904 	7916 
TOTAL,UMIC_X_CN,MIO_EUR,PT	1697 	1981 	1936 	1590 	1789 	2035 	2476 	2625 	4366 	2565 	3729 	5054 	5411 	3783 	4321 	4220 	4288 	5183 
TOTAL,UMIC_X_CN,MIO_EUR,RO	583 	782 	921 	379 	538 	720 	2357 	3151 	6538 	3714 	4020 	5845 	5497 	5076 	5697 	5024 	5364 	6534 
TOTAL,UMIC_X_CN,MIO_EUR,SE	1970 	1560 	1394 	1005 	1342 	1442 	2480 	2670 	3709 	2324 	3137 	4693 	4170 	4029 	4145 	3884 	3737 	4318 
TOTAL,UMIC_X_CN,MIO_EUR,SI	644 	657 	665 	664 	618 	850 	1529 	1998 	2856 	2267 	2756 	2720 	2755 	2723 	2795 	3152 	3336 	4258 
TOTAL,UMIC_X_CN,MIO_EUR,SK	141 	230 	262 	203 	181 	165 	374 	432 	725 	517 	741 	971 	1102 	1124 	1409 	1527 	1523 	1745 
TOTAL,UMIC_X_CN,MIO_EUR,UK	14583 	15517 	15591 	11330 	13257 	14784 	26266 	24950 	27852 	23755 	30012 	39052 	44169 	37595 	36943 	37022 	39191 	37176 
