sex,age,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y15-24,PC,AT	5.7 	5.6 b	5.1 	6.4 	5.5 	5.3 	5.6 	5.7 	6.0 	6.1 	6.5 	5.5 
T,Y15-24,PC,BE	7.1 	6.4 	6.0 	7.1 	7.3 	6.0 b	6.2 	7.3 	7.0 	6.6 	5.7 	5.4 b
T,Y15-24,PC,BG	5.6 	4.4 	3.8 b	4.8 	6.8 b	7.4 b	8.5 	8.4 	6.5 	5.6 	4.1 	3.4 
T,Y15-24,PC,CH	5.3 	4.8 	4.7 	5.7 	5.6 b	5.3 	5.6 	5.9 	5.8 	6.0 	5.9 	5.5 
T,Y15-24,PC,CY	4.1 	4.2 	3.8 	5.6 b	6.7 	8.7 	10.8 	14.9 	14.5 	12.4 	10.8 	9.0 
T,Y15-24,PC,CZ	5.9 	3.4 	3.1 	5.3 	5.7 	5.4 b	6.1 	6.0 	5.1 	4.1 	3.4 	2.5 
T,Y15-24,PC,DE	6.9 	6.1 	5.5 	5.8 	5.0 b	4.5 b	4.1 	4.0 	3.9 	3.5 	3.5 	3.4 
T,Y15-24,PC,DK	5.4 	5.3 	5.8 	8.4 	9.4 	9.6 	9.1 	8.1 	7.8 	6.7 	7.9 b	7.0 b
T,Y15-24,PC,EA18	7.3 	6.7 	6.9 	8.7 	8.8 	8.9 	9.7 	10.0 	9.6 	8.9 	8.3 	7.5 
T,Y15-24,PC,EA19	7.3 	6.6 	6.9 	8.7 	8.9 	8.9 	9.7 	9.9 	9.5 	8.9 	8.3 	7.5 
T,Y15-24,PC,EE	4.3 	3.8 	4.9 	10.7 	12.4 	9.0 	8.5 	7.4 	5.9 	5.5 	5.8 	5.6 
T,Y15-24,PC,EL	8.0 	7.0 	6.6 	7.9 b	9.9 	13.0 	16.1 	16.5 	14.7 	12.9 	11.7 	10.9 
T,Y15-24,PC,ES	8.6 	8.7 	11.7 	17.0 	17.7 	18.9 	20.6 	21.0 	19.0 	16.8 	14.7 	12.9 
T,Y15-24,PC,EU27	7.6 	6.8 	6.9 	8.7 	9.0 	9.2 	9.8 	9.9 	9.2 	8.4 	7.7 	7.0 
T,Y15-24,PC,EU28	7.7 	6.9 	6.9 	8.7 	9.0 	9.2 	9.8 	10.0 	9.3 	8.5 	7.8 	7.0 
T,Y15-24,PC,FI	9.7 	8.8 	8.8 b	10.9 	10.6 	10.1 	9.8 	10.3 	10.7 	11.7 	10.5 	10.7 
T,Y15-24,PC,FR	8.1 	7.2 	7.1 	9.1 	8.8 	8.3 	8.8 	9.0 	8.8 b	9.1 	9.1 	8.2 
T,Y15-24,PC,HR	10.4 b	9.2 	8.7 	9.2 	11.6 	11.9 	12.7 	14.9 	15.3 	14.0 	11.6 	9.8 
T,Y15-24,PC,HU	5.1 	4.6 	4.9 	6.5 	6.6 	6.3 	7.2 	7.3 	6.0 	5.4 	4.2 	3.5 
T,Y15-24,PC,IE	4.7 	6.4 b	8.9 	14.7 	15.2 	15.2 	15.5 	13.3 	11.2 	9.6 	8.5 	6.7 b
T,Y15-24,PC,IS	6.5 	5.6 	6.4 	11.6 	12.0 	10.6 	10.2 	8.3 	7.7 	7.1 	5.4 	6.5 
T,Y15-24,PC,IT	7.0 	6.3 	6.5 	7.3 	7.8 	7.9 	10.1 	10.9 	11.6 	10.6 	10.0 	9.1 
T,Y15-24,PC,LT	2.6 	2.3 	4.0 	8.7 	10.2 	9.2 	7.8 	6.9 	6.6 	5.5 	5.1 	4.6 
T,Y15-24,PC,LU	4.5 	4.0 b	5.2 	5.5 b	3.5 	4.2 	5.0 	4.0 	6.0 	6.1 b	5.8 	4.7 
T,Y15-24,PC,LV	5.6 	4.5 	5.8 	13.7 	14.4 	11.6 	11.5 	9.1 	7.9 	6.7 	6.9 	6.8 
T,Y15-24,PC,ME	: 	: 	: 	: 	: 	8.5 	11.2 	10.3 	10.5 	11.3 	11.8 	9.9 
T,Y15-24,PC,MK	21.4 	20.7 	20.2 	19.3 	17.9 	17.7 	18.1 	17.5 	17.2 	15.5 	15.1 	15.3 
T,Y15-24,PC,MT	8.2 	7.3 	6.1 	7.5 	6.7 	6.9 	7.2 	6.8 	6.2 	6.0 	5.5 	5.6 
