unit,geo\time	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
NR,AT	958 	956 	931 	878 	768 	730 	691 	679 	633 	552 	523 	531 	455 	430 	479 	432 
NR,BE	1486 	1306 	1214 	1162 	1089 	1069 	1071 	944 	944 	840 	862 	770 	723 	727 	732 	637 
NR,BG	1011 	959 	960 	943 	957 	1043 	1006 	1061 	901 	776 	656 	601 	601 	660 	708 	708 
NR,CY	98 	94 	97 	117 	102 	86 	89 	82 	71 	60 	71 	51 	44 	45 	57 	46 
NR,CZ	1333 	1430 	1447 	1382 	1286 	1063 	1221 	1076 	901 	802 	772 	742 	655 	688 	734 	611 
NR,DE	6977 	6842 	6613 	5842 	5361 	5091 	4949 	4477 	4152 	3648 	4009 	3600 	3339 	3377 	3459 	3206 
NR,DK	431 	463 	432 	369 	331 	306 	406 	406 	303 	255 	220 	167 	191 	182 	178 	211 
NR,EE	199 	223 	164 	170 	170 	204 	196 	132 	98 	79 	101 	87 	81 	78 	67 	71 
NR,EL	1880 	1634 	1605 	1670 	1658 	1657 	1612 	1555 	1456 	1258 	1141 	988 	879 	795 	793 	824 
NR,ES	5517 	5347 	5400 	4749 	4442 	4104 	3823 	3100 	2714 	2479 	2060 	1903 	1680 	1688 	1689 	1810 
NR,EU28	54949 	53969 	51052 	47898 	45943 	43718 	43159 	39605 	35359 	31488 	30685 	28243 	25956 	25977 	26130 	25651 
NR,FI	433 	415 	379 	375 	379 	336 	380 	344 	279 	272 	292 	255 	258 	229 	266 	258 
NR,FR	8162 	7655 	6058 	5530 	5318 	4709 	4620 	4275 	4273 	3992 	3963 	3653 	3268 	3384 	3461 	3477 
NR,HR	647 	627 	701 	608 	597 	614 	619 	664 	548 	426 	418 	390 	368 	308 	348 	307 
NR,HU	1239 	1429 	1326 	1296 	1278 	1303 	1232 	996 	822 	740 	638 	606 	591 	626 	644 	607 
NR,IE	412 	376 	337 	377 	400 	365 	338 	280 	238 	212 	186 	162 	188 	193 	162 	186 
NR,IT	7096 	6980 	6563 	6122 	5818 	5669 	5131 	4731 	4237 	4114 	3860 	3753 	3401 	3381 	3428 	3283 
NR,LT	706 	697 	709 	752 	773 	760 	740 	499 	370 	299 	296 	302 	256 	267 	242 	192 
NR,LU	70 	62 	53 	50 	47 	43 	46 	35 	48 	32 	33 	34 	45 	35 	36 	32 
NR,LV	558 	559 	532 	516 	442 	407 	419 	316 	254 	218 	179 	177 	179 	212 	188 	158 
NR,MT	16 	16 	16 	13 	17 	11 	14 	15 	15 	13 	16 	9 	17 	10 	11 	23 
NR,NL	993 	987 	1028 	804 	750 	730 	709 	677 	644 	537 	546 	562 	476 	477 	531 	533 
NR,PL	5534 	5826 	5642 	5712 	5444 	5243 	5583 	5437 	4572 	3908 	4189 	3571 	3357 	3202 	2938 	3026 
NR,PT	1670 	1655 	1542 	1294 	1247 	969 	974 	885 	840 	937 	891 	718 	637 	638 	593 	563 
NR,RO	2450 	2411 	2229 	2442 	2629 	2587 	2800 	3061 	2796 	2377 	2018 	2042 	1861 	1818 	1893 	1915 
NR,SE	583 	560 	529 	480 	440 	445 	471 	397 	358 	266 	319 	285 	260 	270 	259 	270 
NR,SI	278 	269 	242 	274 	258 	262 	293 	214 	171 	138 	141 	130 	125 	108 	120 	130 
NR,SK	614 	610 	645 	603 	606 	614 	667 	622 	384 	353 	325 	352 	251 	295 	310 	275 
NR,UK	3598 	3581 	3658 	3368 	3336 	3298 	3059 	2645 	2337 	1905 	1960 	1802 	1770 	1854 	1804 	1860 
RT,AT	11.9 	11.8 	11.5 	10.7 	9.3 	8.8 	8.3 	8.2 	7.6 	6.6 	6.2 	6.3 	5.4 	5.0 	5.5 	4.9 
RT,BE	14.4 	12.6 	11.7 	11.2 	10.4 	10.1 	10.1 	8.8 	8.7 	7.7 	7.8 b	6.9 b	6.5 	6.5 	6.5 	5.6 
RT,BG	12.6 	12.2 	12.3 	12.2 	12.5 	13.7 	13.3 	14.2 	12.1 	10.5 	8.9 	8.2 	8.3 	9.1 	9.9 	9.9 
RT,CY	14.0 	13.2 	13.5 	16.1 	13.8 	11.5 	11.6 	10.4 	8.8 	7.2 	8.3 	5.9 	5.1 	5.3 	6.7 	5.4 
