indic_il,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
R_GE65_LT65,T,AT	0.94 	0.93 	0.88 b	0.89 	0.90 	0.92 	0.93 	0.95 	0.95 	0.98 	0.97 	0.97 
R_GE65_LT65,T,BE	0.71 	0.74 	0.74 	0.74 	0.75 	0.74 	0.74 	0.76 	0.77 	0.79 	0.76 	0.79 
R_GE65_LT65,T,BG	0.79 b	0.78 	0.66 	0.63 	0.74 	0.72 	0.74 	0.76 	0.82 	0.71 	0.80 b	0.71 
R_GE65_LT65,T,CH	: 	0.84 	0.81 	0.76 	0.80 	0.78 	0.77 	0.78 	0.82 b	0.83 	0.82 	: 
R_GE65_LT65,T,CY	0.57 	0.57 	0.59 b	0.61 	0.65 	0.67 	0.70 	0.77 	0.75 	0.80 	0.79 	0.80 
R_GE65_LT65,T,CZ	0.82 	0.81 	0.79 	0.78 	0.82 	0.82 	0.84 	0.85 	0.84 	0.81 	0.79 	0.76 
R_GE65_LT65,T,DE	0.93 	0.87 	0.87 	0.88 	0.89 	0.90 	0.88 	0.89 	0.90 	0.87 	0.84 	0.85 
R_GE65_LT65,T,DK	0.71 	0.70 	0.70 	0.71 	0.71 	0.74 b	0.75 	0.76 	0.78 	0.77 	0.75 	0.77 
R_GE65_LT65,T,EA18	0.86 	0.85 	0.87 	0.88 	0.89 	0.91 	0.93 	0.95 	0.95 	0.95 	0.94 	0.94 
R_GE65_LT65,T,EA19	0.86 	0.85 	0.86 	0.88 	0.90 	0.91 	0.93 	0.95 	0.95 	0.95 	0.94 	0.94 
R_GE65_LT65,T,EE	0.69 	0.65 	0.62 	0.66 	0.73 	0.75 	0.72 	0.69 	0.63 b	0.62 	0.60 	0.59 
R_GE65_LT65,T,EL	0.82 	0.83 	0.86 	0.86 	0.84 	0.81 	1.01 	1.04 	1.00 	1.04 	1.07 	1.04 
R_GE65_LT65,T,ES	0.75 	0.79 	0.83 b	0.87 	0.88 	0.91 	0.96 	1.00 	1.03 	1.01 	1.01 	0.98 
R_GE65_LT65,T,EU27	0.85 s	0.84 	0.85 	0.87 	0.88 	0.90 	0.92 	0.93 	0.94 	0.93 	0.93 	0.93 
R_GE65_LT65,T,EU28	: 	: 	: 	: 	0.88 	0.90 	0.92 	0.93 	0.94 	0.93 	0.93 	0.93 
R_GE65_LT65,T,FI	0.73 	0.74 	0.72 	0.73 	0.78 	0.78 	0.78 	0.78 	0.79 	0.81 	0.83 	0.84 
R_GE65_LT65,T,FR	0.88 	0.91 	0.95 b	0.96 	0.98 	1.01 	1.00 	1.03 	1.02 	1.04 	1.02 	1.05 
R_GE65_LT65,T,HR	: 	: 	: 	: 	0.78 b	0.82 	0.84 	0.88 	0.88 	0.85 	0.84 	: 
R_GE65_LT65,T,HU	0.94 	0.97 	1.00 	1.02 	1.01 	0.99 	0.96 	1.03 	1.05 	1.01 	1.01 	0.98 
R_GE65_LT65,T,IE	0.70 	0.69 	0.74 	0.78 	0.85 	0.86 	0.86 	0.91 	0.89 	0.87 	0.86 	: 
R_GE65_LT65,T,IS	0.81 	0.79 	0.81 	0.91 	0.96 	0.90 	0.90 	0.87 	0.90 	0.92 	0.92 p	: 
R_GE65_LT65,T,IT	0.87 	0.86 	0.88 	0.89 	0.92 	0.92 	0.96 	0.97 	0.99 	0.99 	1.01 	1.02 
R_GE65_LT65,T,LT	0.74 	0.69 	0.70 	0.73 	0.93 	0.90 	0.78 	0.81 	0.77 	0.73 	0.71 	0.69 
R_GE65_LT65,T,LU	0.96 	0.96 	0.97 	1.01 	1.05 	1.05 	1.10 	1.13 	1.11 	1.08 	1.22 b	1.15 
R_GE65_LT65,T,LV	0.67 	0.64 	0.53 	0.57 	0.78 	0.86 	0.80 	0.77 	0.71 	0.65 	0.63 	0.61 
