age,sex,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT25,T,PC_ACT,SK	: 	: 	: 	25.5 	34.2 	37.3 	39.6 	38.1 	33.8 	33.4 	30.4 	27.0 	20.6 	19.3 	27.6 	33.9 	33.7 d	34.0 	33.7 	29.7 	26.5 	22.2 	18.9 
Y_LT25,T,PC_ACT,UK	15.3 	14.9 	13.7 	13.1 	12.7 	12.2 	11.7 	12.0 	12.2 	12.0 	12.8 	13.9 	14.3 	15.0 	19.1 	19.9 	21.3 	21.2 	20.7 	17.0 	14.6 	13.0 	12.1 
Y_LT25,T,PPCH_3Y,AT	: 	: 	0.5 	0.3 	-0.9 	-1.1 	0.0 	1.3 	2.0 d	4.3 	4.3 	2.2 	-1.1 	-2.5 	0.9 	0.1 	0.4 	-1.3 	0.2 	1.4 	1.2 	1.5 	-0.5 
Y_LT25,T,PPCH_3Y,BE	7.5 	1.4 	-1.2 	-0.8 	-1.8 	-5.3 	-5.3 	-2.6 	5.1 	4.4 	3.8 	-1.3 	-2.4 	-3.5 	1.4 	3.6 	0.7 	-2.1 	1.3 	4.5 	2.3 	-3.6 	-3.9 b
Y_LT25,T,PPCH_3Y,BG	: 	: 	: 	: 	: 	: 	: 	: 	-7.1 	-13.9 	-14.4 	-8.3 	-10.2 	-9.1 	-3.2 	7.8 d	13.1 	13.0 	6.5 	-1.2 	-6.5 	-11.2 	-10.9 
Y_LT25,T,PPCH_3Y,CY	: 	: 	: 	: 	: 	: 	: 	: 	-1.1 	2.0 d	5.9 	1.2 	0.0 	-4.9 	3.8 	6.4 	13.4 	13.9 	22.3 	13.6 	5.1 	-9.8 	-11.3 
Y_LT25,T,PPCH_3Y,CZ	: 	-1.2 	-0.1 	4.6 	9.8 	8.4 	4.2 	-1.0 	0.6 	3.8 	3.3 	-0.1 	-9.7 	-9.4 	-0.9 	7.6 	8.2 	2.9 	0.6 	-2.2 	-6.9 	-8.4 	-8.0 
Y_LT25,T,PPCH_3Y,DE	2.4 	2.0 	1.7 	0.8 	-1.0 	-1.9 	-1.4 	0.8 	2.8 	5.4 	5.6 d	2.1 	-1.9 	-5.0 	-2.5 	-2.0 	-1.9 	-3.1 	-2.0 	-0.8 	-0.8 	-0.7 	-0.9 
Y_LT25,T,PPCH_3Y,DK	-2.1 	-3.1 	-2.5 	-2.3 	-0.6 	-1.5 	1.0 	-1.7 	3.0 	-0.1 	1.2 	-1.5 d	-0.7 	-0.6 	4.1 	6.4 	6.2 	2.3 	-0.9 	-1.6 	-3.3 	-1.0 	-1.6 
Y_LT25,T,PPCH_3Y,EE	: 	: 	: 	: 	: 	: 	: 	: 	-3.0 	1.7 	-2.8 	-8.8 	-13.8 	-3.1 d	15.3 	22.8 	10.4 	-6.5 	-14.2 	-7.4 	-7.8 	-5.3 	-2.9 
Y_LT25,T,PPCH_3Y,EL	: 	: 	: 	: 	: 	: 	-2.4 	-4.7 	-2.3 d	-1.5 	-1.0 	-1.8 	-3.8 	-3.9 	0.7 	10.3 	22.8 	29.6 	25.3 	7.7 	-5.5 	-11.0 	-8.8 
Y_LT25,T,PPCH_3Y,ES	7.5 d	-1.5 	-6.2 	-7.4 	-12.8 	-12.9 	-11.3 	-4.2 	-0.5 	0.9 	-2.6 	-4.8 	-3.9 	4.9 	19.8 	23.4 	21.7 	15.2 	14.0 	7.0 	-4.6 	-11.1 	-14.6 
Y_LT25,T,PPCH_3Y,FI	3.3 	-5.6 	-8.8 	-6.2 	-6.6 	-3.8 	-3.7 	-0.4 	0.4 	0.9 	-0.9 	-3.1 	-4.2 	-3.6 	2.8 	4.9 	3.6 	-2.5 	-1.5 	0.4 	3.4 	0.2 	-0.4 
Y_LT25,T,PPCH_3Y,FR	7.1 d	4.2 	3.9 	3.1 	0.1 	-7.8 	-8.7 	-6.8 	-12.7 	-8.7 	-9.5 	3.2 	-0.9 	-2.0 	1.6 	3.8 	3.6 	0.8 	1.6 	1.6 	0.3 	-0.3 	-1.9 
Y_LT25,T,PPCH_3Y,HR	: 	: 	: 	: 	: 	: 	: 	: 	-3.3 	-7.0 	-4.5 	-5.1 d	-7.5 	-8.1 	-3.5 	6.9 	13.0 	16.8 	17.6 	8.3 	0.1 	-18.1 	-17.7 
Y_LT25,T,PPCH_3Y,HU	: 	: 	: 	: 	-7.2 	-5.3 	-4.3 	-0.6 	1.3 	4.5 	7.5 	5.9 	2.6 	0.1 d	7.3 	8.3 	6.5 	1.8 	0.2 	-5.6 	-10.9 	-13.7 	-9.7 
Y_LT25,T,PPCH_3Y,IE	-4.9 	-7.1 	-7.6 	-8.2 	-8.8 	-8.5 	-4.0 	-0.9 	2.0 	1.5 	0.2 	-0.1 	0.4 	4.8 	15.7 	18.9 	16.1 	6.3 	-1.4 	-6.2 	-10.6 	-9.9 	-9.0 
Y_LT25,T,PPCH_3Y,IT	3.5 	2.8 	0.9 	-0.7 	-1.9 	-3.4 	-6.1 	-6.0 	-2.6 	0.4 	2.1 	-1.8 	-3.1 	-2.9 	3.5 	7.5 	8.0 	10.0 	12.1 	13.5 	5.0 	-2.2 	-8.0 
Y_LT25,T,PPCH_3Y,LT	: 	: 	: 	: 	: 	: 	8.2 	-4.2 	-5.2 	-9.3 	-7.2 	-14.8 	-13.4 	-2.5 	19.6 	27.3 	19.3 	-2.9 	-13.8 	-13.3 	-10.4 	-7.4 	-6.0 
Y_LT25,T,PPCH_3Y,LU	3.4 	3.0 	0.8 	-0.3 	-1.3 	-1.5 	-0.7 	0.1 	4.8 	10.2 	7.6 	4.3 d	-0.8 	2.7 	1.0 	0.2 	-0.9 	1.5 	1.1 	5.9 	-1.4 	2.2 	-6.9 
Y_LT25,T,PPCH_3Y,LV	: 	: 	: 	: 	: 	: 	: 	-3.7 	-2.8 	-2.7 	-5.2 	-6.0 	-9.4 	-1.5 	19.7 	25.6 	17.4 	-4.8 	-13.0 	-11.4 	-12.2 	-5.9 	-2.6 
Y_LT25,T,PPCH_3Y,MT	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	-2.1 	1.3 	-0.9 	-2.9 	-4.3 	-0.9 	-0.2 	1.6 	-0.4 	-0.3 	-1.5 	-2.2 	-1.8 	-1.2 
Y_LT25,T,PPCH_3Y,NL	8.3 	5.3 	1.3 	-5.9 	-6.3 	-4.2 	-4.2 	-2.0 d	1.7 	4.7 	4.4 	0.1 	-2.0 	-3.2 	0.2 	1.7 	1.4 	1.5 	2.1 	2.7 	-0.4 	-2.4 	-3.8 
Y_LT25,T,PPCH_3Y,PL	: 	: 	: 	: 	: 	11.7 	17.0 	12.4 	7.0 	0.1 	-5.6 	-12.1 	-18.0 	-19.7 	-9.2 d	2.1 	8.6 	5.9 	3.6 	-1.9 	-5.7 	-9.6 	-9.1 
Y_LT25,T,PPCH_3Y,PT	5.8 	3.7 	0.3 d	-4.2 	-5.9 	-4.7 	-0.7 	2.8 	6.1 	6.3 	5.2 	2.6 	1.7 	0.8 	4.1 	6.8 	8.6 	12.7 	9.9 	4.5 	-6.0 	-9.9 	-10.9 
Y_LT25,T,PPCH_3Y,RO	: 	: 	: 	: 	: 	0.7 	1.6 	3.3 	2.0 d	3.5 	-0.7 	1.7 	-1.2 	-1.5 	-0.2 	2.8 	6.3 	2.6 	1.6 	0.1 	-0.9 	-3.1 	-5.7 
Y_LT25,T,PPCH_3Y,SE	5.9 	-1.5 	-1.4 	-3.0 	-8.2 	-10.1 d	-1.1 b	4.1 	6.9 	5.4 	6.2 	4.1 	-1.2 	-2.4 	3.5 	5.6 	2.6 	-1.3 	-1.2 	0.1 	-3.3 	-4.7 	-5.1 
Y_LT25,T,PPCH_3Y,SI	: 	: 	: 	: 	0.0 	-0.9 	0.0 	-1.0 	1.0 	-1.7 	-0.6 	-3.4 	-6.0 	-5.5 	-0.3 	4.6 	5.3 	7.0 	6.9 	4.5 	-4.3 	-6.4 	-9.0 
Y_LT25,T,PPCH_3Y,SK	: 	: 	: 	: 	: 	: 	14.1 	3.9 	-3.5 	-6.2 	-7.7 	-6.8 	-12.8 	-11.1 	0.6 	13.3 	14.4 d	6.4 	-0.2 	-4.0 	-7.5 	-11.5 	-10.8 
Y_LT25,T,PPCH_3Y,UK	-1.0 	-2.6 	-2.7 	-2.2 	-2.2 	-1.5 	-1.4 	-0.7 	0.0 	0.3 	0.8 	1.7 	2.3 	2.2 	5.2 	5.6 	6.3 	2.1 	0.8 	-4.3 	-6.6 	-7.7 	-4.9 
