unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
PC_POP,HU	: 	: 	: 	: 	: 	: 	: 	33.6 	: 	33.9 	: 
PC_POP,IE	: 	: 	: 	: 	: 	: 	: 	50.2 	: 	49.0 p	: 
PC_POP,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	: 
PC_POP,IT	: 	: 	: 	: 	: 	: 	: 	67.0 	: 	67.9 	: 
PC_POP,LT	: 	: 	: 	: 	: 	: 	: 	48.4 	: 	49.7 	: 
PC_POP,LU	: 	: 	: 	: 	: 	: 	: 	0.0 	: 	0.0 b	: 
PC_POP,LV	: 	: 	: 	: 	: 	: 	: 	61.9 	: 	62.1 	: 
PC_POP,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	: 
PC_POP,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	: 
PC_POP,MT	: 	: 	: 	: 	: 	: 	: 	0.0 	: 	0.0 e	: 
PC_POP,NL	: 	: 	: 	: 	: 	: 	: 	23.9 	: 	22.8 	: 
PC_POP,NO	: 	: 	: 	: 	: 	: 	: 	26.1 	: 	25.7 	: 
PC_POP,PL	: 	: 	: 	: 	: 	: 	: 	11.5 	: 	11.5 	: 
PC_POP,PT	: 	: 	: 	: 	: 	: 	: 	58.3 	: 	58.9 	: 
PC_POP,RO	: 	: 	: 	: 	: 	: 	: 	21.2 e	: 	23.1 ep	: 
PC_POP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	: 
PC_POP,SE	: 	: 	: 	: 	: 	: 	: 	44.8 	: 	43.7 	: 
PC_POP,SI	: 	: 	: 	: 	: 	: 	: 	0.0 	: 	0.0 	: 
PC_POP,SK	: 	: 	: 	: 	: 	: 	: 	0.0 	: 	0.0 	: 
PC_POP,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.2 	: 
PC_POP,UK	: 	: 	: 	: 	: 	: 	: 	32.0 e	: 	31.5 p	: 
