sex,age,typtrai,wstatus,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
M,Y15-24,NO_FED_NFE,NEMP,PC,CZ	11.2 	7.3 b	4.9 	4.8 	7.2 	7.5 	7.1 b	8.1 	7.5 b	6.5 	5.5 	5.5 	4.4 
M,Y15-24,NO_FED_NFE,NEMP,PC,DE	10.1 b	8.9 	8.0 	7.5 b	8.2 	7.6 b	6.7 b	6.3 	5.6 	5.5 	5.4 	6.1 	5.8 
M,Y15-24,NO_FED_NFE,NEMP,PC,DK	3.6 	3.4 	4.7 b	4.4 	5.9 	6.7 	6.4 	6.6 	6.3 	6.2 	6.3 	6.5 b	7.0 b
M,Y15-24,NO_FED_NFE,NEMP,PC,EA18	11.0 	10.2 b	9.8 	10.2 	12.6 	12.7 	12.6 	13.2 	13.0 	12.7 	12.3 	11.7 	11.3 
M,Y15-24,NO_FED_NFE,NEMP,PC,EA19	11.0 	10.2 b	9.7 	10.2 	12.6 	12.7 	12.6 	13.2 	13.0 	12.7 	12.3 	11.7 	11.3 
M,Y15-24,NO_FED_NFE,NEMP,PC,EE	8.2 	6.6 	8.5 	8.0 	14.4 b	14.6 	11.8 	11.2 	10.8 	11.8 	9.0 	6.8 	8.4 
M,Y15-24,NO_FED_NFE,NEMP,PC,EL	12.5 	8.7 b	8.1 	8.8 b	9.5 b	12.7 	16.1 	19.0 	20.9 	18.7 	17.1 	15.9 	15.0 
M,Y15-24,NO_FED_NFE,NEMP,PC,ES	11.1 b	10.3 b	10.4 	13.9 	19.4 	18.8 	19.2 	19.6 	19.4 	18.0 b	16.4 	15.1 	13.8 
M,Y15-24,NO_FED_NFE,NEMP,PC,EU27	11.5 	10.5 b	9.8 	9.7 	12.0 	12.3 	12.5 	12.9 	12.7 	12.2 	11.7 	11.2 	10.6 
M,Y15-24,NO_FED_NFE,NEMP,PC,EU28	11.5 	10.6 b	9.8 	9.7 	12.0 	12.4 	12.6 	13.0 	12.8 	12.3 	11.8 	11.3 	10.7 
M,Y15-24,NO_FED_NFE,NEMP,PC,FI	7.9 	7.2 	6.4 	7.7 	10.5 	9.4 	8.7 	8.6 	10.6 	11.9 	11.5 	10.7 	10.0 
M,Y15-24,NO_FED_NFE,NEMP,PC,FR	10.4 	10.4 	10.0 	10.4 	13.3 	12.7 	12.0 	12.9 	11.0 b	11.6 b	12.4 	12.0 	12.1 
M,Y15-24,NO_FED_NFE,NEMP,PC,HR	17.4 b	13.9 b	12.4 	11.2 	13.4 	17.1 	17.8 	17.9 	20.6 	21.9 	20.5 	19.0 	15.4 
M,Y15-24,NO_FED_NFE,NEMP,PC,HU	11.2 	11.0 b	9.9 	10.1 	12.7 	11.7 	12.1 	13.6 	13.6 	12.0 	10.4 b	8.9 	7.9 
M,Y15-24,NO_FED_NFE,NEMP,PC,IE	10.1 	9.0 b	9.7 b	15.6 	21.6 	22.2 	21.8 	21.9 	17.7 	15.8 	15.6 	13.5 	11.4 b
M,Y15-24,NO_FED_NFE,NEMP,PC,IS	4.6 	3.6 	3.3 	4.3 	9.2 b	7.6 	7.6 	7.0 	6.8 	6.1 	5.9 	4.6 	3.9 
M,Y15-24,NO_FED_NFE,NEMP,PC,IT	15.4 	15.4 b	15.2 	15.2 	17.0 	18.9 	19.4 	21.1 	22.8 	22.7 	21.9 	20.1 	20.3 
M,Y15-24,NO_FED_NFE,NEMP,PC,LT	8.2 u	8.2 bu	6.3 u	8.6 u	13.7 	14.7 	13.1 	12.8 	11.6 	9.5 	9.1 	10.0 	9.1 
M,Y15-24,NO_FED_NFE,NEMP,PC,LU	4.3 	6.1 b	4.7 b	4.6 	6.0 b	5.6 	4.6 	6.3 	5.9 	7.8 	6.6 b	5.1 	6.2 
M,Y15-24,NO_FED_NFE,NEMP,PC,LV	8.6 	7.9 b	9.5 	10.2 	18.6 	18.7 	16.1 	15.1 	12.6 	11.3 	9.4 	12.6 	11.0 
M,Y15-24,NO_FED_NFE,NEMP,PC,ME	: 	: 	: 	: 	: 	: 	18.4 	18.4 	20.0 	18.9 	19.9 	18.7 	16.3 
M,Y15-24,NO_FED_NFE,NEMP,PC,MK	: 	38.9 	31.6 b	28.1 	25.4 	25.1 	24.9 	25.3 	23.3 	23.6 	24.5 	23.6 	23.9 
M,Y15-24,NO_FED_NFE,NEMP,PC,MT	11.2 b	9.8 b	11.9 	6.8 	9.4 	8.2 	9.7 	10.2 	9.7 	8.8 	9.3 	6.9 	8.4 b
M,Y15-24,NO_FED_NFE,NEMP,PC,NL	5.0 	3.7 b	3.1 	3.1 	4.1 	4.4 b	4.4 	4.6 	5.6 b	5.2 	4.6 	4.7 	4.2 
M,Y15-24,NO_FED_NFE,NEMP,PC,NO	8.2 	4.4 b	4.4 	4.3 	5.5 	5.4 	4.8 	5.4 	5.8 	5.6 	5.3 	5.8 	4.7 
M,Y15-24,NO_FED_NFE,NEMP,PC,PL	13.4 	12.1 	9.3 	7.3 b	9.4 	10.5 b	11.2 	11.5 	12.1 b	12.0 	11.2 	10.0 	8.3 
M,Y15-24,NO_FED_NFE,NEMP,PC,PT	10.2 	9.9 b	9.8 	8.9 	10.6 	10.4 	12.2 b	14.6 	14.2 	12.3 	10.4 	10.8 	9.2 
M,Y15-24,NO_FED_NFE,NEMP,PC,RO	14.9 	13.0 b	11.6 	8.8 	11.2 	14.2 b	16.3 	15.2 	15.3 	15.3 	15.0 	14.1 	12.1 
M,Y15-24,NO_FED_NFE,NEMP,PC,SE	11.0 b	9.6 b	7.5 b	7.5 b	9.8 	7.8 	7.6 	7.9 	7.7 	7.5 	6.9 	6.9 	6.1 
M,Y15-24,NO_FED_NFE,NEMP,PC,SI	8.2 	8.4 b	6.8 	6.7 	7.9 	8.1 	7.8 	9.7 	9.8 	9.7 	9.9 	9.1 	6.7 
M,Y15-24,NO_FED_NFE,NEMP,PC,SK	14.4 	12.8 b	11.0 	9.6 	12.2 	13.8 	13.9 b	14.5 	14.2 	12.8 	13.3 	10.9 	10.5 
M,Y15-24,NO_FED_NFE,NEMP,PC,TR	: 	22.7 b	23.7 	22.4 	22.0 	19.6 	17.1 	17.5 	15.0 	14.6 b	14.1 	14.5 	14.6 
M,Y15-24,NO_FED_NFE,NEMP,PC,UK	7.3 	7.5 	10.1 b	10.1 b	11.9 	12.1 	13.1 	12.8 	12.1 	10.7 	9.7 	10.3 	10.2 
T,Y15-24,NO_FED_NFE,NEMP,PC,AT	8.6 	7.8 b	7.4 b	7.4 	8.2 	7.4 	7.3 	6.8 	7.3 	7.7 	7.5 	7.7 	6.5 
T,Y15-24,NO_FED_NFE,NEMP,PC,BE	13.0 	11.2 b	11.2 	10.1 	11.1 	10.9 	11.8 b	12.3 	12.7 	12.0 	12.2 	9.9 	9.3 b
T,Y15-24,NO_FED_NFE,NEMP,PC,BG	25.1 	22.2 b	19.1 	17.4 b	19.5 	21.0 b	21.8 	21.5 	21.6 	20.2 	19.3 	18.2 	15.3 
T,Y15-24,NO_FED_NFE,NEMP,PC,CH	7.2 	7.2 	6.2 	6.3 	8.1 	6.8 b	6.8 	6.8 	7.3 	7.4 	7.4 	7.0 	6.5 
T,Y15-24,NO_FED_NFE,NEMP,PC,CY	19.5 	10.7 b	9.0 	9.7 	9.9 b	11.7 	14.6 	16.0 	18.7 	17.0 	15.3 	16.0 	16.1 
T,Y15-24,NO_FED_NFE,NEMP,PC,CZ	13.3 	9.2 b	6.9 	6.7 	8.5 	8.8 	8.3 b	8.9 	9.1 b	8.1 	7.5 	7.0 	6.3 
T,Y15-24,NO_FED_NFE,NEMP,PC,DE	10.9 b	9.6 	8.9 	8.4 b	8.8 	8.3 b	7.5 b	7.1 	6.3 	6.4 	6.2 	6.7 	6.3 
T,Y15-24,NO_FED_NFE,NEMP,PC,DK	4.3 	3.6 	4.3 b	4.3 	5.4 	6.0 	6.3 	6.6 	6.0 	5.8 	6.2 	5.8 b	7.0 b
T,Y15-24,NO_FED_NFE,NEMP,PC,EA18	12.2 	11.3 b	10.8 	11.0 	12.6 	12.8 	12.8 	13.1 	12.9 	12.6 	12.2 	11.7 	11.2 
T,Y15-24,NO_FED_NFE,NEMP,PC,EA19	12.1 	11.3 b	10.7 	11.0 	12.6 	12.8 	12.8 	13.1 	12.9 	12.6 	12.2 	11.7 	11.2 
T,Y15-24,NO_FED_NFE,NEMP,PC,EE	10.6 	8.8 	8.9 	8.7 	14.5 b	14.0 	11.6 	12.2 	11.3 	11.7 	10.8 	9.1 	9.4 
T,Y15-24,NO_FED_NFE,NEMP,PC,EL	15.9 	12.0 b	11.3 	11.4 b	12.4 b	14.8 	17.4 	20.2 	20.4 	19.1 	17.2 	15.8 	15.3 
T,Y15-24,NO_FED_NFE,NEMP,PC,ES	13.0 b	11.8 b	12.0 	14.3 	18.1 	17.8 	18.2 	18.6 	18.6 	17.1 b	15.6 	14.6 	13.3 
T,Y15-24,NO_FED_NFE,NEMP,PC,EU27	12.7 	11.7 b	10.9 	10.9 	12.4 	12.7 	12.9 	13.2 	13.0 	12.4 	12.0 	11.5 	10.9 
T,Y15-24,NO_FED_NFE,NEMP,PC,EU28	12.7 	11.7 b	11.0 	10.9 	12.4 	12.8 	12.9 	13.2 	13.0 	12.5 	12.0 	11.6 	10.9 
T,Y15-24,NO_FED_NFE,NEMP,PC,FI	7.8 	7.7 	7.0 	7.8 	9.9 	9.0 	8.4 	8.6 	9.3 	10.2 	10.6 	9.9 	9.4 
T,Y15-24,NO_FED_NFE,NEMP,PC,FR	11.2 	11.3 	10.7 	10.5 	12.7 	12.7 	12.3 	12.5 	11.2 b	11.2 b	12.0 	11.9 	11.5 
T,Y15-24,NO_FED_NFE,NEMP,PC,HR	16.7 b	14.2 b	12.9 	11.6 	13.4 	15.7 	16.2 	16.6 	19.6 	19.3 	18.1 	16.9 	15.4 
T,Y15-24,NO_FED_NFE,NEMP,PC,HU	12.9 	12.4 b	11.5 	11.5 	13.6 	12.6 	13.2 	14.8 	15.5 	13.6 	11.6 b	11.0 	11.0 
T,Y15-24,NO_FED_NFE,NEMP,PC,IE	10.9 	10.1 b	9.5 b	13.9 	18.3 	19.4 	19.2 	19.2 	16.4 	15.3 	14.3 	12.6 	10.9 b
T,Y15-24,NO_FED_NFE,NEMP,PC,IS	4.6 	4.7 	4.0 	4.5 	7.7 b	7.4 	6.7 	5.9 	5.5 	5.7 	4.6 	4.1 	3.9 
T,Y15-24,NO_FED_NFE,NEMP,PC,IT	17.1 	16.8 b	16.1 	16.6 	17.6 	19.0 	19.7 	21.0 	22.2 	22.1 	21.4 	19.9 	20.1 
T,Y15-24,NO_FED_NFE,NEMP,PC,LT	8.8 	8.3 b	7.1 	8.8 	12.1 	13.2 	11.8 	11.2 	11.1 	9.9 	9.2 	9.4 	9.1 
T,Y15-24,NO_FED_NFE,NEMP,PC,LU	5.5 	6.7 b	5.7 b	6.2 	5.8 b	5.1 	4.7 	5.9 	5.0 	6.3 	6.2 b	5.4 	5.9 
T,Y15-24,NO_FED_NFE,NEMP,PC,LV	10.6 	11.5 b	11.9 	11.8 	17.5 	17.8 	16.0 	14.9 	13.0 	12.0 	10.5 	11.2 	10.3 
T,Y15-24,NO_FED_NFE,NEMP,PC,ME	: 	: 	: 	: 	: 	: 	18.3 	17.8 	18.5 	17.7 	19.1 	18.4 	16.7 
T,Y15-24,NO_FED_NFE,NEMP,PC,MK	: 	41.3 	33.1 b	30.7 	27.7 	25.5 	25.2 	24.8 	24.2 	25.2 	24.7 	24.3 	24.9 
T,Y15-24,NO_FED_NFE,NEMP,PC,MT	11.9 b	10.3 b	11.5 	8.3 	9.9 	9.5 	10.2 	10.8 	9.9 	10.3 	10.5 	8.8 	8.6 b
T,Y15-24,NO_FED_NFE,NEMP,PC,NL	5.3 	4.0 b	3.5 	3.4 	4.1 	4.3 b	4.3 	4.9 	5.6 b	5.5 	4.7 	4.6 	4.0 
T,Y15-24,NO_FED_NFE,NEMP,PC,NO	8.3 	4.6 b	4.4 	4.1 	5.0 	4.9 	5.0 	5.2 	5.6 	5.5 	5.0 	5.4 	4.6 
T,Y15-24,NO_FED_NFE,NEMP,PC,PL	13.9 	12.6 	10.6 	9.0 b	10.1 	10.8 b	11.5 	11.8 	12.2 b	12.0 	11.0 	10.5 	9.5 
T,Y15-24,NO_FED_NFE,NEMP,PC,PT	11.1 	10.6 b	11.2 	10.2 	11.2 	11.4 	12.6 b	13.9 	14.1 	12.3 	11.3 	10.6 	9.3 
T,Y15-24,NO_FED_NFE,NEMP,PC,RO	16.8 	14.8 b	13.3 	11.6 	13.9 	16.6 b	17.5 	16.8 	17.0 	17.0 	18.1 	17.4 	15.2 
T,Y15-24,NO_FED_NFE,NEMP,PC,SE	10.5 b	9.3 b	7.5 b	7.8 b	9.6 	7.7 	7.5 	7.8 	7.5 	7.2 	6.7 	6.5 	6.2 
T,Y15-24,NO_FED_NFE,NEMP,PC,SI	8.9 	8.5 b	6.7 	6.5 	7.5 	7.1 	7.1 	9.3 	9.2 	9.4 	9.5 	8.0 	6.5 
T,Y15-24,NO_FED_NFE,NEMP,PC,SK	15.8 	14.4 b	12.5 	11.1 	12.5 	14.1 	13.8 b	13.8 	13.7 	12.8 	13.7 	12.3 	12.1 
T,Y15-24,NO_FED_NFE,NEMP,PC,TR	: 	38.6 b	39.2 	37.0 	34.9 	32.3 	29.6 	28.7 	25.5 	24.8 b	23.9 	23.9 	24.2 
T,Y15-24,NO_FED_NFE,NEMP,PC,UK	8.4 	8.6 	11.9 b	12.1 b	13.2 	13.6 	14.2 	13.9 	13.2 	11.9 	11.1 	10.9 	10.3 
