na_item,s_adj,unit,nace_r2,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
D1,SCA,CP_MEUR,A,UK	1741.1 	1727.1 	1618.7 	1537.9 	1479.3 	1418.7 	1527.7 	1541.0 	1490.3 	1320.8 	1552.0 	1565.9 
D1,SCA,CP_MEUR,B-E,AT	8876.7 	8990.6 	9068.3 	9122.1 	9227.9 	9243.6 	9318.1 	9408.7 	9473.9 	9657.2 	9843.7 	9977.6 
D1,SCA,CP_MEUR,B-E,BE	8656.0 	8659.0 	8735.0 	8617.0 	8654.0 	8678.0 	8785.0 	8981.0 	9023.0 	9053.0 	9073.0 	9206.0 
D1,SCA,CP_MEUR,B-E,BG	1040.1 	1072.5 	1125.3 	1130.2 	1141.1 	1200.8 	1217.4 	1266.0 	1295.8 	1331.5 	1390.5 p	1418.2 p
D1,SCA,CP_MEUR,B-E,CY	169.4 	173.3 	176.1 	177.9 	179.4 	179.7 	180.5 	182.9 	186.0 	190.0 	194.8 	198.8 
D1,SCA,CP_MEUR,B-E,CZ	5312.4 	5433.2 	5552.6 	5591.8 	5688.6 	5759.0 	5901.6 	6215.3 	6397.2 	6606.7 	6849.6 	7017.0 
D1,SCA,CP_MEUR,B-E,DK	4887.9 	4928.6 	5028.9 	5039.8 	5042.2 	5143.2 	5156.1 	5307.5 	5224.1 	5318.6 	5357.0 	5517.1 
D1,SCA,CP_MEUR,B-E,EA	249266.8 	250459.6 	252509.1 	253197.3 	254852.4 	256189.6 	258644.1 	260261.5 	262258.4 	265386.4 	267605.0 	270817.8 
D1,SCA,CP_MEUR,B-E,EA19	249266.8 	250459.6 	252509.1 	253197.3 	254852.4 	256189.6 	258644.1 	260261.5 	262258.4 	265386.4 	267605.0 	270817.8 
D1,SCA,CP_MEUR,B-E,EE	529.1 	528.6 	535.0 	536.3 	543.5 	547.4 	582.6 	595.5 	600.4 	607.4 	609.3 	624.1 
D1,SCA,CP_MEUR,B-E,EL	1971.8 p	1958.6 p	1909.2 p	1906.9 p	1924.3 p	1912.4 p	2022.8 p	2038.7 p	2023.1 p	2060.4 p	2096.0 p	2095.4 p
D1,SCA,CP_MEUR,B-E,ES	20751.0 	20885.0 	21194.0 p	21347.0 p	21620.0 p	21844.0 p	22096.0 p	22273.0 p	22437.0 p	22685.0 p	22783.0 p	22978.0 p
D1,SCA,CP_MEUR,B-E,EU28	332177.0 	335049.2 	333353.2 	334611.0 	333981.5 	333158.5 	339072.5 	342737.7 	343973.6 	347040.2 	352354.8 	357206.4 
D1,SCA,CP_MEUR,B-E,FI	4639.0 	4662.0 	4675.0 	4676.0 	4702.0 	4664.0 	4636.0 	4675.0 	4676.0 	4721.0 	4790.0 	4829.0 
D1,SCA,CP_MEUR,B-E,HR	1137.1 	1134.6 	1131.7 	1159.8 	1174.1 	1181.9 	1203.6 	1210.5 	1217.4 	1208.8 	1241.3 	1274.4 
D1,SCA,CP_MEUR,B-E,HU	2704.7 	2754.3 	2864.4 	2886.0 	2946.4 	3011.9 	3133.5 	3196.8 	3284.8 	3271.6 	3525.0 	3502.9 
D1,SCA,CP_MEUR,B-E,IE	2831.9 	2868.6 	2847.2 	2899.2 	3007.7 	2958.6 	3024.1 	3040.1 	3069.6 	3075.5 	3098.3 	3058.4 
D1,SCA,CP_MEUR,B-E,IT	37630.7 	37764.6 	38234.5 	38386.1 	38257.3 	38426.6 	38820.2 	39024.5 	39377.1 	40066.3 	39939.7 	40538.2 
D1,SCA,CP_MEUR,B-E,LT	794.4 	807.8 	832.8 	843.9 	857.9 	869.6 	888.0 	896.0 	905.0 	927.9 	955.5 	966.3 
D1,SCA,CP_MEUR,B-E,LU	526.1 	527.8 	525.9 	529.3 	528.7 	532.1 	551.5 	540.9 	549.2 	549.4 	556.5 	562.1 
D1,SCA,CP_MEUR,B-E,LV	423.7 	425.8 	435.8 	445.5 	454.1 	459.6 	467.7 	480.1 	483.4 	507.3 	522.7 	529.1 
D1,SCA,CP_MEUR,B-E,MT	114.2 	115.8 	119.3 	115.0 	117.7 	120.1 	120.9 	121.3 	122.8 	123.8 	127.1 	128.5 
D1,SCA,CP_MEUR,B-E,NL	10953.7 	11038.3 	11155.2 p	11235.8 p	11258.9 p	11262.1 p	11294.9 p	11414.9 p	11562.5 p	11726.6 p	11822.5 p	11917.0 p
D1,SCA,CP_MEUR,B-E,NO	6765.0 	6651.1 	6433.7 	6355.7 	6373.3 	6463.8 	6463.0 	6249.9 	6347.6 	6197.4 	6237.7 	6431.9 
D1,SCA,CP_MEUR,B-E,PL	10526.2 	10483.3 	10684.5 	10603.1 	10893.0 	11022.5 	11216.8 p	11962.3 p	12099.9 p	12423.3 p	12643.1 p	12985.9 p
D1,SCA,CP_MEUR,B-E,PT	3265.6 	3281.7 	3329.4 	3360.5 	3401.3 	3454.2 	3535.4 	3573.9 	3642.1 	3698.1 	3731.1 	3835.4 
D1,SCA,CP_MEUR,B-E,RO	3439.8 	3453.4 	3485.4 p	3585.5 p	3731.5 p	3912.5 p	3948.1 p	4081.1 p	4295.5 p	4393.8 p	4386.6 p	4739.4 p
D1,SCA,CP_MEUR,B-E,SE	7947.4 	8054.2 	8170.6 	8162.5 	8020.7 	7948.6 	8206.8 	8172.1 	8352.6 	8259.9 	8309.2 	8247.2 
D1,SCA,CP_MEUR,B-E,SI	1292.4 	1310.2 	1332.1 	1349.2 	1362.8 	1379.3 	1398.0 	1427.4 	1453.8 	1498.1 	1527.8 	1563.6 
D1,SCA,CP_MEUR,B-E,UK	45906.5 	47360.9 	42980.6 	43403.5 	40654.1 	37895.2 	40634.1 	41096.5 	39588.3 	38839.9 	41247.7 	41728.7 
D1,SCA,CP_MEUR,C,AT	7942.9 	8047.8 	8110.1 	8156.3 	8254.8 	8266.3 	8341.7 	8431.1 	8497.6 	8672.1 	8856.4 	8977.8 
D1,SCA,CP_MEUR,C,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
D1,SCA,CP_MEUR,C,BG	790.4 	812.5 	836.6 	848.3 	866.9 	900.7 	913.9 	954.3 	984.0 	1019.4 	1069.8 p	1096.9 p
D1,SCA,CP_MEUR,C,CY	133.9 	137.6 	141.3 	143.7 	145.0 	145.6 	146.2 	148.3 	151.3 	155.0 	159.4 	163.0 
D1,SCA,CP_MEUR,C,CZ	4733.8 	4849.2 	4974.4 	5009.9 	5098.0 	5171.8 	5291.6 	5588.4 	5754.3 	5943.9 	6159.4 	6308.8 
D1,SCA,CP_MEUR,C,DK	4419.4 	4455.2 	4549.3 	4533.7 	4556.3 	4644.4 	4654.8 	4798.3 	4731.7 	4803.4 	4828.0 	4973.5 
D1,SCA,CP_MEUR,C,EA	223645.1 	224858.6 	226900.9 	227594.2 	229130.2 	230386.7 	232659.5 	234185.6 	236139.8 	239148.7 	241438.5 	244316.5 
D1,SCA,CP_MEUR,C,EA19	223645.1 	224858.6 	226900.9 	227594.2 	229130.2 	230386.7 	232659.5 	234185.6 	236139.8 	239148.7 	241438.5 	244316.5 
D1,SCA,CP_MEUR,C,EE	454.6 	459.1 	462.7 	466.7 	470.8 	477.2 	502.3 	511.6 	518.2 	527.0 	528.0 	540.8 
D1,SCA,CP_MEUR,C,EL	1442.8 p	1413.6 p	1381.3 p	1380.0 p	1394.2 p	1376.9 p	1445.9 p	1456.6 p	1446.5 p	1484.7 p	1497.8 p	1496.7 p
D1,SCA,CP_MEUR,C,ES	17914.0 	18075.0 	18358.0 p	18529.0 p	18792.0 p	18981.0 p	19253.0 p	19440.0 p	19624.0 p	19881.0 p	19990.0 p	20180.0 p
D1,SCA,CP_MEUR,C,EU28	293090.4 	296299.8 	295040.0 	296112.0 	295902.8 	295365.3 	300637.8 	303722.7 	305093.7 	308115.1 	313773.3 	317511.9 
D1,SCA,CP_MEUR,C,FI	4231.0 	4242.0 	4255.0 	4253.0 	4258.0 	4239.0 	4202.0 	4239.0 	4244.0 	4276.0 	4348.0 	4381.0 
D1,SCA,CP_MEUR,C,HR	889.1 	893.9 	898.9 	925.2 	942.3 	948.9 	968.0 	973.7 	979.8 	975.1 	1001.5 	1027.8 
D1,SCA,CP_MEUR,C,HU	2381.6 	2438.8 	2514.1 	2550.3 	2609.6 	2682.5 	2759.1 	2825.8 	2931.0 	2943.4 	3076.6 	3075.0 
D1,SCA,CP_MEUR,C,IE	2458.8 	2543.3 	2481.4 	2604.3 	2646.2 	2615.1 	2653.9 	2671.9 	2700.7 	2715.4 	2727.0 	2704.7 
D1,SCA,CP_MEUR,C,IT	33911.2 	34062.6 	34537.5 	34643.9 	34577.0 	34694.9 	35060.3 	35287.1 	35564.3 	36270.9 	36385.3 	36809.7 
D1,SCA,CP_MEUR,C,LT	689.6 	701.5 	723.2 	735.8 	750.1 	764.9 	777.9 	786.6 	799.4 	819.8 	838.4 	851.9 
D1,SCA,CP_MEUR,C,LU	443.4 	445.2 	441.9 	446.7 	444.2 	447.7 	462.9 	453.3 	461.2 	460.6 	466.9 	471.6 
D1,SCA,CP_MEUR,C,LV	337.5 	345.1 	347.9 	356.4 	361.3 	372.9 	376.5 	385.4 	393.6 	405.7 	421.1 	428.8 
D1,SCA,CP_MEUR,C,MT	105.7 	107.0 	110.1 	106.2 	108.4 	110.0 	111.0 	110.7 	112.1 	113.0 	115.6 	117.1 
D1,SCA,CP_MEUR,C,NL	9688.7 	9767.8 	9907.8 p	9976.6 p	10022.8 p	10051.0 p	10084.8 p	10213.6 p	10337.2 p	10500.2 p	10592.8 p	10660.4 p
D1,SCA,CP_MEUR,C,NO	4046.9 	3926.7 	3823.0 	3898.9 	3841.3 	3959.8 	3944.5 	3796.6 	3871.2 	3795.4 	3819.4 	3858.1 
D1,SCA,CP_MEUR,C,PL	8281.5 	8316.8 	8556.6 	8522.9 	8779.2 	8984.0 	9139.0 p	9848.6 p	9997.7 p	10089.2 p	10392.2 p	10697.6 p
D1,SCA,CP_MEUR,C,PT	2921.0 	2929.8 	2983.2 	3014.6 	3053.6 	3102.9 	3167.5 	3222.7 	3277.2 	3338.1 	3380.3 	3437.0 
D1,SCA,CP_MEUR,C,RO	2763.7 	2820.0 	2854.3 p	2982.3 p	3104.6 p	3150.6 p	3315.7 p	3447.5 p	3503.1 p	3524.8 p	4326.6 p	4428.9 p
D1,SCA,CP_MEUR,C,SE	7049.8 	7139.0 	7249.0 	7265.0 	7114.4 	7048.5 	7271.4 	7240.6 	7408.3 	7325.0 	7381.5 	7285.0 
D1,SCA,CP_MEUR,C,SI	1135.0 	1151.4 	1174.3 	1190.5 	1205.1 	1223.0 	1238.5 	1266.7 	1291.9 	1332.6 	1360.9 	1393.6 
D1,SCA,CP_MEUR,C,UK	38113.9 	39760.1 	35791.9 	36019.0 	33855.5 	31595.5 	33841.8 	34051.0 	32852.9 	32544.4 	34349.1 	34577.0 
D1,SCA,CP_MEUR,F,AT	2794.7 	2812.8 	2846.2 	2866.6 	2886.6 	2909.2 	2927.3 	2936.1 	2958.5 	2983.0 	3008.0 	3043.8 
D1,SCA,CP_MEUR,F,BE	2517.0 	2516.0 	2545.0 	2509.0 	2533.0 	2510.0 	2552.0 	2608.0 	2597.0 	2656.0 	2683.0 	2623.0 
D1,SCA,CP_MEUR,F,BG	226.5 	247.1 	209.9 	214.6 	220.4 	221.9 	221.2 	239.7 	254.7 	264.9 	295.5 p	299.9 p
D1,SCA,CP_MEUR,F,CY	96.5 	97.5 	100.4 	101.8 	104.5 	107.1 	109.9 	113.9 	117.6 	122.3 	126.2 	129.7 
D1,SCA,CP_MEUR,F,CZ	832.6 	844.3 	845.1 	842.6 	854.5 	844.2 	860.6 	893.5 	911.9 	950.1 	984.3 	991.2 
D1,SCA,CP_MEUR,F,DK	2072.4 	2121.0 	2175.2 	2195.3 	2212.6 	2279.5 	2299.3 	2333.2 	2363.9 	2425.5 	2461.1 	2502.1 
D1,SCA,CP_MEUR,F,EA	66453.9 	66869.8 	67399.0 	67660.9 	68302.9 	68520.2 	69544.0 	69859.1 	70519.0 	71777.6 	72440.9 	73430.9 
D1,SCA,CP_MEUR,F,EA19	66453.9 	66869.8 	67399.0 	67660.9 	68302.9 	68520.2 	69544.0 	69859.1 	70519.0 	71777.6 	72440.9 	73430.9 
D1,SCA,CP_MEUR,F,EE	188.5 	186.1 	189.8 	198.0 	195.7 	201.2 	222.4 	221.6 	224.0 	230.8 	240.2 	248.1 
D1,SCA,CP_MEUR,F,EL	308.3 p	304.3 p	298.5 p	302.6 p	295.1 p	296.9 p	298.4 p	288.7 p	290.9 p	287.7 p	284.5 p	285.7 p
D1,SCA,CP_MEUR,F,ES	7061.0 	7084.0 	7081.0 p	7191.0 p	7315.0 p	7383.0 p	7431.0 p	7621.0 p	7754.0 p	7963.0 p	8184.0 p	8343.0 p
D1,SCA,CP_MEUR,F,EU28	95875.2 	95998.0 	95455.0 	95773.8 	95272.5 	94776.6 	97111.2 	97965.5 	98339.0 	98808.2 	101429.8 	102848.4 
D1,SCA,CP_MEUR,F,FI	2003.0 	2057.0 	2066.0 	2115.0 	2162.0 	2162.0 	2196.0 	2212.0 	2232.0 	2264.0 	2326.0 	2353.0 
D1,SCA,CP_MEUR,F,HR	316.8 	312.0 	314.2 	319.1 	322.1 	324.7 	333.2 	333.3 	333.8 	334.8 	348.8 	355.8 
D1,SCA,CP_MEUR,F,HU	414.4 	407.1 	439.2 	428.1 	436.7 	440.7 	492.8 	491.4 	484.5 	490.8 	603.2 	572.3 
D1,SCA,CP_MEUR,F,IE	737.8 	777.0 	811.7 	854.0 	876.6 	903.4 	982.7 	918.2 	940.3 	983.5 	1040.2 	1090.0 
D1,SCA,CP_MEUR,F,IT	7700.2 	7651.7 	7779.7 	7836.7 	7735.7 	7705.8 	7952.7 	7732.1 	7882.1 	7995.1 	7892.3 	7923.3 
D1,SCA,CP_MEUR,F,LT	324.5 	321.8 	339.6 	337.3 	345.2 	352.1 	365.8 	386.4 	381.5 	404.4 	407.9 	404.1 
D1,SCA,CP_MEUR,F,LU	471.6 	478.8 	474.9 	479.7 	488.4 	493.2 	507.8 	510.9 	514.6 	522.0 	521.3 	534.2 
D1,SCA,CP_MEUR,F,LV	216.5 	214.4 	211.9 	212.0 	212.0 	216.8 	219.4 	232.6 	242.2 	252.2 	266.3 	272.5 
D1,SCA,CP_MEUR,F,MT	34.1 	34.6 	33.9 	34.2 	34.8 	35.2 	35.2 	35.9 	36.7 	36.4 	37.2 	37.8 
D1,SCA,CP_MEUR,F,NL	4011.1 	3989.6 	4055.0 p	4062.7 p	4096.5 p	4105.7 p	4142.6 p	4194.3 p	4252.4 p	4325.7 p	4370.4 p	4440.8 p
D1,SCA,CP_MEUR,F,NO	3206.6 	3192.8 	3100.5 	3270.7 	3330.6 	3482.5 	3583.4 	3470.1 	3545.4 	3523.8 	3554.8 	3650.2 
D1,SCA,CP_MEUR,F,PL	2584.1 	2561.5 	2562.8 	2547.0 	2587.4 	2600.1 	2642.0 p	2798.7 p	2859.3 p	2975.1 p	3084.6 p	3150.1 p
D1,SCA,CP_MEUR,F,PT	1005.0 	1014.7 	1022.4 	1030.8 	1039.5 	1053.6 	1081.4 	1094.4 	1115.6 	1138.1 	1155.5 	1178.0 
D1,SCA,CP_MEUR,F,RO	720.9 	781.9 	746.0 p	807.9 p	835.6 p	778.8 p	853.5 p	900.0 p	915.9 p	891.0 p	998.8 p	1104.0 p
D1,SCA,CP_MEUR,F,SE	3735.3 	3850.3 	3942.1 	3986.8 	3943.0 	3924.3 	4046.2 	4061.3 	4199.1 	4171.3 	4176.9 	4132.4 
D1,SCA,CP_MEUR,F,SI	259.0 	260.7 	260.8 	259.1 	261.8 	264.9 	269.5 	281.1 	283.6 	292.3 	302.6 	311.0 
D1,SCA,CP_MEUR,F,UK	18519.6 	18015.9 	16854.2 	16791.2 	15597.9 	14897.4 	15923.9 	16137.1 	15599.4 	14621.7 	16173.3 	16389.7 
D1,SCA,CP_MEUR,G-I,AT	9390.8 	9459.9 	9586.3 	9683.2 	9776.5 	9877.4 	9905.1 	10027.2 	10134.1 	10242.4 	10362.4 	10442.6 
D1,SCA,CP_MEUR,G-I,BE	10634.0 	10695.0 	10685.0 	10554.0 	10619.0 	10666.0 	10724.0 	10830.0 	10968.0 	11032.0 	11097.0 	11195.0 
D1,SCA,CP_MEUR,G-I,BG	1099.5 	1073.8 	1146.0 	1186.9 	1217.5 	1205.4 	1274.3 	1286.1 	1307.1 	1328.9 	1254.6 p	1264.8 p
D1,SCA,CP_MEUR,G-I,CY	497.4 	500.9 	509.8 	514.6 	518.2 	522.8 	524.1 	529.6 	537.4 	545.7 	553.2 	561.2 
D1,SCA,CP_MEUR,G-I,CZ	3376.7 	3465.2 	3500.6 	3514.6 	3583.6 	3642.3 	3751.1 	3939.7 	4089.9 	4222.3 	4409.8 	4463.3 
D1,SCA,CP_MEUR,G-I,DK	7496.8 	7560.9 	7690.4 	7781.7 	7829.1 	7889.0 	7974.1 	8004.3 	8081.3 	8180.5 	8221.1 	8356.0 
D1,SCA,CP_MEUR,G-I,EA	250631.9 	252841.9 	255105.8 	257433.1 	258890.3 	262263.1 	264349.5 	267273.9 	270118.2 	272540.7 	275416.8 	278695.6 
D1,SCA,CP_MEUR,G-I,EA19	250631.9 	252841.9 	255105.8 	257433.1 	258890.3 	262263.1 	264349.5 	267273.9 	270118.2 	272540.7 	275416.8 	278695.6 
D1,SCA,CP_MEUR,G-I,EE	569.2 	573.6 	581.7 	588.6 	599.3 	600.9 	625.3 	641.2 	641.3 	641.6 	663.6 	672.1 
D1,SCA,CP_MEUR,G-I,EL	3461.2 p	3470.9 p	3488.0 p	3494.7 p	3501.4 p	3531.0 p	3564.3 p	3604.0 p	3608.1 p	3623.0 p	3649.3 p	3666.0 p
