na_item,s_adj,unit,nace_r2,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
D1,SCA,CP_MEUR,J,AT	1534.4 	1554.2 	1578.7 	1602.3 	1625.6 	1643.4 	1666.1 	1682.5 	1693.6 	1728.3 	1754.2 	1781.5 
D1,SCA,CP_MEUR,J,BE	1987.0 	2002.0 	1993.0 	1985.0 	1985.0 	2006.0 	2034.0 	2062.0 	2086.0 	2099.0 	2113.0 	2148.0 
D1,SCA,CP_MEUR,J,BG	354.5 	402.3 	388.7 	402.4 	412.9 	434.3 	449.5 	460.0 	474.2 	475.1 	466.6 p	464.0 p
D1,SCA,CP_MEUR,J,CY	89.6 	89.6 	91.0 	91.9 	92.5 	94.4 	94.5 	96.0 	98.0 	100.1 	101.3 	104.0 
D1,SCA,CP_MEUR,J,CZ	799.9 	815.1 	836.4 	851.5 	879.9 	897.3 	916.5 	955.9 	986.6 	1029.2 	1066.2 	1101.9 
D1,SCA,CP_MEUR,J,DK	1645.9 	1671.5 	1697.7 	1691.0 	1706.4 	1735.6 	1760.5 	1759.4 	1781.9 	1806.6 	1834.4 	1920.1 
D1,SCA,CP_MEUR,J,EA	56139.3 	56682.4 	57145.8 	57369.4 	58006.3 	58796.9 	59524.8 	60528.6 	61532.5 	62210.7 	63102.2 	64099.7 
D1,SCA,CP_MEUR,J,EA19	56139.3 	56682.4 	57145.8 	57369.4 	58006.3 	58796.9 	59524.8 	60528.6 	61532.5 	62210.7 	63102.2 	64099.7 
D1,SCA,CP_MEUR,J,EE	133.5 	143.0 	146.1 	146.0 	149.3 	148.0 	153.1 	166.4 	170.8 	177.8 	185.2 	184.4 
D1,SCA,CP_MEUR,J,EL	495.2 p	485.3 p	439.6 p	425.5 p	459.3 p	457.9 p	471.6 p	491.0 p	467.3 p	471.9 p	519.4 p	503.0 p
D1,SCA,CP_MEUR,J,ES	5554.0 	5624.0 	5669.0 p	5640.0 p	5634.0 p	5678.0 p	5760.0 p	5967.0 p	6097.0 p	6213.0 p	6320.0 p	6365.0 p
D1,SCA,CP_MEUR,J,EU28	87442.3 	88131.0 	87205.5 	87958.5 	87289.9 	87039.7 	89054.3 	90702.9 	91184.7 	91941.0 	93781.5 	95497.5 
D1,SCA,CP_MEUR,J,FI	1432.0 	1437.0 	1443.0 	1443.0 	1484.0 	1508.0 	1528.0 	1565.0 	1588.0 	1614.0 	1644.0 	1669.0 
D1,SCA,CP_MEUR,J,HR	199.9 	202.0 	209.5 	210.2 	214.7 	215.4 	216.4 	219.1 	221.1 	221.8 	224.2 	229.5 
D1,SCA,CP_MEUR,J,HU	560.7 	567.3 	602.1 	596.6 	606.8 	624.9 	628.2 	647.9 	668.1 	677.0 	708.9 	729.0 
D1,SCA,CP_MEUR,J,IE	1403.7 	1388.2 	1460.4 	1479.4 	1499.8 	1509.9 	1459.2 	1516.9 	1568.5 	1575.7 	1599.8 	1580.7 
D1,SCA,CP_MEUR,J,IT	6212.8 	6269.0 	6211.8 	6288.3 	6323.7 	6423.4 	6470.0 	6561.8 	6663.3 	6653.7 	6652.7 	6740.3 
D1,SCA,CP_MEUR,J,LT	164.5 	169.4 	174.8 	177.5 	177.0 	183.3 	187.2 	193.0 	201.4 	203.0 	208.8 	210.8 
D1,SCA,CP_MEUR,J,LU	329.9 	334.2 	331.0 	340.2 	345.6 	349.7 	366.5 	372.6 	377.9 	388.6 	392.4 	406.8 
D1,SCA,CP_MEUR,J,LV	148.9 	157.7 	161.6 	166.4 	172.8 	177.8 	182.5 	190.1 	196.8 	204.6 	214.8 	223.5 
D1,SCA,CP_MEUR,J,MT	53.7 	57.4 	57.1 	58.7 	60.4 	61.5 	61.5 	62.8 	63.6 	65.2 	65.0 	65.9 
D1,SCA,CP_MEUR,J,NL	3867.9 	3906.1 	3984.9 p	4017.5 p	4099.6 p	4152.7 p	4229.6 p	4277.9 p	4375.1 p	4458.1 p	4503.5 p	4593.9 p
D1,SCA,CP_MEUR,J,NO	2016.5 	1996.4 	1952.7 	2035.4 	2014.8 	2096.9 	2153.5 	2071.6 	2120.8 	2088.3 	2116.6 	2164.9 
D1,SCA,CP_MEUR,J,PL	1439.7 	1463.2 	1465.1 	1494.4 	1558.0 	1610.7 	1678.7 p	1788.2 p	1816.9 p	1858.2 p	1931.4 p	1958.0 p
D1,SCA,CP_MEUR,J,PT	691.6 	695.6 	710.6 	712.3 	723.2 	730.6 	749.0 	758.9 	766.4 	782.9 	778.7 	803.8 
D1,SCA,CP_MEUR,J,RO	736.9 	770.8 	777.2 p	839.0 p	864.7 p	896.9 p	901.9 p	945.0 p	1003.7 p	1061.9 p	1073.6 p	1226.4 p
D1,SCA,CP_MEUR,J,SE	3214.1 	3289.0 	3304.1 	3274.3 	3291.8 	3205.4 	3323.6 	3313.2 	3378.1 	3375.5 	3394.7 	3357.4 
D1,SCA,CP_MEUR,J,SI	198.2 	196.8 	196.1 	200.8 	200.7 	205.0 	213.1 	210.2 	215.9 	220.1 	222.1 	231.4 
D1,SCA,CP_MEUR,J,UK	22346.1 	22292.7 	20851.0 	21303.3 	19831.0 	18689.9 	19717.7 	20098.2 	19329.7 	19218.8 	20010.9 	20402.7 
D1,SCA,CP_MEUR,K,AT	2115.9 	2124.9 	2128.5 	2121.1 	2124.8 	2126.4 	2109.8 	2101.2 	2109.9 	2123.4 	2140.7 	2161.7 
D1,SCA,CP_MEUR,K,BE	2469.0 	2453.0 	2436.0 	2418.0 	2455.0 	2418.0 	2455.0 	2447.0 	2454.0 	2456.0 	2433.0 	2446.0 
D1,SCA,CP_MEUR,K,BG	221.0 	246.4 	239.5 	238.5 	247.7 	188.5 	245.0 	238.4 	254.4 	232.6 	251.8 p	240.5 p
D1,SCA,CP_MEUR,K,CY	223.9 	226.6 	230.6 	233.1 	234.3 	235.5 	237.6 	240.1 	243.6 	247.2 	251.1 	254.5 
D1,SCA,CP_MEUR,K,CZ	561.5 	566.7 	579.9 	590.4 	591.6 	590.1 	582.1 	596.9 	608.9 	626.6 	642.7 	664.4 
D1,SCA,CP_MEUR,K,DK	1802.8 	1726.8 	1755.8 	1745.8 	1761.9 	1767.7 	1734.3 	1752.0 	1769.4 	1807.5 	1841.6 	1856.9 
D1,SCA,CP_MEUR,K,EA	59189.7 	59547.9 	60245.0 	60293.0 	60390.2 	60521.3 	59763.5 	59594.7 	59548.4 	59724.8 	60300.6 	60211.7 
D1,SCA,CP_MEUR,K,EA19	59189.7 	59547.9 	60245.0 	60293.0 	60390.2 	60521.3 	59763.5 	59594.7 	59548.4 	59724.8 	60300.6 	60211.7 
D1,SCA,CP_MEUR,K,EE	69.5 	71.1 	73.0 	75.5 	76.0 	77.7 	79.7 	81.8 	84.4 	87.2 	90.5 	93.5 
D1,SCA,CP_MEUR,K,EL	843.7 p	856.3 p	878.3 p	897.5 p	900.3 p	915.1 p	929.6 p	935.8 p	920.0 p	902.3 p	894.3 p	889.4 p
D1,SCA,CP_MEUR,K,ES	4925.0 	4878.0 	4916.0 p	4939.0 p	4982.0 p	5007.0 p	4911.0 p	4947.0 p	4906.0 p	4901.0 p	4943.0 p	4903.0 p
D1,SCA,CP_MEUR,K,EU28	89272.5 	89250.3 	87578.0 	88220.8 	87809.3 	88429.0 	86171.1 	86408.4 	85909.4 	89832.5 	87324.6 	87761.6 
D1,SCA,CP_MEUR,K,FI	729.0 	739.0 	750.0 	751.0 	743.0 	737.0 	708.0 	684.0 	689.0 	678.0 	690.0 	705.0 
D1,SCA,CP_MEUR,K,HR	232.8 	226.7 	224.7 	229.0 	228.0 	227.8 	234.3 	225.4 	229.1 	231.9 	235.7 	233.1 
D1,SCA,CP_MEUR,K,HU	449.7 	452.5 	453.3 	456.8 	468.9 	462.0 	461.9 	458.1 	484.2 	471.7 	493.0 	573.4 
D1,SCA,CP_MEUR,K,IE	1784.8 	1799.7 	1860.3 	1855.4 	1848.5 	1874.0 	1926.9 	1904.4 	1929.2 	1920.0 	1990.0 	2080.5 
D1,SCA,CP_MEUR,K,IT	8742.4 	8891.4 	9212.0 	9354.4 	9332.6 	9256.2 	9047.7 	8881.3 	8837.0 	8784.6 	8776.9 	8816.8 
D1,SCA,CP_MEUR,K,LT	87.1 	81.5 	83.8 	86.9 	88.0 	88.8 	89.5 	92.5 	97.5 	95.7 	89.4 	94.5 
D1,SCA,CP_MEUR,K,LU	1197.2 	1194.1 	1258.4 	1173.1 	1210.0 	1302.2 	1263.2 	1284.7 	1301.9 	1284.0 	1318.0 	1347.5 
D1,SCA,CP_MEUR,K,LV	103.6 	109.1 	113.2 	118.9 	118.9 	115.5 	120.5 	122.7 	125.9 	127.8 	128.4 	125.9 
D1,SCA,CP_MEUR,K,MT	85.2 	99.1 	86.5 	87.2 	88.6 	96.3 	91.8 	92.0 	93.5 	103.4 	96.2 	98.2 
D1,SCA,CP_MEUR,K,NL	4462.1 	4469.0 	4458.3 p	4491.0 p	4448.3 p	4443.9 p	4449.1 p	4399.7 p	4420.1 p	4377.7 p	4354.0 p	4354.3 p
D1,SCA,CP_MEUR,K,NO	1250.1 	1234.0 	1251.3 	1261.1 	1294.6 	1361.4 	1329.3 	1307.6 	1342.3 	1285.0 	1313.1 	1345.7 
D1,SCA,CP_MEUR,K,PL	1462.7 	1457.2 	1472.1 	1483.3 	1553.5 	1594.2 	1659.6 p	1764.0 p	1695.8 p	1664.8 p	1807.8 p	1810.3 p
D1,SCA,CP_MEUR,K,PT	966.1 	965.7 	933.3 	904.4 	907.6 	897.5 	962.1 	910.6 	907.7 	901.6 	980.3 	930.9 
D1,SCA,CP_MEUR,K,RO	466.7 	465.5 	461.6 p	434.1 p	449.4 p	436.1 p	473.4 p	448.1 p	494.7 p	516.2 p	465.3 p	521.1 p
D1,SCA,CP_MEUR,K,SE	1693.8 	1723.2 	1781.4 	1766.9 	1725.2 	1713.0 	1727.4 	1686.2 	1754.6 	1728.6 	1721.8 	1696.3 
D1,SCA,CP_MEUR,K,SI	188.0 	188.3 	190.0 	191.7 	192.6 	193.6 	194.7 	196.6 	198.2 	200.4 	202.4 	203.8 
D1,SCA,CP_MEUR,K,UK	23136.5 	22852.2 	20485.0 	21139.3 	20580.7 	21103.9 	19457.3 	19747.5 	19162.6 	22891.7 	19672.4 	20012.3 
D1,SCA,CP_MEUR,L,AT	465.6 	468.7 	478.3 	485.2 	490.2 	496.0 	495.1 	499.8 	503.0 	508.5 	517.0 	522.0 
D1,SCA,CP_MEUR,L,BE	246.0 	247.0 	251.0 	250.0 	253.0 	256.0 	262.0 	266.0 	268.0 	268.0 	271.0 	274.0 
D1,SCA,CP_MEUR,L,BG	55.6 	58.2 	58.7 	59.7 	61.5 	62.8 	66.0 	69.9 	74.4 	77.6 	50.6 p	60.4 p
D1,SCA,CP_MEUR,L,CY	5.7 	5.8 	6.1 	6.3 	6.4 	6.7 	6.8 	6.9 	7.1 	7.3 	7.4 	7.6 
D1,SCA,CP_MEUR,L,CZ	180.1 	181.5 	186.2 	186.8 	189.6 	187.7 	195.9 	206.6 	212.6 	225.3 	238.1 	243.4 
D1,SCA,CP_MEUR,L,DK	480.7 	481.7 	484.4 	488.9 	487.5 	497.8 	503.1 	503.5 	513.7 	517.8 	529.0 	539.0 
D1,SCA,CP_MEUR,L,EA	11066.8 	11140.4 	11383.1 	11335.9 	11507.5 	11680.0 	11930.7 	12045.0 	12086.6 	12266.5 	12420.1 	12626.4 
D1,SCA,CP_MEUR,L,EA19	11066.8 	11140.4 	11383.1 	11335.9 	11507.5 	11680.0 	11930.7 	12045.0 	12086.6 	12266.5 	12420.1 	12626.4 
D1,SCA,CP_MEUR,L,EE	35.7 	35.7 	34.5 	35.2 	37.8 	37.8 	35.1 	35.8 	34.4 	34.3 	38.3 	39.3 
D1,SCA,CP_MEUR,L,EL	21.8 p	24.2 p	23.3 p	23.0 p	22.1 p	20.1 p	19.6 p	19.9 p	19.6 p	20.5 p	21.4 p	21.5 p
D1,SCA,CP_MEUR,L,ES	1151.0 	1162.0 	1158.0 p	1169.0 p	1218.0 p	1240.0 p	1314.0 p	1308.0 p	1320.0 p	1341.0 p	1369.0 p	1400.0 p
D1,SCA,CP_MEUR,L,EU28	18110.4 	18054.0 	18186.5 	18139.1 	17927.4 	17873.0 	18615.1 	18839.0 	18774.2 	18483.8 	19274.6 	19581.5 
D1,SCA,CP_MEUR,L,FI	246.0 	247.0 	255.0 	255.0 	254.0 	256.0 	254.0 	259.0 	264.0 	264.0 	274.0 	273.0 
D1,SCA,CP_MEUR,L,HR	45.1 	45.9 	47.3 	48.6 	49.9 	50.2 	49.7 	50.5 	51.0 	50.6 	50.6 	52.1 
D1,SCA,CP_MEUR,L,HU	121.7 	135.0 	131.0 	133.8 	132.0 	136.8 	143.0 	129.1 	140.3 	135.2 	142.4 	153.6 
D1,SCA,CP_MEUR,L,IE	143.1 	135.0 	152.9 	156.7 	149.1 	158.6 	191.4 	163.4 	160.1 	153.2 	132.5 	146.3 
D1,SCA,CP_MEUR,L,IT	571.7 	590.4 	604.3 	614.1 	625.3 	639.2 	656.8 	661.4 	665.6 	649.8 	645.2 	654.9 
D1,SCA,CP_MEUR,L,LT	45.1 	46.1 	46.7 	46.2 	47.1 	48.0 	49.4 	49.9 	51.2 	51.0 	51.5 	51.6 
D1,SCA,CP_MEUR,L,LU	36.5 	36.3 	37.1 	38.5 	38.6 	39.1 	40.6 	41.9 	43.5 	45.7 	47.0 	47.5 
D1,SCA,CP_MEUR,L,LV	75.6 	75.7 	76.9 	78.2 	80.0 	81.9 	78.8 	81.9 	82.2 	84.7 	89.2 	91.2 
D1,SCA,CP_MEUR,L,MT	2.1 	2.1 	2.3 	2.3 	2.4 	2.4 	2.4 	2.4 	2.6 	2.7 	3.0 	2.9 
D1,SCA,CP_MEUR,L,NL	858.2 	882.2 	858.0 p	871.0 p	875.6 p	877.7 p	883.6 p	889.5 p	896.5 p	906.6 p	927.1 p	937.0 p
D1,SCA,CP_MEUR,L,NO	418.7 	418.5 	411.2 	427.1 	433.1 	455.1 	458.1 	449.5 	458.1 	443.0 	452.5 	461.4 
D1,SCA,CP_MEUR,L,PL	549.5 	547.4 	548.0 	555.7 	571.5 	575.4 	604.9 p	646.3 p	642.0 p	658.5 p	639.0 p	634.7 p
D1,SCA,CP_MEUR,L,PT	116.6 	120.0 	126.8 	133.4 	138.2 	142.4 	148.3 	152.2 	157.9 	164.2 	167.9 	174.6 
D1,SCA,CP_MEUR,L,RO	74.0 	81.3 	80.9 p	86.3 p	89.9 p	89.8 p	88.6 p	91.3 p	95.8 p	102.4 p	100.4 p	110.2 p
D1,SCA,CP_MEUR,L,SE	838.0 	863.9 	866.1 	877.0 	865.7 	853.5 	884.2 	880.0 	907.1 	898.1 	900.6 	882.7 
D1,SCA,CP_MEUR,L,SI	29.9 	29.9 	30.3 	32.2 	31.2 	32.1 	32.8 	34.1 	34.0 	34.5 	35.3 	36.1 
D1,SCA,CP_MEUR,L,UK	4697.8 	4523.4 	4416.1 	4383.7 	3994.2 	3762.6 	4181.0 	4243.3 	4078.9 	3577.1 	4239.4 	4306.3 
D1,SCA,CP_MEUR,M_N,AT	4066.3 	4101.7 	4144.2 	4183.2 	4235.7 	4324.6 	4381.1 	4451.4 	4519.6 	4663.1 	4741.7 	4825.2 
D1,SCA,CP_MEUR,M_N,BE	6093.0 	6167.0 	6211.0 	6179.0 	6254.0 	6325.0 	6474.0 	6617.0 	6678.0 	6720.0 	6824.0 	6936.0 
D1,SCA,CP_MEUR,M_N,BG	388.4 	401.2 	422.3 	413.9 	416.8 	427.8 	449.3 	457.8 	465.7 	479.0 	464.9 p	483.8 p
D1,SCA,CP_MEUR,M_N,CY	184.6 	188.5 	192.6 	195.7 	198.9 	201.9 	204.2 	207.4 	210.9 	215.9 	217.7 	221.0 
D1,SCA,CP_MEUR,M_N,CZ	1258.7 	1278.3 	1318.5 	1326.7 	1358.1 	1382.1 	1406.3 	1464.5 	1518.6 	1577.8 	1643.4 	1655.1 
D1,SCA,CP_MEUR,M_N,DK	3830.8 	3901.6 	3976.3 	4056.1 	4080.8 	4127.0 	4182.1 	4211.1 	4277.5 	4328.8 	4370.5 	4450.6 
D1,SCA,CP_MEUR,M_N,EA	150557.5 	152358.3 	152701.1 	153882.1 	155838.4 	158181.7 	162798.7 	164850.4 	167548.5 	169883.7 	172924.2 	175293.0 
D1,SCA,CP_MEUR,M_N,EA19	150557.5 	152358.3 	152701.1 	153882.1 	155838.4 	158181.7 	162798.7 	164850.4 	167548.5 	169883.7 	172924.2 	175293.0 
D1,SCA,CP_MEUR,M_N,EE	242.3 	247.7 	251.5 	252.0 	261.0 	263.0 	267.6 	274.9 	282.8 	287.4 	292.5 	293.4 
D1,SCA,CP_MEUR,M_N,EL	883.1 p	870.7 p	850.0 p	806.3 p	816.9 p	783.2 p	801.8 p	811.2 p	809.0 p	807.1 p	827.2 p	834.3 p
D1,SCA,CP_MEUR,M_N,ES	13774.0 	13922.0 	13872.0 p	13983.0 p	13955.0 p	13973.0 p	14411.0 p	14319.0 p	14429.0 p	14584.0 p	14705.0 p	14947.0 p
D1,SCA,CP_MEUR,M_N,EU28	211494.4 	213211.0 	210942.5 	212538.1 	213003.5 	215484.3 	220087.5 	223095.1 	225078.7 	229448.3 	232070.7 	235234.5 
D1,SCA,CP_MEUR,M_N,FI	2711.0 	2724.0 	2783.0 	2804.0 	2836.0 	2858.0 	2892.0 	2927.0 	2982.0 	3026.0 	3088.0 	3140.0 
D1,SCA,CP_MEUR,M_N,HR	464.7 	473.3 	490.4 	502.2 	508.9 	509.4 	516.2 	518.9 	522.1 	519.0 	534.1 	549.9 
D1,SCA,CP_MEUR,M_N,HU	1160.8 	1192.3 	1236.1 	1229.2 	1284.1 	1321.2 	1317.2 	1400.8 	1448.1 	1468.4 	1579.0 	1578.8 
D1,SCA,CP_MEUR,M_N,IE	2206.3 	2213.3 	2287.0 	2316.4 	2388.8 	2516.6 	2584.2 	2604.1 	2600.2 	2652.1 	2776.6 	2980.9 
D1,SCA,CP_MEUR,M_N,IT	13805.5 	13912.1 	13996.7 	14121.2 	14321.5 	14522.9 	14653.4 	14854.2 	15124.0 	15248.1 	15475.9 	15651.0 
D1,SCA,CP_MEUR,M_N,LT	298.7 	300.8 	313.7 	311.6 	331.3 	343.6 	360.8 	389.5 	392.1 	409.3 	411.2 	413.7 
D1,SCA,CP_MEUR,M_N,LU	930.2 	959.3 	983.6 	1009.2 	1034.5 	1055.7 	1107.0 	1136.3 	1153.7 	1167.0 	1172.6 	1208.0 
D1,SCA,CP_MEUR,M_N,LV	244.4 	251.8 	251.6 	255.6 	258.5 	263.9 	272.8 	281.1 	284.1 	287.9 	303.3 	306.0 
D1,SCA,CP_MEUR,M_N,MT	130.6 	134.2 	137.6 	141.1 	145.8 	149.7 	152.6 	158.2 	160.8 	162.9 	168.7 	169.9 
D1,SCA,CP_MEUR,M_N,NL	14527.9 	14847.2 	14965.4 p	15167.0 p	15373.7 p	15541.0 p	15740.5 p	16030.4 p	16301.4 p	16592.6 p	16921.2 p	17151.7 p
D1,SCA,CP_MEUR,M_N,NO	4066.2 	4007.6 	3869.5 	4001.2 	3990.2 	4135.5 	4208.4 	4087.4 	4205.7 	4149.2 	4248.3 	4353.3 
D1,SCA,CP_MEUR,M_N,PL	3146.9 	3169.9 	3175.3 	3206.3 	3317.4 	3399.4 	3619.9 p	3935.1 p	4029.2 p	4166.3 p	4273.5 p	4296.2 p
D1,SCA,CP_MEUR,M_N,PT	1883.7 	1894.3 	1934.4 	1962.0 	1980.1 	2010.0 	2027.0 	2056.9 	2083.4 	2122.4 	2154.1 	2197.8 
D1,SCA,CP_MEUR,M_N,RO	1146.5 	1191.3 	1183.1 p	1259.4 p	1279.9 p	1310.7 p	1348.1 p	1308.2 p	1433.0 p	1464.5 p	1408.8 p	1485.4 p
D1,SCA,CP_MEUR,M_N,SE	6649.0 	6852.4 	6919.0 	7077.1 	7002.3 	6971.5 	7266.7 	7229.7 	7463.9 	7396.3 	7446.9 	7288.2 
D1,SCA,CP_MEUR,M_N,SI	529.5 	541.3 	547.6 	556.2 	560.7 	569.9 	583.0 	602.3 	614.2 	629.8 	641.0 	651.4 
D1,SCA,CP_MEUR,M_N,UK	42895.4 	42404.1 	39542.0 	39593.0 	37990.9 	38010.3 	37520.5 	38080.6 	36813.7 	38623.5 	37968.2 	38607.1 
D1,SCA,CP_MEUR,O-Q,AT	10468.6 	10592.8 	10712.1 	10783.4 	10870.4 	10967.1 	11036.5 	11131.4 	11210.9 	11290.6 	11478.1 	11529.4 
D1,SCA,CP_MEUR,O-Q,BE	17473.0 	17709.0 	17861.0 	18052.0 	18173.0 	18322.0 	18457.0 	18658.0 	18749.0 	18885.0 	18889.0 	19116.0 
D1,SCA,CP_MEUR,O-Q,BG	1059.6 	1146.3 	1083.0 	1089.6 	1095.3 	1129.7 	1190.4 	1193.4 	1224.0 	1257.1 	1300.2 p	1343.1 p
D1,SCA,CP_MEUR,O-Q,CY	589.5 	585.9 	586.4 	587.6 	591.4 	619.1 	603.3 	620.6 	636.8 	638.2 	639.7 	634.9 
D1,SCA,CP_MEUR,O-Q,CZ	3819.1 	3841.3 	3920.0 	3979.1 	4059.9 	4159.1 	4237.8 	4430.7 	4647.8 	4913.2 	5156.0 	5217.5 
D1,SCA,CP_MEUR,O-Q,DK	11473.0 	11411.3 	11460.8 	11641.9 	11541.6 	11487.7 	11579.6 	11641.5 	11730.0 	11886.0 	11836.2 	11854.2 
D1,SCA,CP_MEUR,O-Q,EA	347324.4 	349860.5 	351403.3 	354103.3 	357294.4 	359909.0 	361089.6 	364279.7 	366983.5 	370501.2 	372528.1 	376904.2 
D1,SCA,CP_MEUR,O-Q,EA19	347324.4 	349860.5 	351403.3 	354103.3 	357294.4 	359909.0 	361089.6 	364279.7 	366983.5 	370501.2 	372528.1 	376904.2 
D1,SCA,CP_MEUR,O-Q,EE	586.8 	599.0 	611.9 	620.0 	629.4 	636.1 	645.0 	660.4 	674.7 	693.4 	707.0 	719.8 
D1,SCA,CP_MEUR,O-Q,EL	5458.4 p	5500.1 p	5515.2 p	5527.0 p	5486.3 p	5396.6 p	5507.8 p	5486.9 p	5522.3 p	5568.6 p	5698.5 p	5783.1 p
D1,SCA,CP_MEUR,O-Q,ES	35786.0 	36306.0 	36254.0 p	36606.0 p	36714.0 p	36732.0 p	37011.0 p	37121.0 p	37405.0 p	37652.0 p	37822.0 p	38050.0 p
D1,SCA,CP_MEUR,O-Q,EU28	482064.9 	484381.8 	481604.1 	485432.1 	483863.3 	486546.8 	490796.8 	494948.2 	496356.3 	501310.8 	507138.4 	511715.8 
D1,SCA,CP_MEUR,O-Q,FI	7925.0 	7949.0 	7958.0 	7923.0 	7958.0 	7906.0 	7783.0 	7767.0 	7764.0 	7832.0 	7925.0 	8001.0 
D1,SCA,CP_MEUR,O-Q,HR	1243.5 	1255.9 	1275.6 	1293.9 	1298.2 	1290.2 	1315.8 	1335.3 	1354.1 	1341.8 	1373.7 	1405.4 
D1,SCA,CP_MEUR,O-Q,HU	2916.1 	2998.4 	3059.1 	3124.7 	3222.4 	3336.1 	3308.9 	3398.8 	3512.9 	3499.6 	3689.2 	3535.9 
D1,SCA,CP_MEUR,O-Q,IE	5881.8 	5951.6 	6034.6 	6112.1 	6160.4 	6253.5 	6147.0 	6303.2 	6387.5 	6504.4 	6628.5 	6722.5 
D1,SCA,CP_MEUR,O-Q,IT	44532.1 	44506.3 	44812.7 	44879.1 	45021.9 	45252.3 	45312.2 	45342.6 	45560.6 	45691.2 	45690.6 	48241.9 
D1,SCA,CP_MEUR,O-Q,LT	921.5 	925.1 	940.7 	933.6 	978.8 	1019.5 	1008.6 	1030.5 	1042.7 	1052.8 	1089.7 	1103.8 
D1,SCA,CP_MEUR,O-Q,LU	1471.9 	1477.6 	1490.1 	1489.9 	1515.7 	1524.1 	1567.8 	1602.0 	1598.9 	1655.9 	1642.2 	1667.9 
D1,SCA,CP_MEUR,O-Q,LV	618.2 	613.2 	628.5 	636.1 	647.3 	671.3 	677.3 	697.1 	710.5 	724.8 	744.4 	760.6 
D1,SCA,CP_MEUR,O-Q,MT	303.4 	310.9 	314.3 	316.7 	320.8 	326.2 	332.7 	337.5 	348.4 	352.2 	363.3 	370.2 
D1,SCA,CP_MEUR,O-Q,NL	24684.4 	24596.8 	24795.3 p	25016.2 p	25399.0 p	25376.7 p	25519.9 p	25881.7 p	26025.5 p	26413.4 p	26667.9 p	26370.2 p
D1,SCA,CP_MEUR,O-Q,NO	14105.5 	13749.9 	13693.8 	14175.1 	14329.1 	14987.6 	15166.6 	14698.0 	14926.8 	14667.1 	14802.0 	15020.6 
D1,SCA,CP_MEUR,O-Q,PL	10866.5 	10771.0 	10616.9 	10727.6 	10899.0 	10798.6 	10994.6 p	10018.3 p	10212.1 p	10544.9 p	11870.7 p	10583.6 p
D1,SCA,CP_MEUR,O-Q,PT	5982.5 	6043.3 	6068.9 	6235.2 	6285.4 	6265.2 	6421.9 	6325.8 	6378.6 	6507.9 	6444.2 	6538.1 
D1,SCA,CP_MEUR,O-Q,RO	3117.2 	2865.4 	3330.6 p	3492.0 p	3574.2 p	3799.5 p	3939.0 p	4291.0 p	4310.6 p	4771.7 p	4729.9 p	5279.4 p
D1,SCA,CP_MEUR,O-Q,SE	15682.9 	16063.6 	16446.4 	16725.7 	16532.5 	16447.3 	16982.3 	16822.0 	17263.8 	17049.6 	16869.8 	16549.4 
D1,SCA,CP_MEUR,O-Q,SI	1087.9 	1112.8 	1142.5 	1160.9 	1166.3 	1182.0 	1197.3 	1218.7 	1237.2 	1253.3 	1265.4 	1288.3 
D1,SCA,CP_MEUR,O-Q,UK	84572.4 	84333.1 	79428.1 	79553.4 	74501.3 	73952.9 	75499.1 	76278.6 	73633.0 	73859.2 	76286.3 	77288.4 
D1,SCA,CP_MEUR,R-U,AT	1257.2 	1268.1 	1268.9 	1275.8 	1281.5 	1283.4 	1288.7 	1288.6 	1292.9 	1300.4 	1315.2 	1325.0 
D1,SCA,CP_MEUR,R-U,BE	1295.0 	1297.0 	1305.0 	1301.0 	1310.0 	1308.0 	1326.0 	1343.0 	1355.0 	1376.0 	1384.0 	1397.0 
D1,SCA,CP_MEUR,R-U,BG	104.5 	105.0 	112.2 	113.4 	120.9 	124.8 	128.7 	130.6 	137.2 	140.6 	146.4 p	148.3 p
D1,SCA,CP_MEUR,R-U,CY	89.9 	89.7 	90.0 	91.1 	92.0 	93.4 	92.4 	93.5 	94.8 	96.4 	97.4 	99.1 
D1,SCA,CP_MEUR,R-U,CZ	376.1 	383.4 	390.3 	395.3 	391.4 	410.2 	414.1 	433.8 	453.7 	478.1 	494.1 	502.1 
D1,SCA,CP_MEUR,R-U,DK	1307.6 	1314.1 	1319.5 	1327.9 	1336.7 	1357.6 	1376.9 	1383.4 	1395.5 	1401.1 	1419.2 	1435.1 
D1,SCA,CP_MEUR,R-U,EA	50859.0 	51279.6 	51633.5 	51568.0 	51925.3 	52297.6 	52933.7 	53286.4 	53718.0 	53962.6 	54527.1 	54944.5 
D1,SCA,CP_MEUR,R-U,EA19	50859.0 	51279.6 	51633.5 	51568.0 	51925.3 	52297.6 	52933.7 	53286.4 	53718.0 	53962.6 	54527.1 	54944.5 
D1,SCA,CP_MEUR,R-U,EE	77.3 	78.3 	78.9 	80.2 	84.2 	86.7 	89.3 	91.3 	92.7 	95.2 	98.1 	101.7 
D1,SCA,CP_MEUR,R-U,EL	1076.8 p	1148.7 p	1132.1 p	1055.9 p	1037.7 p	1029.0 p	1072.6 p	1093.3 p	1083.4 p	1096.2 p	1144.5 p	1146.7 p
