indic,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
TOTAL,I15_NSA,AT	104.01 	102.22 	106.48 	108.87 	109.43 	109.35 	111.54 	114.24 	114.75 	116.51 	117.50 	118.51 
TOTAL,I15_NSA,BE	101.75 p	101.29 p	100.56 p	101.75 p	104.31 p	103.94 p	105.01 	104.67 	108.18 	107.63 	107.67 	108.70 p
TOTAL,I15_NSA,BG	99.21 	102.23 	103.38 	106.24 	107.94 	110.52 	112.66 	115.37 	117.62 	119.53 	120.65 p	124.03 p
TOTAL,I15_NSA,CY	102.49 	99.40 	97.29 	99.18 	101.87 	102.72 	99.64 p	102.74 p	102.46 p	105.24 p	103.34 p	103.98 p
TOTAL,I15_NSA,CZ	100.6 	101.7 p	103.0 	105.1 	107.7 	112.8 p	116.2 	119.1 	121.2 	122.3 p	125.0 	128.0 p
TOTAL,I15_NSA,DE	100.4 	101.8 	102.5 	105.5 	107.0 	108.8 	107.7 	109.9 	111.7 	113.8 	113.6 p	115.1 p
TOTAL,I15_NSA,DK	101.03 	101.04 	102.99 	105.58 	107.00 	105.29 	107.60 	110.52 	111.98 	109.89 	114.00 	115.80 p
TOTAL,I15_NSA,EA	100.89 p	100.98 p	101.52 p	103.15 p	104.56 p	104.95 p	105.37 p	106.97 p	108.65 p	109.50 p	110.08 p	111.58 p
TOTAL,I15_NSA,EE	99.63 	100.46 	100.32 	103.47 	106.98 	108.21 	108.08 	108.42 	112.06 	113.49 	115.17 	116.43 
TOTAL,I15_NSA,ES	101.34 	101.31 	102.74 	104.55 	105.41 	105.78 	108.20 	110.39 	112.43 	113.39 	114.96 	117.90 
TOTAL,I15_NSA,EU	101.01 p	101.35 p	102.16 p	103.86 p	105.42 p	105.94 p	106.41 p	108.32 p	110.03 p	110.69 p	111.38 p	112.99 p
