wst_oper,unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RCY_RT,PC,AT	46 	36.1 	35.7 	37.1 	38.2 	37.6 	39.1 	40.7 	41 
RCY_RT,PC,BE	28.3 s	30.8 s	30.4 	31.9 	32 	31.7 	28.4 	30.9 	34 
RCY_RT,PC,BG	: 	: 	40.8 d	49.4 d	62.4 	60.2 	68.3 d	96.5 d	105.2 d
RCY_RT,PC,CY	: 	10.9 s	11.5 e	11.5 de	12.2 d	12.1 	17 	: d	: d
RCY_RT,PC,CZ	: 	: 	22.7 	26 	27.1 	28.5 	29.3 	37.9 	46.1 
RCY_RT,PC,DE	: 	38.1 	37.8 	34.4 	34.8 d	35.6 d	36.9 d	33.9 	39 
RCY_RT,PC,DK	: 	39 	41 	50.1 	46.5 	37.6 	42.3 	43 	41.4 
RCY_RT,PC,EE	: 	22.4 	30.3 	36.9 	35.9 	27.8 	30.4 	33.3 	75.3 
RCY_RT,PC,EL	21.6 	29 	19.4 	19 d	18.6 de	22.1 de	29 de	32.7 e	34.2 de
RCY_RT,PC,ES	: 	12.6 s	14.7 	16.7 	19 	26.1 	26.2 	35.6 	37.4 
RCY_RT,PC,EU28	: 	: 	27.8 s	28.7 s	28.8 s	29.6 s	32.2 	35.6 ps	41.2 ps
RCY_RT,PC,FI	37.9 	29.9 	28.7 	31 	32.8 	36.3 	42.4 	43.2 	42.1 
RCY_RT,PC,FR	: 	19.2 	21.8 	22.6 	22.6 	23.6 	26.3 	32.2 	37.1 
RCY_RT,PC,HR	: 	: 	: 	: 	: 	: 	35.7 	58.3 	89.2 
RCY_RT,PC,HU	28.3 	29.5 	26 	25.3 	30.8 	40 	47.7 	50.7 	53.4 
RCY_RT,PC,IE	: 	: 	30.9 	32.5 	36.1 	38.6 	43.1 	46.1 de	49.5 
RCY_RT,PC,IS	: 	: 	: 	: 	25.9 	23 	34 	46.7 	41.3 
RCY_RT,PC,IT	: 	: 	: d	: d	: d	26.3 d	27.3 	32.1 	: 
RCY_RT,PC,LI	: 	: 	: 	: 	: 	: 	117.8 d	127.1 d	111.9 d
RCY_RT,PC,LT	15.2 	10.5 	16.6 	28.2 	41.1 	43.8 	64.6 	45.9 	38.9 
RCY_RT,PC,LU	36.6 s	38 	33 	30.6 	27.6 	29.3 	35.4 	42.5 	45.6 
RCY_RT,PC,LV	: 	: 	14.5 	19.9 	26.5 	27.8 	26.4 	23.1 	23.2 
RCY_RT,PC,MT	: 	12.1 	13.1 	9.7 	9.9 	11 	11.5 	: 	: 
RCY_RT,PC,NL	22.5 s	22 s	27.8 s	33 s	33.2 s	31.3 s	38.1 s	39.3 d	40.4 e
RCY_RT,PC,NO	35.4 e	46.9 	45.3 	48.4 	46.4 	46.5 	47.5 	50.4 	49.3 
RCY_RT,PC,PL	: 	13.9 	17.7 	23.9 	30.4 	28.1 	27.4 d	33.1 d	38.9 d
RCY_RT,PC,PT	21.8 s	24 s	22.8 	30.5 	24.9 	32.3 	38.2 	42.7 	45.8 d
RCY_RT,PC,RO	: 	17 s	12 	10.3 	14.5 	21 	21.3 	: 	: 
RCY_RT,PC,SE	62.4 s	52.2 s	55.3 s	64.9 	62.6 	64.9 	52.7 	51.6 	55.4 
RCY_RT,PC,SI	: 	17.6 	22 	26.4 	26.9 	16.7 	27.5 	47.7 	: 
RCY_RT,PC,SK	31.8 	34.2 	34.9 	39.6 	42.6 	41.7 	44.1 	40.3 	50.3 e
RCY_RT,PC,UK	: 	: 	26.9 ds	23.9 s	22.5 s	22.8 ds	29.6 d	36.6 d	49.8 d
