fishreg,indic_env\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
27,FSTK_ASS_NR	66 	65 	66 	67 	67 	67 	68 	67 	69 	70 	71 	71 	71 	66 
27,FSTK_MBMEAN	1.64 	1.48 	1.44 	1.33 	1.25 	1.10 	0.99 	0.94 	0.74 	0.75 	0.81 	0.93 	0.94 	0.90 
27,FSTK_OVF_NR	46 	45 	50 	49 	51 	48 	39 	39 	32 	37 	28 	32 	29 	29 
27,FSTK_OVF_PC	69.70 	69.23 	75.76 	73.13 	76.12 	71.64 	57.35 	58.21 	46.38 	52.86 	39.44 	45.07 	40.85 	43.94 
