sex,age,indic_eu,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,TOTAL,T2020_53,PC,AT	3.3 	3.8 	3.5 	3.6 	3.3 	5.9 	4.6 	4.3 	4.0 	4.0 	4.2 	4.0 	3.6 	3.0 	3.7 
T,TOTAL,T2020_53,PC,BE	4.5 	4.7 	6.5 	6.4 	5.7 	5.6 	5.2 	5.9 	5.7 	6.3 	5.1 	5.9 	5.8 	5.5 	5.1 
T,TOTAL,T2020_53,PC,BG	: 	: 	: 	57.7 	57.6 	41.2 	41.9 	45.7 	43.6 	44.1 	43.0 	33.1 	34.2 	31.9 b	30.0 
T,TOTAL,T2020_53,PC,CH	: 	: 	: 	: 	2.3 	2.1 	2.1 	1.7 	1.0 	0.8 	0.7 	1.3 	1.4 	1.5 	: 
T,TOTAL,T2020_53,PC,CY	: 	: 	12.2 	12.6 	13.3 	9.1 	9.5 	11.2 	11.7 	15.0 	16.1 	15.3 	15.4 	13.6 	11.5 
T,TOTAL,T2020_53,PC,CZ	: 	: 	11.8 	9.6 	7.4 	6.8 	6.1 	6.2 	6.1 	6.6 	6.6 	6.7 	5.6 	4.8 	3.7 
T,TOTAL,T2020_53,PC,DE	: 	: 	4.6 	5.1 	4.8 	5.5 	5.4 	4.5 	5.3 	4.9 	5.4 	5.0 	4.4 	3.7 	3.4 
T,TOTAL,T2020_53,PC,DK	2.0 	2.9 	3.2 	3.1 	3.3 	2.0 	2.3 	2.7 	2.3 	2.7 	3.6 	3.2 	3.7 	2.6 	3.1 
T,TOTAL,T2020_53,PC,EA18	: 	: 	6.0 	5.8 	5.5 	5.9 	5.9 	5.9 	6.8 	7.7 	7.4 	7.3 	7.0 	6.6 	5.9 e
T,TOTAL,T2020_53,PC,EA19	: 	: 	6.3 	6.0 	5.6 	5.9 	6.0 	6.1 	6.9 	7.8 	7.5 	7.4 	7.0 	6.6 	5.9 e
T,TOTAL,T2020_53,PC,EE	: 	9.4 	12.4 	7.0 	5.6 	4.9 	6.2 	9.0 	8.7 	9.4 	7.6 	6.2 	4.5 	4.7 	4.1 
T,TOTAL,T2020_53,PC,EL	16.9 	14.1 	12.8 	11.5 	11.5 	11.2 	11.0 	11.6 	15.2 	19.5 	20.3 	21.5 	22.2 	22.4 	21.1 
T,TOTAL,T2020_53,PC,ES	: 	4.8 	4.1 	4.1 	3.5 	3.6 	4.5 	4.9 	4.5 	5.8 	6.2 	7.1 	6.4 	5.8 	5.1 
T,TOTAL,T2020_53,PC,EU	: 	: 	: 	: 	: 	8.5 e	8.2 e	8.4 e	8.8 e	9.9 e	9.6 e	8.9 e	8.1 e	7.5 e	6.9 e
T,TOTAL,T2020_53,PC,EU27	: 	: 	10.8 e	9.9 e	9.2 	8.5 	8.2 e	8.4 	8.8 	9.9 	9.6 	8.9 	8.0 	7.5 	6.9 e
T,TOTAL,T2020_53,PC,EU28	: 	: 	: 	: 	: 	: 	: 	8.4 	8.8 	9.9 	9.6 	8.9 	8.1 	7.5 	6.9 e
T,TOTAL,T2020_53,PC,FI	: 	3.8 	3.8 	3.3 	3.6 	3.5 	2.8 	2.8 	3.2 	2.9 	2.5 	2.8 	2.2 	2.2 	2.1 
T,TOTAL,T2020_53,PC,FR	: 	6.1 	5.3 	5.0 	4.7 	5.4 	5.6 	5.8 	5.2 	5.3 	4.9 	4.8 	4.5 	4.4 	4.1 
T,TOTAL,T2020_53,PC,HR	: 	: 	: 	: 	: 	: 	: 	14.3 	15.2 	15.9 	14.7 	13.9 	13.7 	12.5 	10.3 p
T,TOTAL,T2020_53,PC,HU	: 	: 	22.9 	20.9 	19.9 	17.9 	20.3 	21.6 	23.4 	26.3 	27.8 	24.0 	19.4 	16.2 	14.5 
T,TOTAL,T2020_53,PC,IE	5.6 	4.8 	5.1 	4.8 	4.5 	5.5 	6.1 	5.7 	7.8 	9.8 	9.9 	8.4 	7.5 	6.5 	: 
T,TOTAL,T2020_53,PC,IS	: 	2.5 	2.7 	2.1 	2.1 	0.8 	0.8 	1.8 	2.1 	2.4 	1.9 	1.4 	1.6 	1.9 p	: 
T,TOTAL,T2020_53,PC,IT	: 	7.0 	6.8 	6.4 	7.0 	7.5 	7.3 	7.4 	11.1 	14.5 	12.3 	11.6 	11.5 	12.1 	10.1 
T,TOTAL,T2020_53,PC,LT	: 	: 	32.6 	25.3 	16.6 	12.5 	15.6 	19.9 	19.0 	19.8 	16.0 	13.6 	13.9 	13.5 	12.4 
T,TOTAL,T2020_53,PC,LU	1.9 	0.8 	1.8 	1.1 	0.8 	0.7 	1.1 	0.5 	1.2 	1.3 	1.8 	1.4 	2.0 	1.6 b	1.2 
T,TOTAL,T2020_53,PC,LV	: 	: 	39.3 	31.3 	24.0 	19.3 	22.1 	27.6 	31.0 	25.6 	24.0 	19.2 	16.4 	12.8 	11.3 
T,TOTAL,T2020_53,PC,MK	: 	: 	: 	: 	: 	: 	: 	34.7 	40.3 	40.9 	37.7 	35.7 	30.4 	30.0 	: 
T,TOTAL,T2020_53,PC,MT	: 	: 	5.4 	3.9 	4.4 	4.3 	5.0 	6.5 	6.6 	9.2 	9.5 	10.2 	8.1 	4.4 	3.3 
T,TOTAL,T2020_53,PC,NL	: 	: 	2.5 	2.3 	1.7 	1.5 	1.4 	2.2 	2.5 	2.3 	2.5 	3.2 	2.6 	2.6 b	2.6 
T,TOTAL,T2020_53,PC,NO	3.2 	2.7 	3.5 	2.8 	2.3 	2.0 	2.2 	2.0 	2.3 	1.7 	1.9 	1.2 	1.7 	2.0 	1.9 
T,TOTAL,T2020_53,PC,PL	: 	: 	33.8 	27.6 	22.3 	17.7 	15.0 	14.2 	13.0 	13.5 	11.9 	10.4 	8.1 	6.7 	5.9 
T,TOTAL,T2020_53,PC,PT	: 	9.9 	9.3 	9.1 	9.6 	9.7 	9.1 	9.0 	8.3 	8.6 	10.9 	10.6 	9.6 	8.4 	6.9 
T,TOTAL,T2020_53,PC,RO	: 	: 	: 	: 	38.0 	32.7 	32.1 	30.5 	29.5 	31.1 	29.8 	25.9 	22.7 	23.8 	19.7 
T,TOTAL,T2020_53,PC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.9 	26.3 	24.0 	19.5 	: 
T,TOTAL,T2020_53,PC,SE	: 	3.0 	2.3 	2.1 	2.2 	1.8 b	2.0 	1.9 	1.7 	1.8 	1.9 	1.0 	1.1 	0.8 	1.1 
T,TOTAL,T2020_53,PC,SI	: 	: 	5.1 	5.1 	5.1 	6.7 	6.1 	5.9 	6.1 	6.6 	6.7 	6.6 	5.8 	5.4 	4.6 
T,TOTAL,T2020_53,PC,SK	: 	: 	22.1 	18.2 	13.7 	11.8 	11.1 	11.4 	10.6 	10.5 	10.2 	9.9 	9.0 	8.2 	7.0 
T,TOTAL,T2020_53,PC,TR	: 	: 	: 	60.4 	58.8 	57.7 	56.7 	59.3 	57.9 	55.0 	43.8 b	29.3 	30.3 	: 	: 
T,TOTAL,T2020_53,PC,UK	: 	: 	5.3 	4.5 	4.2 	4.5 	3.3 u	4.8 	5.1 	7.8 	8.3 	7.4 	6.1 	5.2 	4.9 p
T,TOTAL,T2020_53,THS_PER,AT	264 	308 	281 	293 	269 	485 	376 	353 	333 	335 	355 	336 	302 	257 	323 
T,TOTAL,T2020_53,THS_PER,BE	460 	495 	673 	672 	602 	595 	555 	628 	615 	687 	561 	650 	640 	623 	577 
T,TOTAL,T2020_53,THS_PER,BG	: 	: 	: 	4451 	4426 	3151 	3184 	3459 	3277 	3242 	3129 	2399 	2468 	2285 b	2136 
T,TOTAL,T2020_53,THS_PER,CH	: 	: 	: 	: 	168 	154 	154 	126 	78 	63 	52 	103 	115 	123 	: 
T,TOTAL,T2020_53,THS_PER,CY	: 	: 	90 	96 	103 	71 	76 	92 	98 	129 	139 	131 	130 	115 	98 
T,TOTAL,T2020_53,THS_PER,CZ	: 	: 	1190 	980 	750 	696 	635 	644 	641 	683 	679 	695 	577 	497 	387 
T,TOTAL,T2020_53,THS_PER,DE	: 	: 	3733 	4138 	3947 	4442 	4360 	3672 	4323 	3937 	4281 	3974 	3555 	3015 	2783 
T,TOTAL,T2020_53,THS_PER,DK	107 	157 	171 	169 	175 	107 	124 	145 	128 	149 	202 	181 	206 	148 	177 
T,TOTAL,T2020_53,THS_PER,EA18	: 	: 	19130 	18529 	17820 	19091 	19273 	19407 	22287 	25175 	24414 	24003 	22683 	21746 	19381 e
T,TOTAL,T2020_53,THS_PER,EA19	: 	: 	20241 	19386 	18378 	19493 	19770 	20031 	22868 	25771 	24891 	24403 	23090 	22137 	19736 e
T,TOTAL,T2020_53,THS_PER,EE	: 	126 	166 	94 	75 	65 	83 	119 	115 	124 	100 	81 	58 	61 	53 
T,TOTAL,T2020_53,THS_PER,EL	1789 	1500 	1365 	1236 	1238 	1213 	1198 	1269 	1667 	2141 	2223 	2322 	2377 	2388 	2241 
T,TOTAL,T2020_53,THS_PER,ES	: 	2038 	1768 	1795 	1580 	1625 	2066 	2264 	2100 	2708 	2862 	3246 	2964 	2659 	2364 
T,TOTAL,T2020_53,THS_PER,EU	: 	: 	: 	: 	: 	41556 e	40137 e	41682 e	44003 e	49496 e	48076 e	44465 e	40361 e	37800 e	34828 e
T,TOTAL,T2020_53,THS_PER,EU27	: 	: 	52254 e	48283 e	44834 	41556 	40137 e	41074 	43357 	48820 	47453 	43874 	39786 	37282 	34542 e
T,TOTAL,T2020_53,THS_PER,EU28	: 	: 	: 	: 	: 	: 	: 	41682 	44003 	49496 	48076 	44465 	40361 	37800 	34828 e
T,TOTAL,T2020_53,THS_PER,FI	: 	194 	195 	172 	185 	181 	148 	150 	170 	156 	132 	151 	118 	120 	113 
T,TOTAL,T2020_53,THS_PER,FR	: 	3536 	3120 	2946 	2824 	3253 	3372 	3530 	3211 	3256 	3063 	2985 	2829 	2775 	2593 
T,TOTAL,T2020_53,THS_PER,HR	: 	: 	: 	: 	: 	: 	: 	609 	646 	676 	624 	591 	575 	518 	423 p
T,TOTAL,T2020_53,THS_PER,HU	: 	: 	2272 	2077 	1971 	1771 	2009 	2129 	2294 	2573 	2709 	2338 	1878 	1567 	1400 
T,TOTAL,T2020_53,THS_PER,IE	223 	195 	213 	205 	195 	245 	274 	256 	352 	450 	455 	385 	348 	305 	: 
T,TOTAL,T2020_53,THS_PER,IS	: 	7 	8 	6 	6 	3 	3 	5 	6 	7 	6 	4 	5 	6 p	: 
T,TOTAL,T2020_53,THS_PER,IT	: 	4020 	3951 	3765 	4125 	4432 	4345 	4403 	6655 	8694 	7464 	7031 	6981 	7312 	6117 
T,TOTAL,T2020_53,THS_PER,LT	: 	: 	1110 	856 	558 	402 	497 	624 	580 	596 	476 	400 	407 	391 	352 
T,TOTAL,T2020_53,THS_PER,LU	8 	4 	8 	5 	4 	3 	5 	3 	6 	7 	9 	7 	10 	9 b	7 
T,TOTAL,T2020_53,THS_PER,LV	: 	: 	874 	688 	523 	416 	472 	578 	634 	518 	480 	379 	322 	248 	218 
T,TOTAL,T2020_53,THS_PER,MK	: 	: 	: 	: 	: 	: 	: 	713 	830 	843 	777 	739 	630 	622 	: 
T,TOTAL,T2020_53,THS_PER,MT	: 	: 	22 	16 	17 	17 	20 	26 	27 	37 	39 	43 	34 	19 	14 
T,TOTAL,T2020_53,THS_PER,NL	: 	: 	403 	370 	279 	252 	237 	366 	407 	387 	416 	526 	429 	435 b	437 
T,TOTAL,T2020_53,THS_PER,NO	144 	123 	162 	128 	108 	92 	105 	98 	111 	87 	97 	62 	89 	103 	99 
T,TOTAL,T2020_53,THS_PER,PL	: 	: 	12752 	10445 	8415 	6680 	5625 	5331 	4885 	5108 	4486 	3918 	3032 	2507 	2203 
T,TOTAL,T2020_53,THS_PER,PT	: 	1032 	979 	958 	1015 	1029 	965 	958 	881 	910 	1148 	1108 	997 	865 	708 
T,TOTAL,T2020_53,THS_PER,RO	: 	: 	: 	: 	8032 	6757 	6569 	6186 	5967 	6247 	5959 	5167 	4520 	4707 	3880 
T,TOTAL,T2020_53,THS_PER,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1922 	1873 	1701 	1374 	: 
T,TOTAL,T2020_53,THS_PER,SE	: 	269 	216 	192 	197 	161 b	186 	177 	162 	170 	181 	96 	112 	80 	113 
T,TOTAL,T2020_53,THS_PER,SI	: 	: 	100 	102 	100 	130 	121 	119 	122 	133 	134 	133 	116 	108 	92 
T,TOTAL,T2020_53,THS_PER,SK	: 	: 	1189 	980 	739 	636 	601 	621 	571 	565 	554 	514 	471 	432 	369 
T,TOTAL,T2020_53,THS_PER,TR	: 	: 	: 	40827 	40237 	39912 	40016 	42342 	41918 	40482 	32613 b	22215 	23102 	: 	: 
T,TOTAL,T2020_53,THS_PER,UK	: 	: 	3083 	2704 	2491 	2739 	2034 u	2972 	3137 	4878 	5219 	4677 	3904 	3353 	3102 p
