unit,incgrp,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,T,TOTAL,FI	3.7 	4.7 	4.7 	4.4 	4.2 	4.4 	4.5 	4.9 	5.1 	4.9 	4.4 	4.3 
PC,TOTAL,T,TOTAL,FR	6.0 	5.7 	4.2 	4.0 	5.1 	5.2 	5.2 	5.2 	5.1 	5.7 	5.2 	4.7 
PC,TOTAL,T,TOTAL,HR	: 	: 	: 	: 	14.1 	8.0 	6.8 	8.4 	7.5 	7.2 	6.4 	: 
PC,TOTAL,T,TOTAL,HU	12.3 	10.9 	11.6 	8.9 	11.3 	13.0 	14.7 	14.3 	12.8 	8.5 	8.8 	10.7 
PC,TOTAL,T,TOTAL,IE	2.5 	3.1 	3.3 	4.0 	4.9 	6.1 	6.3 	4.6 	6.2 	4.6 	4.6 	: 
PC,TOTAL,T,TOTAL,IS	14.3 	10.5 	11.4 	9.5 	9.6 	11.3 	9.0 	8.8 	8.1 	8.2 	6.3 p	: 
PC,TOTAL,T,TOTAL,IT	12.2 	7.5 	8.3 	7.8 	7.7 	8.7 	8.1 	8.9 	8.5 	8.6 	9.6 	8.2 
PC,TOTAL,T,TOTAL,LT	6.9 	4.8 	5.0 	5.6 	10.6 	11.1 	8.9 	8.2 	7.1 	9.1 	7.8 	7.2 
PC,TOTAL,T,TOTAL,LU	4.8 	3.9 	3.7 	3.7 	4.7 	4.2 	4.9 	5.6 	6.8 	6.0 	9.5 b	10.0 
PC,TOTAL,T,TOTAL,LV	10.6 	9.9 	8.7 	9.3 	9.8 	12.5 	11.2 	11.4 	9.6 	8.1 	7.0 	6.9 
PC,TOTAL,T,TOTAL,MK	: 	: 	: 	: 	: 	19.5 	20.1 	17.6 	15.6 	12.3 	12.5 	: 
PC,TOTAL,T,TOTAL,MT	1.8 	2.5 	3.3 	2.8 	3.7 	3.0 	2.6 	2.6 	1.6 	1.1 	1.4 	1.4 
PC,TOTAL,T,TOTAL,NL	19.7 	18.3 	13.7 	13.1 	14.0 	14.5 	14.4 	15.7 	15.4 	14.9 	10.7 b	9.4 
PC,TOTAL,T,TOTAL,NO	10.8 	12.9 	12.5 	10.9 	9.1 	10.4 	9.7 	9.6 	8.2 	9.4 	9.7 	9.1 
PC,TOTAL,T,TOTAL,PL	12.0 	10.5 	9.7 	8.2 	9.1 	10.2 	10.5 	10.3 	9.6 	8.7 	7.7 	6.7 
PC,TOTAL,T,TOTAL,PT	4.5 	7.4 	7.6 	6.1 	4.2 	7.2 	8.3 	8.3 	9.2 	9.1 	7.5 	6.7 
PC,TOTAL,T,TOTAL,RO	: 	19.7 	19.1 	15.4 	15.8 	10.5 	18.4 	16.9 	16.2 	15.9 	14.4 	12.3 
PC,TOTAL,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	28.0 	32.6 	29.1 	28.2 	: 
PC,TOTAL,T,TOTAL,SE	9.6 	7.9 	10.0 b	10.6 	7.8 	9.3 	8.7 	9.0 	8.6 	8.7 	8.5 	8.4 
PC,TOTAL,T,TOTAL,SI	3.0 	5.0 	4.4 	3.9 	4.3 	4.7 	5.2 	6.0 	6.4 	6.1 	5.7 	5.2 
PC,TOTAL,T,TOTAL,SK	16.4 	17.8 	5.6 	9.4 	7.6 	8.4 	8.4 	8.3 	9.0 	9.1 	7.7 	8.4 
PC,TOTAL,T,TOTAL,TR	13.7 	9.1 	10.4 	11.2 	11.0 	10.7 	9.8 	11.7 	10.3 	10.5 	: 	: 
PC,TOTAL,T,TOTAL,UK	16.4 	16.3 	16.3 	16.3 	16.5 	16.4 	7.3 b	7.9 	12.5 b	12.4 	12.3 	: 
PC,TOTAL,T,Y18-64,AT	5.3 	5.5 	7.6 bu	7.2 u	7.1 u	7.2 u	7.6 	7.3 	7.2 	6.8 	8.1 	7.8 
PC,TOTAL,T,Y18-64,BE	9.3 	10.2 	11.6 	8.7 	8.5 	10.0 	10.7 	9.7 	10.3 	9.9 	10.0 	9.3 
PC,TOTAL,T,Y18-64,BG	14.6 	20.3 	12.2 	5.7 	4.8 	7.5 	12.0 	11.5 	11.1 	12.5 	18.7 b	15.8 
PC,TOTAL,T,Y18-64,CH	: 	: 	: 	10.5 	11.7 	10.8 	9.7 	8.7 	10.3 b	10.2 	10.2 	: 
PC,TOTAL,T,Y18-64,CY	2.9 	1.5 	1.8 b	2.6 	3.4 	3.3 	3.6 	3.3 	4.1 	4.2 	3.3 	2.9 
PC,TOTAL,T,Y18-64,CZ	9.8 	9.2 	11.5 	8.0 	8.8 	8.8 	9.1 	11.0 	9.9 	9.5 	9.1 	8.0 
PC,TOTAL,T,Y18-64,DE	: 	: 	: 	: 	13.6 	15.7 	16.3 	15.8 	15.2 	15.1 	15.1 	14.0 
PC,TOTAL,T,Y18-64,DK	16.8 	13.9 	17.7 	23.1 	21.6 	18.0 b	16.5 	18.7 	17.4 	16.6 	16.8 	17.0 
PC,TOTAL,T,Y18-64,EA18	9.5 e	8.4 e	8.4 e	8.2 e	9.7 	10.9 	11.6 	11.7 	12.0 	11.8 	11.6 	10.8 e
PC,TOTAL,T,Y18-64,EA19	9.4 e	8.4 e	8.4 e	8.2 e	9.7 	10.9 	11.6 	11.7 	12.0 	11.8 	11.5 	10.7 e
PC,TOTAL,T,Y18-64,EE	6.2 	5.0 	4.0 	4.6 	6.4 	8.3 	8.6 	7.4 	9.1 b	7.1 	5.5 	5.4 
PC,TOTAL,T,Y18-64,EL	24.3 	15.2 	22.9 	22.4 	18.6 	23.5 	34.4 	38.1 	46.9 	47.1 	42.7 	41.6 
PC,TOTAL,T,Y18-64,ES	7.6 	8.8 	9.6 b	10.7 	10.1 	10.5 	11.6 	11.1 	12.1 	11.2 	11.0 	10.5 
PC,TOTAL,T,Y18-64,EU27	11.4 e	10.6 e	10.4 e	9.8 e	10.7 	11.5 	11.4 	11.5 	12.2 	11.9 	11.7 	10.5 e
PC,TOTAL,T,Y18-64,EU28	: 	: 	: 	: 	10.7 	11.5 	11.4 	11.5 	12.1 	11.8 	11.6 	10.5 e
PC,TOTAL,T,Y18-64,FI	4.3 	4.9 	4.9 	5.0 	4.8 	5.1 	5.2 	5.2 	5.9 	5.9 	5.2 	4.8 
PC,TOTAL,T,Y18-64,FR	6.4 	6.4 	4.9 	4.3 	5.9 	6.1 	6.3 	6.4 	6.1 	6.5 	6.3 	5.9 
PC,TOTAL,T,Y18-64,HR	: 	: 	: 	: 	12.6 	7.8 	6.6 	8.2 	7.3 	7.3 	6.4 	: 
PC,TOTAL,T,Y18-64,HU	12.0 	10.7 	11.8 	9.0 	11.6 	13.4 	15.1 	15.1 	13.3 	9.2 	9.3 	11.2 
PC,TOTAL,T,Y18-64,IE	2.9 	3.8 	3.4 	4.2 	5.4 	6.7 	6.7 	5.3 	6.8 	5.0 	5.2 	: 
PC,TOTAL,T,Y18-64,IS	14.0 	10.7 	11.7 	9.7 	10.2 	11.5 	9.3 	9.1 	8.3 	9.0 	7.0 p	: 
PC,TOTAL,T,Y18-64,IT	10.9 	7.1 	8.1 	7.7 	7.6 	9.0 	8.5 	9.2 	9.1 	9.1 	10.4 	8.9 
PC,TOTAL,T,Y18-64,LT	6.6 	4.7 	5.2 	6.0 	11.2 	11.5 	8.6 	7.6 	6.4 	7.9 	7.5 	7.1 
PC,TOTAL,T,Y18-64,LU	5.2 	4.2 	4.3 	4.1 	5.3 	4.7 	5.5 	6.0 	7.4 	6.8 	10.3 b	10.7 
PC,TOTAL,T,Y18-64,LV	9.9 	9.0 	7.1 	7.8 	10.1 	13.2 	11.3 	10.9 	9.0 	7.6 	6.6 	6.6 
PC,TOTAL,T,Y18-64,MK	: 	: 	: 	: 	: 	19.2 	19.5 	17.6 	15.9 	12.2 	12.3 	: 
PC,TOTAL,T,Y18-64,MT	1.7 	2.1 	3.1 	2.6 	3.6 	2.9 	2.4 	2.4 	1.5 	0.9 	1.3 	1.4 
PC,TOTAL,T,Y18-64,NL	19.7 	17.2 	14.0 	13.3 	14.6 	15.4 	15.6 	17.2 	17.3 	16.2 	11.9 b	10.5 
PC,TOTAL,T,Y18-64,NO	12.5 	15.1 	14.7 	12.3 	10.3 	12.1 	11.4 	10.9 	10.0 	11.7 	11.3 	11.0 
PC,TOTAL,T,Y18-64,PL	12.2 	10.6 	9.8 	7.9 	8.8 	9.9 	10.3 	10.3 	9.7 	9.0 	8.0 	7.1 
PC,TOTAL,T,Y18-64,PT	4.7 	7.1 	8.0 	6.3 	4.3 	7.3 	8.5 	8.6 	9.9 	10.0 	8.2 	7.4 
PC,TOTAL,T,Y18-64,RO	: 	18.0 	17.6 	14.7 	15.3 	10.2 	18.0 	16.4 	15.9 	15.3 	14.1 	12.0 
PC,TOTAL,T,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	28.9 	33.1 	29.9 	29.6 	: 
PC,TOTAL,T,Y18-64,SE	9.3 	7.9 	9.9 b	10.4 	8.2 	8.7 	8.1 	9.0 	8.8 	8.9 	8.4 	8.1 
PC,TOTAL,T,Y18-64,SI	2.8 	4.7 	4.2 	3.6 	4.1 	4.5 	5.2 	5.9 	6.5 	6.2 	5.9 	5.6 
PC,TOTAL,T,Y18-64,SK	13.6 	15.6 	4.1 	8.4 	7.1 	8.0 	7.4 	7.7 	8.5 	8.7 	7.2 	7.3 
PC,TOTAL,T,Y18-64,TR	13.1 	8.5 	9.8 	10.8 	10.8 	10.4 	9.5 	11.2 	9.9 	10.4 	: 	: 
PC,TOTAL,T,Y18-64,UK	16.9 	16.7 	15.8 	16.2 	16.6 	16.6 	8.6 b	9.0 	13.9 b	13.9 	13.8 	: 
PC,TOTAL,T,Y_GE65,AT	5.1 	5.2 	16.8 bu	15.0 u	13.0 u	14.5 u	6.5 	7.7 	5.4 	5.3 	4.8 	4.9 
PC,TOTAL,T,Y_GE65,BE	13.9 	11.4 	19.7 	11.4 	11.9 	12.9 	14.5 	11.2 	11.9 	11.3 	10.0 	10.2 
PC,TOTAL,T,Y_GE65,BG	13.5 	22.6 	16.7 	12.5 	10.2 	13.3 	21.6 	24.3 	16.4 	24.4 	26.1 b	29.3 
PC,TOTAL,T,Y_GE65,CH	: 	: 	: 	28.1 	26.1 	24.9 	25.4 	22.2 	21.4 b	21.9 	22.5 	: 
PC,TOTAL,T,Y_GE65,CY	3.6 	3.1 	2.0 b	1.8 	2.0 	2.3 	2.1 	1.6 	2.8 	2.0 	1.9 	2.5 
PC,TOTAL,T,Y_GE65,CZ	14.4 	14.8 	16.4 	13.5 	13.1 	13.2 	14.9 	14.3 	13.9 	13.3 	12.2 	11.8 
PC,TOTAL,T,Y_GE65,DE	: 	: 	: 	: 	19.3 	20.5 	20.3 	22.5 	22.0 	20.5 	22.7 	20.0 
PC,TOTAL,T,Y_GE65,DK	24.3 	18.9 	20.9 	31.7 	27.6 	27.0 b	23.2 	23.2 	18.1 	18.6 	18.8 	21.5 
PC,TOTAL,T,Y_GE65,EA18	10.7 e	8.3 e	7.6 e	6.5 e	9.5 	10.0 	9.8 	10.6 	10.7 	10.3 	10.6 	9.8 e
PC,TOTAL,T,Y_GE65,EA19	10.7 e	8.3 e	7.5 e	6.5 e	9.4 	10.0 	9.8 	10.6 	10.7 	10.3 	10.6 	9.7 e
PC,TOTAL,T,Y_GE65,EE	10.0 	6.5 	2.6 	2.4 	4.1 	4.3 	6.0 	5.9 	5.6 b	4.1 	3.8 	3.6 
PC,TOTAL,T,Y_GE65,EL	22.7 	15.0 	15.1 	15.2 	14.3 	23.4 	24.1 	26.7 	33.0 	32.9 	26.0 	27.2 
PC,TOTAL,T,Y_GE65,ES	4.0 	4.0 	4.1 b	3.7 	3.8 	4.0 	3.5 	3.9 	3.5 	3.7 	3.5 	4.2 
PC,TOTAL,T,Y_GE65,EU27	12.5 e	10.9 e	10.8 e	9.7 e	10.9 	11.3 	10.1 	10.5 	10.7 	10.5 	10.5 	10.3 e
PC,TOTAL,T,Y_GE65,EU28	: 	: 	: 	: 	11.0 	11.3 	10.1 	10.5 	10.6 	10.4 	10.5 	10.3 e
PC,TOTAL,T,Y_GE65,FI	3.0 	5.2 	5.2 	3.8 	3.1 	4.2 	4.6 	5.4 	5.0 	4.8 	4.2 	4.8 
PC,TOTAL,T,Y_GE65,FR	6.5 	6.2 	5.2 	5.2 	4.0 	3.2 	2.8 	2.9 	3.7 	4.0 	4.0 	3.1 
PC,TOTAL,T,Y_GE65,HR	: 	: 	: 	: 	23.5 	9.1 	9.1 	9.4 	9.0 	8.4 	8.1 	: 
PC,TOTAL,T,Y_GE65,HU	10.1 	9.5 	9.1 	6.9 	9.1 	10.8 	12.7 	10.0 	9.2 	5.9 	6.4 	9.1 
PC,TOTAL,T,Y_GE65,IE	1.1 	1.5 	2.0 	1.5 	2.9 	4.0 	3.5 	3.1 	4.6 	2.7 	2.6 	: 
PC,TOTAL,T,Y_GE65,IS	7.3 	7.9 	7.1 	6.8 	5.0 	7.1 	6.5 	5.9 	6.5 	4.8 	4.5 p	: 
PC,TOTAL,T,Y_GE65,IT	15.1 	8.1 	8.1 	6.8 	5.8 	5.7 	5.0 	6.2 	5.3 	5.4 	6.4 	5.3 
PC,TOTAL,T,Y_GE65,LT	9.7 	5.8 	4.1 	4.4 	5.4 	10.3 	11.6 	9.8 	9.2 	11.8 	9.8 	7.2 
PC,TOTAL,T,Y_GE65,LU	2.6 	2.3 	1.1 	1.1 	2.4 	2.4 	1.9 	2.7 	3.1 	3.5 	6.9 b	6.9 
PC,TOTAL,T,Y_GE65,LV	14.6 	14.9 	16.4 	16.1 	9.7 	10.4 	11.5 	14.0 	11.8 	9.9 	9.5 	9.2 
PC,TOTAL,T,Y_GE65,MK	: 	: 	: 	: 	: 	18.6 	20.1 	16.0 	11.2 	10.0 	9.8 	: 
PC,TOTAL,T,Y_GE65,MT	2.1 	3.4 	4.2 	4.3 	4.1 	3.4 	3.1 	1.9 	1.5 	1.9 	1.6 	1.3 
PC,TOTAL,T,Y_GE65,NL	23.2 	24.0 	15.8 	12.1 	10.8 	11.4 	10.7 	11.1 	13.6 	12.6 	13.4 b	11.8 
PC,TOTAL,T,Y_GE65,NO	7.9 	6.8 	6.8 	7.5 	6.8 	7.6 	5.8 	6.1 	5.1 	4.9 	6.4 	5.8 
PC,TOTAL,T,Y_GE65,PL	11.4 	10.5 	10.8 	11.2 	11.2 	12.3 	11.9 	10.0 	9.4 	7.9 	6.7 	6.9 
PC,TOTAL,T,Y_GE65,PT	2.2 	4.4 	2.0 	1.5 	1.8 	2.7 	3.4 	3.2 	4.4 	4.1 	4.0 	4.2 
PC,TOTAL,T,Y_GE65,RO	: 	28.9 	27.3 	19.4 	18.0 	10.8 	18.1 	16.9 	16.7 	16.3 	14.6 	14.4 
PC,TOTAL,T,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	20.8 	26.7 	23.6 	20.0 	: 
PC,TOTAL,T,Y_GE65,SE	14.2 	12.0 	15.8 b	16.5 	9.9 	15.8 	14.6 	13.7 	12.3 	11.5 	11.9 	12.5 
PC,TOTAL,T,Y_GE65,SI	4.4 	7.4 	6.6 	5.9 	5.8 	5.9 	6.5 	7.1 	6.4 	6.7 	5.6 	4.5 
PC,TOTAL,T,Y_GE65,SK	34.7 	28.2 	13.9 	13.6 	8.6 	8.2 	10.3 	8.1 	8.0 	8.1 	8.1 	12.8 
PC,TOTAL,T,Y_GE65,TR	8.0 	3.7 	4.6 	4.9 	5.3 	4.7 	4.6 	4.8 	4.7 	4.9 	: 	: 
PC,TOTAL,T,Y_GE65,UK	15.1 	13.8 	16.5 	15.8 	16.1 	16.0 	3.7 b	4.0 	7.5 b	8.2 	7.8 	: 
PC,TOTAL,T,Y_LT18,AT	3.9 	5.0 	4.3 bu	4.9 u	4.0 u	3.8 u	5.2 	6.3 	5.5 	5.9 	6.4 	6.5 
PC,TOTAL,T,Y_LT18,BE	8.0 	8.7 	9.9 	6.8 	7.7 	10.7 	9.3 	7.9 	9.3 	6.6 	7.4 	7.5 
PC,TOTAL,T,Y_LT18,BG	20.2 	23.2 	14.0 	6.5 	5.8 	8.7 	16.2 	13.9 	15.7 	12.1 	21.6 b	17.9 
PC,TOTAL,T,Y_LT18,CH	: 	: 	: 	10.2 	12.3 	10.9 	8.7 	7.0 	7.7 b	7.8 	8.4 	: 
PC,TOTAL,T,Y_LT18,CY	3.0 	1.5 	1.5 b	2.4 	2.8 	2.9 	3.1 	4.5 	4.2 	3.8 	3.4 	2.6 
PC,TOTAL,T,Y_LT18,CZ	11.3 	10.8 	14.5 	8.7 	9.9 	8.8 	9.0 	11.5 	9.6 	10.6 	8.5 	8.1 
PC,TOTAL,T,Y_LT18,DE	: 	: 	: 	: 	11.7 	12.5 	13.2 	11.5 	11.4 	11.4 	10.7 	9.9 
PC,TOTAL,T,Y_LT18,DK	8.6 	8.2 	12.6 	22.0 	18.3 	13.3 b	11.9 	11.1 	8.3 	7.4 	6.7 	6.6 
PC,TOTAL,T,Y_LT18,EA18	9.7 e	8.3 e	8.3 e	8.6 e	9.4 	10.4 	10.8 	10.6 	10.5 	10.9 	9.7 	9.0 e
PC,TOTAL,T,Y_LT18,EA19	9.6 e	8.3 e	8.3 e	8.6 e	9.5 	10.4 	10.8 	10.6 	10.4 	10.9 	9.6 	9.0 e
PC,TOTAL,T,Y_LT18,EE	5.9 	5.0 	3.2 	5.5 	6.2 	7.3 	7.1 	7.8 	8.1 b	8.5 	4.2 	3.8 
PC,TOTAL,T,Y_LT18,EL	27.8 	18.7 	27.4 	26.5 	20.2 	27.4 	38.4 	44.0 	51.8 	54.5 	50.1 	47.7 
PC,TOTAL,T,Y_LT18,ES	9.8 	10.4 	13.8 b	15.2 	13.5 	13.8 	14.4 	13.7 	14.2 	14.0 	14.0 	13.4 
PC,TOTAL,T,Y_LT18,EU27	11.6 e	10.7 e	10.5 e	10.2 e	10.7 	11.1 	10.5 	10.6 	11.0 	10.9 	10.0 	8.8 e
PC,TOTAL,T,Y_LT18,EU28	: 	: 	: 	: 	10.7 	11.1 	10.4 	10.6 	10.9 	10.8 	10.0 	8.8 e
PC,TOTAL,T,Y_LT18,FI	2.6 	3.9 	3.8 	3.2 	3.4 	2.6 	2.4 	3.3 	3.0 	2.2 	2.1 	2.1 
PC,TOTAL,T,Y_LT18,FR	4.3 	3.5 	1.6 	2.0 	3.7 	4.3 	3.8 	3.9 	3.5 	4.6 	3.4 	2.9 
PC,TOTAL,T,Y_LT18,HR	: 	: 	: 	: 	10.6 	7.6 	5.4 	8.3 	7.2 	5.4 	5.1 	: 
PC,TOTAL,T,Y_LT18,HU	14.5 	12.6 	13.0 	10.0 	11.9 	13.6 	15.0 	15.6 	14.0 	8.2 	9.1 	10.2 
PC,TOTAL,T,Y_LT18,IE	1.9 	2.2 	3.6 	4.4 	4.6 	5.7 	6.7 	3.9 	5.5 	4.7 	4.1 	: 
PC,TOTAL,T,Y_LT18,IS	17.7 	11.4 	12.4 	10.1 	10.5 	12.6 	9.4 	9.7 	8.3 	8.3 	5.3 p	: 
PC,TOTAL,T,Y_LT18,IT	13.8 	8.3 	9.2 	9.3 	10.2 	10.8 	10.5 	11.2 	10.2 	10.9 	10.7 	9.4 
PC,TOTAL,T,Y_LT18,LT	5.8 	4.5 	5.4 	5.3 	13.3 	10.6 	7.3 	8.8 	7.1 	10.1 	6.9 	7.3 
PC,TOTAL,T,Y_LT18,LU	5.2 	4.2 	3.6 	4.1 	4.1 	3.7 	5.1 	6.0 	7.6 	5.4 	8.5 b	9.5 
PC,TOTAL,T,Y_LT18,LV	9.3 	8.5 	7.1 	7.9 	8.9 	12.2 	10.7 	10.3 	9.2 	7.9 	5.7 	5.7 
PC,TOTAL,T,Y_LT18,MK	: 	: 	: 	: 	: 	21.0 	22.2 	18.3 	17.3 	14.1 	15.0 	: 
PC,TOTAL,T,Y_LT18,MT	1.9 	3.1 	3.2 	2.7 	3.6 	3.1 	3.2 	3.5 	1.9 	1.0 	1.6 	1.8 
PC,TOTAL,T,Y_LT18,NL	17.9 	18.2 	11.5 	13.3 	14.2 	14.1 	13.4 	14.8 	11.2 	13.0 	4.8 b	4.0 
PC,TOTAL,T,Y_LT18,NO	7.9 	11.2 	10.4 	9.5 	7.4 	7.8 	8.1 	8.3 	5.9 	6.2 	7.9 	6.6 
PC,TOTAL,T,Y_LT18,PL	12.0 	10.1 	8.7 	7.3 	8.8 	9.6 	9.8 	10.7 	9.7 	8.3 	7.6 	4.9 
PC,TOTAL,T,Y_LT18,PT	5.6 	11.2 	11.7 	9.7 	6.1 	11.3 	12.6 	12.4 	11.9 	11.8 	9.4 	7.2 
PC,TOTAL,T,Y_LT18,RO	: 	18.3 	17.4 	14.1 	15.8 	11.4 	20.0 	18.4 	16.7 	17.5 	14.9 	11.5 
PC,TOTAL,T,Y_LT18,RS	: 	: 	: 	: 	: 	: 	: 	32.3 	36.8 	32.1 	31.9 	: 
PC,TOTAL,T,Y_LT18,SE	7.7 	5.2 	5.5 b	6.4 	4.8 	5.6 	5.1 	4.5 	4.6 	5.4 	5.6 	5.2 
PC,TOTAL,T,Y_LT18,SI	2.3 	4.3 	3.3 	3.4 	4.0 	4.4 	4.3 	5.7 	6.2 	5.6 	5.2 	4.5 
PC,TOTAL,T,Y_LT18,SK	13.9 	18.5 	4.8 	10.0 	8.9 	10.2 	10.9 	11.0 	11.8 	11.4 	9.2 	8.9 
PC,TOTAL,T,Y_LT18,TR	15.8 	11.4 	12.7 	13.5 	12.8 	12.8 	11.7 	14.4 	12.5 	12.5 	: 	: 
PC,TOTAL,T,Y_LT18,UK	16.3 	17.1 	17.4 	17.0 	16.8 	16.1 	6.3 b	7.8 	12.9 b	11.5 	11.8 	: 
