unit,age,sex,indic_il,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE65,T,LI_R_MD40,AT	2.0 	1.8 	5.1 	3.9 	4.4 	4.6 	3.8 	4.7 	3.6 	3.0 	2.7 	3.1 
PC,Y_GE65,T,LI_R_MD40,BE	3.3 	3.3 	2.8 	2.7 	3.2 	2.6 	4.5 	2.3 	1.9 	2.1 	2.4 	2.0 
PC,Y_GE65,T,LI_R_MD40,BG	3.1 	5.3 	5.9 	9.8 	11.4 	8.6 	8.1 	6.2 	4.7 	8.3 	3.9 b	7.2 
PC,Y_GE65,T,LI_R_MD40,CH	: 	6.6 	7.4 	10.1 	7.4 	8.7 	9.0 	9.4 	6.9 	7.3 	7.5 	: 
PC,Y_GE65,T,LI_R_MD40,CY	12.4 	12.8 	9.7 	9.7 	7.4 	5.5 	3.6 	1.9 	2.1 	1.5 	2.2 	1.7 
PC,Y_GE65,T,LI_R_MD40,CZ	0.2 	0.3 	0.3 	0.2 	0.3 	0.3 	0.4 	0.2 	0.7 	0.4 	0.5 	0.6 
PC,Y_GE65,T,LI_R_MD40,DE	4.0 	3.8 	3.3 	2.5 	2.7 	3.0 	3.3 	2.8 	4.5 	3.4 	4.0 	3.7 
PC,Y_GE65,T,LI_R_MD40,DK	1.5 	0.9 	1.2 	1.0 	2.7 	1.2 	1.1 	2.5 	1.7 	1.1 	0.6 	0.4 
PC,Y_GE65,T,LI_R_MD40,EA18	4.3 	4.1 	3.5 	3.3 	3.0 	2.9 	2.7 	2.4 	2.9 	2.7 	3.1 	3.1 e
PC,Y_GE65,T,LI_R_MD40,EA19	4.3 	4.1 	3.5 	3.2 	2.9 	2.9 	2.7 	2.4 	2.9 	2.7 	3.1 	3.1 e
PC,Y_GE65,T,LI_R_MD40,EE	2.1 	3.2 	3.1 	2.6 	1.2 	0.8 	1.4 	1.8 	2.5 	2.7 	4.0 	3.9 
PC,Y_GE65,T,LI_R_MD40,EL	7.9 	6.7 	4.6 	5.0 	5.1 	5.9 	3.1 	3.2 	3.4 	3.6 	3.5 	4.0 
PC,Y_GE65,T,LI_R_MD40,ES	7.1 	5.8 	5.6 	5.4 	4.9 	4.8 	4.0 	3.7 	2.8 	2.9 	3.0 	4.8 
PC,Y_GE65,T,LI_R_MD40,EU27	4.4 e	4.2 	3.8 	3.4 	3.2 	3.2 	2.8 	2.5 	2.9 	2.9 	3.3 	3.1 e
