sex,wstatus,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,POP,Y18-24,PC,AT	9.3 	10.0 b	10.8 	10.2 	8.8 	8.3 	8.5 	7.8 	7.5 	7.0 b	7.3 	6.9 	7.4 
T,POP,Y18-24,PC,BE	12.9 	12.6 b	12.1 	12.0 b	11.1 	11.9 	12.3 	12.0 	11.0 	9.8 b	10.1 	8.8 	8.9 b
T,POP,Y18-24,PC,BG	20.4 	17.3 b	14.9 	14.8 	14.7 	12.6 b	11.8 	12.5 	12.5 	12.9 b	13.4 	13.8 	12.7 
T,POP,Y18-24,PC,CH	9.7 	9.6 	7.6 	7.7 	9.1 	6.7 b	6.3 	5.5 	5.6 	5.6 b	5.2 	4.9 	4.5 
T,POP,Y18-24,PC,CY	18.2 	14.9 b	12.5 	13.7 	11.7 b	12.7 	11.3 	11.4 	9.1 	6.8 b	5.2 	7.6 	8.5 
T,POP,Y18-24,PC,CZ	6.2 	5.1 b	5.2 	5.6 	5.4 	4.9 	4.9 b	5.5 	5.4 b	5.5 b	6.2 	6.6 	6.7 
T,POP,Y18-24,PC,DE	13.5 b	13.7 	12.5 	11.8 b	11.1 	11.8 b	11.6 	10.5 	9.8 	9.5 b	10.1 	10.3 	10.1 
T,POP,Y18-24,PC,DK	8.7 	9.1 	12.9 b	12.5 	11.3 	11.0 	9.6 	9.1 	8.0 	7.8 b	7.8 	7.2 b	8.8 b
T,POP,Y18-24,PC,EA18	17.6 	17.3 b	16.8 	16.4 	15.8 	15.5 	14.7 	13.8 	12.9 	11.9 b	11.7 	11.2 	11.0 
T,POP,Y18-24,PC,EA19	17.5 	17.2 b	16.7 	16.3 	15.7 	15.4 	14.6 	13.8 	12.8 	11.8 b	11.6 	11.1 	11.0 
T,POP,Y18-24,PC,EE	14.0 	13.4 	14.4 	14.0 	13.5 b	11.0 	10.6 	10.3 	9.7 	12.0 b	12.2 	10.9 	10.8 
T,POP,Y18-24,PC,EL	13.3 	15.1 b	14.3 	14.4 b	14.2 b	13.5 	12.9 	11.3 	10.1 	9.0 b	7.9 	6.2 	6.0 
T,POP,Y18-24,PC,ES	31.0 b	30.3 b	30.8 	31.7 	30.9 	28.2 	26.3 	24.7 	23.6 	21.9 b	20.0 	19.0 	18.3 
T,POP,Y18-24,PC,EU27	15.8 	15.4 b	15.0 	14.8 	14.3 	14.0 	13.5 	12.8 	12.0 	11.3 b	11.0 	10.8 	10.6 
T,POP,Y18-24,PC,EU28	15.7 	15.3 b	14.9 	14.7 	14.2 	13.9 	13.4 	12.7 	11.9 	11.2 b	11.0 	10.7 	10.6 
T,POP,Y18-24,PC,FI	10.3 	9.7 	9.1 	9.8 	9.9 	10.3 	9.8 	8.9 	9.3 	9.5 b	9.2 	7.9 	8.2 
T,POP,Y18-24,PC,FR	12.5 	12.7 	12.8 	11.8 	12.4 	12.7 	12.3 	11.8 	9.7 b	8.8 b	9.2 	8.8 	8.9 
T,POP,Y18-24,PC,HR	5.1 bu	4.7 bu	4.5 	4.4 	5.2 	5.2 b	5.0 	5.1 	4.5 	2.8 bu	2.8 u	2.8 u	3.1 
T,POP,Y18-24,PC,HU	12.5 	12.5 b	11.4 	11.7 	11.5 	10.8 	11.4 	11.8 	11.9 	11.4 b	11.6 b	12.4 	12.5 
T,POP,Y18-24,PC,IE	12.5 	12.2 b	12.0 b	11.7 	11.8 	11.9 	11.0 	9.9 	8.6 	6.9 b	7.0 	6.2 	5.1 b
T,POP,Y18-24,PC,IS	24.9 	25.6 u	23.2 	24.4 	21.3 b	22.6 	19.7 	20.1 	20.5 	19.1 b	18.8 	19.8 	17.8 
T,POP,Y18-24,PC,IT	22.1 	20.4 b	19.5 	19.6 	19.1 	18.6 	17.8 	17.3 	16.8 	15.0 b	14.7 	13.8 	14.0 
T,POP,Y18-24,PC,LT	8.4 	8.8 b	7.8 	7.5 	8.7 	7.9 	7.4 	6.5 	6.3 	5.9 b	5.5 	4.8 	5.4 
T,POP,Y18-24,PC,LU	13.3 	14.0 b	12.5 b	13.4 	7.7 b	7.1 	6.2 	8.1 	6.1 	6.1 b	9.3 b	5.5 	7.3 
T,POP,Y18-24,PC,LV	15.4 	15.6 b	15.6 	15.5 	14.3 	12.9 	11.6 	10.6 	9.8 	8.5 b	9.9 	10.0 	8.6 
T,POP,Y18-24,PC,ME	: 	: 	: 	: 	: 	: 	7.2 	6.7 	5.6 	5.1 b	5.7 	5.5 	5.4 
T,POP,Y18-24,PC,MK	: 	22.8 	19.9 b	19.6 	16.2 	15.5 	13.5 	11.7 	11.4 	12.5 b	11.4 	9.9 	8.5 
T,POP,Y18-24,PC,MT	33.0 b	32.2 b	30.2 	27.2 	25.7 	23.8 	22.7 b	21.7 	20.8 	20.9 b	20.2 	19.2 	17.7 b
T,POP,Y18-24,PC,NL	13.5 	12.6 b	11.7 	11.4 	10.9 	10.0 b	9.2 	8.9 	9.3 b	8.7 b	8.2 	8.0 	7.1 
T,POP,Y18-24,PC,NO	4.6 	17.8 b	18.4 	17.0 	17.6 	17.4 	16.6 	14.8 	13.7 	11.7 b	10.2 	10.9 	10.4 
T,POP,Y18-24,PC,PL	5.3 	5.4 	5.0 	5.0 b	5.3 	5.4 b	5.6 	5.7 	5.6 b	5.4 b	5.3 	5.2 	5.0 
T,POP,Y18-24,PC,PT	38.3 	38.5 b	36.5 	34.9 	30.9 	28.3 	23.0 b	20.5 	18.9 	17.4 b	13.7 	14.0 	12.6 
T,POP,Y18-24,PC,RO	19.6 	17.9 b	17.3 	15.9 	16.6 	19.3 b	18.1 	17.8 	17.3 	18.1 b	19.1 	18.5 	18.1 
T,POP,Y18-24,PC,SE	10.8 b	8.6 b	8.0 b	7.9 b	7.0 	6.5 	6.6 	7.5 	7.1 	6.7 b	7.0 	7.4 	7.7 
T,POP,Y18-24,PC,SI	4.9 	5.6 b	4.1 	5.1 	5.3 	5.0 	4.2 	4.4 	3.9 	4.4 b	5.0 	4.9 	4.3 
T,POP,Y18-24,PC,SK	6.3 	6.6 b	6.5 	6.0 	4.9 	4.7 	5.1 b	5.3 	6.4 	6.7 b	6.9 	7.4 	9.3 
T,POP,Y18-24,PC,TR	: 	48.8 b	46.9 	45.5 	44.3 	43.1 	41.9 	39.6 	37.5 	38.3 b	36.4 	34.3 	32.5 
T,POP,Y18-24,PC,UK	11.5 	11.2 	16.6 b	16.9 b	15.7 	14.8 b	14.9 b	13.4 	12.4 	11.8 b	10.8 	11.2 	10.6 
