indic_bt,nace_r2,s_adj,unit,geo\time	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,AT	99.9 p	99.3 p	100.7 p	101.1 	101.5 	103.1 	104.0 	104.2 p	105.1 p	106.0 p	107.2 p	107.7 p
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,BE	100.4 	101.2 	101.5 	101.6 	102.1 	102.4 	102.4 	103.2 	103.6 	104.6 	104.9 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,BG	102.2 	100.2 	100.2 	100.0 	102.7 	102.3 p	102.3 p	102.2 p	106.4 p	104.3 p	106.0 p	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,CH	100.2 	99.8 e	99.5 	99.3 e	99.1 	99.1 e	99.2 	99.5 e	99.8 	100.2 e	100.5 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,CY	99.3 	98.9 	99.3 	99.3 	99.2 	99.5 	99.1 	99.0 	99.7 	100.1 	100.3 p	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,CZ	99.9 	99.6 	100.1 	100.4 	100.9 	102.0 	102.8 	103.2 	104.1 	105.2 	106.2 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,DE	99.9 	100.2 	100.8 	101.3 	101.9 	102.8 	103.6 	104.5 	105.5 	106.0 	107.0 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,DK	101.0 	101.1 	101.7 	101.6 	102.1 	102.3 	102.3 	102.4 	102.6 	103.3 	104.4 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,EA19	99.8 	99.8 	100.3 	100.8 	101.1 	101.8 	102.4 	102.8 	103.5 	104.1 	104.8 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,EE	100.1 	99.5 	99.3 	99.7 	99.9 	99.9 	100.4 	101.2 	101.8 	102.0 	102.5 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,EL	99.1 	98.4 	98.5 	98.2 	98.2 	98.5 	98.2 	98.4 	98.9 	99.1 	99.1 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,ES	98.2 	97.4 	99.1 	99.4 p	99.2 	99.9 	101.0 	101.1 	101.4 	102.0 p	102.2 p	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,EU28	100.0 	100.0 	100.5 	100.9 	101.3 	102.1 	102.6 	103.2 	104.0 	104.8 	105.5 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,FI	100.1 	100.0 	100.4 	100.5 	101.1 	100.4 	100.5 	100.8 	101.5 	102.0 	102.7 	103.5 e
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,FR	99.5 	99.4 	99.7 	100.6 	100.7 	101.7 	102.3 	102.5 	103.5 	104.2 	104.9 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,HR	100.0 	99.5 	98.7 	98.1 	99.2 	98.6 	97.7 	99.4 	98.6 	99.3 	99.1 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,HU	104.1 e	98.8 e	101.4 e	101.6 e	105.0 e	105.2 e	108.2 e	108.3 e	113.5 e	109.4 e	113.3 e	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,IE	100.2 	100.1 	100.6 	100.9 	101.2 	101.6 	102.4 	102.7 	102.8 	102.9 	105.9 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,IT	100.2 	100.2 	100.3 	100.3 	100.5 	100.6 	100.8 	100.9 	101.1 	101.5 	101.7 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,LT	100.5 	101.1 	101.5 	102.9 	103.3 	104.4 	105.8 	107.9 	108.1 	108.2 	109.5 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,LU	100.3 	100.6 e	100.9 	101.1 e	101.4 	102.1 e	102.9 	103.1 	103.4 	103.8 e	104.2 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,LV	101.7 	107.6 	104.1 	104.6 	106.5 	106.5 	108.1 	107.5 	110.9 	110.9 	111.9 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,ME	94.7 	90.8 	96.3 	92.6 	87.7 	99.0 	97.0 	98.5 	97.0 	96.2 	103.8 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,MK	100.4 	96.0 	97.7 	98.1 	98.5 	100.0 	101.9 	103.4 	104.1 	105.2 	108.5 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,MT	101.3 p	102.2 p	102.1 p	102.3 p	102.2 p	102.6 p	103.8 p	104.6 p	104.7 p	104.8 p	104.9 p	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,NL	100.9 p	101.2 p	101.1 p	102.0 p	102.2 p	103.0 	103.5 	104.1 	104.8 	105.4 p	105.8 p	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,NO	100.6 	101.3 	102.8 	103.4 	103.9 	104.5 	105.0 	105.4 	106.4 	107.3 	: 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,PL	99.6 	99.5 	99.7 	99.9 	100.1 	100.1 	100.1 	100.7 	101.5 	101.9 	102.9 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,PT	100.4 	100.7 	101.6 	102.4 	102.9 	103.2 	103.7 	104.4 	104.8 	105.2 	105.8 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,RO	99.1 	98.5 	101.2 	100.1 	103.4 	106.1 	107.1 	108.8 	112.6 	119.0 	120.0 p	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,SE	100.7 	101.0 	101.9 	102.7 	103.2 	103.7 	104.6 	105.3 	106.0 	107.3 	108.8 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,SI	99.1 	98.2 	96.9 	98.5 	101.7 	103.0 	100.5 	104.1 	106.5 	104.2 	106.4 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,SK	100.6 	100.7 	101.1 	101.3 	101.3 	102.5 	103.9 	104.3 	104.7 	106.3 	107.5 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,TR	100.9 	104.2 	106.5 	107.0 	113.3 	121.2 	124.7 	130.6 	139.0 	: 	: 	: 
CSTI,F_CC11_X_CC113,NSA,I2015_NSA,UK	100.3 p	100.6 p	100.8 p	101.2 p	101.8 p	102.8 p	103.2 p	104.7 p	105.7 p	107.0 p	107.9 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,AT	-0.5 p	-0.6 p	1.4 p	0.4 p	0.4 	1.6 	0.9 	0.2 p	0.9 p	0.9 p	1.1 p	0.5 p
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,BE	0.2 	0.8 	0.3 	0.1 	0.5 	0.3 	0.0 	0.8 	0.4 	1.0 	0.3 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,BG	3.1 	-2.0 	0.0 	-0.2 	2.7 	-0.4 p	0.0 p	-0.1 p	4.1 p	-2.0 p	1.6 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,CH	0.2 e	-0.4 e	-0.3 e	-0.2 e	-0.2 e	0.0 e	0.1 e	0.3 e	0.3 e	0.4 e	0.3 e	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,CY	-0.6 	-0.4 	0.4 	0.0 	-0.1 	0.3 	-0.4 	-0.1 	0.7 	0.4 	0.2 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,CZ	-0.2 	-0.3 	0.5 	0.3 	0.5 	1.1 	0.8 	0.4 	0.9 	1.1 	1.0 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,DE	-0.1 	0.3 	0.6 	0.5 	0.6 	0.9 	0.8 	0.9 	1.0 	0.5 	0.9 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,DK	0.8 	0.1 	0.6 	-0.1 	0.5 	0.2 	0.0 	0.1 	0.2 	0.7 	1.1 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,EA19	-0.4 	0.0 	0.5 	0.5 	0.3 	0.7 	0.6 	0.4 	0.7 	0.6 	0.7 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,EE	0.2 	-0.6 	-0.2 	0.4 	0.2 	0.0 	0.5 	0.8 	0.6 	0.2 	0.5 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,EL	-0.7 	-0.7 	0.1 	-0.3 	0.0 	0.3 	-0.3 	0.2 	0.5 	0.2 	0.0 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,ES	-2.4 	-0.8 	1.7 	0.3 p	-0.2 p	0.7 	1.1 	0.1 	0.3 	0.6 p	0.2 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,EU28	-0.2 	0.0 	0.5 	0.4 	0.4 	0.8 	0.5 	0.6 	0.8 	0.8 	0.7 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,FI	0.2 	-0.1 	0.4 	0.1 	0.6 	-0.7 	0.1 	0.3 	0.7 	0.5 	0.7 	0.8 e
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,FR	-0.5 	-0.1 	0.3 	0.9 	0.1 	1.0 	0.6 	0.2 	1.0 	0.7 	0.7 	: 
