unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,NCO,F4,LIAB,S11,MT	243.3 e	220.6 e	238.2 e	291.6 e	132.3 e	125.9 e	198.1 e	662.4 e	593.1 e	303.3 	485.0 	714.8 	733.1 	1297.9 	940.2 	890.3 	933.8 	127.7 	366.8 	1076.0 	250.6 	558.2 	760.5 
MIO_NAC,NCO,F4,LIAB,S11,NL	-649.0 	13020.0 	12632.0 	22502.0 	34535.0 	24465.0 	16939.0 	14319.0 	22778.0 	15136.0 	37296.0 	19285.0 	47669.0 	40399.0 	2759.0 	87782.0 	95216.0 	22974.0 	38055.0 	-1937.0 	-3708.0 	22360.0 	22227.0 p
MIO_NAC,NCO,F4,LIAB,S11,PL	15027.0 	22550.0 	17885.0 	37716.9 	24316.0 	29156.7 	19417.6 	4732.4 	7413.8 	-11560.0 	12091.0 	64253.0 	58375.0 	102755.0 	14763.0 	14940.0 	53284.0 	47474.0 	16617.0 	36340.0 	47038.0 	56639.0 	33009.0 
MIO_NAC,NCO,F4,LIAB,S11,PT	-1724.4 	5964.3 	5675.1 	10192.3 	6781.4 	12759.7 	11282.7 	11010.2 	11892.5 	19137.6 	642.7 	349.2 	16214.6 	18577.9 	6216.2 	9366.6 	3700.8 	3987.0 	-6569.9 	-1245.7 	-1197.2 	-3330.9 	-825.3 
MIO_NAC,NCO,F4,LIAB,S11,RO	248.8 e	552.8 e	1228.5 e	2233.8 	-1320.6 	2304.0 	7358.0 	9780.5 	9407.1 	17837.9 	21924.3 	33319.5 	48917.3 	53253.3 	4549.5 	3847.5 	12144.0 	2401.5 	-5992.8 	-13380.5 	-2469.5 	-455.5 	4466.2 
MIO_NAC,NCO,F4,LIAB,S11,SE	-43589.0 	8983.0 	6026.0 	164034.0 	176621.0 	245104.0 	201532.0 	64606.0 	56114.0 	102425.0 	212256.0 	224697.0 	615682.0 	624635.0 	29628.0 	114284.0 	223526.0 	-183162.0 	-111396.0 	-6893.0 	143244.0 	9699.0 	133003.0 
MIO_NAC,NCO,F4,LIAB,S11,SI	731.0 	405.0 	741.0 	1111.0 	1486.0 	1541.0 	1835.0 	1616.0 	1805.0 	2041.0 	2786.0 	3032.0 	6223.0 	5715.0 	531.0 	265.0 	697.0 	-937.0 	-1389.0 	-1971.0 	-2407.0 	-777.0 	-513.0 
MIO_NAC,NCO,F4,LIAB,S11,SK	1513.1 	1423.4 	1438.3 	2280.7 	-318.7 	-3017.5 	1048.2 	1832.9 	240.2 	-685.3 	500.0 	1578.9 	2274.0 	4120.9 	-606.1 	133.5 	876.5 	759.4 	-84.4 	-505.2 	3591.5 	3189.3 	3554.0 
MIO_NAC,NCO,F4,LIAB,S11,UK	9626.0 	12220.0 	35449.0 	60625.0 	43960.0 	42210.0 	74831.0 	65535.0 	28274.0 	40992.0 	85199.0 	107212.0 	122962.0 	162074.0 	-87049.0 	-29139.0 	-23825.0 	4253.0 	27208.0 	37678.0 	3314.0 	97882.0 	64594.0 
MIO_NAC,NCO,F4,LIAB,S14,AT	: 	3760.1 	3587.3 	2454.3 	6221.6 	5762.8 	5063.7 	5455.2 	5158.7 	7408.8 	8205.1 	7018.5 	5496.7 	2772.1 	894.9 	1083.5 	2728.8 	328.3 	1342.7 	2266.8 	2749.6 	2795.3 	4855.4 
