unit,tax,nace_r2,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,NRG,A,AT	8.1 	7.2 	6.8 	6.7 	6.8 	6.3 	5.9 	5.9 	5.7 	5.6 	5.3 	5.4 	5.4 	5.5 	5.5 	5.4 	5.5 	5.4 	5.3 	5.3 	5.2 	: 
PC,NRG,A,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	0.4 	0.2 	0.2 	0.3 	0.2 	0.2 	0.2 	: 
PC,NRG,A,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.2 	5.2 	5.7 	5.5 	5.7 	6.0 	5.7 	5.3 	: 
PC,NRG,A,CH	: 	: 	: 	: 	: 	1.9 	1.9 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	1.7 	1.8 	1.8 	1.9 	2.0 	2.1 	: 
PC,NRG,A,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	: 
PC,NRG,A,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	3.5 	3.9 	3.8 	3.7 	3.6 	3.8 	4.0 	4.4 	5.0 	4.7 	: 
PC,NRG,A,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.2 	2.6 	2.5 	2.7 	2.7 	2.8 	2.8 	: 
PC,NRG,A,DK	1.9 	2.0 	2.2 	2.7 	2.7 	2.6 	2.3 	2.3 	2.1 	2.2 	2.1 	1.9 	2.2 	1.7 	2.0 	1.9 	2.3 	2.6 	2.5 	2.6 	2.7 	2.7 
PC,NRG,A,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.5 	2.4 	2.2 	2.2 	2.3 	2.4 	2.5 	2.5 	: 
PC,NRG,A,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.5 	3.1 	3.6 	3.9 	3.8 	3.5 	3.6 	4.3 	: 
PC,NRG,A,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	3.9 	6.9 	7.2 p	6.0 p	6.6 p	6.5 p	6.0 p	: 
PC,NRG,A,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	1.4 	1.4 	1.2 	1.4 	1.5 	1.3 	1.4 	: 
PC,NRG,A,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.6 	2.7 	2.5 	2.5 	2.5 	2.6 	2.7 	2.7 	: 
PC,NRG,A,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	2.4 	2.7 	2.3 	2.4 	2.8 	2.5 	2.3 	: 
PC,NRG,A,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.7 e	2.7 	2.6 	2.6 	2.7 	2.7 	2.8 	2.5 	2.3 p
PC,NRG,A,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	6.0 	4.4 	4.5 	4.4 	4.2 	4.0 	6.7 	: 
PC,NRG,A,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	5.0 	5.0 	5.1 	5.0 	5.4 	5.5 	5.7 	6.3 	6.0 	6.2 	: 
PC,NRG,A,IE	0.8 	0.8 	0.9 	1.0 	1.2 	1.5 	1.4 	1.3 	1.3 	1.3 	1.4 	1.2 	1.0 	0.9 	1.0 	1.3 	1.8 	1.8 	1.9 	2.0 	2.2 	2.3 
