s_adj,bop_item,sector10,sectpart,stk_flow,partner,unit,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT	-61.0 	-48.0 	-41.0 	-51.0 	28.0 	2.0 	9.0 	-24.0 	53.0 	-45.0 	-39.0 	72.0 	-41.4 	-56.5 	-35.2 	-43.0 	-65.0 	-26.0 	-69.0 	-35.0 	-51.0 	-100.0 	-85.0 	-206.0 	-64.0 	-73.0 	-156.0 	-216.0 	-78.0 	-55.0 	-214.0 	-111.0 	13.0 	9.0 	-35.0 	-106.0 	-20.0 	-32.0 	-78.0 	-38.0 	-20.0 	-15.0 	35.0 	11.0 	-287.0 	-49.0 	-52.0 	-518.0 	-87.0 	-45.0 	204.0 	-45.0 	-92.0 	-35.0 	-38.0 	3.0 	-74.0 	-114.0 	-139.0 	202.0 	476.0 	-92.0 	-133.0 	-74.0 	-65.0 	-80.0 	-95.0 	-90.0 	-135.0 	-99.0 	-102.0 	-112.0 	-167.0 	-101.0 	-106.0 	-115.0 	-80.0 	-79.0 	-47.0 	-141.0 	144.0 	6.0 	-1567.0 	-379.0 	-81.0 	-674.0 	668.0 	-285.0 	-40.0 	-60.0 	-63.0 	-90.0 	-139.0 	-55.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-701.0 	-60.0 	-57.0 	-125.0 	-206.0 	-21.8 	-73.6 	-86.8 	-180.0 	-174.0 	-159.0 	-209.0 	-197.2 	-94.5 	-142.0 	227.7 	-153.9 	-223.1 	-281.4 	-591.8 	-386.0 	-562.0 	-451.0 	-459.0 	-138.0 	-141.0 	-172.0 	-199.0 	-212.0 	-239.0 	-220.0 	-192.0 	-41.0 	-26.0 	-151.0 	-198.0 	-48.0 	92.0 	-165.0 	2443.0 	-207.0 	-90.0 	-171.0 	59.0 	-304.0 	-90.0 	-104.0 	-416.0 	-54.0 	6.0 	64.0 	35.0 	18.0 	9.0 	-30.0 	413.0 	-30.0 	86.0 	308.0 	14.0 	-35.0 	2.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	-1.3 	-3.1 	0.0 	22.9 	26.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	72.2 	20.6 	119.8 	107.2 	43.3 	118.1 	162.6 	142.8 	36.3 	97.9 	: 	: 	56.1 	72.9 	62.0 	-1339.7 	363.3 	32.0 	66.8 	80.6 	357.3 	237.6 	148.9 	189.4 	122.9 	-175.1 	349.3 	281.0 	43.8 	95.5 	249.7 	596.3 	22.5 	81.6 	323.1 	640.6 	32.3 	244.7 	325.4 	315.5 	248.9 	387.0 	396.7 	844.2 	565.4 	861.4 	589.6 	765.5 	1098.3 	489.9 	358.0 	148.3 	221.5 	159.4 	280.8 	374.2 	3.4 	377.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.0 	4.0 	6.0 	5.0 	15.0 	6.0 	8.0 	35.0 	2.0 	0.0 	0.0 	55.0 	5.0 	35.0 	13.0 	28.0 	8.0 	13.0 	12.0 	3.0 	199.0 	1.0 	0.0 	55.0 	42.0 	28.0 	45.0 	32.0 	13.0 	13.0 	9.0 	14.0 	25.0 	9.0 	2.0 	0.0 	4.0 	14.0 	29.0 	56.0 	8.0 	40.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CZ	38.0 	101.0 	8.0 	34.0 	0.0 	11.0 	7.0 	-1.0 	328.0 	-23.0 	5.0 	7.0 	-110.0 	167.0 	-7.0 	17.0 	-30.0 	-30.0 	3.0 	-16.0 	-54.0 	-2.0 	-73.0 	-68.0 	-43.0 	-23.0 	-13.0 	-253.0 	22.0 	25.0 	-144.0 	-23.0 	-40.0 	-36.0 	11.0 	-18.0 	314.0 	496.0 	3123.0 	-18113.0 	13754.0 	1172.0 	-65.0 	9407.0 	4413.0 	-921.0 	2725.0 	5198.0 	4007.0 	531.0 	3812.0 	13575.0 	6970.0 	12898.0 	1822.0 	4334.0 	15871.0 	5499.0 	6228.0 	23677.0 	2743.0 	10459.0 	16570.0 	7824.0 	697.0 	78.0 	630.0 	11306.0 	544.0 	320.0 	7306.0 	44840.0 	595.0 	3810.0 	56330.0 	21702.0 	21333.0 	871.0 	2205.0 	7911.0 	30712.0 	52675.0 	7939.0 	10570.0 	18502.0 	21698.0 	12094.0 	1215.0 	1007.0 	7745.0 	8196.0 	29509.0 	1336.0 	-1290.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,DE	-193.0 	-1539.0 	-266.0 	-251.0 	-370.0 	-138.0 	-1159.0 	-644.0 	-328.0 	-305.0 	634.0 	-434.0 	151.6 	-173.6 	416.8 	-828.6 	131.0 	-106.0 	-962.0 	0.0 	45.0 	-482.0 	7182.0 	-1654.0 	421.0 	-215.0 	-4055.0 	590.0 	49.0 	-524.0 	-403.0 	-3133.0 	-148.0 	132.0 	128.0 	5809.0 	248.0 	15.0 	244.0 	-626.0 	-1463.0 	53.0 	-1410.0 	487.0 	138.0 	-88.0 	-423.0 	-955.0 	-268.0 	222.0 	198.0 	-1748.0 	304.0 	93.0 	-625.0 	-664.0 	-976.0 	84.0 	266.0 	-1232.0 	512.0 	418.0 	227.0 	62.0 	1404.0 	-46.0 	244.0 	-1183.0 	-208.0 	522.0 	1341.0 	-2068.0 	409.0 	744.0 	11.0 	-1728.0 	2232.0 	2.0 	846.0 	-142.0 	353.0 	1407.0 	777.0 	-2004.0 	-205.0 	1009.0 	307.0 	2356.0 	617.0 	-727.0 	904.0 	-1047.0 	214.0 	85.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3013.0 	-14.0 	23.0 	-803.0 	85.0 	58.0 	135.0 	-231.0 	-57.0 	53.0 	157.0 	112.0 	79.0 	97.0 	111.0 	141.0 	128.0 	-659.0 	126.0 	127.0 	99.0 	126.0 	106.0 	139.0 	182.0 	235.0 	5128.0 	224.0 	96.0 	104.0 	137.0 	116.0 	47.0 	-65.0 	-13.0 	-559.0 	-645.0 	-1417.0 	-1205.0 	-867.0 	-1549.0 	-1700.0 	-1891.0 	-1979.0 	82.0 	48.0 	25.0 	12.0 	342.0 	303.0 	186.0 	180.0 	260.0 	332.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,EE	0.0 	-0.4 	-0.1 	-0.1 	-0.2 	-0.1 	-0.1 	-0.1 	-0.4 	-0.1 	-0.1 	0.5 	0.6 	0.2 	0.6 	0.1 	0.6 	0.2 	0.0 	0.4 	6.8 	7.7 	6.4 	7.3 	3.9 	5.1 	3.4 	3.7 	12.2 	9.6 	11.1 	7.7 	12.5 	6.1 	11.1 	22.1 	11.8 	11.3 	16.0 	31.5 	10.1 	10.1 	14.7 	51.7 	77.3 	44.6 	79.7 	91.0 	50.1 	23.0 	30.2 	99.8 	19.0 	51.0 	27.0 	109.0 	53.0 	74.0 	127.0 	230.0 	49.0 	78.0 	133.0 	252.0 	171.0 	143.0 	165.0 	199.0 	92.4 	137.9 	190.8 	185.7 	101.6 	151.0 	154.1 	84.6 	13.8 	61.5 	71.4 	68.6 	117.1 	75.6 	98.7 	132.7 	32.5 	64.1 	48.4 	80.5 	29.0 	12.0 	56.4 	132.8 	35.4 	37.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	811.0 	236.0 	298.0 	702.0 	738.0 	770.0 	557.0 	976.0 	1917.0 	420.0 	174.0 	1821.0 	1416.0 	768.0 	860.0 	1048.0 	479.0 	422.0 	619.0 	496.0 	149.0 	-12.0 	633.0 	1303.0 	312.0 	-2.0 	841.0 	1520.0 	1054.0 	15.0 	515.0 	744.0 	1093.0 	16.0 	1674.0 	258.0 	1462.0 	380.0 	-53.0 	721.0 	480.0 	126.0 	-54.0 	1436.0 	689.0 	-43.0 	-33.0 	423.0 	235.0 	109.0 	9.0 	561.0 	188.0 	-4.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,ES	701.0 	923.0 	1214.0 	1407.0 	1098.0 	1156.0 	1063.0 	1398.0 	848.0 	1400.0 	606.0 	1369.0 	1974.0 	746.0 	1226.0 	1350.0 	1454.0 	1081.0 	1129.0 	2539.0 	988.0 	1756.0 	980.0 	957.0 	1350.0 	2147.0 	561.0 	721.0 	1531.0 	2084.0 	1814.0 	1629.0 	1716.0 	2120.0 	1423.0 	3052.0 	963.0 	2673.0 	1953.0 	2163.0 	974.0 	2413.0 	1483.0 	2458.0 	784.0 	920.0 	1179.0 	2731.0 	1336.0 	430.0 	361.0 	2129.0 	2054.0 	1221.0 	871.0 	523.0 	839.0 	1026.0 	537.0 	930.0 	1572.0 	1374.0 	990.0 	958.0 	1309.0 	1003.0 	964.0 	779.0 	339.0 	1449.0 	1243.0 	2147.0 	578.0 	1442.0 	1096.0 	3459.0 	794.0 	1225.0 	636.0 	2394.0 	650.0 	1538.0 	1521.0 	3360.0 	626.0 	618.0 	362.0 	936.0 	409.0 	565.0 	551.0 	1160.0 	750.0 	795.0 
