currency,indic_il,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PPS,LI_C_MD60,A1,IE	9563 	10633 	10901 	10386 	10102 	9999 	9962 	10039 	9939 	10622 	10998 	: 
PPS,LI_C_MD60,A1,IS	11136 	11937 	12978 	12958 	10963 	10826 	10826 	11676 	12080 	12482 	13309 p	: 
PPS,LI_C_MD60,A1,IT	8344 	8698 	9158 	9140 	9135 	9466 	9297 	9189 	9152 	9237 	9728 	9875 
PPS,LI_C_MD60,A1,LT	2772 	3428 	4111 	4289 	3611 	3641 	4034 	4369 	4557 	4951 	5616 	5854 
PPS,LI_C_MD60,A1,LU	15851 	16108 	16166 	16265 	15961 	15961 	15948 	16818 	16962 	17571 	16784 b	17292 
PPS,LI_C_MD60,A1,LV	2686 	3352 	4283 	4279 	3525 	3566 	3661 	3868 	4392 	4855 	5540 	5569 
PPS,LI_C_MD60,A1,MK	: 	: 	: 	: 	: 	: 	2350 	2396 	2458 	2734 	2964 	: 
PPS,LI_C_MD60,A1,MT	7246 	7465 	7958 	8146 	8023 	8417 	8760 	9034 	9300 	10009 	10323 	10601 
PPS,LI_C_MD60,A1,NL	9897 	10522 	11485 	11618 	11288 	11300 	11387 	11536 	11283 	11632 	12717 b	12732 
PPS,LI_C_MD60,A1,NO	12119 	12420 	13871 	14402 	13945 	14519 	15344 	16069 	16715 	16994 	17325 	16818 
PPS,LI_C_MD60,A1,PL	3057 	3365 	4039 	4417 	4547 	4993 	5181 	5495 	5736 	5970 	6512 	6650 
PPS,LI_C_MD60,A1,PT	5157 	5349 	5702 	5655 	5837 	5773 	5877 	5892 	6075 	6190 	6479 	6478 
PPS,LI_C_MD60,A1,RO	: 	1670 	1837 	2066 	2122 	2186 	2226 	2332 	2408 	2614 	2837 	3143 
PPS,LI_C_MD60,A1,RS	: 	: 	: 	: 	: 	: 	: 	2863 	2716 	3025 	3149 	: 
PPS,LI_C_MD60,A1,SE	9068 	9545 	10495 b	10885 	10535 	10819 	11366 	12017 	11718 	12092 	12451 	12100 
PPS,LI_C_MD60,A1,SI	7292 	7753 	8287 	8599 	8009 	8364 	8563 	8527 	8597 	9061 	9149 	9098 
PPS,LI_C_MD60,A1,SK	2772 	3365 	4058 	4694 	5016 	5385 	5879 	5743 	5883 	6132 	6281 	6336 
PPS,LI_C_MD60,A1,TR	2116 	2434 	2486 	2682 	2608 	2859 	3112 	3163 	3274 	3397 	: 	: 
PPS,LI_C_MD60,A1,UK	10578 	11267 	11126 	10091 	9521 	9466 	9868 b	10060 	10138 	10669 	10421 	: 
PPS,LI_C_MD60,A2_2CH_LT14,AT	21950 	22441 	23855 b	24534 	24590 	25735 	25958 	26339 	27294 	27696 	29122 	29401 
PPS,LI_C_MD60,A2_2CH_LT14,BE	20385 	20552 	21096 	22053 	21838 	22880 	23180 	24649 	24684 	25101 	26854 	26317 
PPS,LI_C_MD60,A2_2CH_LT14,BG	4032 b	4157 	6004 	7215 	7415 	7347 	7179 	7434 	8510 	8671 	8501 b	9472 
PPS,LI_C_MD60,A2_2CH_LT14,CH	: 	25908 	27195 	28391 	28072 	28887 	30421 	32421 	32438 b	33504 	34778 	: 
PPS,LI_C_MD60,A2_2CH_LT14,CY	20616 	22997 	22984 b	23639 	22713 	24144 	24033 	21628 	19860 	19295 	20384 	20800 
PPS,LI_C_MD60,A2_2CH_LT14,CZ	10409 	11140 	12254 	11898 	12171 	12586 	12994 	13610 	13974 	14682 	15720 	15887 
PPS,LI_C_MD60,A2_2CH_LT14,DE	19110 	21829 	22689 	22617 	22143 	23177 	24201 	24542 	24212 	25660 	26685 	26731 
PPS,LI_C_MD60,A2_2CH_LT14,DK	20345 	21254 	22177 	22577 	22616 	24171 b	24227 	24876 	25183 	25684 	26879 	26699 
PPS,LI_C_MD60,A2_2CH_LT14,EE	7090 	8179 	9530 	10208 	9340 	9431 	9942 	10845 	11644 b	13144 	14957 	15697 
PPS,LI_C_MD60,A2_2CH_LT14,EL	14064 	14433 	15160 	15794 	15874 	14650 	12679 	11397 	10929 	11091 	11419 	11388 
PPS,LI_C_MD60,A2_2CH_LT14,ES	15404 	15989 	18954 b	19610 	18830 	18175 	18023 	17955 	17886 	18224 	19320 	19548 
PPS,LI_C_MD60,A2_2CH_LT14,FI	18660 	19204 	20860 	21884 	21686 	22596 	23406 	24165 	24254 	24482 	25194 	24956 
PPS,LI_C_MD60,A2_2CH_LT14,FR	18877 	19087 	22041 b	22353 	22406 	22883 	23668 	24184 	24327 	25055 	25987 	25770 
PPS,LI_C_MD60,A2_2CH_LT14,HR	: 	: 	: 	: 	9591 b	9353 	9276 	9341 	9752 	10398 	11318 	: 
PPS,LI_C_MD60,A2_2CH_LT14,HU	7657 	8178 	8312 	8604 	8451 	8990 	9581 	9170 	9524 	9978 	10422 	10539 
PPS,LI_C_MD60,A2_2CH_LT14,IE	20082 	22329 	22893 	21810 	21214 	20998 	20921 	21082 	20872 	22307 	23095 	: 
PPS,LI_C_MD60,A2_2CH_LT14,IS	23385 	25067 	27254 	27212 	23023 	22734 	22735 	24519 	25367 	26213 	27949 p	: 
PPS,LI_C_MD60,A2_2CH_LT14,IT	17522 	18267 	19232 	19194 	19184 	19878 	19524 	19296 	19220 	19397 	20429 	20737 
PPS,LI_C_MD60,A2_2CH_LT14,LT	5821 	7199 	8634 	9008 	7583 	7645 	8472 	9176 	9570 	10396 	11793 	12293 
PPS,LI_C_MD60,A2_2CH_LT14,LU	33287 	33827 	33948 	34157 	33519 	33517 	33490 	35318 	35621 	36900 	35246 b	36313 
PPS,LI_C_MD60,A2_2CH_LT14,LV	5640 	7040 	8993 	8987 	7403 	7489 	7687 	8122 	9224 	10196 	11635 	11695 
PPS,LI_C_MD60,A2_2CH_LT14,MK	: 	: 	: 	: 	: 	: 	4934 	5032 	5162 	5741 	6225 	: 
PPS,LI_C_MD60,A2_2CH_LT14,MT	15216 	15677 	16712 	17106 	16848 	17676 	18397 	18971 	19531 	21018 	21678 	22262 
PPS,LI_C_MD60,A2_2CH_LT14,NL	20783 	22097 	24119 	24399 	23705 	23730 	23912 	24225 	23695 	24428 	26706 b	26737 
PPS,LI_C_MD60,A2_2CH_LT14,NO	25450 	26082 	29129 	30244 	29284 	30489 	32223 	33745 	35102 	35687 	36383 	35317 
PPS,LI_C_MD60,A2_2CH_LT14,PL	6420 	7067 	8482 	9275 	9548 	10486 	10880 	11539 	12045 	12537 	13676 	13964 
PPS,LI_C_MD60,A2_2CH_LT14,PT	10830 	11233 	11974 	11876 	12258 	12122 	12341 	12373 	12758 	12999 	13607 	13603 
PPS,LI_C_MD60,A2_2CH_LT14,RO	: 	3507 	3858 	4339 	4457 	4591 	4674 	4897 	5057 	5489 	5957 	6601 
PPS,LI_C_MD60,A2_2CH_LT14,RS	: 	: 	: 	: 	: 	: 	: 	6013 	5704 	6353 	6613 	: 
PPS,LI_C_MD60,A2_2CH_LT14,SE	19042 	20045 	22039 b	22859 	22123 	22719 	23869 	25235 	24607 	25394 	26148 	25410 
PPS,LI_C_MD60,A2_2CH_LT14,SI	15313 	16282 	17403 	18057 	16819 	17565 	17982 	17908 	18053 	19029 	19214 	19106 
PPS,LI_C_MD60,A2_2CH_LT14,SK	5821 	7066 	8521 	9858 	10534 	11309 	12346 	12060 	12355 	12877 	13191 	13305 
PPS,LI_C_MD60,A2_2CH_LT14,TR	4444 	5112 	5221 	5633 	5477 	6005 	6535 	6641 	6875 	7133 	: 	: 
PPS,LI_C_MD60,A2_2CH_LT14,UK	22214 	23660 	23364 	21192 	19995 	19878 	20723 b	21126 	21289 	22406 	21885 	: 
