unit,s_adj,bop_item,stk_flow,partner,geo\time	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PC_GDP,NSA,FA,N_LE,WRL_REST,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-13.9 	-12.2 	-11.6 	-16.7 	-17.3 	-17.5 	-15.7 	-16.2 	-15.5 	-16.4 	-20.6 	-20.9 	-17.7 	-22.1 	-25.0 	-20.5 	-19.7 	-16.7 	-15.9 	-12.8 	-11.9 	-12.2 	-12.3 	-13.0 	-11.2 	-10.8 	-10.1 	-15.5 	-10.4 	-12.4 	-13.7 	-12.9 	-10.6 	-8.7 	-8.5 	-9.7 	-8.6 	-6.8 	-4.7 	-10.0 	-6.1 	-5.3 	-5.0 	-5.0 	-2.6 	-3.4 	-3.7 	-5.2 	-1.2 	-4.0 	-7.3 	-1.9 	-1.0 	-1.6 	-0.7 	-3.2 	0.8 	1.4 	1.4 	1.3 	0.4 	0.9 	3.9 	3.4 	4.6 	4.6 	3.5 	2.2 	0.7 	0.4 	0.9 	3.7 	4.4 	3.0 	3.8 	3.7 	4.0 	5.0 
PC_GDP,NSA,FA,N_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.5 	35.5 	34.7 	38.4 	37.1 	34.1 	34.4 	34.4 	33.6 	38.4 	36.5 	33.6 	55.2 	55.4 	54.1 	51.8 	51.4 	54.1 	54.4 	57.5 	60.9 	64.2 	61.5 	65.2 	63.8 	63.9 	62.6 	60.9 	60.9 	62.8 	62.8 	51.8 	51.0 	50.7 	49.9 	51.9 	41.8 	39.4 	38.3 	45.1 	48.9 	46.6 	44.3 	45.9 	44.3 	42.0 	45.1 	57.3 	58.9 	53.5 	52.0 	52.6 	49.7 	52.4 
PC_GDP,NSA,FA,N_LE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-38.1 	-31.5 	-32.3 	-36.1 	-32.9 	-33.9 	-33.9 	-31.3 	-26.7 	-31.4 	-28.9 	-27.6 	-24.9 	-27.5 	-27.5 	-27.6 	-25.9 	-28.7 	-28.3 	-30.6 	-29.4 	-33.6 	-33.3 	-37.5 	-43.1 	-47.8 	-51.1 	-55.2 	-56.5 	-55.7 	-61.5 	-72.3 	-77.0 	-78.1 	-82.7 	-90.2 	-93.9 	-96.2 	-96.4 	-100.9 	-97.3 	-97.7 	-98.3 	-96.1 	-91.9 	-91.3 	-87.1 	-85.4 	-82.8 	-82.8 	-83.3 	-81.1 	-77.9 	-77.1 	-78.1 	-78.2 	-73.3 	-76.4 	-76.2 	-75.8 	-72.4 	-68.1 	-67.0 	-67.2 	-63.0 	-59.6 	-57.3 	-54.8 	-49.2 	-48.0 	-47.2 	-43.8 	-42.8 	-43.3 	-40.1 
PC_GDP,NSA,FA,N_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-78.0 	-81.9 	-80.1 	-79.1 	-79.6 	-95.4 	-98.8 	-100.3 	-91.0 	-102.2 	-112.3 	-111.2 	-123.6 	-119.7 	-119.6 	-129.9 	-122.1 	-119.6 	-123.2 	-129.1 	-153.8 	-146.7 	-138.3 	-138.7 	-138.0 	-136.0 	-137.7 	-147.0 	-146.2 	-144.6 	-142.9 	-145.0 	-136.6 	-134.0 	-125.2 	-123.0 	-126.0 	-124.3 	-122.7 	-121.5 	-116.0 	-112.3 
PC_GDP,NSA,FA,N_LE,WRL_REST,CZ	3.7 	: 	: 	: 	-3.8 	: 	: 	: 	-5.5 	: 	: 	: 	-5.5 	: 	: 	: 	-4.9 	-6.5 	-6.0 	-5.5 	-8.1 	-8.6 	-9.0 	-9.2 	-9.5 	-14.8 	-13.6 	-14.5 	-14.8 	-13.4 	-14.3 	-15.9 	-18.8 	-15.3 	-18.0 	-19.9 	-24.0 	-23.4 	-22.3 	-24.8 	-23.1 	-24.3 	-25.7 	-26.8 	-28.1 	-30.2 	-32.1 	-36.0 	-36.4 	-36.0 	-37.5 	-38.2 	-38.1 	-37.8 	-41.3 	-43.8 	-43.9 	-43.9 	-43.6 	-46.2 	-46.0 	-46.3 	-47.7 	-47.3 	-45.2 	-46.6 	-46.2 	-47.4 	-45.9 	-44.2 	-45.1 	-43.7 	-41.4 	-38.1 	-39.1 	-38.9 	-36.6 	-31.6 	-31.0 	-32.8 	-32.9 	-29.7 	-28.7 	-28.8 	-26.9 	-21.2 	-24.5 	-25.4 	-26.5 	-25.6 	-24.3 
PC_GDP,NSA,FA,N_LE,WRL_REST,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	: 	: 	: 	1.6 	: 	: 	: 	6.5 	: 	: 	: 	0.0 	: 	: 	: 	0.8 	1.3 	4.0 	4.1 	4.5 	7.1 	9.3 	10.8 	13.3 	15.9 	18.9 	19.5 	19.7 	20.8 	19.9 	18.4 	18.7 	19.2 	22.3 	22.2 	18.1 	16.9 	21.5 	21.0 	25.0 	25.5 	26.5 	24.1 	25.6 	26.6 	25.5 	22.5 	23.2 	24.4 	25.8 	27.3 	28.5 	30.2 	30.4 	32.9 	34.5 	35.5 	37.8 	40.7 	40.6 	41.4 	45.7 	47.2 	46.4 	46.3 	48.7 	49.5 	50.7 	52.0 	53.1 	53.0 	54.0 	55.5 	58.3 
PC_GDP,NSA,FA,N_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.6 	-0.4 	1.8 	3.8 	1.8 	-1.7 	1.4 	-0.3 	-4.8 	-4.2 	-4.5 	-5.8 	-9.1 	-8.1 	-5.9 	-5.1 	-5.1 	-3.5 	0.0 	0.9 	7.2 	8.4 	12.8 	12.8 	13.8 	17.3 	24.7 	27.8 	29.3 	32.4 	36.0 	36.1 	39.8 	39.3 	38.9 	37.2 	31.7 	34.5 	39.7 	43.3 	41.8 	38.9 	36.1 	34.5 	40.1 	42.1 	48.7 	55.3 	58.0 	52.4 	55.3 	56.3 	60.2 	64.6 
PC_GDP,NSA,FA,N_LE,WRL_REST,EE	: 	-9.7 	-11.3 	-11.2 	-13.4 	-25.1 	-26.4 	-33.2 	-35.0 	-35.6 	-30.4 	-34.8 	-36.8 	-41.9 	-47.9 	-44.0 	-51.5 	-55.6 	-49.4 	-48.1 	-48.1 	-45.8 	-46.4 	-43.8 	-48.3 	-53.1 	-51.7 	-51.1 	-53.6 	-55.0 	-61.9 	-63.7 	-65.9 	-71.6 	-76.7 	-77.4 	-86.3 	-99.3 	-94.4 	-93.0 	-84.6 	-78.8 	-74.8 	-74.0 	-73.3 	-73.4 	-73.4 	-75.5 	-71.3 	-75.8 	-75.5 	-77.2 	-75.4 	-77.7 	-79.0 	-78.3 	-80.1 	-82.0 	-80.5 	-75.1 	-71.2 	-68.2 	-64.1 	-59.2 	-54.8 	-54.2 	-54.0 	-53.7 	-51.1 	-55.2 	-53.1 	-53.3 	-50.1 	-51.4 	-49.8 	-48.5 	-47.0 	-45.1 	-43.2 	-42.8 	-40.2 	-41.5 	-40.8 	-40.5 	-38.9 	-37.6 	-35.7 	-35.0 	-31.4 	-31.0 	-29.4 
PC_GDP,NSA,FA,N_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-59.6 	-62.9 	-63.2 	-64.5 	-66.9 	-66.4 	-70.6 	-77.9 	-75.6 	-80.4 	-79.9 	-82.8 	-82.6 	-84.3 	-86.5 	-94.2 	-93.7 	-86.4 	-84.8 	-83.7 	-75.8 	-79.5 	-86.0 	-93.9 	-87.5 	-87.7 	-93.7 	-102.5 	-99.0 	-106.5 	-103.0 	-102.1 	-88.8 	-102.6 	-106.1 	-109.9 	-115.9 	-117.8 	-119.7 	-122.9 	-130.4 	-133.7 	-137.1 	-131.8 	-131.9 	-132.4 	-133.4 	-133.2 	-136.1 	-136.8 	-136.5 	-136.2 	-139.7 	-140.0 	-143.6 	-138.7 	-142.5 	-141.4 	-141.5 
PC_GDP,NSA,FA,N_LE,WRL_REST,ES	-21.0 	-22.4 	-23.6 	-23.2 	-23.3 	-25.0 	-27.9 	-29.0 	-27.8 	-34.0 	-34.8 	-32.3 	-36.2 	-34.8 	-33.5 	-33.1 	-34.7 	-38.0 	-35.7 	-37.6 	-34.8 	-37.5 	-37.1 	-37.1 	-38.2 	-39.4 	-39.2 	-38.8 	-44.7 	-45.1 	-48.5 	-47.5 	-48.2 	-49.6 	-50.2 	-51.6 	-55.7 	-56.5 	-57.4 	-60.8 	-58.9 	-59.6 	-60.0 	-64.5 	-67.9 	-72.2 	-73.6 	-77.3 	-79.6 	-81.4 	-81.5 	-81.6 	-80.2 	-83.0 	-88.0 	-92.1 	-93.5 	-92.5 	-87.6 	-92.9 	-88.6 	-92.1 	-92.6 	-93.0 	-91.9 	-91.3 	-90.7 	-92.8 	-89.9 	-90.1 	-90.3 	-93.1 	-95.2 	-97.8 	-99.6 	-98.8 	-98.0 	-98.3 	-93.8 	-93.1 	-89.5 	-90.3 	-87.4 	-88.9 	-85.3 	-86.4 	-88.2 	-87.1 	-83.8 	-83.4 	-82.4 
