hhtyp,incgrp,unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,TOTAL,PC_POP,TOTAL,F,AT	6.8 	5.5 	7.1 b	6.7 	7.0 	6.4 	5.7 	5.0 	5.8 	5.7 	6.3 	6.1 
TOTAL,TOTAL,PC_POP,TOTAL,F,BE	9.9 	8.2 	7.8 	9.7 	8.9 	7.7 	6.7 	3.6 	6.5 	7.1 	7.2 	5.8 
TOTAL,TOTAL,PC_POP,TOTAL,F,BG	10.0 	9.8 	7.7 	6.7 	7.6 	7.2 	6.4 	6.3 	6.8 	6.4 	6.2 b	6.4 
TOTAL,TOTAL,PC_POP,TOTAL,F,CH	: 	5.4 	5.1 	5.9 	5.0 	6.2 	7.4 	6.7 	7.1 b	7.1 	7.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,CY	5.6 	6.3 	5.0 b	6.7 	5.7 	5.6 	4.5 	4.4 	3.9 	5.4 	4.2 	4.0 
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ	4.6 	4.1 	4.0 	4.3 	3.8 	3.7 	3.1 	3.8 	4.0 	4.0 	3.5 	3.1 
TOTAL,TOTAL,PC_POP,TOTAL,F,DE	4.8 	4.3 	4.3 	4.5 	3.9 	3.9 	3.9 	4.5 	4.3 	3.9 	3.8 	3.9 
TOTAL,TOTAL,PC_POP,TOTAL,F,DK	4.0 	4.9 	4.3 	4.7 	4.3 	5.5 	3.6 	3.7 	4.4 	3.4 	3.5 	4.4 
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18	7.9 	7.7 	6.6 	6.6 	6.1 	6.1 	5.8 	6.1 	6.0 	5.6 	5.5 	4.9 e
TOTAL,TOTAL,PC_POP,TOTAL,F,EA19	7.9 	7.7 	6.6 	6.6 	6.1 	6.1 	5.8 	6.1 	6.0 	5.6 	5.5 	4.9 e
TOTAL,TOTAL,PC_POP,TOTAL,F,EE	6.1 	6.9 	5.5 	4.7 	4.0 	4.4 	5.3 	4.8 	5.8 b	4.9 	3.7 	3.8 
TOTAL,TOTAL,PC_POP,TOTAL,F,EL	7.9 	7.7 	7.2 	6.9 	6.9 	6.6 	7.0 	6.7 	6.8 	5.9 	6.0 	5.3 
TOTAL,TOTAL,PC_POP,TOTAL,F,ES	11.6 	10.8 	5.8 	6.9 b	5.8 	4.3 	4.4 	6.3 	5.1 	3.9 	4.8 	4.0 
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27	: 	8.2 	7.2 	7.3 	6.8 	6.8 	6.1 	6.0 	5.8 	5.5 	5.4 	4.9 e
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28	: 	: 	: 	: 	6.8 	6.8 	6.1 	6.0 	5.8 	5.5 	5.4 	4.9 e
TOTAL,TOTAL,PC_POP,TOTAL,F,FI	5.4 	5.5 	5.1 	4.4 	4.4 	4.2 	5.1 	4.0 	3.6 	3.9 	4.3 	3.9 
TOTAL,TOTAL,PC_POP,TOTAL,F,FR	8.0 	8.4 	8.0 	7.4 	8.3 	7.7 	7.4 	7.7 	7.8 	7.5 	7.9 	6.8 
TOTAL,TOTAL,PC_POP,TOTAL,F,HR	: 	: 	: 	: 	7.4 	6.0 	6.0 	6.4 	5.5 	5.0 	4.8 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,HU	7.3 	10.4 	10.0 	8.4 	8.7 	8.6 	8.3 	8.4 	9.2 	8.8 	10.0 	8.5 
TOTAL,TOTAL,PC_POP,TOTAL,F,IE	6.2 	9.2 	5.4 	5.4 	4.2 	4.6 	4.9 	6.0 	6.0 	5.5 	5.8 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,IS	1.5 	1.0 	1.6 	1.9 	2.2 	2.5 	2.1 	3.0 	2.7 	2.6 	1.8 p	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,IT	8.5 	8.7 	8.2 	8.1 	6.8 	8.8 	7.3 	7.2 	7.1 	6.9 	5.3 	3.7 
TOTAL,TOTAL,PC_POP,TOTAL,F,LT	11.1 	10.6 	10.6 	8.6 	7.9 	7.4 	6.7 	7.4 	6.4 	5.4 	5.6 	6.1 
TOTAL,TOTAL,PC_POP,TOTAL,F,LU	5.2 	5.2 	5.4 	6.8 	4.4 	4.0 	6.4 	7.5 	5.6 	7.0 	9.4 b	7.6 
TOTAL,TOTAL,PC_POP,TOTAL,F,LV	12.5 	11.0 	11.8 	11.1 	10.9 	9.7 	10.0 	9.0 	8.7 	8.5 	8.8 	8.9 
TOTAL,TOTAL,PC_POP,TOTAL,F,MK	: 	: 	: 	: 	7.9 	4.5 	4.5 	3.1 	4.4 	3.8 	4.5 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,MT	5.9 	4.7 	4.8 	6.6 	7.5 	8.4 	7.1 	7.1 	7.2 	7.1 	7.3 	7.1 
TOTAL,TOTAL,PC_POP,TOTAL,F,NL	4.8 	5.3 	3.9 	3.6 	3.7 	3.7 	3.9 	3.7 	4.8 p	4.8 	3.6 b	3.4 
