indic_bt,nace_r2,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
TOVT,G47,I2015_SCA,AT	104.2 p	107.0 p	104.9 p	106.0 p	105.2 p	107.6 p	107.4 p	107.0 p	107.1 p	106.7 p	107.6 p	: 
TOVT,G47,I2015_SCA,BE	99.7 p	103.6 p	102.8 p	101.7 p	103.3 p	103.9 p	100.3 p	104.7 p	106.0 p	100.3 p	102.8 p	: 
TOVT,G47,I2015_SCA,BG	109.9 	110.5 	110.9 	111.0 	110.9 	112.3 	114.2 	115.8 	116.5 	117.3 	118.2 p	: 
TOVT,G47,I2015_SCA,CH	96.8 p	98.6 p	98.0 p	97.8 p	98.1 p	98.4 p	98.8 p	98.1 p	98.5 p	97.2 p	97.4 p	: 
TOVT,G47,I2015_SCA,CY	110.9 	112.2 	110.4 	112.6 	113.6 	115.1 	113.0 	115.3 	116.5 	114.0 	: c	: 
TOVT,G47,I2015_SCA,CZ	112.6 p	116.7 p	115.4 p	117.3 p	117.0 p	117.0 p	117.0 p	118.5 p	118.2 p	118.2 p	118.9 p	: 
TOVT,G47,I2015_SCA,DE	107.7 p	110.0 p	109.0 p	109.1 p	108.6 p	109.1 p	111.5 p	110.2 p	111.8 p	110.1 p	110.2 p	: 
TOVT,G47,I2015_SCA,DK	101.2 	102.4 	102.0 	101.3 	101.6 	102.2 	102.0 	103.4 	103.0 	102.4 	102.9 	: 
TOVT,G47,I2015_SCA,EA19	104.9 	107.3 	106.3 	106.4 	106.5 	107.1 	107.3 	108.0 	108.7 	107.9 	108.1 	: 
TOVT,G47,I2015_SCA,EE	112.1 s	113.0 s	114.6 s	112.6 s	114.7 s	115.4 s	112.7 s	116.4 s	114.8 s	115.8 s	117.2 s	: 
TOVT,G47,I2015_SCA,EL	99.3 p	98.8 p	100.4 p	99.9 p	101.5 p	100.4 p	101.4 p	102.3 p	102.6 p	104.3 p	: c	: 
