na_item,s_adj,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1GQ,SCA,MIO_EUR_SCA,AT	86704.9 	87386.6 	88294.7 	88346.5 	89154.6 	90512.2 	91288.1 	92110.8 	93027.6 	94152.6 	95576.8 	96216.6 
B1GQ,SCA,MIO_EUR_SCA,BE	102955.0 	103833.0 	103605.0 	105895.0 	106276.0 	106901.0 	108062.0 	109258.0 	109482.0 	110401.0 	110912.0 	112228.0 
B1GQ,SCA,MIO_EUR_SCA,BG	11254.6 	11518.1 	11851.5 	11799.2 	12072.9 	12329.9 	12567.1 	12795.4 	12990.5 	13198.0 	13383.5 p	13667.1 p
B1GQ,SCA,MIO_EUR_SCA,CH	152581.2 	151358.2 	150064.2 	150682.4 	152071.0 	153024.6 	154963.8 	153365.4 	148021.8 	145528.7 	146831.4 	147186.4 
B1GQ,SCA,MIO_EUR_SCA,CY	4440.9 	4474.2 	4505.9 	4590.0 	4653.5 	4740.8 	4805.0 	4847.3 	4920.8 	4997.8 	5080.4 	5153.8 
B1GQ,SCA,MIO_EUR_SCA,CZ	42831.7 	43185.8 	43701.3 	43845.6 	44217.7 	44522.9 	45306.4 	47358.4 	48966.1 	50432.0 	51450.0 	51461.0 
B1GQ,SCA,MIO_EUR_SCA,DE	763468.0 	771814.0 	782405.0 	786938.0 	788846.0 	795920.0 	806315.0 	816786.0 	825711.0 	832520.0 	837921.0 	847628.0 
B1GQ,SCA,MIO_EUR_SCA,DK	67988.8 	67845.2 	68504.7 	69080.6 	69399.3 	70502.6 	72331.7 	72359.1 	71796.0 	72492.1 	72227.4 	72450.3 
B1GQ,SCA,MIO_EUR_SCA,EA	2641072.6 	2662234.1 	2684061.4 	2694164.6 	2707254.0 	2734428.7 	2758831.0 	2791035.9 	2818429.5 	2843890.9 	2864526.5 	2890029.1 
B1GQ,SCA,MIO_EUR_SCA,EA19	2641072.6 	2662234.1 	2684061.4 	2694164.6 	2707254.0 	2734428.7 	2758831.0 	2791035.9 	2818429.5 	2843890.9 	2864526.5 	2890029.1 
B1GQ,SCA,MIO_EUR_SCA,EE	5202.7 	5236.5 	5304.2 	5325.6 	5451.9 	5594.1 	5736.0 	5855.3 	5938.5 	6073.6 	6176.1 	6322.8 
B1GQ,SCA,MIO_EUR_SCA,EL	43701.0 p	44009.0 p	43421.1 p	43551.0 p	43589.6 p	43425.9 p	43943.5 p	44185.4 p	44539.6 p	44586.1 p	45181.1 p	45339.8 p
B1GQ,SCA,MIO_EUR_SCA,ES	271749.0 	273628.0 	276064.0 p	278512.0 p	281176.0 p	282991.0 p	285943.0 p	290628.0 p	292767.0 p	296981.0 p	297238.0 p	300193.0 p
B1GQ,SCA,MIO_EUR_SCA,EU28	3725400.6 	3750129.0 	3737132.7 	3744740.4 	3718465.5 	3744726.5 	3794754.3 	3837161.1 	3852816.6 	3895482.4 	3927670.1 	3960065.6 
B1GQ,SCA,MIO_EUR_SCA,FI	52604.0 	52974.0 	53208.0 	53852.0 	54384.0 	54667.0 	55436.0 	55717.0 	56046.0 	56644.0 	57632.0 	57939.0 
B1GQ,SCA,MIO_EUR_SCA,FR	550927.0 	552908.0 	557108.0 	554654.0 	555843.0 	559411.0 	566194.0 	571373.0 	575738.0 	579840.0 	583176.0 	584870.0 
B1GQ,SCA,MIO_EUR_SCA,HR	11266.0 	11200.2 	11400.5 	11631.6 	11758.6 	11824.5 	12035.5 	12227.3 	12407.9 	12285.1 	12592.5 	12885.2 
B1GQ,SCA,MIO_EUR_SCA,HU	27642.9 	28393.8 	27814.9 	28306.4 	28670.7 	29119.5 	30089.8 	30578.5 	31540.2 	31829.6 	32590.8 	32686.8 
B1GQ,SCA,MIO_EUR_SCA,IE	65671.4 	67195.0 	66802.5 	66172.3 	66442.4 	73452.2 	68758.6 	71595.6 	75677.5 	77622.3 	78387.5 	79689.1 
B1GQ,SCA,MIO_EUR_SCA,IT	413875.7 	417589.7 	420297.1 	421289.0 	423365.0 	425516.1 	428324.4 	430558.3 	433107.1 	434813.4 	437335.2 	441751.2 
B1GQ,SCA,MIO_EUR_SCA,LT	9380.9 	9513.3 	9452.8 	9642.1 	9793.2 	9930.7 	10282.0 	10397.2 	10645.5 	10874.2 	10956.1 	11135.8 
B1GQ,SCA,MIO_EUR_SCA,LU	12745.3 	13177.4 	13094.1 	13309.7 	13503.7 	13391.5 	13621.7 	13660.9 	13791.8 	14200.5 	14414.0 	14539.8 
B1GQ,SCA,MIO_EUR_SCA,LV	6136.4 	6099.3 	6146.2 	6174.5 	6236.7 	6401.8 	6527.0 	6685.7 	6833.2 	6948.1 	7103.0 	7245.9 
B1GQ,SCA,MIO_EUR_SCA,MT	2407.7 	2471.9 	2488.0 	2508.2 	2558.8 	2625.8 	2704.3 	2750.4 	2834.5 	2849.3 	2896.3 	2985.4 
B1GQ,SCA,MIO_EUR_SCA,NL	173968.7 	174082.7 	174948.0 p	175975.6 p	177667.6 p	179558.6 p	180898.4 p	183679.3 p	185414.3 p	187592.4 p	190845.6 p	192073.5 p
B1GQ,SCA,MIO_EUR_SCA,NO	86315.6 	82226.6 	80124.8 	82929.4 	83227.3 	88472.2 	90860.4 	87059.7 	88424.6 	87670.8 	88741.7 	92152.8 
B1GQ,SCA,MIO_EUR_SCA,PL	107285.5 	108197.4 	104471.2 	105715.1 	107117.5 	108256.1 	112033.1 	116238.9 	117661.9 	119394.7 	123026.7 	121380.0 
B1GQ,SCA,MIO_EUR_SCA,PT	45146.3 	45434.2 	46009.8 	46188.6 	46903.0 	47379.0 	47909.4 	48373.6 	48876.5 	49453.9 	49793.1 	50131.2 
B1GQ,SCA,MIO_EUR_SCA,RO	40665.4 	40820.5 	41012.4 p	42475.6 p	42827.9 p	43935.3 p	45373.0 p	45988.4 p	47370.0 p	48067.8 p	48640.0 p	50010.8 p
B1GQ,SCA,MIO_EUR_SCA,SE	112288.9 	115355.6 	115429.1 	117044.1 	115543.4 	114365.0 	118166.3 	117898.4 	120048.7 	119035.0 	118645.7 	115512.8 
B1GQ,SCA,MIO_EUR_SCA,SI	9690.8 	9780.0 	9905.9 	9947.7 	10133.9 	10291.4 	10457.8 	10688.9 	10857.4 	11113.2 	11263.2 	11452.1 
B1GQ,SCA,MIO_EUR_SCA,UK	662913.5 	661709.3 	629990.8 	622148.5 	581043.4 	576441.8 	588173.3 	590202.3 	570712.5 	583757.6 	589494.8 	598898.6 
