sex,incgrp,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,A_MD60,TOTAL,PC,SE	: 	8.8 	8.6 	7.7 	7.5 	7.9 b	9.5 	9.5 	10.3 	8.9 	8.2 	7.5 	8.9 	9.3 	9.1 
T,A_MD60,TOTAL,PC,SI	: 	: 	40.7 	39.4 	38.7 	38.4 	37.2 	33.3 	15.6 b	15.0 	14.0 	13.1 	12.1 	11.3 	11.8 
T,A_MD60,TOTAL,PC,SK	: 	: 	44.6 	44.1 	41.4 	41.3 	37.5 	37.6 	37.1 	36.2 	37.4 	35.7 	35.0 	35.6 	33.7 
T,A_MD60,TOTAL,PC,TR	: 	: 	: 	42.8 	44.0 	41.9 	39.6 	38.0 	38.5 	37.3 	37.8 	39.1 	38.6 	: 	: 
T,A_MD60,TOTAL,PC,UK	: 	: 	4.2 	4.9 	4.8 	5.3 	5.5 	6.0 	6.3 	5.7 b	6.7 	5.9 	6.0 	6.8 	: 
T,B_MD60,TOTAL,PC,AT	16.3 	29.6 	30.8 	32.7 	33.3 	33.6 b	30.1 	29.8 	27.2 	34.3 	31.3 	34.2 	34.1 	37.5 	36.0 
T,B_MD60,TOTAL,PC,BE	15.6 	12.4 	14.4 	11.8 	10.5 	11.6 	12.6 	13.7 	8.4 	6.2 	8.4 	8.9 	6.5 	13.0 	16.5 
T,B_MD60,TOTAL,PC,BG	: 	: 	: 	58.5 	63.6 	52.8 	50.2 	53.4 	54.7 	51.9 	53.0 	54.7 	48.5 	51.1 b	48.6 
T,B_MD60,TOTAL,PC,CH	: 	: 	: 	: 	16.2 	17.0 	15.2 	15.4 	14.3 	12.9 	9.5 	13.3 b	14.7 	16.9 	: 
T,B_MD60,TOTAL,PC,CY	: 	: 	6.0 	5.0 	4.8 	8.5 b	5.2 	7.5 	7.8 	7.5 	4.9 	4.6 	3.5 	5.7 	6.0 
T,B_MD60,TOTAL,PC,CZ	: 	: 	58.8 	60.1 	63.2 	50.4 	50.8 	44.1 	41.0 	43.5 	42.7 	44.7 	40.4 	39.5 	34.8 
T,B_MD60,TOTAL,PC,DE	: 	: 	15.4 	16.6 	15.6 	18.8 	21.8 	19.3 	19.9 	17.6 	16.8 	16.3 	17.3 	18.9 	18.6 
