unit,s_adj,partner,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NSA,WRL_REST,BAL,CA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.6 	7.1 	9.1 	6.9 	5.0 	5.4 	7.0 	8.6 	10.2 	9.8 	8.5 	6.3 	8.1 	10.5 
PC_GDP,NSA,WRL_REST,BAL,CA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.5 	-2.6 	-4.0 	-6.3 	-6.7 	-4.0 	-5.4 	-5.2 	-3.7 	-1.3 	-2.1 	-0.6 	-0.5 	0.2 
PC_GDP,NSA,WRL_REST,BAL,CA,PT	: 	-4.4 	-6.1 	-7.6 	-8.9 	-10.8 	-10.4 	-8.5 	-7.2 	-8.3 	-9.9 	-10.7 	-9.7 	-12.1 	-10.4 	-10.1 	-6.0 	-1.8 	1.6 	0.1 	0.1 	0.6 	0.5 
PC_GDP,NSA,WRL_REST,BAL,CA,RO	: 	: 	: 	: 	-4.2 	-3.8 	-5.6 	-3.4 	-5.9 	-8.3 	-8.6 	-10.3 	-13.5 	-11.5 	-4.7 	-5.1 	-4.9 	-4.8 	-1.1 	-0.7 	-1.2 	-2.1 	-3.2 
PC_GDP,NSA,WRL_REST,BAL,CA,SE	3.2 	3.3 	3.9 	3.6 	3.9 	4.0 	4.7 	4.5 	5.9 	6.0 	6.0 	8.2 	8.2 	7.8 	6.0 	6.0 	5.6 	5.6 	5.2 	4.5 	4.5 	4.3 	3.3 
PC_GDP,NSA,WRL_REST,BAL,CA,SI	-0.5 	0.1 	0.1 	-0.7 	-3.3 	-2.8 	0.0 	0.9 	-0.8 	-2.7 	-1.8 	-1.8 	-4.1 	-5.3 	-0.6 	-0.1 	0.2 	2.1 	4.4 	5.8 	4.5 	5.5 	7.2 
PC_GDP,NSA,WRL_REST,BAL,CA,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-10.1 	-10.6 	-9.5 	-5.9 	-6.5 	-3.4 	-4.7 	-5.0 	0.9 	1.9 	1.1 	-1.7 	-2.2 	-2.0 
PC_GDP,NSA,WRL_REST,BAL,CA,UK	: 	: 	0.1 	-0.1 	-2.6 	-2.4 	-2.1 	-2.2 	-1.9 	-2.4 	-2.1 	-3.1 	-3.8 	-4.6 	-3.9 	-3.8 	-2.4 	-4.2 	-5.1 	-4.9 	-4.9 	-5.2 	-3.7 
PC_GDP,NSA,WRL_REST,BAL,G,AT	-3.1 	-3.3 	-2.4 	-2.2 	-1.9 	-1.5 	-0.9 	0.9 	0.0 	0.3 	0.4 	1.0 	1.4 	0.5 	-0.2 	-0.5 	-1.2 	-1.0 	-0.3 	0.3 	0.7 	0.5 	0.2 
PC_GDP,NSA,WRL_REST,BAL,G,BE	: 	: 	: 	: 	: 	1.9 	2.1 	3.9 	2.9 	2.5 	1.1 	0.8 	0.9 	-2.8 	-1.0 	-0.9 	-2.6 	-2.5 	-1.7 	-1.3 	-0.2 	0.0 	0.1 
PC_GDP,NSA,WRL_REST,BAL,G,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-24.3 	-25.0 	-12.9 	-9.4 	-6.5 	-9.5 	-7.0 	-6.5 	-5.8 	-2.0 	-1.5 
PC_GDP,NSA,WRL_REST,BAL,G,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-30.1 	-21.6 	-22.9 	-20.2 	-18.0 	-16.2 	-16.0 	-16.7 	-21.0 	-24.3 
PC_GDP,NSA,WRL_REST,BAL,G,CZ	-8.4 	-9.4 	-9.3 	-5.9 	-6.9 	-9.6 	-8.8 	-6.5 	-6.0 	-2.2 	0.6 	0.7 	0.3 	-0.1 	1.7 	1.0 	1.9 	3.0 	4.1 	5.1 	4.1 	5.2 	4.8 
PC_GDP,NSA,WRL_REST,BAL,G,DE	2.6 	3.0 	3.4 	3.6 	3.3 	3.0 	4.6 	6.4 	5.9 	6.7 	6.8 	6.7 	8.0 	7.2 	5.7 	6.2 	6.0 	7.3 	7.5 	7.8 	8.6 	8.5 	8.1 
PC_GDP,NSA,WRL_REST,BAL,G,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	1.9 	0.8 	1.3 	4.0 	4.9 	4.9 	4.3 	4.4 	4.5 	4.8 	6.0 	5.7 
PC_GDP,NSA,WRL_REST,BAL,G,EE	-17.4 	-22.0 	-23.6 	-21.7 	-16.4 	-15.6 	-16.1 	-17.4 	-18.1 	-18.1 	-13.8 	-17.6 	-15.7 	-12.7 	-5.1 	-2.7 	-2.1 	-7.1 	-4.9 	-5.0 	-4.3 	-3.5 	-3.5 
PC_GDP,NSA,WRL_REST,BAL,G,EL	: 	: 	: 	: 	: 	: 	: 	-13.8 	-14.1 	-14.5 	-14.7 	-16.2 	-18.4 	-18.3 	-13.9 	-13.4 	-12.7 	-11.0 	-11.5 	-12.5 	-9.8 	-9.5 	-10.3 
PC_GDP,NSA,WRL_REST,BAL,G,ES	-3.4 	-2.7 	-2.7 	-3.7 	-5.2 	-6.4 	-5.7 	-5.2 	-5.3 	-6.5 	-7.6 	-8.6 	-8.6 	-7.8 	-3.8 	-4.4 	-4.2 	-2.8 	-1.4 	-2.1 	-2.0 	-1.4 	-1.9 
PC_GDP,NSA,WRL_REST,BAL,G,FI	9.0 	8.7 	9.3 	9.9 	8.5 	10.8 	9.5 	8.8 	7.3 	6.0 	4.3 	7.6 	8.4 	6.7 	5.3 	4.0 	1.2 	1.2 	1.3 	0.9 	0.8 	0.2 	0.8 
PC_GDP,NSA,WRL_REST,BAL,G,FR	: 	: 	: 	: 	1.5 	0.0 	0.3 	0.6 	0.4 	0.0 	-0.9 	-1.2 	-1.7 	-2.5 	-1.9 	-2.4 	-3.2 	-2.6 	-2.0 	-2.0 	-1.3 	-1.6 	-2.1 
PC_GDP,NSA,WRL_REST,BAL,G,HR	: 	: 	: 	: 	: 	-16.0 	-19.0 	-21.7 	-23.1 	-20.6 	-21.0 	-21.1 	-21.8 	-22.4 	-16.5 	-13.1 	-14.2 	-14.3 	-15.0 	-15.0 	-15.6 	-15.8 	-16.8 
PC_GDP,NSA,WRL_REST,BAL,G,HU	-4.7 	-5.7 	-4.7 	-6.8 	-7.4 	-9.1 	-6.6 	-4.3 	-5.3 	-4.3 	-2.2 	-2.3 	-0.4 	-0.8 	2.8 	2.6 	2.9 	2.9 	3.3 	2.0 	3.7 	4.1 	1.5 
PC_GDP,NSA,WRL_REST,BAL,G,IE	: 	: 	: 	21.8 	23.9 	26.1 	25.8 	27.2 	22.6 	22.2 	18.9 	14.7 	14.6 	17.4 	22.8 	24.6 	24.1 	21.1 	19.2 	20.9 	43.2 	38.8 	36.6 
PC_GDP,NSA,WRL_REST,BAL,G,IT	3.5 	4.1 	3.1 	2.7 	1.8 	0.8 	1.3 	1.0 	0.7 	0.5 	0.0 	-0.7 	0.1 	-0.2 	0.0 	-1.4 	-1.1 	1.0 	2.2 	2.9 	3.1 	3.4 	3.2 
PC_GDP,NSA,WRL_REST,BAL,G,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-11.9 	-10.9 	-13.8 	-15.2 	-13.4 	-4.3 	-5.9 	-6.6 	-3.3 	-2.6 	-2.6 	-5.3 	-4.6 	-4.6 
PC_GDP,NSA,WRL_REST,BAL,G,LU	-7.0 	-8.0 	-9.3 	-10.7 	-11.0 	-10.7 	-10.7 	-8.0 	-9.5 	-10.4 	-11.7 	-8.7 	-7.3 	-7.8 	-4.3 	-3.9 	-4.9 	-3.5 	-1.6 	-0.1 	-2.6 	-3.9 	-5.4 
PC_GDP,NSA,WRL_REST,BAL,G,LV	: 	: 	: 	: 	: 	-11.2 	-13.8 	-13.9 	-17.7 	-20.0 	-18.8 	-24.2 	-22.7 	-17.2 	-8.4 	-8.7 	-12.4 	-12.0 	-11.5 	-10.1 	-9.0 	-7.5 	-8.5 
PC_GDP,NSA,WRL_REST,BAL,G,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-14.0 	-18.0 	-15.8 	-16.0 	-20.3 	-18.2 	-19.0 	-17.7 	-15.3 	-14.8 	-14.3 	-20.3 	-18.8 	-12.2 
PC_GDP,NSA,WRL_REST,BAL,G,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.1 	9.8 	9.9 	9.7 	9.4 	8.5 	9.4 	10.0 	10.9 	11.4 	11.3 	9.5 	9.3 	9.6 
PC_GDP,NSA,WRL_REST,BAL,G,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.2 	-1.8 	-2.9 	-5.2 	-6.4 	-2.4 	-3.0 	-3.5 	-2.1 	-0.1 	-0.8 	0.5 	0.7 	0.3 
PC_GDP,NSA,WRL_REST,BAL,G,PT	: 	-8.5 	-9.7 	-11.4 	-12.3 	-13.3 	-12.8 	-11.0 	-9.7 	-11.2 	-11.7 	-11.6 	-11.4 	-13.4 	-10.3 	-10.7 	-8.2 	-5.5 	-4.7 	-5.5 	-5.3 	-5.2 	-6.2 
PC_GDP,NSA,WRL_REST,BAL,G,RO	: 	: 	: 	: 	-5.6 	-9.2 	-12.9 	-11.3 	-12.8 	-14.6 	-14.4 	-16.2 	-16.4 	-15.0 	-7.3 	-7.6 	-7.1 	-6.9 	-4.0 	-4.3 	-4.9 	-5.4 	-6.5 
PC_GDP,NSA,WRL_REST,BAL,G,SE	6.9 	7.0 	7.9 	7.2 	7.1 	7.1 	7.6 	6.7 	6.7 	7.4 	6.6 	6.9 	6.0 	5.7 	4.5 	4.2 	4.0 	4.0 	3.2 	3.0 	2.8 	2.3 	2.3 
PC_GDP,NSA,WRL_REST,BAL,G,SI	-6.0 	-5.5 	-5.1 	-4.8 	-6.4 	-6.1 	-3.8 	-1.5 	-2.6 	-4.2 	-3.7 	-2.9 	-4.0 	-5.6 	-1.2 	-2.1 	-2.6 	-0.2 	2.0 	3.1 	3.8 	3.8 	3.6 
PC_GDP,NSA,WRL_REST,BAL,G,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6.1 	-7.1 	-6.2 	-1.8 	-1.8 	0.4 	-0.1 	-0.1 	3.4 	3.9 	3.6 	1.3 	2.0 	0.8 
PC_GDP,NSA,WRL_REST,BAL,G,UK	: 	: 	: 	: 	-2.9 	-3.1 	-3.7 	-4.2 	-4.1 	-4.7 	-5.0 	-5.4 	-5.8 	-6.0 	-5.6 	-6.2 	-5.8 	-6.4 	-6.8 	-6.6 	-6.2 	-6.7 	-6.7 
PC_GDP,NSA,WRL_REST,BAL,GS,AT	-1.4 	-1.7 	-1.0 	-0.2 	0.4 	1.2 	1.7 	3.6 	2.8 	3.1 	3.4 	4.1 	4.9 	4.7 	3.6 	3.0 	2.3 	2.4 	2.8 	3.3 	3.6 	3.6 	3.0 
PC_GDP,NSA,WRL_REST,BAL,GS,BE	: 	: 	: 	: 	: 	2.7 	3.1 	4.3 	3.5 	3.5 	2.4 	2.2 	1.7 	-1.3 	1.1 	1.3 	-0.7 	-0.8 	0.1 	0.0 	1.2 	1.1 	1.0 
PC_GDP,NSA,WRL_REST,BAL,GS,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-18.7 	-19.6 	-7.7 	-3.0 	0.2 	-3.3 	-0.7 	-0.5 	0.8 	4.3 	4.0 
PC_GDP,NSA,WRL_REST,BAL,GS,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-12.8 	-5.4 	-7.3 	-2.9 	-1.5 	1.8 	2.0 	0.8 	-0.6 	-3.5 
PC_GDP,NSA,WRL_REST,BAL,GS,CZ	-3.1 	-5.6 	-5.1 	-1.0 	-1.1 	-2.8 	-2.3 	-1.8 	-2.0 	0.5 	2.1 	2.5 	2.2 	2.1 	3.7 	3.0 	3.9 	5.0 	5.8 	6.4 	5.8 	7.4 	7.2 
PC_GDP,NSA,WRL_REST,BAL,GS,DE	0.4 	0.8 	1.2 	1.3 	0.7 	0.3 	1.8 	4.4 	3.7 	5.0 	5.1 	5.3 	6.6 	6.0 	4.9 	5.2 	4.9 	6.1 	6.1 	6.9 	8.0 	7.9 	7.5 
PC_GDP,NSA,WRL_REST,BAL,GS,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.5 	4.1 	2.9 	3.5 	4.5 	6.9 	6.4 	6.0 	6.6 	7.0 	6.8 	6.8 	7.2 
PC_GDP,NSA,WRL_REST,BAL,GS,EE	-7.2 	-10.3 	-10.5 	-9.7 	-4.4 	-3.2 	-4.0 	-7.5 	-8.5 	-7.9 	-5.1 	-10.1 	-8.9 	-3.9 	5.0 	6.4 	5.7 	1.5 	2.8 	3.6 	4.0 	4.1 	4.6 
PC_GDP,NSA,WRL_REST,BAL,GS,EL	: 	: 	: 	: 	: 	: 	: 	-7.9 	-8.4 	-7.3 	-7.6 	-9.7 	-11.9 	-11.9 	-9.1 	-8.1 	-6.1 	-3.8 	-2.8 	-2.2 	-0.2 	-0.7 	-0.5 
PC_GDP,NSA,WRL_REST,BAL,GS,ES	-0.9 	-0.1 	0.3 	-0.5 	-2.0 	-3.0 	-2.3 	-2.0 	-2.2 	-3.8 	-5.0 	-5.9 	-6.0 	-5.1 	-1.1 	-1.3 	-0.2 	1.5 	3.3 	2.5 	2.4 	3.2 	2.9 
PC_GDP,NSA,WRL_REST,BAL,GS,FI	7.4 	7.1 	7.5 	8.1 	7.2 	9.4 	9.5 	9.2 	6.8 	6.3 	4.0 	4.2 	4.8 	3.6 	2.0 	1.3 	-0.9 	-1.5 	-0.9 	-0.9 	-0.5 	-1.0 	0.3 
PC_GDP,NSA,WRL_REST,BAL,GS,FR	: 	: 	: 	: 	2.6 	0.9 	1.3 	1.9 	1.3 	0.9 	0.1 	-0.1 	-0.4 	-1.2 	-0.9 	-1.4 	-1.8 	-1.1 	-0.6 	-0.8 	-0.4 	-0.8 	-0.9 
PC_GDP,NSA,WRL_REST,BAL,GS,HR	: 	: 	: 	: 	: 	-4.5 	-5.2 	-9.5 	-6.8 	-6.1 	-6.2 	-6.8 	-7.3 	-8.1 	-3.7 	-0.4 	-0.4 	0.4 	0.3 	1.9 	2.2 	2.8 	2.1 
PC_GDP,NSA,WRL_REST,BAL,GS,HU	0.1 	0.5 	1.3 	-1.5 	-2.9 	-3.8 	-1.3 	-1.7 	-4.0 	-3.3 	-1.2 	-1.0 	0.5 	0.4 	4.0 	5.3 	6.1 	6.7 	7.0 	6.4 	8.1 	10.0 	7.5 
PC_GDP,NSA,WRL_REST,BAL,GS,IE	: 	: 	: 	: 	: 	: 	: 	17.2 	15.2 	14.4 	10.9 	8.0 	8.3 	8.6 	13.5 	16.6 	18.8 	17.2 	18.8 	18.0 	28.8 	15.5 	30.4 
PC_GDP,NSA,WRL_REST,BAL,GS,IT	3.9 	4.5 	3.6 	3.0 	1.7 	0.8 	1.2 	0.7 	0.4 	0.5 	-0.2 	-0.9 	-0.4 	-0.8 	-0.6 	-1.9 	-1.5 	1.0 	2.3 	2.9 	2.9 	3.2 	3.0 
PC_GDP,NSA,WRL_REST,BAL,GS,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.0 	-7.2 	-10.3 	-13.1 	-11.6 	-1.7 	-1.9 	-2.6 	0.9 	1.3 	1.9 	-0.6 	1.2 	2.8 
PC_GDP,NSA,WRL_REST,BAL,GS,LU	9.8 	12.0 	15.7 	14.7 	16.5 	23.0 	20.5 	26.5 	23.7 	22.9 	23.3 	28.2 	31.1 	31.5 	30.6 	27.8 	27.0 	29.6 	31.6 	33.2 	36.4 	35.7 	33.5 
PC_GDP,NSA,WRL_REST,BAL,GS,LV	: 	: 	: 	: 	: 	-5.6 	-7.7 	-7.9 	-10.9 	-14.1 	-13.7 	-19.7 	-17.7 	-11.5 	-0.8 	-1.4 	-5.1 	-4.6 	-3.7 	-1.4 	-0.5 	1.2 	0.1 
PC_GDP,NSA,WRL_REST,BAL,GS,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.5 	-4.0 	-1.8 	1.7 	0.7 	-1.2 	-0.6 	2.8 	5.2 	6.3 	12.0 	7.2 	11.8 	19.8 
PC_GDP,NSA,WRL_REST,BAL,GS,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.8 	8.6 	8.7 	8.7 	8.5 	7.2 	8.3 	8.4 	9.5 	10.6 	10.7 	7.5 	10.2 	10.7 
PC_GDP,NSA,WRL_REST,BAL,GS,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.6 	-1.0 	-2.1 	-3.5 	-5.0 	-0.8 	-2.1 	-2.2 	-0.6 	1.9 	1.4 	3.1 	4.0 	4.2 
PC_GDP,NSA,WRL_REST,BAL,GS,PT	: 	-6.9 	-7.9 	-9.2 	-10.2 	-10.9 	-10.0 	-8.2 	-6.9 	-8.1 	-8.8 	-8.2 	-7.4 	-9.4 	-6.7 	-7.1 	-3.7 	0.1 	1.9 	1.1 	1.7 	2.0 	1.8 
PC_GDP,NSA,WRL_REST,BAL,GS,RO	: 	: 	: 	: 	-4.8 	-5.4 	-7.7 	-5.7 	-7.5 	-9.0 	-10.2 	-12.0 	-14.0 	-13.0 	-6.5 	-6.4 	-5.8 	-5.1 	-0.8 	-0.4 	-0.6 	-0.9 	-2.1 
PC_GDP,NSA,WRL_REST,BAL,GS,SE	6.3 	6.2 	6.7 	5.8 	5.8 	5.6 	6.5 	6.1 	5.6 	7.1 	6.3 	7.1 	6.4 	5.9 	5.1 	4.8 	5.1 	5.2 	5.0 	4.4 	5.0 	4.5 	3.4 
PC_GDP,NSA,WRL_REST,BAL,GS,SI	-1.9 	-1.1 	-0.9 	-1.5 	-4.1 	-3.5 	-0.9 	1.2 	-0.1 	-1.3 	-0.5 	0.0 	-1.2 	-1.9 	1.9 	1.3 	1.2 	4.0 	6.7 	7.7 	8.8 	9.4 	10.0 
PC_GDP,NSA,WRL_REST,BAL,GS,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.0 	-5.5 	-4.1 	-0.7 	-2.4 	-1.0 	-1.1 	-0.4 	4.0 	4.6 	3.9 	1.6 	2.6 	1.9 
PC_GDP,NSA,WRL_REST,BAL,GS,UK	: 	: 	: 	: 	-1.6 	-1.8 	-2.3 	-2.8 	-2.4 	-2.6 	-2.6 	-2.4 	-2.5 	-2.9 	-2.2 	-2.6 	-1.5 	-2.0 	-1.6 	-1.6 	-1.4 	-1.6 	-1.1 
PC_GDP,NSA,WRL_REST,BAL,IN1,AT	-0.5 	0.0 	-0.4 	-0.5 	-1.5 	-0.8 	-1.3 	-0.5 	-0.2 	-0.1 	-0.2 	0.2 	-0.1 	0.8 	0.0 	0.8 	0.3 	0.1 	0.3 	0.1 	-1.0 	-0.1 	-0.3 
PC_GDP,NSA,WRL_REST,BAL,IN1,BE	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	1.3 	1.2 	1.2 	1.3 	2.0 	-0.5 	1.9 	1.1 	2.3 	1.4 	0.7 	-0.5 	0.1 	1.2 
PC_GDP,NSA,WRL_REST,BAL,IN1,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.3 	-4.8 	-3.2 	-2.7 	-3.9 	-2.5 	-3.8 	-2.0 	-4.5 	-5.0 	-1.0 
PC_GDP,NSA,WRL_REST,BAL,IN1,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.5 	-1.3 	-3.0 	0.0 	-3.0 	-4.7 	-3.6 	0.6 	-2.0 	-2.7 
PC_GDP,NSA,WRL_REST,BAL,IN1,CZ	-0.2 	-1.1 	-1.3 	-1.6 	-2.1 	-2.2 	-3.3 	-4.3 	-4.3 	-4.2 	-3.7 	-4.4 	-6.2 	-3.7 	-5.5 	-6.3 	-5.5 	-5.9 	-6.1 	-6.0 	-5.5 	-5.3 	-5.2 
PC_GDP,NSA,WRL_REST,BAL,IN1,DE	-0.1 	0.0 	-0.2 	-0.6 	-0.8 	-0.6 	-0.8 	-1.2 	-0.9 	0.7 	0.9 	1.7 	1.4 	1.0 	2.2 	2.0 	2.5 	2.4 	2.2 	1.9 	2.2 	1.9 	2.1 
PC_GDP,NSA,WRL_REST,BAL,IN1,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	1.2 	0.5 	1.1 	1.0 	1.6 	2.1 	2.3 	3.2 	3.6 	3.1 	2.6 	2.2 
PC_GDP,NSA,WRL_REST,BAL,IN1,EE	: 	: 	: 	: 	: 	-3.7 	-4.5 	-4.5 	-5.3 	-4.8 	-3.7 	-4.9 	-6.5 	-5.2 	-3.0 	-5.3 	-5.1 	-4.0 	-2.3 	-2.8 	-2.2 	-2.1 	-2.0 
PC_GDP,NSA,WRL_REST,BAL,IN1,EL	: 	: 	: 	: 	: 	: 	: 	0.3 	-0.7 	-0.9 	-1.3 	-1.9 	-2.8 	-3.1 	-2.8 	-2.5 	-3.2 	0.4 	-0.3 	0.8 	0.2 	-0.2 	-0.2 
PC_GDP,NSA,WRL_REST,BAL,IN1,ES	0.0 	-0.4 	-0.6 	-0.8 	-1.0 	-0.7 	-1.3 	-1.1 	-0.8 	-0.9 	-1.4 	-1.7 	-2.4 	-2.7 	-1.8 	-1.4 	-1.7 	-0.7 	-0.5 	-0.3 	-0.3 	0.1 	-0.1 
PC_GDP,NSA,WRL_REST,BAL,IN1,FI	: 	: 	: 	: 	-1.5 	-1.4 	-0.8 	-0.5 	-1.5 	0.4 	0.1 	0.5 	-0.2 	-0.5 	0.8 	0.9 	0.1 	0.0 	0.1 	0.6 	1.0 	1.4 	0.0 
