unit,s_adj,partner,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NSA,WRL_REST,BAL,CA,AT	-2.7 	-2.8 	-2.6 	-1.9 	-2.3 	-0.7 	-0.8 	2.1 	1.5 	2.1 	2.3 	3.3 	3.8 	4.5 	2.6 	2.9 	1.6 	1.5 	1.9 	2.5 	1.7 	2.5 	2.0 
PC_GDP,NSA,WRL_REST,BAL,CA,BE	: 	: 	: 	: 	: 	: 	: 	: 	3.5 	3.3 	2.1 	1.9 	2.0 	-1.0 	-1.1 	1.8 	-1.1 	-0.1 	-0.3 	-0.9 	-1.0 	-0.6 	0.7 
PC_GDP,NSA,WRL_REST,BAL,CA,BG	: 	: 	: 	-0.2 	-4.6 	-5.3 	-5.4 	-2.4 	-5.3 	-6.4 	-11.4 	-17.2 	-23.9 	-22.0 	-8.3 	-1.7 	0.3 	-0.9 	1.3 	1.2 	0.0 	2.6 	6.7 
PC_GDP,NSA,WRL_REST,BAL,CA,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.1 	-6.0 	-8.2 	-11.8 	-15.5 	-7.7 	-11.3 	-4.1 	-6.0 	-4.9 	-4.3 	-1.5 	-5.1 	-8.4 
PC_GDP,NSA,WRL_REST,BAL,CA,CZ	-2.3 	-6.2 	-5.8 	-1.9 	-2.3 	-4.4 	-4.8 	-5.1 	-5.7 	-3.7 	-2.1 	-2.5 	-4.6 	-1.9 	-2.3 	-3.6 	-2.1 	-1.6 	-0.5 	0.2 	0.2 	1.6 	1.1 
PC_GDP,NSA,WRL_REST,BAL,CA,DE	-1.2 	-0.7 	-0.5 	-0.7 	-1.4 	-1.7 	-0.4 	1.9 	1.4 	4.5 	4.6 	5.7 	6.7 	5.6 	5.7 	5.6 	6.1 	7.0 	6.7 	7.5 	8.9 	8.5 	7.9 
PC_GDP,NSA,WRL_REST,BAL,CA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.2 	3.3 	1.4 	2.9 	3.5 	6.6 	6.6 	6.3 	7.8 	8.9 	8.3 	8.0 	8.1 
PC_GDP,NSA,WRL_REST,BAL,CA,EE	-4.0 	-8.2 	-11.2 	-8.6 	-4.3 	-5.4 	-7.1 	-11.1 	-12.9 	-12.0 	-8.7 	-15.0 	-15.0 	-8.7 	2.5 	1.8 	1.3 	-1.9 	0.5 	0.8 	1.8 	2.0 	3.2 
PC_GDP,NSA,WRL_REST,BAL,CA,EL	: 	: 	: 	: 	: 	: 	: 	-6.8 	-8.5 	-7.7 	-8.9 	-11.5 	-15.2 	-15.1 	-12.3 	-11.4 	-10.0 	-3.8 	-2.0 	-1.6 	-0.2 	-1.3 	-1.0 
PC_GDP,NSA,WRL_REST,BAL,CA,ES	-0.9 	-0.7 	-0.7 	-1.7 	-3.3 	-4.4 	-4.4 	-3.7 	-3.9 	-5.6 	-7.5 	-9.0 	-9.6 	-9.3 	-4.3 	-3.9 	-3.2 	-0.2 	1.5 	1.1 	1.2 	2.3 	1.8 
PC_GDP,NSA,WRL_REST,BAL,CA,FI	4.0 	3.8 	5.1 	5.2 	5.2 	7.5 	8.1 	8.2 	4.6 	5.8 	3.0 	3.7 	3.7 	2.1 	1.6 	1.1 	-1.7 	-2.3 	-2.2 	-1.8 	-0.7 	-0.7 	-0.7 
PC_GDP,NSA,WRL_REST,BAL,CA,FR	: 	: 	: 	: 	3.4 	1.1 	1.6 	1.1 	0.8 	0.5 	0.1 	0.3 	-0.1 	-0.7 	-0.6 	-0.6 	-0.9 	-1.0 	-0.5 	-1.0 	-0.4 	-0.8 	-0.6 
PC_GDP,NSA,WRL_REST,BAL,CA,HR	: 	: 	: 	: 	: 	-2.3 	-3.1 	-7.2 	-6.1 	-4.3 	-5.3 	-6.7 	-7.3 	-9.0 	-5.3 	-1.2 	-0.8 	-0.2 	0.9 	1.9 	4.4 	2.5 	3.9 
PC_GDP,NSA,WRL_REST,BAL,CA,HU	-3.1 	-3.7 	-4.0 	-7.1 	-7.9 	-8.5 	-5.8 	-6.3 	-8.0 	-8.5 	-7.0 	-7.0 	-7.1 	-7.0 	-0.8 	0.3 	0.8 	1.7 	3.8 	1.5 	2.7 	6.2 	3.2 
PC_GDP,NSA,WRL_REST,BAL,CA,IE	: 	: 	: 	0.8 	0.2 	0.6 	0.2 	0.2 	0.5 	-0.1 	-3.5 	-5.4 	-6.5 	-6.9 	-5.6 	-2.0 	-2.4 	-2.6 	1.5 	1.1 	4.4 	-4.2 	8.5 
PC_GDP,NSA,WRL_REST,BAL,CA,IT	2.1 	2.9 	2.6 	1.7 	1.1 	0.1 	0.5 	-0.3 	-0.6 	-0.3 	-0.9 	-1.5 	-1.4 	-2.8 	-1.9 	-3.4 	-3.0 	-0.3 	1.0 	1.9 	1.5 	2.5 	2.8 
PC_GDP,NSA,WRL_REST,BAL,CA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.6 	-7.3 	-10.9 	-15.5 	-13.6 	1.4 	-1.3 	-4.6 	-1.4 	0.8 	3.2 	-2.3 	-0.8 	0.9 
PC_GDP,NSA,WRL_REST,BAL,CA,LU	11.1 	10.3 	9.8 	8.9 	8.0 	12.6 	8.3 	9.3 	6.5 	11.8 	11.0 	9.9 	9.7 	7.6 	7.2 	6.7 	6.0 	5.6 	5.4 	5.1 	5.1 	5.1 	4.9 
PC_GDP,NSA,WRL_REST,BAL,CA,LV	: 	: 	: 	: 	: 	-3.8 	-6.0 	-5.4 	-7.1 	-11.6 	-11.7 	-20.7 	-20.7 	-12.3 	7.8 	2.1 	-3.2 	-3.6 	-2.7 	-1.7 	-0.5 	1.6 	0.7 
PC_GDP,NSA,WRL_REST,BAL,CA,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.7 	-6.5 	-6.6 	-1.9 	-1.1 	-6.6 	-4.7 	-0.2 	1.7 	2.7 	8.8 	4.5 	7.0 	13.8 
