unit,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_WRL_1Y,G,CRE,WRL_REST,AT	: 	-2.60 	-0.35 	9.29 	-1.70 	-11.12 	8.33 	4.92 	2.36 	1.23 	-4.46 	-2.53 	6.45 	-4.09 	-2.12 	-9.53 	-2.51 	-6.98 	0.27 	1.53 	-1.62 	3.79 	-1.54 
PCH_WRL_1Y,G,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	1.89 	-5.80 	3.22 	-0.92 	-3.93 	-6.42 	2.36 	-5.06 	-1.59 	-7.65 	-0.89 	-8.18 	1.68 	-1.10 	-6.03 	11.50 	0.22 
PCH_WRL_1Y,G,CRE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.73 	-7.38 	3.70 	17.28 	-5.80 	8.98 	-1.31 	0.12 	8.28 	7.64 
PCH_WRL_1Y,G,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.48 	-14.02 	-1.66 	-8.33 	-9.75 	3.00 	-1.57 	-7.26 	-7.08 
PCH_WRL_1Y,G,CRE,WRL_REST,CZ	6.61 	-0.27 	-4.09 	16.65 	-7.78 	-3.05 	20.81 	12.68 	12.21 	30.82 	11.86 	3.21 	9.49 	3.00 	2.49 	-6.33 	-0.39 	-3.92 	-0.06 	6.55 	0.54 	4.92 	0.34 
PCH_WRL_1Y,G,CRE,WRL_REST,DE	-1.39 	-2.64 	-3.24 	7.82 	-4.15 	-9.90 	7.72 	2.95 	3.93 	0.25 	-5.74 	-0.83 	5.65 	-4.22 	-1.37 	-6.97 	-2.12 	-5.06 	1.88 	2.82 	1.53 	3.86 	-1.69 
PCH_WRL_1Y,G,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.24 	-1.41 	1.42 	2.77 	-12.34 	-2.94 	-6.90 	2.73 	1.65 	-0.37 	4.04 	-1.86 
PCH_WRL_1Y,G,CRE,WRL_REST,EE	12.14 	2.80 	25.45 	18.61 	-11.29 	-29.32 	14.10 	10.27 	17.17 	9.46 	14.82 	4.53 	18.28 	-2.06 	-10.15 	10.25 	21.11 	-5.51 	3.11 	0.11 	-6.90 	8.55 	-1.77 
PCH_WRL_1Y,G,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	7.53 	4.81 	-2.33 	1.85 	11.73 	-0.55 	-1.81 	-7.38 	-1.08 	3.93 	0.11 	-0.83 	-11.13 	1.49 	5.25 
PCH_WRL_1Y,G,CRE,WRL_REST,ES	8.12 	3.87 	2.77 	7.98 	-2.19 	-8.88 	5.00 	2.67 	6.04 	-3.01 	-8.92 	-5.51 	8.45 	-5.33 	3.30 	-9.15 	-1.25 	-5.25 	6.17 	1.17 	0.47 	5.38 	-0.12 
PCH_WRL_1Y,G,CRE,WRL_REST,FI	: 	-2.10 	-1.62 	7.82 	-6.98 	-1.68 	-2.65 	-0.33 	0.68 	-4.93 	-6.34 	10.26 	5.84 	-6.99 	-12.65 	-13.95 	-8.13 	-8.58 	0.02 	-4.35 	-9.93 	2.60 	3.61 
PCH_WRL_1Y,G,CRE,WRL_REST,FR	: 	: 	: 	: 	: 	-12.06 	3.25 	0.32 	0.68 	-4.52 	-7.74 	-4.72 	-1.39 	-3.57 	0.25 	-11.47 	-3.87 	-5.62 	1.52 	-0.70 	3.36 	2.76 	-3.77 
