unit,deg_urb,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,DEG1,AT	7.5 	8.6 	9.9 b	9.2 	11.3 	10.0 	12.2 	12.2 	12.2 	12.1 	12.5 	11.3 
PC,DEG1,BE	12.4 	12.2 	13.9 	10.3 	10.9 	13.5 	17.0 b	15.4 	15.6 	14.3 	15.7 	14.7 
PC,DEG1,BG	15.1 	22.9 	15.1 	6.8 	5.3 	8.6 	11.8 b	12.6 	11.8 	13.9 	18.8 b	17.7 
PC,DEG1,CH	: 	: 	: 	15.4 	15.8 	15.5 	14.8 b	14.1 	14.1 b	15.3 	15.8 	: 
PC,DEG1,CY	3.5 	1.8 	2.1 b	2.6 	4.4 	3.9 	4.9 b	4.2 	5.2 	4.7 	3.8 	3.5 
PC,DEG1,CZ	11.4 	10.8 	13.0 	10.7 	11.8 	12.9 	14.7 b	16.4 	14.8 	15.6 	14.8 	13.4 
PC,DEG1,DE	: 	: 	: 	: 	16.2 	18.0 	19.8 b	18.9 	19.3 	19.1 	19.6 	17.9 
PC,DEG1,DK	23.5 	18.5 	26.0 	30.1 	27.6 	25.3 	22.1 b	24.3 	22.0 	22.1 	22.9 	22.4 
PC,DEG1,EA18	11.3 e	10.0 e	10.2 e	9.7 e	11.5 	12.7 	13.2 	13.1 	13.3 	13.6 	13.6 	12.7 e
PC,DEG1,EA19	11.3 e	9.9 e	10.1 e	9.6 e	11.5 	12.7 	13.2 	13.1 	13.3 	13.5 	13.6 	12.6 e
PC,DEG1,EE	8.8 	7.0 	3.6 	5.7 	7.3 	9.0 	9.8 b	8.7 	10.3 b	8.5 	6.1 	5.9 
PC,DEG1,EL	26.1 	14.1 	25.6 	25.2 	17.8 	27.2 	35.9 b	39.6 	49.0 	48.8 	44.6 	43.7 
PC,DEG1,ES	8.2 	10.1 	11.4 	11.9 	11.1 	10.7 	11.4 b	11.6 	11.8 	11.2 	12.1 	11.3 
PC,DEG1,EU27	13.2 e	12.5 e	12.3 e	11.6 e	12.6 	13.3 	12.4 	12.6 	13.4 	13.5 	13.5 	12.4 e
PC,DEG1,EU28	: 	: 	: 	: 	12.6 	13.2 	12.4 	12.6 	13.4 	13.5 	13.5 	12.4 e
PC,DEG1,FI	5.3 	6.2 	6.3 	5.2 	5.4 	5.4 	5.1 b	6.2 	7.3 	7.5 	5.7 	5.6 
PC,DEG1,FR	7.9 	7.3 	6.2 	5.6 	7.2 	7.4 	6.9 b	6.3 	7.0 	7.5 	7.6 	6.8 
PC,DEG1,HR	: 	: 	: 	: 	13.8 	8.2 	6.3 b	9.7 	7.5 	5.7 	5.4 	: 
