unit,s_adj,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,AT	: 	: 	-2.7 	-2.4 	-2.2 	-1.6 	-1.3 	0.2 	1.0 	1.9 	2.0 	2.5 	3.1 	3.9 	3.6 	3.3 	2.4 	2.0 	1.7 	2.0 	2.0 	2.2 	2.1 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.0 	2.4 	2.0 	1.0 	0.0 	-0.1 	-0.1 	0.2 	-0.5 	-0.4 	-0.7 	-0.8 	-0.3 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,BG	: 	: 	: 	: 	: 	-3.4 	-5.1 	-4.4 	-4.4 	-4.7 	-7.7 	-11.7 	-17.5 	-21.0 	-18.1 	-10.7 	-3.2 	-0.7 	0.3 	0.6 	0.8 	1.3 	3.1 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6.4 	-8.6 	-11.8 	-11.7 	-11.5 	-7.7 	-7.1 	-5.0 	-5.1 	-3.6 	-3.6 	-5.0 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,CZ	: 	: 	-4.7 	-4.6 	-3.3 	-2.9 	-3.8 	-4.8 	-5.2 	-4.8 	-3.9 	-2.8 	-3.1 	-3.0 	-2.9 	-2.6 	-2.6 	-2.4 	-1.4 	-0.6 	0.0 	0.7 	1.0 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,DE	-1.2 	-1.1 	-0.8 	-0.6 	-0.9 	-1.3 	-1.2 	-0.1 	1.0 	2.6 	3.5 	4.9 	5.7 	6.0 	6.0 	5.7 	5.8 	6.2 	6.6 	7.1 	7.7 	8.3 	8.4 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.0 	2.6 	2.6 	4.3 	5.5 	6.5 	6.9 	7.7 	8.3 	8.4 	8.1 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,EE	: 	: 	-7.8 	-9.3 	-8.0 	-6.1 	-5.6 	-7.9 	-10.4 	-12.0 	-11.2 	-11.9 	-12.9 	-12.9 	-7.1 	-1.5 	1.9 	0.4 	0.0 	-0.2 	1.1 	1.5 	2.3 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.7 	-8.3 	-9.4 	-11.8 	-13.9 	-14.2 	-12.9 	-11.2 	-8.4 	-5.3 	-2.5 	-1.3 	-1.0 	-0.8 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,ES	: 	: 	-0.8 	-1.0 	-1.9 	-3.1 	-4.0 	-4.2 	-4.0 	-4.4 	-5.7 	-7.4 	-8.7 	-9.3 	-7.7 	-5.8 	-3.8 	-2.4 	-0.6 	0.8 	1.3 	1.5 	1.8 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,FI	: 	: 	4.3 	4.7 	5.1 	6.0 	6.9 	7.9 	7.0 	6.2 	4.5 	4.2 	3.5 	3.2 	2.5 	1.6 	0.3 	-1.0 	-2.1 	-2.1 	-1.6 	-1.1 	-0.7 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,FR	: 	: 	: 	: 	: 	: 	2.0 	1.3 	1.2 	0.8 	0.5 	0.3 	0.1 	-0.2 	-0.4 	-0.6 	-0.7 	-0.8 	-0.8 	-0.8 	-0.6 	-0.7 	-0.6 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,HR	: 	: 	: 	: 	: 	: 	: 	-4.2 	-5.4 	-5.8 	-5.2 	-5.4 	-6.4 	-7.6 	-7.2 	-5.2 	-2.4 	-0.7 	0.0 	0.9 	2.4 	3.0 	3.6 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,HU	: 	: 	-3.6 	-4.9 	-6.3 	-7.8 	-7.4 	-6.9 	-6.7 	-7.6 	-7.8 	-7.5 	-7.0 	-7.0 	-4.9 	-2.5 	0.1 	0.9 	2.1 	2.3 	2.7 	3.5 	4.0 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,IE	: 	: 	: 	: 	: 	0.5 	0.3 	0.3 	0.3 	0.2 	-1.0 	-3.0 	-5.1 	-6.3 	-6.3 	-4.8 	-3.3 	-2.3 	-1.2 	0.0 	2.3 	0.4 	2.9 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,IT	: 	: 	2.5 	2.4 	1.8 	1.0 	0.6 	0.1 	-0.1 	-0.4 	-0.6 	-0.9 	-1.3 	-1.9 	-2.0 	-2.7 	-2.8 	-2.2 	-0.8 	0.9 	1.5 	2.0 	2.3 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-8.6 	-11.2 	-13.3 	-9.2 	-4.5 	-1.5 	-2.4 	-1.7 	0.9 	0.6 	0.0 	-0.7 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,LU	: 	: 	10.4 	9.7 	8.9 	9.8 	9.6 	10.1 	8.0 	9.2 	9.8 	10.9 	10.2 	9.1 	8.2 	7.1 	6.6 	6.1 	5.7 	5.4 	5.2 	5.1 	5.0 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,LV	: 	: 	: 	: 	: 	: 	: 	-5.0 	-6.1 	-8.0 	-10.2 	-14.7 	-17.7 	-17.9 	-8.4 	-0.8 	2.2 	-1.6 	-3.2 	-2.7 	-1.6 	-0.2 	0.6 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.6 	-5.0 	-3.2 	-3.2 	-4.1 	-3.8 	-1.1 	1.4 	4.4 	5.3 	6.7 	8.4 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.9 	7.7 	7.0 	5.8 	5.8 	7.0 	8.6 	9.5 	9.5 	8.2 	7.6 	8.3 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.0 	-4.3 	-5.7 	-5.7 	-5.3 	-4.8 	-4.8 	-3.4 	-2.4 	-1.3 	-1.1 	-0.3 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,PT	: 	: 	: 	-6.0 	-7.5 	-9.1 	-10.0 	-9.9 	-8.7 	-8.0 	-8.5 	-9.6 	-10.1 	-10.8 	-10.8 	-10.9 	-8.9 	-6.0 	-2.1 	0.0 	0.6 	0.3 	0.4 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,RO	: 	: 	: 	: 	: 	: 	-4.5 	-4.3 	-5.0 	-5.9 	-7.6 	-9.1 	-10.8 	-11.8 	-9.9 	-7.1 	-4.9 	-4.9 	-3.6 	-2.2 	-1.0 	-1.3 	-2.2 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,SE	1.0 	2.5 	3.5 	3.6 	3.8 	3.8 	4.2 	4.4 	5.0 	5.5 	6.0 	6.7 	7.5 	8.1 	7.3 	6.6 	5.8 	5.7 	5.5 	5.1 	4.8 	4.4 	4.0 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,SI	: 	: 	-0.1 	-0.2 	-1.3 	-2.2 	-2.0 	-0.6 	0.0 	-0.9 	-1.8 	-2.1 	-2.6 	-3.8 	-3.3 	-2.0 	-0.2 	0.7 	2.2 	4.1 	4.9 	5.3 	5.7 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-10.1 	-8.7 	-7.3 	-5.3 	-4.9 	-4.4 	-2.9 	-0.7 	1.3 	0.4 	-0.9 	-2.0 
PC_GDP_3Y,NSA,CA,BAL,WRL_REST,UK	: 	: 	: 	: 	-0.8 	-1.7 	-2.4 	-2.3 	-2.1 	-2.2 	-2.1 	-2.5 	-2.9 	-3.6 	-3.8 	-3.7 	-3.0 	-3.0 	-3.6 	-4.6 	-5.0 	-5.0 	-4.6 
