indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60BT,T,TOTAL,AT	25.1 	24.7 	25.9 b	25.3 	26.0 	27.1 	25.8 	25.9 	25.4 	25.6 	26.3 	24.9 
LI_R_MD60BT,T,TOTAL,BE	26.8 	27.5 	27.0 	26.7 	26.7 	27.8 	27.7 	26.3 	27.5 	26.7 	26.3 	26.3 
LI_R_MD60BT,T,TOTAL,BG	24.7 	25.5 	27.1 	26.4 	27.1 	27.4 	25.9 	26.7 	27.3 	28.4 	27.9 b	29.2 
LI_R_MD60BT,T,TOTAL,CH	: 	22.7 	22.2 	22.6 	22.9 	23.4 	23.4 	22.8 	24.3 b	24.9 	24.7 	: 
LI_R_MD60BT,T,TOTAL,CY	21.6 	21.0 	22.9 b	23.6 	23.5 	23.5 	23.5 	24.3 	24.6 	25.4 	25.0 	24.5 
LI_R_MD60BT,T,TOTAL,CZ	21.6 	20.1 	20.0 	17.9 	18.1 	18.0 	17.6 	16.6 	17.2 	16.8 	16.3 	15.8 
LI_R_MD60BT,T,TOTAL,DE	25.7 	24.8 	24.2 	24.1 	24.2 	25.1 	24.3 	24.4 	25.0 	25.1 	25.3 	24.1 
LI_R_MD60BT,T,TOTAL,DK	28.0 	27.1 	27.8 	31.2 	29.1 	27.9 b	27.4 	27.8 	26.9 	25.8 	24.9 	25.3 
LI_R_MD60BT,T,TOTAL,EA18	24.8 	24.6 	24.2 	24.3 	25.1 	25.7 	25.2 	25.5 	25.7 	25.7 	25.7 	24.9 e
LI_R_MD60BT,T,TOTAL,EA19	24.8 	24.6 	24.2 	24.4 	25.2 	25.7 	25.2 	25.5 	25.8 	25.7 	25.7 	24.9 e
LI_R_MD60BT,T,TOTAL,EE	24.6 	25.2 	24.7 	25.9 	24.9 	24.9 	24.8 	25.4 	28.4 b	27.8 	28.9 	28.9 
LI_R_MD60BT,T,TOTAL,EL	23.4 	23.7 	23.3 	22.7 	23.8 	24.8 	26.8 	28.0 	26.0 	25.5 	25.2 	24.0 
LI_R_MD60BT,T,TOTAL,ES	24.6 	23.7 	25.7 b	26.9 	28.8 	30.0 	29.1 	30.0 	31.1 	30.1 	29.5 	28.4 
LI_R_MD60BT,T,TOTAL,EU27	26.1 e	25.8 	25.4 	25.4 	26.0 	26.4 	25.8 	26.0 	26.1 	26.1 	25.9 	25.0 e
LI_R_MD60BT,T,TOTAL,EU28	: 	: 	: 	: 	26.1 	26.4 	25.8 	26.0 	26.1 	26.1 	25.9 	25.0 e
LI_R_MD60BT,T,TOTAL,FI	28.6 	28.9 	27.3 	26.2 	27.0 	27.4 	26.9 	26.4 	27.6 	26.8 	27.0 	26.7 
LI_R_MD60BT,T,TOTAL,FR	24.9 	26.4 	23.5 b	24.0 	24.9 	24.7 	23.8 	24.4 	24.0 	23.9 	23.6 	24.1 
LI_R_MD60BT,T,TOTAL,HR	: 	: 	: 	: 	30.0 b	30.7 	30.6 	29.7 	29.9 	31.0 	27.3 	: 
