sex,age,unit,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y20-29,PC,TOTAL,AT	73.1 b	73.1 	73.9 b	74.6 	73.7 	73.5 	74.8 	74.9 	74.5 	73.1 	73.4 	74.0 	73.6 
T,Y20-29,PC,TOTAL,BE	63.7 b	64.0 	64.5 	64.5 	61.8 	61.0 	60.5 b	59.4 	57.9 	57.8 	57.6 	57.6 	57.5 b
T,Y20-29,PC,TOTAL,BG	53.3 b	56.5 	59.4 	61.9 b	57.8 	54.1 b	50.5 b	49.9 	48.5 	50.0 	52.0 	51.1 	56.3 
T,Y20-29,PC,TOTAL,CH	78.4 b	80.3 	80.3 	80.7 	77.9 	78.0 b	79.0 	78.5 	77.7 	78.4 	79.2 	79.5 	80.2 
T,Y20-29,PC,TOTAL,CY	73.1 b	74.7 	74.8 	74.1 	71.9 b	70.6 	67.4 	63.3 	58.3 	60.5 	59.9 	60.5 	62.6 
T,Y20-29,PC,TOTAL,CZ	62.0 b	62.6 	63.8 	63.1 	60.1 	58.4 	58.2 b	57.8 	59.1 	60.2 	61.8 	63.4 	65.7 
T,Y20-29,PC,TOTAL,DE	64.3 b	66.4 	68.1 	69.5 	68.8 	69.5 b	71.4 b	71.0 	71.2 	71.2 	71.4 	71.6 	72.0 
T,Y20-29,PC,TOTAL,DK	75.3 b	77.1 	78.2 	78.8 	74.5 	70.3 	69.7 	67.5 	67.7 	67.6 	69.2 	69.6 b	68.0 b
T,Y20-29,PC,TOTAL,EA18	63.7 b	65.0 	65.8 	65.8 	62.7 	61.3 	60.7 	59.1 	57.9 	57.9 	58.8 	59.8 	60.9 
T,Y20-29,PC,TOTAL,EA19	63.7 b	64.9 	65.8 	65.7 	62.6 	61.1 	60.6 	59.1 	57.9 	58.0 	58.8 	59.9 	60.9 
T,Y20-29,PC,TOTAL,EE	65.3 b	68.5 	68.5 	69.8 	59.2 	56.2 	61.5 	61.8 	62.9 	65.5 	69.6 	68.7 	74.0 
T,Y20-29,PC,TOTAL,EL	56.6 b	57.6 	57.7 	58.0 	57.3 b	53.5 	46.4 	40.2 	36.7 	38.3 	40.3 	41.0 	42.2 
T,Y20-29,PC,TOTAL,ES	67.2 b	69.0 	69.4 	66.2 	57.7 	54.7 	51.7 	46.9 	44.6 	45.7 	47.1 	48.6 	51.4 
T,Y20-29,PC,TOTAL,EU27	63.2 b	64.5 	65.5 	65.7 	62.8 	61.8 	61.3 	60.2 	59.6 	60.3 	61.5 	62.7 	64.0 
T,Y20-29,PC,TOTAL,EU28	63.2 b	64.4 	65.5 	65.7 	62.8 	61.7 	61.2 	60.1 	59.5 	60.2 	61.4 	62.6 	63.9 
T,Y20-29,PC,TOTAL,FI	67.8 b	69.0 	71.3 	72.4 b	67.3 	67.0 	67.8 	67.8 	66.9 	65.5 	64.6 	65.9 	66.7 
T,Y20-29,PC,TOTAL,FR	63.4 b	63.6 	64.5 	65.2 	63.7 	63.1 	62.3 	61.1 	60.9 	60.3 b	60.9 	61.5 	62.1 
T,Y20-29,PC,TOTAL,HR	55.7 b	55.9 b	60.7 	61.6 	59.1 	55.2 	49.8 	46.7 	44.8 	48.5 	49.5 	54.8 	56.2 
T,Y20-29,PC,TOTAL,HU	56.8 b	56.6 	56.0 	54.8 	51.2 	50.1 	50.2 	50.4 	52.2 	56.7 	58.5 	61.7 	63.8 
T,Y20-29,PC,TOTAL,IE	75.7 b	77.1 	81.7 b	77.7 	68.5 	63.8 	61.3 	61.4 	63.6 	64.4 	66.3 	70.0 	70.2 b
T,Y20-29,PC,TOTAL,IS	78.0 b	79.7 	81.4 	79.1 	69.6 	69.4 	71.1 	73.0 	76.9 	77.8 	81.9 	84.3 	82.9 
T,Y20-29,PC,TOTAL,IT	53.6 b	54.3 	53.5 	53.4 	49.9 	47.5 	46.7 	45.1 	41.0 	40.0 	40.3 	42.1 	42.7 
T,Y20-29,PC,TOTAL,LT	59.7 b	62.3 	62.1 	61.8 	55.9 	50.7 	52.2 	55.7 	58.4 	62.5 	64.3 	66.1 	67.3 
T,Y20-29,PC,TOTAL,LU	63.8 b	62.2 	61.1 b	59.5 	63.2 b	60.5 	59.1 	59.5 	57.5 	60.1 	63.9 b	63.0 	63.3 
T,Y20-29,PC,TOTAL,LV	64.8 b	68.5 	70.1 	71.0 	57.2 	56.0 	57.6 	60.8 	62.2 	65.1 	67.5 	67.7 	70.7 
T,Y20-29,PC,TOTAL,ME	: 	: 	: 	: 	: 	: 	38.2 	40.9 	42.9 	44.7 	46.5 	48.8 	48.8 
T,Y20-29,PC,TOTAL,MK	: 	31.6 	33.4 	34.9 	36.5 	36.4 	34.8 	35.6 	36.3 	36.8 	37.5 	38.3 	40.5 
T,Y20-29,PC,TOTAL,MT	72.6 b	74.2 	75.0 	76.1 	73.3 	73.4 	74.0 	74.5 	77.1 	76.5 	75.1 	76.7 	78.5 
T,Y20-29,PC,TOTAL,NL	80.9 b	82.2 	83.6 	83.5 	82.4 	78.7 b	77.5 b	76.8 	75.3 	74.1 	75.8 	75.9 	76.5 
T,Y20-29,PC,TOTAL,NO	73.1 b	75.6 b	77.2 	78.3 	75.2 	72.9 	72.9 	73.3 	73.0 	71.9 	71.8 	71.1 	71.1 
T,Y20-29,PC,TOTAL,PL	52.1 b	55.3 	58.6 	62.0 	61.5 	59.9 b	59.1 	58.6 	58.1 	60.2 	61.1 	64.2 	65.9 
T,Y20-29,PC,TOTAL,PT	66.6 b	66.7 	66.4 	67.7 	65.1 	61.8 	60.8 b	56.1 	52.9 	55.1 	56.5 	57.8 	62.2 
T,Y20-29,PC,TOTAL,RO	55.5 b	54.7 	54.7 	53.8 	51.7 	54.0 b	53.3 	53.6 	53.8 	55.2 	57.8 	56.3 	59.4 
T,Y20-29,PC,TOTAL,SE	67.9 b	69.1 	71.8 	71.9 	67.2 	66.6 	68.4 	67.2 	67.9 	68.5 	69.7 	70.9 	71.7 
T,Y20-29,PC,TOTAL,SI	66.5 b	65.7 	68.5 	69.5 	64.7 	63.0 	60.9 	58.5 	56.2 	55.1 	59.3 	60.6 	67.1 
T,Y20-29,PC,TOTAL,SK	57.6 b	59.4 	60.7 	60.2 	55.7 	52.9 	52.0 b	52.2 	51.9 	53.2 	57.1 	59.4 	60.7 
T,Y20-29,PC,TOTAL,TR	: 	47.0 	47.5 	47.7 	46.1 	48.3 	50.6 	50.8 	51.8 	52.2 b	52.9 	52.7 	53.4 
