na_item,unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
B1GQ,EUR_M3_CLV10,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.7 s	16.0 s	8.2 s
B1GQ,EUR_M3_CLV10,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.1 	31.8 	55.3 	36.4 	29.1 	38.1 s	39.7 s	39.5 s	40.5 s	31.5 s	32.0 s
B1GQ,EUR_M3_CLV10,BE	: 	: 	: 	: 	: 	32.7 	36.3 	36.9 	38.7 	41.6 	41.3 	44.8 	47.3 	48.2 	51.7 	53.2 d	54.1 	58.0 	59.3 	59.2 	61.3 s	73.1 s	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,BG	: 	: 	: 	: 	: 	4.2 	4.1 	3.2 	3.2 	3.4 	4.0 	4.3 	4.1 	4.1 	4.8 	5.3 	5.2 	6.0 	6.1 	6.2 	6.4 s	6.1 s	6.8 s	7.2 s	7.4 s	7.3 s
B1GQ,EUR_M3_CLV10,CH	122.5 	120.0 	120.0 	125.7 	126.0 	127.8 	129.3 	132.2 	135.7 	138.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	226.0 s	: 	: 	: 
B1GQ,EUR_M3_CLV10,CY	: 	: 	: 	: 	: 	: 	: 	: 	71.2 	66.0 	71.5 	71.8 	68.4 	63.9 	60.8 	72.6 	76.5 	86.7 	121.1 	103.3 	96.1 s	87.8 s	73.7 s	69.4 s	80.7 s	76.9 s
B1GQ,EUR_M3_CLV10,CZ	: 	: 	: 	: 	: 	38.3 	42.6 	43.7 	47.6 	55.7 	59.8 	64.2 	62.9 	58.7 	64.3 	71.3 	76.6 	79.6 	81.0 	78.7 	80.3 s	84.5 s	86.0 s	95.4 s	98.0 s	106.2 s
B1GQ,EUR_M3_CLV10,DE	: 	44.1 	: 	: 	: 	49.5 	: 	: 	55.3 	: 	: 	63.1 	: 	: 	67.8 	: 	: 	80.4 	: 	: 	78.1 s	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,DK	137.2 	193.4 	: 	: 	: 	218.9 	207.9 	221.2 	279.7 	309.7 	310.1 	320.9 	341.6 	351.7 	347.2 	373.7 	370.0 	442.2 	360.7 	361.8 	371.9 s	253.9 s	378.6 s	327.1 s	339.6 s	: 
B1GQ,EUR_M3_CLV10,EE	: 	: 	: 	: 	: 	4.5 	5.1 	5.7 	6.1 	6.3 	7.2 	7.7 	8.5 	7.6 	7.8 	9.5 	10.6 	9.7 	10.5 	10.4 	8.0 s	8.5 s	10.1 s	9.6 s	10.0 s	: 
