unit,product,indic_nrg,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
KTOE,0000,B_102010,MK	300.4 	308.4 	504.5 	419.9 	483.4 	444.1 	472.3 	464.5 	428.4 	452.2 	480.2 	440.7 	449.3 	493.3 	490.2 	539.9 	545.8 	533.9 	530.9 	549.2 	538.2 	567.0 	559.0 	519.0 	523.6 	531.1 	493.4 
KTOE,0000,B_102010,MT	55.4 	57.2 	60.3 	60.5 	69.1 	72.7 	75.4 	73.7 	65.8 	74.4 	75.9 	74.3 	80.0 	88.2 	88.0 	72.0 	73.0 	70.8 	70.8 	64.4 	69.4 	68.9 	72.1 	71.6 	71.3 	78.2 	81.2 
KTOE,0000,B_102010,NL	10403.8 	11750.9 	11013.1 	11533.0 	10966.5 	11790.8 	13494.9 	11665.3 	11229.8 	10807.0 	10831.7 	11409.7 	11136.8 	11408.9 	11041.0 	10743.5 	10849.8 	9975.3 	11016.7 	11016.6 	12459.6 	10251.9 	10854.7 	11409.3 	9121.7 	9557.3 	9854.9 
KTOE,0000,B_102010,NO	3604.7 	3667.2 	3617.6 	3673.2 	3824.0 	3864.4 	3963.8 	3834.4 	3955.2 	3933.3 	3825.3 	3985.0 	3979.0 	3813.1 	3740.4 	3875.0 	3815.0 	3839.8 	3836.9 	3995.4 	4654.2 	4169.1 	4398.4 	4333.6 	4042.6 	4221.6 	4266.7 
KTOE,0000,B_102010,PL	17841.4 	20474.0 	20849.3 	24421.2 	23096.0 	22664.7 	23027.2 	21701.4 	19550.7 	19424.9 	17193.5 	18798.7 	18679.1 	18777.1 	18818.2 	19454.0 	20454.3 	19349.8 	19651.7 	19967.0 	21967.0 	20085.8 	20754.8 	20416.4 	18939.2 	18917.2 	19746.7 
KTOE,0000,B_102010,PT	2285.7 	2358.7 	2421.8 	2488.0 	2537.7 	2564.0 	2664.6 	2663.5 	2661.4 	2777.8 	2804.2 	2858.9 	2987.5 	3115.5 	3217.1 	3224.0 	3219.5 	3225.9 	3117.7 	3197.7 	2969.5 	2776.3 	2694.9 	2635.0 	2565.6 	2538.6 	2620.7 
KTOE,0000,B_102010,RO	10566.0 	7233.5 	6276.2 	6603.7 	6397.3 	6330.9 	8105.4 	9648.5 	9497.6 	8740.4 	8409.0 	7278.1 	7217.2 	7819.2 	7964.7 	7990.3 	7853.6 	7518.1 	8070.0 	8015.2 	8102.1 	7859.6 	8060.6 	7722.0 	7409.7 	7375.2 	7414.9 
KTOE,0000,B_102010,RS	2933.9 	2674.3 	2568.4 	2836.3 	2777.6 	2564.7 	2909.0 	2965.6 	2983.3 	2728.4 	3127.4 	3159.0 	3209.2 	3251.9 	3121.0 	3113.7 	2838.2 	3247.3 	2911.2 	3054.3 	3090.8 	3146.9 	3134.5 	2859.5 	2760.2 	2832.1 	2940.6 
KTOE,0000,B_102010,SE	6551.5 	7166.6 	7832.9 	7934.3 	8041.6 	7743.8 	8197.3 	7926.7 	7870.3 	7447.0 	7300.0 	7511.8 	7336.2 	7382.7 	7147.1 	7305.2 	7003.7 	6731.1 	6638.1 	6949.9 	8035.1 	7465.6 	7828.4 	7479.3 	7018.0 	7197.2 	7462.0 
KTOE,0000,B_102010,SI	951.8 	1132.9 	1009.9 	1099.0 	1091.8 	1161.8 	1031.5 	1067.5 	1028.1 	1051.8 	1127.0 	1121.0 	1164.6 	1252.3 	1242.3 	1188.1 	1158.2 	1047.8 	1115.3 	1285.9 	1326.3 	1264.6 	1219.0 	1203.4 	1017.2 	1110.9 	1147.6 
KTOE,0000,B_102010,SK	2231.8 	1878.4 	1768.0 	1719.2 	1771.7 	1977.1 	2233.2 	2362.5 	2448.3 	2568.3 	2586.2 	3082.4 	2997.9 	2839.5 	2666.5 	2540.4 	2310.1 	2080.6 	2131.0 	2147.4 	2311.8 	2121.3 	2070.4 	2147.6 	1952.1 	1987.9 	2030.4 
KTOE,0000,B_102010,TR	14559.6 	14873.0 	15624.7 	15682.0 	14870.6 	16241.1 	16715.3 	17414.7 	17016.4 	17104.5 	17341.6 	16225.7 	16445.0 	17230.7 	17759.6 	19048.7 	19406.3 	20181.5 	20178.6 	18825.4 	19376.3 	20777.4 	20181.8 	19805.6 	19164.7 	20140.9 	20711.0 
KTOE,0000,B_102010,UK	37369.9 	40854.2 	40246.0 	41711.5 	40331.7 	39338.4 	44133.5 	41120.4 	42329.9 	42327.1 	43034.4 	44277.7 	43470.7 	44673.6 	45633.5 	44238.1 	43118.8 	41605.0 	42513.4 	41323.0 	45502.5 	37758.5 	40920.9 	41398.7 	35736.4 	36931.5 	38053.9 
KTOE,0000,B_102010,XK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	277.1 	322.7 	322.2 	318.9 	326.8 	345.0 	352.6 	337.9 	461.4 	455.7 	461.9 	491.2 	474.3 	494.2 	479.9 	476.4 	549.4 
