indic_em,age,sex,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LTU,Y15-74,F,PC_ACT,SK	12.3 	11.2 	9.3 	7.7 	7.4 	9.5 	9.0 b	9.5 	10.0 	9.1 	8.3 	6.2 	4.9 
LTU,Y15-74,F,PC_ACT,TR	: 	3.6 	3.2 	3.1 	3.8 	3.9 	3.2 	2.7 	3.0 	3.2 b	3.4 	3.5 	3.9 
LTU,Y15-74,F,PC_ACT,UK	0.7 	0.8 	0.9 b	0.9 b	1.4 	1.8 	2.0 	2.2 	2.2 	1.8 	1.3 	1.1 	1.0 
LTU,Y15-74,M,PC_ACT,AT	1.4 	1.5 	1.2 b	1.0 	1.2 	1.4 	1.3 	1.3 	1.4 	1.7 	1.9 	2.2 	2.0 
LTU,Y15-74,M,PC_ACT,BE	3.9 	3.7 	3.3 	3.0 	3.4 	4.0 	3.4 	3.5 	4.0 	4.7 	4.8 	4.2 	3.7 b
LTU,Y15-74,M,PC_ACT,BG	6.1 	4.8 	3.7 	2.7 	2.8 	5.0 b	7.0 b	7.7 	8.1 	7.7 	6.1 	4.8 	3.6 
LTU,Y15-74,M,PC_ACT,CH	: 	: 	: 	: 	: 	1.4 b	1.5 	1.4 	1.3 	1.6 	1.7 	1.7 	1.5 
LTU,Y15-74,M,PC_ACT,CY	0.9 	0.7 u	0.8 	0.5 u	0.6 bu	1.3 	1.7 	3.9 	6.5 	8.3 	7.4 	6.4 	5.0 
LTU,Y15-74,M,PC_ACT,CZ	3.4 	3.1 	2.1 	1.7 	1.6 	2.6 	2.4 b	2.6 	2.5 	2.2 	2.0 	1.4 	0.8 
LTU,Y15-74,M,PC_ACT,DE	6.0 b	5.7 	4.8 	3.9 	3.6 	3.5 b	3.0 b	2.6 	2.5 	2.4 	2.3 	1.9 	1.8 
LTU,Y15-74,M,PC_ACT,DK	1.1 	0.7 	0.5 	0.5 	0.6 	1.8 	2.0 	2.1 	1.6 	1.7 	1.6 	1.3 b	1.3 b
LTU,Y15-74,M,PC_ACT,EA18	3.6 	3.4 	2.9 	2.6 	3.1 	4.2 	4.5 	5.2 	5.9 	6.0 	5.5 	4.8 	4.2 
LTU,Y15-74,M,PC_ACT,EA19	3.6 	3.4 	2.9 	2.6 	3.1 	4.2 	4.5 	5.2 	5.9 	6.0 	5.5 	4.8 	4.2 
LTU,Y15-74,M,PC_ACT,EE	4.5 	3.2 	2.9 	2.0 	4.4 	9.3 	7.9 	6.1 	4.2 	3.9 	2.5 	2.4 	2.2 
LTU,Y15-74,M,PC_ACT,EL	2.6 	2.6 	2.2 	2.1 	2.4 b	3.9 	6.8 	12.2 	16.2 	17.2 	15.8 	14.1 	12.6 
LTU,Y15-74,M,PC_ACT,ES	1.5 b	1.2 	1.1 	1.4 	3.7 	7.1 	8.6 	10.7 	12.5 	12.3 	10.5 	8.4 	6.7 
LTU,Y15-74,M,PC_ACT,EU27	3.7 	3.4 	2.8 	2.4 	2.8 	3.8 	4.1 	4.6 	5.1 	5.0 	4.5 	3.9 	3.3 
LTU,Y15-74,M,PC_ACT,EU28	3.7 	3.4 	2.8 	2.4 	2.8 	3.9 	4.1 	4.6 	5.1 	5.0 	4.5 	3.9 	3.3 
LTU,Y15-74,M,PC_ACT,FI	2.3 	2.1 	1.7 	1.2 	1.6 	2.5 	2.2 	2.1 	2.0 	2.2 	2.7 	2.5 	2.4 
LTU,Y15-74,M,PC_ACT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.7 	4.8 	4.8 	4.4 
LTU,Y15-74,M,PC_ACT,FX	3.1 	3.3 	2.9 	2.6 	3.0 	3.6 	3.5 	3.8 	4.1 	4.5 	4.6 	4.6 	4.2 
LTU,Y15-74,M,PC_ACT,HR	6.5 	5.8 	5.0 	4.2 	3.9 	5.9 	8.4 	10.2 	11.3 	9.6 	10.1 	6.8 	4.7 
LTU,Y15-74,M,PC_ACT,HU	3.2 	3.3 	3.3 	3.6 	4.3 	5.7 	5.2 	5.2 	5.0 	3.6 	3.1 	2.3 	1.5 
LTU,Y15-74,M,PC_ACT,IE	1.8 	1.7 	1.7 b	2.2 	4.7 	9.0 	11.2 	11.7 	9.6 	7.8 	6.4 	5.1 	3.5 
LTU,Y15-74,M,PC_ACT,IS	: u	: 	: u	: u	: u	1.5 	1.7 	1.5 	1.1 	0.6 	: u	: u	: u
LTU,Y15-74,M,PC_ACT,IT	2.8 	2.5 	2.2 	2.4 	2.8 	3.5 	3.8 	5.0 	6.5 	7.1 	6.6 	6.2 	6.1 
LTU,Y15-74,M,PC_ACT,LT	4.2 	2.6 u	1.5 u	1.1 u	3.7 	9.0 	9.4 	7.4 	5.5 	5.4 	4.4 	3.4 	3.2 
LTU,Y15-74,M,PC_ACT,LU	1.2 	1.2 	1.3 b	1.3 	0.9 b	1.2 	1.3 	1.3 	1.6 	1.6 	1.9 b	2.2 	2.3 
LTU,Y15-74,M,PC_ACT,LV	4.8 	2.7 	1.9 	1.9 	5.4 	10.9 	11.0 	8.7 	6.5 	5.3 	5.4 	4.9 	3.9 
LTU,Y15-74,M,PC_ACT,ME	: 	: 	: 	: 	: 	: 	15.0 	15.7 	16.9 	13.9 	13.6 	13.9 	12.2 
LTU,Y15-74,M,PC_ACT,MK	: 	29.5 	29.3 	28.8 	26.2 	26.7 	26.6 	26.1 	23.9 	23.0 	22.1 	19.9 	17.6 
LTU,Y15-74,M,PC_ACT,MT	3.4 b	2.9 	2.8 	2.7 	3.1 	3.4 	3.3 	3.3 	3.2 	3.3 	2.9 	2.0 	1.6 
LTU,Y15-74,M,PC_ACT,NL	1.9 	1.6 	1.1 	0.9 	0.8 	1.2 b	1.6 b	1.8 	2.6 	2.8 	3.0 	2.4 	1.8 
LTU,Y15-74,M,PC_ACT,NO	0.9 	0.9 b	0.5 	0.3 	0.5 	0.9 	0.8 	0.7 	0.7 	0.8 	1.1 	1.4 	1.4 
LTU,Y15-74,M,PC_ACT,PL	9.3 	7.1 	4.6 	2.0 	2.2 	2.9 b	3.3 	3.7 	4.0 	3.7 	2.9 	2.2 	1.6 
LTU,Y15-74,M,PC_ACT,PT	3.2 	3.4 	3.2 	3.2 	3.7 	5.1 	6.1 b	7.8 	9.4 	8.4 	7.3 	6.4 	4.3 
LTU,Y15-74,M,PC_ACT,RO	4.6 	4.7 	3.6 	2.9 	2.5 	2.8 b	3.2 	3.3 	3.4 	3.1 	3.3 	3.3 	2.4 
LTU,Y15-74,M,PC_ACT,SE	: 	: 	0.9 	0.8 	1.2 	1.7 	1.6 	1.7 	1.6 	1.6 	1.7 	1.4 	1.4 
LTU,Y15-74,M,PC_ACT,SI	2.9 	2.4 	1.8 	1.7 	1.7 	3.4 	3.7 	4.1 	4.9 	4.9 	4.1 	4.1 	3.1 
LTU,Y15-74,M,PC_ACT,SK	11.2 	9.4 	7.4 	5.8 	5.8 	9.0 	9.4 b	9.3 	10.0 	9.4 	6.9 	5.5 	5.2 
LTU,Y15-74,M,PC_ACT,TR	: 	2.3 	2.1 	2.0 	2.5 	2.3 	1.6 	1.4 	1.4 	1.5 b	1.6 	1.7 	1.6 
LTU,Y15-74,M,PC_ACT,UK	1.3 	1.5 	1.6 b	1.7 b	2.3 	3.2 	3.3 	3.2 	3.2 	2.6 	1.9 	1.5 	1.3 
LTU,Y15-74,T,PC_ACT,AT	1.4 	1.5 	1.3 b	1.0 	1.2 	1.2 	1.2 	1.2 	1.3 	1.5 	1.7 	1.9 	1.8 
LTU,Y15-74,T,PC_ACT,BE	4.4 	4.2 	3.8 	3.3 	3.5 	4.0 	3.5 	3.4 	3.9 	4.3 	4.4 	4.0 	3.5 b
LTU,Y15-74,T,PC_ACT,BG	6.0 	5.0 	4.1 	2.9 	3.0 	4.7 b	6.3 b	6.8 	7.4 	6.9 	5.6 	4.5 	3.4 
LTU,Y15-74,T,PC_ACT,CH	: 	: 	: 	: 	: 	1.6 b	1.6 	1.5 	1.5 	1.7 	1.8 	1.8 	1.7 
LTU,Y15-74,T,PC_ACT,CY	1.3 	0.9 	0.7 	0.5 	0.6 b	1.3 	1.6 	3.6 	6.1 	7.7 	6.8 	5.8 	4.5 
LTU,Y15-74,T,PC_ACT,CZ	4.2 	3.9 	2.8 	2.2 	2.0 	3.0 	2.7 b	3.0 	3.0 	2.7 	2.4 	1.7 	1.0 
LTU,Y15-74,T,PC_ACT,DE	5.9 b	5.7 	4.9 	3.9 	3.5 	3.3 b	2.8 b	2.4 	2.3 	2.2 	2.0 	1.7 	1.6 
LTU,Y15-74,T,PC_ACT,DK	1.1 	0.8 	0.6 	0.5 	0.6 	1.5 	1.8 	2.1 	1.8 	1.7 	1.7 	1.4 b	1.3 b
LTU,Y15-74,T,PC_ACT,EA18	4.0 	3.8 	3.2 	2.9 	3.3 	4.2 	4.5 	5.2 	5.9 	6.1 	5.5 	5.0 	4.4 
LTU,Y15-74,T,PC_ACT,EA19	4.0 	3.8 	3.2 	2.9 	3.3 	4.3 	4.6 	5.2 	5.9 	6.0 	5.5 	5.0 	4.4 
LTU,Y15-74,T,PC_ACT,EE	4.4 	2.9 	2.3 	1.7 	3.7 	7.6 	7.1 	5.5 	3.8 	3.3 	2.4 	2.1 	1.9 
LTU,Y15-74,T,PC_ACT,EL	5.2 	4.9 	4.2 	3.7 	3.9 b	5.7 	8.8 	14.5 	18.5 	19.5 	18.2 	17.0 	15.6 
LTU,Y15-74,T,PC_ACT,ES	2.2 b	1.8 	1.7 	2.0 	4.3 	7.3 	8.9 	11.0 	13.0 	12.9 	11.4 	9.5 	7.7 
LTU,Y15-74,T,PC_ACT,EU27	4.0 	3.7 	3.0 	2.5 	2.9 	3.8 	4.1 	4.6 	5.1 	5.0 	4.5 	3.9 	3.4 
LTU,Y15-74,T,PC_ACT,EU28	4.0 	3.7 	3.0 	2.6 	2.9 	3.8 	4.1 	4.6 	5.1 	5.0 	4.5 	4.0 	3.4 
LTU,Y15-74,T,PC_ACT,FI	2.1 	1.9 	1.5 	1.2 	1.4 	2.0 	1.7 	1.6 	1.7 	1.9 	2.3 	2.3 	2.1 
LTU,Y15-74,T,PC_ACT,FR	3.7 e	3.8 e	3.3 e	2.9 e	3.3 e	3.9 e	4.0 e	4.1 e	4.4 e	4.5 	4.6 	4.6 	4.2 
LTU,Y15-74,T,PC_ACT,FX	3.4 	3.5 	3.0 	2.6 	3.0 	3.5 	3.6 	3.7 	4.0 	4.2 	4.3 	4.3 	4.0 
LTU,Y15-74,T,PC_ACT,HR	7.4 	6.7 	6.0 	5.3 	5.1 	6.6 	8.4 	10.2 	11.0 	10.1 	10.2 	6.6 	4.6 
LTU,Y15-74,T,PC_ACT,HU	3.2 	3.4 	3.5 	3.6 	4.2 	5.5 	5.2 	5.0 	4.9 	3.7 	3.1 	2.4 	1.7 
LTU,Y15-74,T,PC_ACT,IE	1.4 	1.4 	1.4 b	1.7 	3.5 	6.9 	8.8 	9.2 	8.0 	6.6 	5.3 	4.2 	3.0 
LTU,Y15-74,T,PC_ACT,IS	: u	: u	: u	: u	0.4 	1.3 	1.7 	1.5 	1.0 	0.6 	0.5 	: u	0.3 
LTU,Y15-74,T,PC_ACT,IT	3.7 	3.3 	2.9 	3.0 	3.4 	4.0 	4.3 	5.6 	6.9 	7.7 	6.9 	6.7 	6.5 
LTU,Y15-74,T,PC_ACT,LT	4.4 	2.6 	1.4 u	1.3 u	3.3 	7.4 	8.0 	6.6 	5.1 	4.8 	3.9 	3.0 	2.7 
LTU,Y15-74,T,PC_ACT,LU	1.2 	1.4 	1.2 b	1.6 	1.2 b	1.3 	1.4 	1.6 	1.8 	1.6 	1.9 b	2.2 	2.1 
LTU,Y15-74,T,PC_ACT,LV	4.5 	2.4 	1.6 	1.9 	4.5 	8.8 	8.8 	7.8 	5.7 	4.6 	4.5 	4.0 	3.3 
LTU,Y15-74,T,PC_ACT,ME	: 	: 	: 	: 	: 	: 	15.7 	15.8 	16.0 	14.0 	13.5 	13.4 	12.5 
LTU,Y15-74,T,PC_ACT,MK	: 	30.2 	29.7 	28.7 	26.3 	26.6 	25.9 	25.5 	23.9 	23.3 	21.3 	19.1 	17.4 
LTU,Y15-74,T,PC_ACT,MT	3.4 b	2.7 	2.7 	2.6 	2.9 	3.1 	3.0 	3.0 	2.8 	2.7 	2.4 	1.9 	1.6 
LTU,Y15-74,T,PC_ACT,NL	1.9 	1.7 	1.2 	0.9 	0.8 	1.2 b	1.6 b	1.9 	2.5 	2.9 	3.0 	2.5 	1.9 
LTU,Y15-74,T,PC_ACT,NO	0.8 	0.8 b	0.4 	0.3 	0.5 	0.7 	0.7 	0.6 	0.7 	0.8 	1.0 	1.2 	1.1 
LTU,Y15-74,T,PC_ACT,PL	10.3 	7.8 	4.9 	2.4 	2.5 	3.0 b	3.6 	4.1 	4.4 	3.8 	3.0 	2.2 	1.5 
LTU,Y15-74,T,PC_ACT,PT	3.7 	3.9 	3.8 	3.6 	4.2 	5.7 	6.2 b	7.7 	9.3 	8.4 	7.2 	6.2 	4.5 
LTU,Y15-74,T,PC_ACT,RO	4.0 	4.1 	3.2 	2.4 	2.2 	2.4 b	2.9 	3.0 	3.2 	2.8 	3.0 	3.0 	2.0 
LTU,Y15-74,T,PC_ACT,SE	1.1 e	1.0 e	0.8 	0.8 	1.1 	1.6 	1.5 	1.5 	1.4 	1.4 	1.5 	1.3 	1.2 
LTU,Y15-74,T,PC_ACT,SI	3.1 	2.9 	2.2 	1.9 	1.8 	3.2 	3.6 	4.3 	5.2 	5.3 	4.7 	4.3 	3.1 
LTU,Y15-74,T,PC_ACT,SK	11.7 	10.2 	8.3 	6.6 	6.5 	9.2 	9.2 b	9.4 	10.0 	9.3 	7.6 	5.8 	5.1 
LTU,Y15-74,T,PC_ACT,TR	: 	2.7 	2.3 	2.3 	2.9 	2.8 	2.1 	1.8 	1.9 	2.0 b	2.2 	2.2 	2.4 
LTU,Y15-74,T,PC_ACT,UK	1.0 	1.2 	1.3 b	1.4 b	1.9 	2.5 	2.7 	2.7 	2.7 	2.2 	1.6 	1.3 	1.1 
