age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT25,PC_ACT,M,BE	21.0 	18.8 	17.1 	17.3 	21.5 	22.4 	18.7 	20.4 	24.7 	24.0 	23.8 	21.7 	20.2 b
Y_LT25,PC_ACT,M,BG	22.0 	17.7 	13.5 	12.8 	16.7 	23.2 d	26.0 	29.5 	30.2 	23.8 	21.2 	17.4 	13.3 
Y_LT25,PC_ACT,M,CY	13.2 	8.9 	11.0 	8.7 	13.6 	15.9 	23.3 	28.8 	41.1 	37.4 	34.7 	25.8 	27.0 
Y_LT25,PC_ACT,M,CZ	19.4 	16.6 	10.6 	9.8 	16.6 	18.2 	18.2 	19.9 	18.7 	15.0 	11.3 	10.0 	7.4 
Y_LT25,PC_ACT,M,DE	16.6 d	14.6 	12.4 	10.8 	12.2 	10.6 	9.2 	8.7 	8.5 	8.3 	7.9 	7.8 	7.6 
Y_LT25,PC_ACT,M,DK	8.6 	7.9 d	7.6 	7.3 	13.2 	16.0 	15.6 	14.7 	14.2 	13.7 	11.6 	13.1 	11.4 
Y_LT25,PC_ACT,M,EA18	17.8 	16.3 	14.9 	15.9 	21.5 	22.0 	21.6 	24.0 	24.8 	24.2 	23.0 	21.5 	19.4 
Y_LT25,PC_ACT,M,EA19	17.8 	16.3 	14.8 	15.9 	21.6 	22.1 	21.7 	24.0 	24.8 	24.2 	23.0 	21.4 	19.4 
Y_LT25,PC_ACT,M,EE	16.1 	10.0 	12.2 	12.6 d	31.6 	35.6 	23.8 	22.8 	17.7 	19.3 	13.8 	15.8 	13.9 
Y_LT25,PC_ACT,M,EL	18.9 	17.6 	15.5 	16.9 	19.5 	26.8 	38.8 	48.5 	53.8 	47.4 	45.2 	44.3 	39.3 
Y_LT25,PC_ACT,M,ES	16.7 	15.0 	15.2 	23.6 	39.1 	43.1 	48.2 	54.1 	56.2 	53.4 	48.6 	44.0 	39.5 
Y_LT25,PC_ACT,M,EU27	18.8 	17.3 	15.5 	16.0 	21.4 	22.1 	22.3 	23.9 	24.2 	22.7 	20.9 	19.3 	17.4 
Y_LT25,PC_ACT,M,EU28	18.9 	17.4 	15.6 	16.0 	21.4 	22.2 	22.4 	24.0 	24.4 	22.8 	21.1 	19.4 	17.4 
Y_LT25,PC_ACT,M,FI	20.6 	19.0 	16.4 	17.1 	24.1 	23.8 	21.8 	19.9 	22.9 	22.8 	25.4 	21.8 	20.9 
Y_LT25,PC_ACT,M,FR	20.1 	21.1 	19.0 	19.2 	24.7 	22.9 	22.0 	24.8 	24.6 	25.1 	25.8 	25.1 	23.1 
Y_LT25,PC_ACT,M,HR	29.3 	26.5 d	22.6 	20.7 	23.8 	31.8 	36.7 	42.2 	49.5 	44.5 	41.5 	31.4 	26.5 
Y_LT25,PC_ACT,M,HU	19.6 	18.6 	17.6 	18.9 d	27.9 	27.8 	27.0 	29.1 	25.6 	20.0 	18.3 	12.9 	9.7 
Y_LT25,PC_ACT,M,IE	9.5 	9.3 	10.2 	16.5 	31.6 	34.8 	36.1 	37.4 	30.3 	26.6 	23.6 	19.7 	16.1 
Y_LT25,PC_ACT,M,IS	8.5 	8.9 	8.0 	9.0 	19.9 	18.4 	18.4 	14.7 	13.6 	13.1 	10.8 	6.7 	8.6 
Y_LT25,PC_ACT,M,IT	21.6 	19.2 	18.4 	18.8 	23.2 	26.9 	27.1 	33.7 	39.0 	41.3 	38.8 	36.5 	33.0 
Y_LT25,PC_ACT,M,JP	9.9 	9.0 	8.3 	7.9 	10.2 	10.8 	9.5 b	8.9 	7.5 	6.8 	5.8 	5.8 	4.8 
Y_LT25,PC_ACT,M,LT	16.0 	10.0 	7.0 	13.0 	35.1 	39.0 	34.9 	29.7 	23.0 	19.6 	16.0 	15.9 	14.6 
Y_LT25,PC_ACT,M,LU	12.6 	16.0 d	13.8 	13.4 	15.0 	17.2 	15.1 	18.6 	18.8 	25.1 	18.0 	21.3 	17.2 
Y_LT25,PC_ACT,M,LV	12.8 	11.9 	11.0 	14.0 	36.4 	37.3 	31.3 	27.8 	21.8 	19.4 	18.0 	21.4 	18.3 
Y_LT25,PC_ACT,M,MT	17.5 	17.7 	16.3 	14.5 	17.5 	15.8 	15.1 	15.0 	16.5 	15.2 	15.4 	12.7 	12.2 
Y_LT25,PC_ACT,M,NL	12.7 	10.0 	9.4 	9.3 	11.4 	12.0 	10.5 	11.8 	13.5 	12.4 	11.3 	11.4 	9.0 
Y_LT25,PC_ACT,M,NO	12.0 	9.2 b	8.0 	8.7 	10.5 	11.7 	10.0 	9.9 	11.2 	9.4 	11.4 	12.8 	12.0 
Y_LT25,PC_ACT,M,PL	35.8 	28.3 	20.0 	15.2 	20.2 d	22.4 	23.6 	24.1 	25.4 	22.7 	20.7 	17.4 	14.6 
Y_LT25,PC_ACT,M,PT	18.7 	19.9 	18.9 	19.0 	24.6 	27.3 	29.0 	36.7 	36.7 	33.9 	29.7 	27.4 	22.5 
Y_LT25,PC_ACT,M,RO	19.9 	20.5 	20.3 	17.7 	20.5 	22.1 	24.0 	22.2 	23.2 	23.6 	20.6 	19.9 	18.1 
Y_LT25,PC_ACT,M,SE	22.6 	21.0 	18.7 	19.7 	26.3 	25.9 	23.3 	25.0 	24.8 	24.3 	21.3 	20.5 	18.7 
Y_LT25,PC_ACT,M,SI	14.5 	11.6 	9.4 	9.9 	13.8 	15.2 	15.0 	20.3 	20.1 	19.4 	17.7 	15.6 	9.9 
Y_LT25,PC_ACT,M,SK	31.2 	26.6 	20.6 	18.6 	27.9 	34.8 	33.3 d	35.0 	34.9 	29.5 	25.8 	19.8 	18.1 
Y_LT25,PC_ACT,M,UK	14.3 	15.6 	15.8 	17.1 	21.9 	22.0 	23.8 	23.9 	23.0 	18.9 	16.2 	14.8 	13.5 
Y_LT25,PC_ACT,M,US	12.4 	11.2 	11.6 	14.4 	20.1 	20.8 	18.7 	17.6 	17.1 	14.5 	12.8 	11.4 	10.3 
Y_LT25,PC_ACT,T,AT	11.0 	9.8 	9.4 	8.5 	10.7 	9.5 	8.9 	9.4 	9.7 	10.3 	10.6 	11.2 	9.8 
Y_LT25,PC_ACT,T,BE	21.5 	20.5 	18.8 	18.0 	21.9 	22.4 	18.7 	19.8 	23.7 	23.2 	22.1 	20.1 	19.3 b
Y_LT25,PC_ACT,T,BG	21.0 	18.3 	14.1 	11.9 	15.1 	21.9 d	25.0 	28.1 	28.4 	23.8 	21.6 	17.2 	12.9 
Y_LT25,PC_ACT,T,CY	13.9 	10.0 	10.2 	9.0 	13.8 	16.6 	22.4 	27.7 	38.9 	36.0 	32.8 	29.1 	24.7 
Y_LT25,PC_ACT,T,CZ	19.3 	17.5 	10.7 	9.9 	16.6 	18.3 	18.1 	19.5 	18.9 	15.9 	12.6 	10.5 	7.9 
Y_LT25,PC_ACT,T,DE	15.4 d	13.6 	11.8 	10.4 	11.1 	9.8 	8.5 	8.0 	7.8 	7.7 	7.2 	7.1 	6.8 
Y_LT25,PC_ACT,T,DK	8.6 	7.7 d	7.5 	8.0 	11.8 	13.9 	14.2 	14.1 	13.0 	12.6 	10.8 	12.0 	11.0 
Y_LT25,PC_ACT,T,EA18	18.4 	17.2 	15.6 	16.1 	20.6 	21.3 	21.3 	23.6 	24.4 	23.8 	22.4 	21.0 	18.8 
Y_LT25,PC_ACT,T,EA19	18.4 	17.1 	15.5 	16.1 	20.7 	21.5 	21.4 	23.6 	24.4 	23.7 	22.3 	20.9 	18.8 
Y_LT25,PC_ACT,T,EE	15.1 	12.1 	10.1 	12.0 d	27.4 	32.9 	22.4 	20.9 	18.7 	15.0 	13.1 	13.4 	12.1 
Y_LT25,PC_ACT,T,EL	25.8 	25.0 	22.7 	21.9 	25.7 	33.0 	44.7 	55.3 	58.3 	52.4 	49.8 	47.3 	43.6 
Y_LT25,PC_ACT,T,ES	19.6 	17.9 	18.1 	24.5 	37.7 	41.5 	46.2 	52.9 	55.5 	53.2 	48.3 	44.4 	38.6 
Y_LT25,PC_ACT,T,EU27	18.9 	17.6 	15.8 	15.9 	20.3 	21.3 	21.7 	23.2 	23.6 	22.0 	20.2 	18.6 	16.7 
Y_LT25,PC_ACT,T,EU28	19.0 	17.7 	15.8 	15.9 	20.3 	21.4 	21.8 	23.3 	23.8 	22.2 	20.3 	18.7 	16.8 
Y_LT25,PC_ACT,T,FI	20.1 	18.7 	16.5 	16.5 	21.5 	21.4 	20.1 	19.0 	19.9 	20.5 	22.4 	20.1 	20.1 
Y_LT25,PC_ACT,T,FR	21.0 	22.0 	19.5 	19.0 	23.6 	23.3 	22.6 	24.4 	24.9 	24.2 	24.7 	24.6 	22.3 
Y_LT25,PC_ACT,T,HR	31.7 	28.9 d	25.4 	23.6 	25.4 	32.3 	36.6 	42.2 	49.9 	44.9 	42.3 	31.8 	27.2 
Y_LT25,PC_ACT,T,HU	19.4 	19.1 	18.1 	19.5 d	26.4 	26.4 	26.0 	28.2 	26.6 	20.4 	17.3 	12.9 	10.7 
Y_LT25,PC_ACT,T,IE	8.7 	8.8 	9.2 	13.5 	24.5 	28.1 	29.6 	30.8 	26.7 	23.4 	20.2 	16.8 	14.4 
Y_LT25,PC_ACT,T,IS	7.2 	8.2 	7.1 	8.2 	16.0 	16.2 	14.6 	13.6 	10.7 	10.0 	8.8 	6.5 	8.2 
Y_LT25,PC_ACT,T,IT	24.1 	21.8 	20.4 	21.2 	25.3 	27.9 	29.2 	35.3 	40.0 	42.7 	40.3 	37.8 	34.7 
Y_LT25,PC_ACT,T,JP	8.7 	8.0 	7.7 	7.3 	9.3 	9.5 	8.3 b	8.2 	6.8 	6.2 	5.5 	5.1 	4.7 
Y_LT25,PC_ACT,T,LT	15.8 	10.0 	8.4 	13.3 	29.6 	35.7 	32.6 	26.7 	21.9 	19.3 	16.3 	14.5 	13.3 
Y_LT25,PC_ACT,T,LU	14.6 	15.5 d	15.6 	17.3 	16.5 	15.8 	16.4 	18.0 	16.9 	22.3 	16.6 	19.1 	15.4 
Y_LT25,PC_ACT,T,LV	15.1 	13.6 	10.6 	13.6 	33.3 	36.2 	31.0 	28.5 	23.2 	19.6 	16.3 	17.3 	17.0 
Y_LT25,PC_ACT,T,MT	16.7 	16.1 	14.2 	12.4 	15.2 	14.0 	14.0 	14.8 	13.7 	12.5 	12.6 	11.9 	11.3 
Y_LT25,PC_ACT,T,NL	11.8 	10.0 	9.4 	8.6 	10.2 	11.1 	10.0 	11.7 	13.2 	12.7 	11.3 	10.8 	8.9 
Y_LT25,PC_ACT,T,NO	11.4 	9.2 b	7.3 	8.0 	9.5 	9.9 	9.0 	8.8 	9.6 	8.3 	10.5 	11.3 	10.7 
Y_LT25,PC_ACT,T,PL	36.9 	29.8 	21.6 	17.2 	20.6 d	23.7 	25.8 	26.5 	27.3 	23.9 	20.8 	17.7 	14.8 
Y_LT25,PC_ACT,T,PT	20.8 	21.2 	21.4 	21.6 	25.3 	28.2 	30.2 	38.0 	38.1 	34.7 	32.0 	28.2 	23.8 
Y_LT25,PC_ACT,T,RO	19.1 	20.2 	19.3 	17.6 	20.0 	22.1 	23.9 	22.6 	23.7 	24.0 	21.7 	20.6 	18.3 
Y_LT25,PC_ACT,T,SE	22.6 	21.5 	19.2 	20.2 	25.0 	24.8 	22.8 	23.7 	23.6 	22.9 	20.4 	18.9 	17.8 
Y_LT25,PC_ACT,T,SI	15.9 	13.9 	10.1 	10.4 	13.6 	14.7 	15.7 	20.6 	21.6 	20.2 	16.3 	15.2 	11.2 
Y_LT25,PC_ACT,T,SK	30.4 	27.0 	20.6 	19.3 	27.6 	33.9 	33.7 d	34.0 	33.7 	29.7 	26.5 	22.2 	18.9 
Y_LT25,PC_ACT,T,TR	17.5 	16.5 	17.2 b	18.5 	22.8 	19.8 	16.9 	15.8 	17.1 	18.0 	18.6 	19.6 	20.7 
Y_LT25,PC_ACT,T,UK	12.8 	13.9 	14.3 	15.0 	19.1 	19.9 	21.3 	21.2 	20.7 	17.0 	14.6 	13.0 	12.1 
Y_LT25,PC_ACT,T,US	11.3 	10.5 	10.5 	12.8 	17.6 	18.4 	17.3 	16.2 	15.5 	13.4 	11.6 	10.4 	9.2 
