hhtyp,incgrp,unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,TOTAL,PC,TOTAL,F,AT	10.0 	9.6 	13.4 b	14.8 	14.9 	14.2 	12.4 	12.4 	10.1 	12.0 	11.2 	12.5 
TOTAL,TOTAL,PC,TOTAL,F,BE	14.6 	14.1 	17.9 	15.3 b	19.2 	21.9 	18.8 	17.9 	17.7 	18.2 	19.6 	18.7 
TOTAL,TOTAL,PC,TOTAL,F,BG	31.2 	14.6 	30.3 	24.0 	15.8 b	15.3 	14.3 	13.2 	13.3 	13.1 	12.5 b	12.3 
TOTAL,TOTAL,PC,TOTAL,F,CH	: 	8.7 	8.2 	8.7 	9.0 	10.8 	12.6 	11.6 	11.3 b	12.2 	12.5 	: 
TOTAL,TOTAL,PC,TOTAL,F,CY	33.0 	30.1 	27.4 b	29.8 	29.1 	30.1 	29.8 	30.6 	25.7 	26.8 	27.2 	29.5 
TOTAL,TOTAL,PC,TOTAL,F,CZ	20.9 	15.3 	13.4 	14.4 	11.9 	11.9 	10.4 	10.2 	9.4 	8.7 	8.2 	7.7 
TOTAL,TOTAL,PC,TOTAL,F,DE	15.2 	13.6 	14.4 	14.1 	13.7 	14.1 	13.7 	13.1 	12.6 	13.1 	13.5 	12.7 
TOTAL,TOTAL,PC,TOTAL,F,DK	9.2 	10.8 	9.2 	8.1 	8.4 	16.5 b	17.7 	15.6 	15.2 	16.0 	15.6 	15.1 
TOTAL,TOTAL,PC,TOTAL,F,EA18	16.6 	16.3 	16.1 	16.2 	16.5 	16.0 	15.4 	16.3 	16.7 	16.2 	16.1 	13.4 e
TOTAL,TOTAL,PC,TOTAL,F,EA19	16.7 	16.4 	16.2 	16.2 	16.6 	16.0 	15.4 	16.3 	16.7 	16.2 	16.1 	13.4 e
TOTAL,TOTAL,PC,TOTAL,F,EE	24.1 	21.8 	17.1 	19.7 	18.7 	19.3 	19.8 	17.5 	16.1 b	13.9 	13.8 	13.9 
TOTAL,TOTAL,PC,TOTAL,F,EL	20.7 	19.6 	18.8 	17.9 	17.2 	15.5 	14.4 	13.8 	13.9 	15.4 	15.0 	13.6 
TOTAL,TOTAL,PC,TOTAL,F,ES	18.4 	18.7 	17.0 	18.6 b	21.5 	15.8 	12.0 	16.7 	17.1 	15.1 	15.8 	11.2 
TOTAL,TOTAL,PC,TOTAL,F,EU27	: 	18.1 	17.1 	16.2 	16.3 	15.6 	15.3 	15.7 	15.8 	15.4 	15.6 	13.2 e
TOTAL,TOTAL,PC,TOTAL,F,EU28	: 	: 	: 	: 	16.3 	15.6 	15.3 	15.6 	15.8 	15.4 	15.6 	13.2 e
TOTAL,TOTAL,PC,TOTAL,F,FI	4.5 	5.2 	4.5 	5.0 	5.0 	5.6 	5.7 	5.3 	4.9 	4.1 	4.7 	4.0 
TOTAL,TOTAL,PC,TOTAL,F,FR	12.2 	14.0 	13.5 	13.1 	12.7 	10.9 	12.6 	12.6 	13.5 	12.8 	14.2 	11.0 
TOTAL,TOTAL,PC,TOTAL,F,HR	: 	: 	: 	: 	19.8 	15.3 	13.8 	13.1 	11.6 	10.6 	11.1 	: 
TOTAL,TOTAL,PC,TOTAL,F,HU	26.9 	19.2 	31.0 	14.6 	24.5 b	21.9 	24.7 	26.6 	27.0 	25.7 	27.0 	25.2 
TOTAL,TOTAL,PC,TOTAL,F,IE	15.9 	15.4 	12.3 	14.0 	12.6 	10.8 	12.9 	14.6 	15.3 	14.0 	13.8 	: 
TOTAL,TOTAL,PC,TOTAL,F,IS	13.9 	11.6 	20.0 b	18.1 	16.3 	17.0 	19.7 	18.7 	16.4 	19.8 	19.2 p	: 
TOTAL,TOTAL,PC,TOTAL,F,IT	22.2 	21.4 	20.7 	21.1 	20.8 	23.2 	21.6 	22.8 	24.7 	23.9 	20.8 	16.0 
TOTAL,TOTAL,PC,TOTAL,F,LT	28.5 	25.1 	24.8 	20.9 	19.1 	18.7 	17.6 	20.3 	19.1 	16.2 	17.9 	15.2 
TOTAL,TOTAL,PC,TOTAL,F,LU	14.6 	14.7 	16.0 	17.8 	17.3 	15.7 	17.0 	15.3 	15.3 	14.7 	19.1 b	17.8 
TOTAL,TOTAL,PC,TOTAL,F,LV	32.8 	26.6 	26.0 	25.5 	24.3 	25.9 	27.5 	27.4 	27.3 	24.4 	21.8 	22.8 
TOTAL,TOTAL,PC,TOTAL,F,MK	: 	: 	: 	: 	24.2 	16.1 	14.2 	13.9 	14.9 	12.1 	14.1 	: 
TOTAL,TOTAL,PC,TOTAL,F,MT	7.8 	5.7 	7.0 	10.5 	12.9 	10.7 	11.2 	12.0 	10.9 	10.7 	9.0 	8.5 
TOTAL,TOTAL,PC,TOTAL,F,NL	17.5 	18.4 	15.8 	14.1 	15.4 	14.7 	16.5 	15.6 	16.1 p	16.0 	17.3 b	13.8 
TOTAL,TOTAL,PC,TOTAL,F,NO	7.7 	8.3 	8.4 	8.3 	7.9 	7.4 	8.3 	7.1 	6.1 	7.2 	6.0 	5.1 
TOTAL,TOTAL,PC,TOTAL,F,PL	41.3 	37.1 	22.6 b	17.5 	15.7 	11.3 	10.7 	10.1 	9.1 	11.6 	11.8 	11.9 
TOTAL,TOTAL,PC,TOTAL,F,PT	18.9 	19.8 	19.3 	20.2 	22.2 	21.6 	22.6 	32.0 b	32.8 	28.2 	30.3 	25.6 
TOTAL,TOTAL,PC,TOTAL,F,RO	: 	29.8 	24.5 	22.3 	19.1 	18.5 	15.6 	15.8 	13.5 	12.4 	13.3 	11.4 
TOTAL,TOTAL,PC,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	22.0 	26.5 	23.2 	22.0 	: 
TOTAL,TOTAL,PC,TOTAL,F,SE	7.3 	6.2 	7.6 b	6.7 	7.7 	8.7 	8.0 	7.7 	7.8 	8.2 	8.0 	7.0 
TOTAL,TOTAL,PC,TOTAL,F,SI	21.8 	17.9 	30.1 	30.5 	32.5 	34.8 	31.4 	27.6 	30.5 	27.4 	24.4 	22.3 
TOTAL,TOTAL,PC,TOTAL,F,SK	6.7 	6.3 	9.3 b	6.7 	5.8 	8.0 	8.9 	7.9 	6.9 	6.5 	6.1 	6.4 
TOTAL,TOTAL,PC,TOTAL,F,TR	44.9 	39.2 	39.2 	42.2 	: 	41.9 	40.7 	39.8 	37.2 	39.2 	: 	: 
TOTAL,TOTAL,PC,TOTAL,F,UK	13.8 	14.5 	14.8 	14.7 	15.5 	15.9 	17.6 	16.1 	16.6 	15.3 	16.7 	: 
TOTAL,TOTAL,PC,TOTAL,M,AT	10.5 	9.3 	13.2 b	15.3 	14.6 	13.6 	11.2 	12.7 	10.0 	11.3 	11.1 	11.3 
TOTAL,TOTAL,PC,TOTAL,M,BE	15.0 	14.2 	18.1 	15.1 b	18.7 	20.6 	18.5 	18.3 	17.3 	18.2 	18.9 	18.4 
TOTAL,TOTAL,PC,TOTAL,M,BG	30.1 	15.0 	30.6 	23.7 	15.0 b	14.4 	13.2 	12.6 	13.1 	12.8 	12.2 b	12.2 
TOTAL,TOTAL,PC,TOTAL,M,CH	: 	8.1 	7.8 	8.5 	8.8 	10.5 	12.9 	11.5 	11.2 b	11.5 	12.8 	: 
