na_item,s_adj,unit,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
D1,NSA,CP_MNAC,UK	95832.0 	95972.0 	96721.0 	98316.0 	100330.0 	100415.0 	101533.0 	103000.0 	107539.0 	107663.0 	108659.0 	111067.0 	115887.0 	115901.0 	118614.0 	120141.0 	125411.0 	124105.0 	125015.0 	127558.0 	134013.0 	132257.0 	133994.0 	137910.0 	147323.0 	141351.0 	141450.0 	144418.0 	151486.0 	146068.0 	146062.0 	149444.0 	157728.0 	152190.0 	154440.0 	157613.0 	168688.0 	160141.0 	162405.0 	166343.0 	177210.0 	168107.0 	170219.0 	173026.0 	188924.0 	178247.0 	180043.0 	186513.0 	201857.0 	189966.0 	192132.0 	194591.0 	212229.0 	193961.0 	191425.0 	192570.0 	205052.0 	195499.0 	193871.0 	199109.0 	213394.0 	201098.0 	199198.0 	202183.0 	219334.0 	203846.0 	199441.0 	204315.0 	221166.0 	208140.0 	208204.0 	209739.0 	226736.0 	219257.0 	215093.0 	219596.0 	236222.0 	220505.0 	219238.0 	224004.0 	240902.0 	228772.0 	227222.0 	231563.0 	246323.0 	238514.0 	237769.0 	240800.0 	258305.0 	248052.0 	246610.0 	251431.0 	268538.0 	256089.0 
D1,SA,CP_MNAC,DE	249809.0 	252663.0 	254087.0 	256070.0 	254834.0 	254261.0 	256156.0 	256618.0 	256273.0 	255896.0 	256232.0 	258029.0 	258764.0 	260822.0 	263382.0 	265352.0 	265343.0 	269116.0 	270965.0 	273169.0 	276994.0 	279044.0 	281605.0 	282884.0 	283458.0 	283829.0 	284013.0 	286424.0 	285437.0 	285228.0 	286883.0 	287208.0 	286194.0 	285437.0 	287619.0 	286968.0 	287574.0 	287204.0 	287004.0 	286643.0 	286683.0 	286263.0 	286226.0 	286703.0 	287845.0 	290218.0 	293411.0 	293813.0 	296141.0 	298465.0 	300176.0 	302291.0 	306781.0 	309466.0 	311353.0 	313672.0 	311449.0 	310197.0 	311555.0 	312461.0 	316223.0 	318880.0 	322090.0 	324768.0 	329959.0 	333860.0 	335618.0 	337839.0 	342293.0 	346958.0 	348705.0 	350876.0 	352307.0 	355501.0 	358560.0 	361041.0 	366365.0 	369130.0 	372264.0 	375347.0 	378450.0 	383886.0 	387161.0 	391271.0 	393960.0 	396880.0 	401352.0 	406555.0 	410333.0 	414424.0 	418798.0 	424060.0 	429043.0 	433759.0 
D1,SA,CP_MNAC,FR	153661.0 	155190.0 	156272.0 	157111.0 	158451.0 	159617.0 	160569.0 	160933.0 	162410.0 	163725.0 	164588.0 	165456.0 	167424.0 	169133.0 	171434.0 	173069.0 	174829.0 	176734.0 	179080.0 	181814.0 	184160.0 	186312.0 	189026.0 	192009.0 	192890.0 	195600.0 	197480.0 	199462.0 	201424.0 	203914.0 	205489.0 	206947.0 	208026.0 	209522.0 	211444.0 	212729.0 	215266.0 	216878.0 	218469.0 	220551.0 	222104.0 	224313.0 	226943.0 	229802.0 	231624.0 	233793.0 	236600.0 	239994.0 	241720.0 	243731.0 	245846.0 	248633.0 	251213.0 	252191.0 	253601.0 	253187.0 	251852.0 	251896.0 	253393.0 	255872.0 	257514.0 	259306.0 	260835.0 	262556.0 	264911.0 	266559.0 	267691.0 	269767.0 	271180.0 	272388.0 	273829.0 	274961.0 	275255.0 	276857.0 	278205.0 	279148.0 	280122.0 	281282.0 	282236.0 	283061.0 	283500.0 	284708.0 	286021.0 	287192.0 	288399.0 	288676.0 	290523.0 	292485.0 	295632.0 	297759.0 	300018.0 	302550.0 	305171.0 	307512.0 
D1,SA,CP_MNAC,SK	1811.5 	1899.5 	1962.8 	2043.1 	2121.2 	2168.5 	2258.3 	2352.7 	2459.3 	2516.4 	2617.5 	2645.9 	2696.4 	2805.3 	2799.5 	2820.5 	2805.6 	2867.3 	2920.2 	2876.7 	3110.8 	3124.8 	3206.8 	3255.2 	3279.8 	3327.7 	3400.7 	3444.2 	3538.5 	3619.4 	3678.4 	3752.9 	3831.8 	3930.0 	4001.7 	4040.5 	4044.7 	4132.1 	4184.7 	4315.1 	4476.4 	4515.6 	4621.8 	4781.5 	4862.5 	5003.9 	5124.9 	5219.9 	5367.7 	5468.2 	5630.2 	5834.4 	5958.3 	6096.0 	6222.6 	5978.8 	6021.5 	5985.0 	6012.9 	6044.6 	6082.4 	6253.7 	6286.7 	6351.7 	6425.7 	6501.2 	6596.6 	6589.1 	6647.0 	6729.3 	6755.7 	6796.4 	6868.6 	6784.7 	6889.5 	6938.4 	7011.9 	7156.2 	7190.8 	7245.9 	7415.5 	7533.5 	7629.3 	7753.9 	7820.4 	7901.8 	7997.2 	8193.8 	8254.2 	8428.8 	8625.4 	8761.1 	9010.4 	9183.0 
D1,SCA,CP_MNAC,AT	22434.3 	22493.1 	22541.2 	22580.9 	22703.5 	22670.5 	22853.4 	22982.4 	22865.0 	23112.5 	23325.0 	23492.7 	23720.0 	23993.2 	24189.6 	24378.1 	24643.7 	24818.6 	25057.9 	25332.5 	25575.2 	25791.4 	25955.2 	26036.0 	26240.3 	26321.0 	26466.1 	26571.7 	26654.2 	26864.0 	26967.7 	27081.1 	27293.9 	27394.3 	27569.4 	27723.5 	27867.2 	28108.9 	28290.3 	28477.2 	28690.7 	28963.4 	29206.1 	29529.9 	29864.0 	30334.3 	30712.1 	31099.2 	31507.9 	31823.5 	32199.7 	32635.7 	33380.6 	33645.9 	33864.8 	33994.6 	34065.4 	33907.3 	34022.0 	34206.8 	34209.6 	34561.9 	34808.9 	35258.4 	35518.2 	35888.7 	36251.3 	36615.5 	37105.3 	37377.1 	37759.4 	38017.7 	38175.6 	38523.5 	38788.7 	38991.9 	39261.4 	39631.4 	39780.8 	40086.9 	40283.9 	40673.9 	41140.9 	41542.9 	41982.2 	42294.6 	42690.7 	43046.3 	43304.5 	43702.6 	44075.0 	44678.2 	45343.9 	45797.2 
D1,SCA,CP_MNAC,BE	26421.0 	26546.0 	26650.0 	26915.0 	26717.0 	27160.0 	27276.0 	27465.0 	27919.0 	28178.0 	28312.0 	28442.0 	28846.0 	28992.0 	29414.0 	29613.0 	30047.0 	30492.0 	30988.0 	31424.0 	31737.0 	31841.0 	32218.0 	32785.0 	33164.0 	33609.0 	34255.0 	34620.0 	34978.0 	35302.0 	35249.0 	35371.0 	35389.0 	35769.0 	36093.0 	36304.0 	36554.0 	36646.0 	36968.0 	37542.0 	37552.0 	38000.0 	38518.0 	38833.0 	39385.0 	39923.0 	40215.0 	40776.0 	41425.0 	42221.0 	42334.0 	42894.0 	43788.0 	44283.0 	44974.0 	45269.0 	44875.0 	44716.0 	44878.0 	45136.0 	45040.0 	45627.0 	45935.0 	46604.0 	47324.0 	47534.0 	48284.0 	48551.0 	49030.0 	49549.0 	49749.0 	50008.0 	50057.0 	50414.0 	50769.0 	51001.0 	51121.0 	50952.0 	51327.0 	51522.0 	51468.0 	51654.0 	51511.0 	51889.0 	52166.0 	52006.0 	52377.0 	52634.0 	53217.0 	53964.0 	54331.0 	54697.0 	54924.0 	55500.0 
D1,SCA,CP_MNAC,BG	67.6 	83.5 	101.5 	127.3 	73.6 	94.1 	171.0 	319.3 	689.8 	1342.3 	1867.4 	2069.7 	2126.1 	2297.8 	2368.3 	2441.3 	2195.7 	2298.3 	2400.1 	2456.5 	2405.7 b	2459.4 	2529.2 	2574.8 	2651.0 	2745.1 	2789.3 	2829.7 	2877.7 	2886.1 	2946.4 	3043.0 	3074.6 	3158.8 	3199.2 	3244.4 	3355.5 	3388.7 	3481.4 	3561.3 	3699.1 	3822.3 	3953.4 	4091.4 	4108.8 	4281.1 	4388.5 	4568.6 	4762.9 	4932.4 	5245.3 	5444.8 	5748.8 	6008.3 	6190.6 	6448.0 	6478.4 	6642.2 	6703.7 	6206.3 	6879.2 	6808.5 	6796.9 	6808.6 	6942.6 	7076.5 	7204.8 	7323.8 	7346.1 	7505.1 	7684.5 	7779.8 	8032.9 	8098.5 	8148.0 	8244.1 	8329.6 	8479.9 	8654.7 	8747.0 	8873.2 	9055.2 	9185.2 	9490.8 	9607.4 	9767.5 	9962.1 	10099.5 	10510.9 	10741.1 	11020.3 	11257.5 	11358.4 p	11573.0 p
D1,SCA,CP_MNAC,CY	761.6 	770.3 	777.9 	788.1 	800.3 	812.1 	824.6 	837.7 	851.3 	866.0 	884.3 	894.6 	900.1 	910.0 	920.9 	935.6 	955.0 	979.3 	981.0 	992.3 	1016.3 	1034.0 	1075.2 	1084.1 	1094.8 	1109.1 	1128.7 	1153.3 	1170.9 	1194.5 	1220.1 	1252.8 	1289.4 	1321.3 	1340.3 	1413.9 	1372.8 	1415.5 	1456.8 	1470.6 	1544.8 	1573.4 	1612.1 	1655.0 	1683.7 	1726.7 	1738.8 	1781.8 	1864.3 	1894.2 	1910.4 	1962.1 	2037.1 	2070.7 	2127.6 	2143.9 	2176.1 	2201.4 	2209.3 	2336.1 	2285.5 	2275.4 	2307.8 	2336.4 	2352.7 	2367.4 	2389.4 	2381.8 	2392.4 	2372.3 	2322.9 	2272.4 	2201.9 	2087.0 	2029.5 	1992.7 	1961.1 	1959.3 	1948.9 	1977.3 	1964.5 	1960.0 	1967.2 	1979.0 	2004.7 	2022.6 	2040.5 	2083.8 	2075.6 	2113.3 	2155.0 	2186.0 	2211.4 	2233.5 
D1,SCA,CP_MNAC,CZ	148371.0 	147603.0 	159125.0 	164996.0 	172582.0 	179755.0 	184075.0 	192017.0 	192268.0 	201221.0 	201875.0 	201958.0 	206784.0 	207605.0 	210071.0 	212669.0 	211353.0 	213771.0 	216377.0 	220465.0 	223329.0 	225363.0 	230348.0 	236145.0 	240312.0 	245002.0 	249809.0 	253315.0 	259739.0 	264037.0 	266677.0 	270486.0 	274005.0 	277451.0 	281150.0 	285979.0 	294524.0 	298043.0 	306151.0 	313615.0 	315340.0 	322120.0 	329303.0 	332420.0 	337374.0 	345719.0 	351881.0 	359030.0 	367356.0 	374614.0 	381841.0 	389246.0 	404406.0 	405208.0 	404623.0 	402500.0 	398184.0 	391934.0 	386534.0 	391750.0 	391356.0 	395703.0 	400561.0 	403486.0 	401362.0 	406234.0 	408664.0 	410132.0 	414255.0 	413592.0 	414681.0 	422173.0 	413506.0 	417987.0 	422075.0 	422615.0 	428006.0 	431237.0 	435406.0 	440011.0 	446925.0 	452785.0 	456874.0 	464505.0 	472966.0 	476922.0 	485393.0 	492866.0 	503576.0 	518019.0 	527476.0 	539630.0 	556521.0 	570490.0 
D1,SCA,CP_MNAC,DK	128001.0 	128985.0 	130140.0 	131573.0 	133603.0 	136372.0 	137377.0 	138769.0 	139922.0 	143059.0 	143582.0 	146182.0 	147909.0 	147448.0 	153662.0 	156606.0 	157673.0 	156886.0 	160418.0 	160850.0 	163388.0 	164498.0 	166204.0 	168187.0 	172040.0 	173744.0 	174793.0 	176327.0 	179022.0 	180527.0 	181333.0 	181270.0 	182537.0 	185099.0 	186384.0 	187093.0 	187530.0 	188050.0 	193559.0 	193852.0 	197107.0 	198338.0 	201474.0 	204013.0 	207238.0 	211584.0 	211974.0 	218171.0 	221079.0 	224633.0 	226622.0 	230305.0 	233799.0 	235373.0 	239345.0 	241302.0 	239354.0 	236967.0 	237719.0 	231637.0 	237447.0 	237658.0 	238594.0 	239969.0 	240487.0 	241533.0 	241663.0 	242791.0 	243671.0 	242529.0 	244668.0 	246647.0 	247091.0 	247332.0 	248770.0 	250611.0 	252722.0 	253721.0 	254452.0 	256848.0 	259336.0 	261714.0 	263833.0 	264781.0 	268371.0 	270403.0 	270762.0 	272720.0 	274684.0 	277326.0 	279162.0 	283384.0 	284995.0 	289349.0 
