co_nco,sector,finpos,na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT	: 	11256.0 	9189.0 	10617.0 	22900.6 	24945.3 	16412.9 	10421.2 	14952.1 	9992.0 	17240.5 	14118.4 	20588.8 	15895.6 	3707.6 	924.2 	9182.0 	3781.5 	3120.0 	2938.7 	7430.5 	12231.5 	15768.4 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE	7347.6 	13119.0 	17112.6 	20257.6 	23420.8 	22357.1 	7107.9 	13093.5 	32102.7 	29001.4 	16137.5 	17003.9 	58578.7 	58544.9 	42214.8 	6132.1 	82136.7 	51332.6 	32127.4 	-8216.5 	50917.8 	97553.5 	-6570.4 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG	0.0 	732.0 	479.0 	867.0 	1151.0 	2674.0 	1718.0 	2602.0 	4173.0 	7628.0 	8566.0 	14903.0 	26144.0 	24201.0 	3410.0 	2757.0 	1108.0 	2468.0 	5947.0 	-909.0 	-290.0 	3895.0 	6253.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY	5661.2 	1684.9 	2329.2 	1475.6 	2457.8 	3910.8 	110.7 	-1370.7 	231.6 	1174.6 	6480.1 	1979.3 	5319.8 	5665.9 	2480.0 	2911.8 	2557.3 	3220.5 	-2407.8 	-57.7 	732.2 	1801.1 	1693.7 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ	145794.0 	193804.0 	240970.0 	-51137.0 	33507.0 	-14761.0 	-75508.0 	135030.0 	-74529.0 	179141.0 	140711.0 	298508.0 	355365.0 	375602.0 	18881.0 	103513.0 	83417.0 	118076.0 	179733.0 	71558.0 	15776.0 	214994.0 	207583.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE	23686.0 	124355.0 	102841.0 	140076.0 	178282.0 	130567.0 	75928.0 	5812.0 	26438.0 	-39660.0 	-4328.0 	24059.0 	53931.0 	12233.0 	-22023.0 	450.0 	42263.0 	35005.0 	57116.0 	2356.0 	98872.0 	115871.0 	160691.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK	9408.0 	95307.0 	72860.0 	112083.0 	103770.0 	266987.0 	129492.0 	82958.0 	139657.0 	100810.0 	353747.0 	400239.0 	297929.0 	338717.0 	-32086.0 	-52872.0 	82069.0 	150302.0 	-58540.0 	-5108.0 	36462.0 	46213.0 	-30733.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE	241.7 	511.3 	888.0 	462.7 	100.5 	444.7 	995.1 	1134.1 	1263.5 	1538.7 	2617.8 	4662.1 	1992.0 	1730.6 	-847.1 	-1125.1 	-180.6 	1227.7 	669.4 	1129.8 	561.3 	1307.6 	842.9 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL	1412.5 	5423.0 	3837.8 	8310.4 	8186.5 	14555.1 	16700.0 	13091.5 	18435.9 	21867.4 	28497.3 	35638.1 	37587.9 	37569.2 	5335.2 	5323.3 	-13429.3 	-11186.9 	-8665.5 	-4918.6 	-5009.8 	-3687.1 	-1400.4 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES	16729.0 	24694.0 	40367.0 	67337.0 	89084.0 	110728.0 	102348.0 	110757.0 	145158.0 	167088.0 	250945.0 	353046.0 	284829.0 	130903.0 	-13053.0 	9911.0 	-40078.0 	-116938.0 	-106162.0 	-71436.0 	-18931.0 	-13224.0 	2073.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI	-4267.0 	-806.0 	-485.0 	6216.0 	11756.0 	15934.0 	3455.0 	11479.0 	9677.0 	10253.0 	20684.0 	15407.0 	24620.0 	32446.0 	1507.0 	13630.0 	6990.0 	14767.0 	5657.0 	3587.0 	14518.0 	2958.0 	18284.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR	0.0 	46862.0 	48603.0 	47012.0 	113769.0 	143740.0 	128651.0 	75955.0 	72105.0 	97113.0 	145083.0 	170538.0 	217080.0 	195357.0 	62979.0 	91006.0 	131283.0 	88584.0 	44167.0 	69792.0 	100628.0 	155156.0 	160200.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR	: 	: 	: 	: 	: 	: 	: 	30736.2 	25861.9 	26798.8 	36653.7 	53115.8 	54092.2 	55945.0 	8647.2 	16022.8 	-7765.5 	-9993.2 	-2038.4 	282.4 	-4605.9 	-235.9 	4231.9 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU	123996.0 	496666.0 	746578.0 	501399.0 	884631.0 	1588085.0 	1575808.0 	1357142.0 	2782934.0 	2564472.0 	2522419.0 	3360862.0 	4091125.0 	3414277.0 	1602479.0 	-1105164.0 	-1249561.0 	-1755701.0 	-283608.0 	-28081.0 	-874240.0 	-1078757.0 	342053.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,IE	: 	: 	: 	: 	: 	: 	: 	22859.0 	11982.0 	36833.0 	57177.0 	75672.0 	49018.0 	41265.0 	-7734.0 	3729.0 	28108.0 	-1027.0 	-2542.0 	4958.0 	-6139.0 	-42697.0 	-22106.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,IT	44722.0 	24088.0 	29731.0 	45247.0 	95996.0 	108605.0 	107537.0 	84533.0 	95498.0 	109328.0 	142991.0 	161784.0 	192599.0 	107357.0 	13312.0 	80432.0 	51187.0 	-13396.0 	-47669.0 	-7693.0 	-23245.0 	-858.0 	36386.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,LT	397.9 	227.7 	712.8 	550.5 	513.3 	286.7 	298.8 	550.9 	1174.0 	1548.8 	2988.5 	4493.1 	7231.0 	3398.9 	-2521.3 	-1659.1 	-686.5 	124.8 	-146.7 	96.7 	888.0 	1716.0 	1558.3 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,LU	: 	: 	: 	: 	3559.7 	2261.4 	7195.4 	4363.6 	18220.2 	-2546.5 	167.8 	8740.7 	54360.8 	-2134.0 	2725.2 	-9045.5 	9233.7 	11408.6 	12935.4 	14776.4 	14230.9 	2748.1 	-8568.9 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,LV	-153.0 	167.0 	501.0 	547.0 	204.0 	445.0 	478.0 	800.0 	788.0 	2025.7 	3758.6 	5753.5 	6670.4 	2223.0 	-1622.9 	451.9 	-412.6 	-454.5 	194.2 	-2795.1 	180.0 	63.0 	90.0 
