nutrient,indic_ag,geo,unit\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
N,BAL_UAA,AT,KG	44 	40 	37 	38 	31 	19 	26 	31 	30 	21 	26 	28 	30 	41 	30 	41 	32 
N,BAL_UAA,BE,KG	190 e	180 e	169 e	152 e	146 e	146 e	152 e	145 e	124 e	129 e	142 e	143 e	143 e	138 e	132 e	132 e	: 
N,BAL_UAA,BG,KG	28 e	27 e	22 e	31 e	19 e	25 e	24 e	36 e	16 e	20 e	14 e	12 e	24 e	16 e	28 e	28 e	: 
N,BAL_UAA,CH,KG	61 	65 	64 	69 	59 	59 	64 	60 	64 	59 	65 	54 	57 	60 	57 	60 	: 
N,BAL_UAA,CY,KG	186 e	191 e	209 e	181 e	172 e	152 e	153 e	159 e	201 e	178 e	191 e	199 e	184 e	179 e	194 e	194 e	: 
N,BAL_UAA,CZ,KG	65 	71 	79 	77 	67 	71 	82 	86 	80 	56 	67 	79 	88 	76 	63 	98 	91 
N,BAL_UAA,DE,KG	110 	97 	101 	114 	84 	85 	94 	79 	84 	65 	78 	89 	75 	79 	66 	82 	: 
N,BAL_UAA,DK,KG	132 e	127 e	124 e	117 e	121 e	111 e	102 e	105 e	106 e	87 e	90 e	88 e	83 e	87 e	80 e	80 e	: 
N,BAL_UAA,EE,KG	: 	: 	: 	: 	36 	21 	32 	22 	36 	25 	31 	32 	28 	23 	22 	22 e	: 
N,BAL_UAA,EL,KG	82 e	79 e	84 e	83 e	79 e	72 e	79 e	88 e	69 e	65 e	71 e	52 e	50 e	56 e	59 e	59 e	: 
N,BAL_UAA,ES,KG	40 	40 	36 	39 	36 	38 	36 	34 	27 	31 	35 	29 	34 	29 	39 	39 	: 
N,BAL_UAA,EU,KG	: 	: 	: 	: 	52 e	53 e	56 e	56 e	51 e	46 e	49 e	49 e	50 e	49 e	47 e	51 e	: 
N,BAL_UAA,FI,KG	55 	59 	55 	56 	53 	49 	56 	43 	51 	38 	57 	50 	48 	47 	48 	49 	47 
N,BAL_UAA,FR,KG	58 	59 	51 	64 	52 	51 	46 	52 	52 	39 	40 	52 	40 	45 	45 	42 	52 p
N,BAL_UAA,HR,KG	122 e	123 e	109 e	121 e	110 e	110 e	112 e	120 e	117 e	63 e	81 e	94 e	88 e	51 e	58 e	65 	43 
N,BAL_UAA,HU,KG	40 	26 	44 	45 	22 	19 	27 	47 	20 	26 	38 	31 	42 	38 	27 	39 	28 p
N,BAL_UAA,IE,KG	64 	57 	58 	64 	59 	57 	55 	47 	27 	29 	34 	23 	29 	44 	40 	42 	: 
N,BAL_UAA,IT,KG	71 e	72 e	72 e	79 e	64 e	63 e	74 e	68 e	65 e	60 e	59 e	63 e	80 e	70 e	66 e	66 e	: 
N,BAL_UAA,LT,KG	31 e	33 e	36 e	42 e	40 e	35 e	50 e	28 e	34 e	35 e	44 e	40 e	29 e	31 e	25 e	25 e	: 
N,BAL_UAA,LU,KG	157 e	143 e	152 e	126 e	145 e	129 e	129 e	123 e	122 e	120 e	127 e	138 e	125 e	127 e	129 e	129 e	: 
N,BAL_UAA,LV,KG	11 e	22 e	14 e	20 e	16 e	16 e	21 e	20 e	17 e	22 e	29 e	28 e	24 e	28 e	28 e	28 e	: 
N,BAL_UAA,MT,KG	257 e	270 e	245 e	203 e	261 e	233 e	232 e	244 e	215 e	200 e	169 e	132 e	141 e	147 e	147 e	147 e	: 
N,BAL_UAA,NL,KG	258 	233 	200 	233 	213 	206 	213 	198 	175 	172 	173 	172 	169 	169 	160 	189 	199 p
N,BAL_UAA,NO,KG	98 	93 	98 	104 	101 	109 	110 	113 	104 	101 	96 	110 	103 	116 	105 	100 	106 
N,BAL_UAA,PL,KG	44 	40 	45 	51 	39 	45 	62 	52 	57 	48 	52 	53 	48 	55 	40 	48 	: 
N,BAL_UAA,PT,KG	39 	47 	36 	42 	39 	44 	28 	43 	33 	36 	41 	39 	43 	37 	42 	41 	42 p
N,BAL_UAA,RO,KG	13 e	7 e	12 e	14 e	0 e	12 e	13 e	32 e	14 e	18 e	-1 e	-11 e	16 e	4 e	-1 e	9 	4 
N,BAL_UAA,SE,KG	51 	54 	47 	47 	44 	44 	50 	45 	51 	30 	42 	42 	32 	35 	31 	32 	37 
N,BAL_UAA,SI,KG	86 	86 	68 	98 	53 	44 	69 	60 	45 	55 	46 	50 	57 	69 	43 	45 	42 
N,BAL_UAA,SK,KG	45 	35 	39 	48 	29 	34 	40 	50 	29 	29 	46 	32 	41 	41 	19 	38 	16 
N,BAL_UAA,UK,KG	107 	109 	102 	96 	96 	91 	87 	88 	82 	84 	90 	85 	87 	88 	85 	83 	87 
P,BAL_UAA,AT,KG	4 e	3 e	3 e	3 e	0 e	1 e	2 e	3 e	-2 e	0 e	1 e	0 e	2 e	4 e	2 e	2 e	: 
P,BAL_UAA,BE,KG	20 e	16 e	15 e	12 e	11 e	11 e	10 e	9 e	4 e	2 e	5 e	5 e	6 e	6 e	5 e	5 e	: 
