unit,indic,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,INV_BSN,EL	7.57 p	8.27 p	8.09 p	7.88 p	6.63 p	5.79 p	6.02 p	7.84 p	7.66 p	6.15 p	6.59 p	5.82 p	4.93 p	4.50 p	4.95 p	4.98 p	5.73 p	: 
PC,INV_BSN,ES	15.22 	15.00 	14.71 	15.12 	15.70 	16.39 	17.34 	17.21 	16.38 	12.71 	12.47 	12.90 	13.30 	13.44 	14.20 	14.38 	15.05 	: 
PC,INV_BSN,EU28	: 	: 	12.60 	12.11 	12.04 	12.38 	12.76 	13.12 	13.11 	11.52 	11.39 	11.86 	11.87 	11.72 	11.94 	12.31 	12.60 	12.74 
PC,INV_BSN,FI	13.12 	13.74 	12.28 	11.84 	11.78 	12.28 	12.26 	13.60 	14.38 	12.94 	11.76 	11.88 	11.77 	10.84 	10.46 	10.82 	11.31 	11.53 
PC,INV_BSN,FR	11.81 	11.93 	11.33 	11.10 	11.17 	11.33 	11.75 	12.34 	12.80 	11.68 	11.82 	12.32 	12.41 	12.19 	12.39 	12.51 p	12.87 p	: 
PC,INV_BSN,HR	: 	: 	13.38 	15.21 	15.38 	15.71 	16.71 	16.16 	17.54 	15.88 	14.15 	13.12 	12.65 	: 	: 	: 	: 	: 
PC,INV_BSN,HU	16.59 	14.98 	13.50 	13.66 	13.85 	14.24 	13.81 	14.38 	14.85 	14.23 	12.66 	13.32 	12.71 	13.62 	13.47 	12.25 	: 	: 
PC,INV_BSN,IE	11.30 	10.96 	10.64 	10.89 	11.51 	12.92 	13.17 	12.28 	10.44 	12.20 	10.45 	11.27 	14.99 	13.91 	15.46 	16.08 	27.19 	: 
PC,INV_BSN,IS	15.34 	13.85 	10.76 	12.44 	14.87 	20.19 	25.16 	17.96 	15.36 	8.62 	8.52 	10.30 	10.89 	10.19 	11.26 	: 	: 	: 
PC,INV_BSN,IT	10.74 	10.81 	11.63 	10.57 	10.68 	10.67 	10.90 	10.93 	10.66 	9.36 	9.86 	10.03 	9.38 	8.84 	8.89 	9.23 	9.47 	9.92 
PC,INV_BSN,LT	13.09 	14.46 	14.19 	14.32 	14.94 	15.78 	18.01 	19.43 	16.74 	9.89 	8.61 	10.42 	10.37 	11.17 	11.62 	11.72 	11.43 	: 
PC,INV_BSN,LU	12.00 	13.41 	12.71 	10.88 	10.73 	10.22 	9.44 	9.84 	10.73 	9.10 	9.17 	10.88 	12.18 	11.59 	11.10 	9.70 	9.17 	: 
