s_adj,direct,sector,na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT	85915 	87020 	87835 	87938 	89146 	90542 	91157 	91565 	92616 	93732 	95223 	95773 
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE	102410 	103283 	103696 	107964 	106313 	107298 	107549 	110125 	109482 	110207 	110889 	: 
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG	11074 	11430 	11684 	11911 	12099 	12203 	12486 p	12523 p	12844 p	12873 p	: 	: 
SCA,RECV,S1,B5G,MIO_EUR_SCA,CY	4628 	4525 	4429 	4584 	4497 	4592 	4705 	4736 	4722 	4922 	4864 	5016 
SCA,RECV,S1,B5G,MIO_EUR_SCA,CZ	39895 	40635 	40157 	42300 	40893 	41504 	42538 	44161 	46355 	47229 	48687 	48440 
SCA,RECV,S1,B5G,MIO_EUR_SCA,DE	784702 	792503 	794914 	808793 	804944 	813753 	829953 	831083 	839915 	845331 	855766 	865139 
SCA,RECV,S1,B5G,MIO_EUR_SCA,DK	70641 	70093 	70267 	70786 	71137 	72305 	74215 	74111 	72759 	73908 	73796 	74139 
SCA,RECV,S1,B5G,MIO_EUR_SCA,EE	5031 	5022 	5047 	5116 	5210 	5307 	5477 	5574 	5652 	5827 	5947 	: 
SCA,RECV,S1,B5G,MIO_EUR_SCA,EL	44040 p	44544 p	43863 p	43915 p	43779 p	43812 p	44454 p	44593 p	44735 p	44646 p	: 	: 
SCA,RECV,S1,B5G,MIO_EUR_SCA,ES	270462 	272659 	276337 	278271 	281342 	283785 	286035 	289544 	292824 	296643 	297012 	299399 
SCA,RECV,S1,B5G,MIO_EUR_SCA,FI	53397 	54648 	54056 	54312 	55301 	55507 	55787 	55932 	56689 	58072 	57482 	57862 
SCA,RECV,S1,B5G,MIO_EUR_SCA,FR	563641 	565500 	568306 	568693 	567584 	571544 	581165 	584586 	588838 	593901 	598562 	598034 
SCA,RECV,S1,B5G,MIO_EUR_SCA,IE	49285 	51870 	54509 	53877 	53834 	60842 	54411 	53704 	63177 	62785 	61896 	62234 
SCA,RECV,S1,B5G,MIO_EUR_SCA,LT	8948 	9112 	9070 	9158 	9381 	9590 	9835 	9903 	10219 	10540 	10530 	10647 
SCA,RECV,S1,B5G,MIO_EUR_SCA,LV	6115 	6079 	6126 	6160 	6273 	6400 	6544 	6652 	6764 	6868 	7116 	7192 
SCA,RECV,S1,B5G,MIO_EUR_SCA,MT	2298 	2411 	2347 	2346 	2395 	2477 	2566 	2566 	2627 	2631 	2742 	2805 
SCA,RECV,S1,B5G,MIO_EUR_SCA,NL	172299 	173952 	172577 p	172221 p	175334 p	177656 p	181862 p	181303 p	187083 p	189883 p	190117 p	191832 p
SCA,RECV,S1,B5G,MIO_EUR_SCA,NO	89695 	85656 	83451 	85969 	86886 	93009 	94089 	91729 	91700 	90709 	92728 	96768 
SCA,RECV,S1,B5G,MIO_EUR_SCA,PL	103531 	103401 	100222 	102613 	102085 	104215 	106965 	111277 	113377 	114992 	117952 	: 
SCA,RECV,S1,B5G,MIO_EUR_SCA,PT	44447 	43855 	45007 	45120 	45808 	46242 	46790 e	47566 e	47738 e	48270 e	49225 e	48851 e
SCA,RECV,S1,B5G,MIO_EUR_SCA,RO	39645 p	39719 p	39897 p	41121 p	41849 p	42207 p	: 	: 	: 	: 	: 	: 
SCA,RECV,S1,B5G,MIO_EUR_SCA,SE	113922 	117056 	116878 	117791 	117244 	115674 	119564 	119846 	122056 	120492 	119748 	116875 
SCA,RECV,S1,B5G,MIO_EUR_SCA,SI	9418 	9466 	9671 	9703 	9840 	10018 	10254 	10424 	10677 	10941 	11047 	11352 
SCA,RECV,S1,B5G,MIO_EUR_SCA,SK	19514 e	19536 e	19782 e	19895 e	20015 e	20317 e	20425 e	20699 e	20914 e	21091 e	21353 e	: 
SCA,RECV,S1,B5G,MIO_EUR_SCA,UK	650728 	636546 	611158 	604423 	568013 	565071 	582122 	579217 	562473 	571659 	581882 	588841 
