s_adj,age,sex,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,Y_LT25,F,THS_PER,AT	24 u	21 u	20 u	21 u	24 u	27 u	29 u	27 u	22 u	22 u	23 u	: 
SA,Y_LT25,F,THS_PER,BE	29 	29 	29 	27 	27 	27 	31 	31 	31 	: 	: 	: 
SA,Y_LT25,F,THS_PER,BG	8 	7 	7 	7 	7 	8 	8 	8 	8 	8 	7 	: 
SA,Y_LT25,F,THS_PER,CY	4 	4 	4 	4 	4 	4 	3 	3 	3 	: 	: 	: 
SA,Y_LT25,F,THS_PER,CZ	7 	6 	7 	8 	11 	11 	14 	13 	11 	8 	9 	: 
SA,Y_LT25,F,THS_PER,DE	110 	109 	108 	106 	105 	104 	102 	101 	100 	98 	98 	: 
SA,Y_LT25,F,THS_PER,DK	21 	21 	21 	20 	20 	20 	18 	18 	18 	: 	: 	: 
SA,Y_LT25,F,THS_PER,EA	1155 	1136 	1129 	1120 	1105 	1085 	1072 	1053 	1039 	1033 	1032 	: 
SA,Y_LT25,F,THS_PER,EA18	1149 	1130 	1123 	1114 	1099 	1080 	1067 	1048 	1034 	1028 	1027 	: 
SA,Y_LT25,F,THS_PER,EA19	1155 	1136 	1129 	1120 	1105 	1085 	1072 	1053 	1039 	1033 	1032 	: 
SA,Y_LT25,F,THS_PER,EE	2 	2 	2 	3 	4 	3 	2 	2 	2 	3 	: 	: 
SA,Y_LT25,F,THS_PER,EL	59 	58 	58 	56 	57 	54 	52 	49 	48 	47 	: 	: 
SA,Y_LT25,F,THS_PER,ES	256 	253 	248 	238 	232 	228 	231 	231 	230 	229 	228 	: 
SA,Y_LT25,F,THS_PER,EU27	1612 	1601 	1592 	1558 	1530 	1501 	1482 	1445 	1445 	1430 	1422 	: 
SA,Y_LT25,F,THS_PER,EU28	1631 	1620 	1610 	1576 	1548 	1518 	1499 	1461 	1462 	1446 	1437 	: 
SA,Y_LT25,F,THS_PER,FI	30 	30 	30 	30 	30 	30 	30 	29 	29 	29 	29 	29 
SA,Y_LT25,F,THS_PER,FR	255 	258 	267 	277 	275 	266 	252 	243 	236 	236 	236 	: 
SA,Y_LT25,F,THS_PER,HR	19 	19 	19 	18 	18 	18 	16 	16 	16 	: 	: 	: 
SA,Y_LT25,F,THS_PER,HU	17 	18 	17 	18 	16 	17 	16 	16 	15 	13 	: 	: 
SA,Y_LT25,F,THS_PER,IE	16 	15 	15 	16 	16 	17 	17 	17 	17 	18 	17 	15 
SA,Y_LT25,F,THS_PER,IS	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	: 
SA,Y_LT25,F,THS_PER,IT	229 	229 	229 	222 	222 	222 	212 	212 	212 	: 	: 	: 
SA,Y_LT25,F,THS_PER,LT	6 	6 	6 	5 	5 	5 	5 	5 	5 	5 	5 	: 
SA,Y_LT25,F,THS_PER,LU	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	: 
SA,Y_LT25,F,THS_PER,LV	4 	4 	4 	4 	4 	4 	3 	3 	3 	3 	3 	: 
SA,Y_LT25,F,THS_PER,MT	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	: 
SA,Y_LT25,F,THS_PER,NL	55 	52 	54 	49 	47 	45 	43 	45 	48 	49 	53 	52 
SA,Y_LT25,F,THS_PER,NO	16 	16 	15 	14 	12 	13 	13 	14 	15 	15 	: 	: 
SA,Y_LT25,F,THS_PER,PL	85 	84 	77 	68 	63 	62 	64 	62 	58 	51 	46 	: 
SA,Y_LT25,F,THS_PER,PT	48 	44 	39 	37 	32 	36 	33 	39 	35 	36 	36 	: 
SA,Y_LT25,F,THS_PER,RO	53 	53 	53 	42 	42 	42 	39 	39 	39 	: 	: 	: 
SA,Y_LT25,F,THS_PER,SE	44 	52 	52 	49 	42 	45 	43 	36 	50 	53 	52 	: 
SA,Y_LT25,F,THS_PER,SI	4 	4 	4 	4 	4 	4 	3 	3 	3 	: 	: 	: 
SA,Y_LT25,F,THS_PER,SK	16 	16 	15 	14 	13 	12 	12 	13 	12 	12 	12 	: 
SA,Y_LT25,F,THS_PER,UK	224 	225 	226 	224 	222 	213 	207 	201 	206 	205 	: 	: 
SA,Y_LT25,F,THS_PER,US	794 	837 	807 	871 	824 	770 	712 	731 	793 	800 	742 	: 
SA,Y_LT25,M,THS_PER,AT	27 u	32 u	30 u	28 u	29 u	25 u	23 u	25 u	30 u	25 u	21 u	: 
SA,Y_LT25,M,THS_PER,BE	31 	31 	31 	36 	36 	36 	41 	41 	41 	: 	: 	: 
SA,Y_LT25,M,THS_PER,BG	13 	12 	12 	12 	12 	13 	15 	15 	14 	13 	12 	: 
SA,Y_LT25,M,THS_PER,CY	4 	4 	4 	4 	4 	4 	4 	4 	4 	: 	: 	: 
SA,Y_LT25,M,THS_PER,CZ	13 	9 	10 	11 	12 	10 	11 	11 	12 	11 	10 	: 
SA,Y_LT25,M,THS_PER,DE	166 	165 	165 	165 	166 	166 	166 	167 	167 	168 	168 	: 
SA,Y_LT25,M,THS_PER,DK	24 	24 	24 	24 	24 	24 	26 	26 	26 	: 	: 	: 
SA,Y_LT25,M,THS_PER,EA	1446 	1418 	1402 	1398 	1409 	1378 	1380 	1352 	1363 	1337 	1335 	: 
SA,Y_LT25,M,THS_PER,EA18	1438 	1410 	1394 	1389 	1401 	1370 	1373 	1345 	1356 	1329 	1327 	: 
SA,Y_LT25,M,THS_PER,EA19	1446 	1418 	1402 	1398 	1409 	1378 	1380 	1352 	1363 	1337 	1335 	: 
SA,Y_LT25,M,THS_PER,EE	3 	3 	2 	2 	2 	3 	3 	3 	3 	5 	: 	: 
SA,Y_LT25,M,THS_PER,EL	51 	52 	50 	52 	50 	50 	47 	47 	47 	46 	: 	: 
SA,Y_LT25,M,THS_PER,ES	314 	303 	300 	296 	296 	294 	294 	290 	283 	278 	280 	: 
SA,Y_LT25,M,THS_PER,EU27	2049 	2007 	1983 	1961 	1967 	1928 	1927 	1884 	1892 	1862 	1858 	: 
SA,Y_LT25,M,THS_PER,EU28	2072 	2030 	2005 	1982 	1987 	1948 	1947 	1904 	1911 	1881 	1877 	: 
SA,Y_LT25,M,THS_PER,FI	31 	31 	30 	30 	29 	29 	28 	27 	27 	26 	26 	26 
SA,Y_LT25,M,THS_PER,FR	349 	344 	343 	344 	343 	341 	339 	337 	335 	334 	333 	: 
SA,Y_LT25,M,THS_PER,HR	22 	22 	22 	21 	21 	21 	20 	20 	20 	: 	: 	: 
SA,Y_LT25,M,THS_PER,HU	18 	17 	18 	18 	17 	16 	15 	17 	18 	18 	: 	: 
SA,Y_LT25,M,THS_PER,IE	22 	22 	22 	21 	21 	22 	22 	22 	22 	22 	21 	20 
SA,Y_LT25,M,THS_PER,IS	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	: 
SA,Y_LT25,M,THS_PER,IT	287 	287 	287 	277 	277 	277 	272 	272 	272 	: 	: 	: 
SA,Y_LT25,M,THS_PER,LT	8 	8 	9 	8 	8 	8 	7 	6 	7 	8 	8 	: 
SA,Y_LT25,M,THS_PER,LU	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	: 
SA,Y_LT25,M,THS_PER,LV	8 	8 	7 	6 	6 	5 	5 	4 	4 	3 	3 	: 
SA,Y_LT25,M,THS_PER,MT	2 	2 	2 	2 	1 	1 	1 	2 	2 	2 	2 	: 
SA,Y_LT25,M,THS_PER,NL	59 	60 	62 	58 	57 	55 	55 	54 	56 	56 	59 	57 
SA,Y_LT25,M,THS_PER,NO	22 	22 	21 	20 	18 	19 	20 	21 	22 	22 	: 	: 
SA,Y_LT25,M,THS_PER,PL	108 	106 	101 	96 	90 	86 	84 	82 	81 	79 	78 	: 
SA,Y_LT25,M,THS_PER,PT	45 	42 	43 	42 	45 	44 	41 	36 	38 	38 	38 	: 
SA,Y_LT25,M,THS_PER,RO	73 	73 	73 	64 	64 	64 	64 	64 	64 	: 	: 	: 
SA,Y_LT25,M,THS_PER,SE	60 	54 	58 	57 	48 	59 	55 	58 	57 	56 	59 	: 
SA,Y_LT25,M,THS_PER,SI	4 	4 	4 	4 	4 	4 	4 	4 	4 	: 	: 	: 
SA,Y_LT25,M,THS_PER,SK	21 	21 	21 	21 	20 	19 	18 	17 	16 	15 	14 	: 
SA,Y_LT25,M,THS_PER,UK	294 	294 	283 	281 	286 	281 	271 	260 	260 	260 	: 	: 
SA,Y_LT25,M,THS_PER,US	1097 	1167 	1036 	1086 	1091 	1051 	1058 	1086 	1073 	1023 	983 	: 
SA,Y_LT25,T,THS_PER,AT	51 	53 	50 	49 	53 	53 	51 	52 	52 	47 	44 	: 
SA,Y_LT25,T,THS_PER,BE	59 	59 	59 	63 	63 	63 	72 	72 	72 	: 	: 	: 
SA,Y_LT25,T,THS_PER,BG	21 	20 	19 	19 	20 	21 	23 	23 	22 	21 	20 	: 
SA,Y_LT25,T,THS_PER,CY	8 	8 	8 	8 	8 	8 	7 	7 	7 	: 	: 	: 
SA,Y_LT25,T,THS_PER,CZ	20 	15 	17 	19 	23 	21 	25 	24 	23 	19 	19 	: 
SA,Y_LT25,T,THS_PER,DE	276 	274 	273 	272 	271 	269 	268 	267 	267 	266 	265 	: 
SA,Y_LT25,T,THS_PER,DK	45 	44 	46 	44 	45 	42 	47 	44 	43 	43 	45 	: 
SA,Y_LT25,T,THS_PER,EA	2601 	2554 	2531 	2517 	2514 	2463 	2452 	2405 	2402 	2370 	2367 	: 
SA,Y_LT25,T,THS_PER,EA18	2587 	2540 	2516 	2504 	2501 	2450 	2440 	2393 	2390 	2357 	2354 	: 
SA,Y_LT25,T,THS_PER,EA19	2601 	2554 	2531 	2517 	2514 	2463 	2452 	2405 	2402 	2370 	2367 	: 
SA,Y_LT25,T,THS_PER,EE	6 	5 	4 	5 	6 	5 	4 	5 	6 	8 	: 	: 
SA,Y_LT25,T,THS_PER,EL	110 	110 	108 	107 	107 	104 	99 	96 	95 	93 	: 	: 
SA,Y_LT25,T,THS_PER,ES	569 	556 	548 	534 	529 	523 	525 	521 	513 	507 	509 	: 
SA,Y_LT25,T,THS_PER,EU27	3661 	3608 	3575 	3518 	3496 	3429 	3410 	3329 	3337 	3292 	3280 	: 
SA,Y_LT25,T,THS_PER,EU28	3703 	3649 	3615 	3558 	3535 	3466 	3446 	3365 	3373 	3327 	3315 	: 
SA,Y_LT25,T,THS_PER,FI	62 	61 	60 	60 	59 	58 	58 	57 	56 	56 	56 	55 
SA,Y_LT25,T,THS_PER,FR	603 	602 	610 	620 	618 	606 	591 	580 	571 	571 	569 	: 
SA,Y_LT25,T,THS_PER,HR	41 	41 	41 	38 	38 	38 	36 	36 	36 	: 	: 	: 
SA,Y_LT25,T,THS_PER,HU	35 	35 	35 	36 	34 	33 	31 	33 	33 	32 	: 	: 
SA,Y_LT25,T,THS_PER,IE	38 	37 	37 	37 	37 	38 	39 	39 	39 	39 	37 	35 
SA,Y_LT25,T,THS_PER,IS	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	: 
SA,Y_LT25,T,THS_PER,IT	532 	515 	500 	505 	512 	484 	503 	471 	482 	458 	456 	: 
SA,Y_LT25,T,THS_PER,LT	14 	14 	15 	13 	13 	14 	12 	11 	12 	13 	13 	: 
SA,Y_LT25,T,THS_PER,LU	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	: 
SA,Y_LT25,T,THS_PER,LV	12 	12 	11 	11 	10 	9 	8 	7 	7 	6 	5 	: 
SA,Y_LT25,T,THS_PER,MT	3 	3 	3 	3 	2 	2 	2 	2 	2 	3 	2 	: 
SA,Y_LT25,T,THS_PER,NL	114 	112 	116 	108 	104 	100 	98 	100 	104 	106 	112 	109 
SA,Y_LT25,T,THS_PER,NO	38 	37 	35 	33 	31 	33 	33 	36 	36 	37 	: 	: 
SA,Y_LT25,T,THS_PER,PL	193 	189 	179 	164 	153 	149 	148 	144 	139 	131 	124 	: 
SA,Y_LT25,T,THS_PER,PT	92 	86 	82 	79 	77 	80 	75 	75 	73 	74 	74 	: 
SA,Y_LT25,T,THS_PER,RO	126 	126 	126 	106 	106 	106 	103 	103 	103 	: 	: 	: 
SA,Y_LT25,T,THS_PER,SE	105 	107 	110 	106 	90 	104 	98 	94 	108 	110 	111 	: 
SA,Y_LT25,T,THS_PER,SI	9 	9 	9 	8 	8 	8 	7 	7 	7 	: 	: 	: 
SA,Y_LT25,T,THS_PER,SK	37 	36 	36 	35 	33 	32 	30 	29 	28 	27 	26 	: 
SA,Y_LT25,T,THS_PER,TR	966 	962 	938 	951 	944 	944 	964 	986 	1031 	: 	: 	: 
SA,Y_LT25,T,THS_PER,UK	517 	519 	510 	505 	508 	494 	479 	461 	467 	465 	: 	: 
SA,Y_LT25,T,THS_PER,US	1891 	2004 	1843 	1957 	1915 	1821 	1770 	1817 	1866 	1823 	1725 	: 
