unit,tenure,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,OWN_L,FI	0.1 	0.3 	0.3 	0.4 	0.1 	0.5 	0.2 	0.3 	0.1 	0.2 	0.2 	0.1 	0.2 
PC,OWN_L,FR	0.9 	0.8 	1.1 	0.6 	0.9 	0.8 	0.6 	1.0 	0.9 	1.1 	1.3 	1.7 	0.9 
PC,OWN_L,HR	: 	: 	: 	: 	: 	11.4 	14.1 	11.6 b	5.8 	2.3 	6.1 	5.4 	: 
PC,OWN_L,HU	17.1 	13.4 	9.9 	17.3 	7.9 	15.4 	12.9 	15.2 	14.8 	13.9 	11.9 	17.2 	14.1 
PC,OWN_L,IE	0.6 	1.0 	0.3 	0.5 	0.0 	0.1 	0.9 	0.0 	0.4 	0.0 	0.8 	0.0 	: 
PC,OWN_L,IS	0.7 	0.9 	1.2 	0.6 	1.3 	0.9 	1.5 	1.7 	2.1 	2.1 	2.4 	1.5 p	: 
PC,OWN_L,IT	5.8 	5.9 	6.1 	5.0 	6.5 	5.9 	8.0 	8.3 	9.1 	8.4 	9.7 	6.5 	5.2 
PC,OWN_L,LT	20.7 	11.6 	13.6 	9.5 	7.1 	3.1 	0.0 b	1.3 	1.2 	8.9 	5.3 	4.2 	4.9 
PC,OWN_L,LU	: 	: 	0.7 	1.1 	0.5 	0.3 	0.7 	0.9 	0.6 	0.6 	0.4 	0.9 b	1.8 
PC,OWN_L,LV	: 	: 	13.0 	18.8 	12.4 	11.1 	7.8 	7.6 	8.3 	10.6 	6.9 	6.9 	7.9 
PC,OWN_L,MK	: 	: 	: 	: 	: 	: 	: 	6.9 	11.2 	3.9 b	16.8 	13.2 	: 
PC,OWN_L,MT	0.1 	0.0 	0.6 	0.0 	0.5 	0.7 	0.0 	1.1 	0.7 	1.0 	0.9 	0.5 	0.2 
PC,OWN_L,NL	0.2 	0.0 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.4 	0.5 b	0.5 
PC,OWN_L,NO	0.5 	0.3 	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.2 	0.4 	0.4 	0.1 
PC,OWN_L,PL	: 	: 	7.8 	4.1 	3.6 	3.5 	4.8 	3.6 	3.4 	2.5 	3.0 	2.8 	3.4 
PC,OWN_L,PT	3.7 	4.4 	3.4 	2.9 	2.2 	2.2 	2.2 	2.5 	3.5 	4.0 	3.2 	3.4 	3.1 
PC,OWN_L,RO	: 	: 	9.8 	18.1 	24.2 	28.6 	14.7 	19.9 	16.1 	4.9 	1.6 	1.4 	1.2 
PC,OWN_L,RS	: 	: 	: 	: 	: 	: 	: 	: 	12.8 	15.9 	15.8 	11.8 	: 
PC,OWN_L,SE	0.5 	0.3 	0.4 	0.4 b	0.6 	0.9 	0.9 	0.8 	0.5 	0.5 	0.5 	0.5 	0.8 
PC,OWN_L,SI	9.4 	9.2 	9.7 	10.8 	13.3 	11.6 	4.7 b	5.6 	4.5 	4.7 	3.5 	3.3 	3.0 
PC,OWN_L,SK	3.5 	5.1 	2.9 	3.6 	0.6 	2.1 	4.0 	2.9 	3.9 	1.6 	3.2 	2.0 	1.5 
PC,OWN_L,TR	: 	23.1 	10.9 	6.2 	8.6 	12.7 	8.0 	12.7 	9.8 	8.7 	11.5 	: 	: 
PC,OWN_L,UK	0.7 	0.8 	0.9 	1.0 	1.4 	1.6 	1.6 	0.8 b	1.2 	1.1 	0.5 	0.6 	: 
PC,RENT_MKT,AT	: 	: 	8.7 	10.6 b	9.7 	10.2 	8.1 	9.4 	9.5 	10.0 	10.0 	9.3 	10.8 
PC,RENT_MKT,BE	6.4 	4.5 	3.8 	3.3 	5.1 	5.5 	3.3 	2.2 	3.4 	3.0 	3.0 	5.5 	9.0 
