stk_flow,sitc06,partner,unit,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
IMP,SITC3,WRL_REST,PCH_M12_NSA,EA19	16.9 	12.4 	19.7 	13.5 	9.7 	2.1 	6.0 	14.7 	18.2 	35.4 	40.1 	42.1 
IMP,SITC3,WRL_REST,PCH_M12_NSA,EU28	18.8 	13.9 	20.3 	13.9 	8.8 	2.1 	5.1 	18.3 	19.5 	37.4 	43.5 	47.8 
IMP,SITC3,WRL_REST,PCH_M1_SA,EA19	1.9 	4.8 	9.2 	7.0 	4.7 	-5.4 	-1.5 	0.4 	5.4 	7.2 	-2.3 	5.3 
IMP,SITC3,WRL_REST,PCH_M1_SA,EU28	5.6 	4.4 	9.1 	6.3 	4.0 	-4.8 	-0.2 	1.4 	3.7 	7.2 	-1.2 	5.1 
IMP,SITC3,WRL_REST,TVAL_SA,EA19	22940.2 	24044.8 	26245.5 	28082.6 	29411.6 	27837.7 	27415.5 	27521.1 	29010.8 	31087.5 	30373.2 	31980.8 
IMP,SITC3,WRL_REST,TVAL_SA,EU28	26478.1 	27633.3 	30140.3 	32044.7 	33321.4 	31737.1 	31665.9 	32118.6 	33303.7 	35711.9 	35293.5 	37081.9 
