sector,s_adj,na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
S11,NSA,B2G_B3G_RAT_S11,PC,AT	43.86 	44.31 	42.68 	39.34 	43.03 	44.90 	43.65 	39.69 	43.64 	44.43 	44.42 	39.76 
S11,NSA,B2G_B3G_RAT_S11,PC,BE	46.82 	37.79 	44.16 	41.74 	47.55 	39.02 	45.38 	41.46 	47.35 	38.91 	45.23 	: 
S11,NSA,B2G_B3G_RAT_S11,PC,CZ	52.26 	51.49 	49.86 	52.45 	50.01 	49.74 	48.88 	49.39 	49.77 	49.10 	47.04 	47.30 
S11,NSA,B2G_B3G_RAT_S11,PC,DE	42.94 	38.25 	44.59 	42.83 	43.01 	37.87 	44.35 	41.22 	42.98 	37.67 	43.59 	40.95 
S11,NSA,B2G_B3G_RAT_S11,PC,DK	42.82 	42.31 	37.63 	37.58 	41.16 	42.35 	40.49 	38.39 	41.16 	40.66 	36.23 	35.20 
S11,NSA,B2G_B3G_RAT_S11,PC,EA19	42.18 	39.13 	42.86 	39.84 	42.35 	39.22 	42.67 	39.37 	42.78 	38.66 	42.77 	39.41 
S11,NSA,B2G_B3G_RAT_S11,PC,EE	44.79 	42.91 	39.28 	41.56 	43.01 	42.08 	42.61 	42.77 	44.43 	43.20 	42.75 	: 
S11,NSA,B2G_B3G_RAT_S11,PC,EL	59.50 p	36.43 p	54.80 p	53.58 p	55.59 p	40.72 p	54.60 p	51.92 p	56.51 p	41.15 p	: 	: 
S11,NSA,B2G_B3G_RAT_S11,PC,ES	41.06 	45.52 	41.90 	42.41 	42.04 	46.03 	42.23 	43.01 	42.25 	46.64 	42.22 	42.09 
S11,NSA,B2G_B3G_RAT_S11,PC,EU28	41.18 	39.74 	40.21 	38.94 	40.87 	39.63 	40.36 	38.64 	41.15 	39.39 	39.99 	: 
S11,NSA,B2G_B3G_RAT_S11,PC,FI	39.05 	45.72 	38.85 	41.28 	38.63 	46.47 	41.91 	42.83 	40.85 	47.66 	41.92 	43.54 
S11,NSA,B2G_B3G_RAT_S11,PC,FR	32.03 	29.93 	37.19 	29.72 	31.52 	29.24 	36.49 	29.44 	32.11 	29.55 	36.43 	28.65 
