currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT	: 	: 	: 	: 	99279.0 	116790.0 	133636.0 	129552.0 	139716.0 	157374.0 	193655.0 	235888.0 	269602.0 	306837.0 	287225.0 	275265.0 	300966.0 	298963.0 	291789.0 	277664.0 	263068.0 	246732.0 	249548.0 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	537718.5 	586896.6 	671805.7 	632922.0 	569271.0 	563703.0 	591606.0 	551849.0 	464193.0 	468128.0 	475172.0 	510038.0 	449307.0 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG	: 	: 	: 	: 	: 	9583.0 	10451.3 	8560.8 	6758.1 	9143.1 	9959.1 	13792.2 	12042.4 	11848.2 	12891.8 	13131.6 	14729.3 	13381.0 	15523.7 	19492.3 	18293.4 	21891.9 	22622.9 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54516.0 	57028.0 	53071.0 	60042.0 	62632.0 	58536.0 	53564.0 	50379.0 	53552.0 	50621.0 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ	379699.0 	446139.0 	638158.0 	650948.0 	757066.0 	736904.0 	778436.0 	515356.0 	419090.0 	513963.0 	634692.0 	638431.0 	676321.0 	778551.0 	757926.0 	844350.0 	925748.0 	986921.0 	1124326.0 	1198326.0 	1131916.0 	1190038.0 	1192171.0 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE	: 	: 	: 	: 	1066153.0 	1170722.0 	1316435.0 	1385419.0 	1499699.0 	1618012.0 	1779440.0 	1998292.0 	2289253.0 	2406777.0 	2263017.0 	2458018.0 	2598181.0 	2604127.0 	2421323.0 	2535125.0 	2601275.0 	2782475.0 	2853513.0 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	787969.0 	907108.0 	1142789.0 	1186819.0 	1000396.0 	1083292.0 	1028203.0 	1016163.0 	1161299.0 	1113102.0 	1127024.0 	1289823.0 	1450472.0 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2451.3 	3349.6 	3372.9 	4946.9 	5326.0 	4498.0 	5362.0 	9680.0 	11220.5 	10995.2 	12268.5 	12901.4 	11120.9 	10290.8 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,EL	: 	: 	: 	: 	: 	: 	: 	: 	48945.0 	52477.0 	58738.0 	65275.0 	82187.0 	110434.0 	131002.0 	121872.0 	125911.0 	106736.0 	84592.0 	75992.0 	91903.0 	76244.0 	64752.0 
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,ES	: 	: 	: 	: 	164950.0 	185245.0 	174601.0 	205303.0 	206381.0 	238046.0 	271407.0 	336113.0 	358302.0 	356587.0 	333698.0 	335752.0 	355162.0 	405599.0 	377559.0 	399964.0 	422250.0 	443369.0 	469750.0 
