na_item,s_adj,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
P51G,SCA,MIO_EUR_SCA,AT	19730.4 	19780.0 	20409.3 	20640.2 	20590.7 	21059.2 	21459.3 	21745.5 	21859.5 	22224.6 	22466.5 	23063.5 
P51G,SCA,MIO_EUR_SCA,BE	23337.0 	23539.0 	23913.0 	24187.0 	26199.0 	24816.0 	25170.0 	25492.0 	25421.0 	25686.0 	25984.0 	26364.0 
P51G,SCA,MIO_EUR_SCA,BG	2458.2 	2431.4 	2202.0 	2257.0 	2258.4 	2207.0 	2280.2 	2428.5 	2303.7 	2501.4 	2672.3 p	2640.8 p
P51G,SCA,MIO_EUR_SCA,CH	36431.2 	35947.1 	36198.8 	36549.2 	36659.1 	36934.3 	38037.4 	37582.6 	36457.1 	35949.3 	36452.3 	36270.7 
P51G,SCA,MIO_EUR_SCA,CY	517.6 	793.0 	303.9 	1291.9 	612.9 	1055.2 	1010.2 	696.2 	701.2 	1686.8 	396.7 	1059.8 
P51G,SCA,MIO_EUR_SCA,CZ	11455.2 	11450.2 	10999.5 	10743.6 	11125.3 	11069.8 	11057.2 	11841.8 	12304.4 	12324.2 	12853.2 	13232.9 
P51G,SCA,MIO_EUR_SCA,DE	150896.0 	155081.0 	157696.0 	156408.0 	158143.0 	159192.0 	163253.0 	166342.0 	167946.0 	169868.0 	173386.0 	175436.0 
P51G,SCA,MIO_EUR_SCA,DK	13207.8 	13494.4 	13729.9 	14077.6 	14297.5 	14534.5 	14487.5 	14706.5 	14937.5 	15181.2 	15469.9 	16835.7 
P51G,SCA,MIO_EUR_SCA,EA	521400.2 	538382.6 	540331.3 	547749.2 	554187.8 	565091.2 	562960.3 	576258.8 	577114.3 	589243.9 	592360.4 	603444.7 
P51G,SCA,MIO_EUR_SCA,EA19	521400.2 	538382.6 	540331.3 	547749.2 	554187.8 	565091.2 	562960.3 	576258.8 	577114.3 	589243.9 	592360.4 	603444.7 
P51G,SCA,MIO_EUR_SCA,EE	1224.8 	1253.2 	1237.7 	1248.5 	1273.2 	1299.8 	1440.8 	1429.1 	1452.2 	1434.7 	1399.7 	1444.0 
P51G,SCA,MIO_EUR_SCA,EL	4784.7 	5398.0 	4973.3 	5073.1 	5356.7 	4830.1 	5796.5 	5101.1 p	4996.1 p	6155.5 p	5306.7 p	5141.9 p
P51G,SCA,MIO_EUR_SCA,ES	54240.0 	54911.0 	55117.0 p	55568.0 p	55791.0 p	56655.0 p	58515.0 p	58924.0 p	60357.0 p	61156.0 p	61916.0 p	64140.0 p
P51G,SCA,MIO_EUR_SCA,EU28	724265.7 	746264.9 	735232.7 	744461.7 	744863.4 	754669.8 	757803.4 	776606.3 	776548.0 	791988.2 	798324.1 	810041.9 
P51G,SCA,MIO_EUR_SCA,FI	10653.0 	10878.0 	11316.0 	11603.0 	11754.0 	12171.0 	12209.0 	12201.0 	12533.0 	12635.0 	12718.0 	13071.0 
P51G,SCA,MIO_EUR_SCA,FR	118153.0 	119878.0 	121133.0 	121174.0 	121929.0 	123268.0 	126785.0 	128059.0 	129904.0 	131558.0 	132229.0 	133891.0 
P51G,SCA,MIO_EUR_SCA,HR	2222.0 	2223.1 	2262.8 	2348.1 	2348.9 	2393.2 	2429.1 	2466.4 	2471.5 	2458.2 	2534.5 	2573.8 
P51G,SCA,MIO_EUR_SCA,HU	6195.7 	6640.2 	5202.3 	5316.9 	5818.7 	6018.1 	6432.2 	6783.3 	7174.4 	7190.0 	7752.7 	7950.6 
P51G,SCA,MIO_EUR_SCA,IE	15023.3 	21645.9 	19522.4 	24060.6 	24561.1 	29021.7 	15544.7 	22231.2 	14489.0 	16803.5 	16216.5 	16068.1 
P51G,SCA,MIO_EUR_SCA,IT	70331.7 	70492.9 	71282.9 	71329.4 	72830.4 	74810.3 	73746.2 	74937.4 	77255.0 	78521.7 	77665.6 	79824.6 
P51G,SCA,MIO_EUR_SCA,LT	1831.0 	1789.7 	1689.6 	1904.2 	1855.9 	1990.8 	1906.1 	2013.8 	2015.8 	2187.3 	2132.6 	2137.4 
P51G,SCA,MIO_EUR_SCA,LU	2345.1 	2180.0 	2327.6 	2455.2 	2486.8 	2650.3 	2743.7 	2807.7 	2396.0 	2518.2 	2461.6 	2441.7 
P51G,SCA,MIO_EUR_SCA,LV	1305.6 	1328.3 	1235.1 	1183.0 	1223.2 	1273.6 	1301.1 	1407.0 	1449.5 	1468.2 	1610.9 	1624.1 
P51G,SCA,MIO_EUR_SCA,MT	670.9 	624.3 	548.0 	681.4 	582.3 	672.1 	598.0 	498.5 	561.4 	693.7 	526.8 	580.2 
P51G,SCA,MIO_EUR_SCA,NL	32597.1 	34511.9 	34786.0 p	35538.0 p	35724.7 p	35857.3 p	37015.3 p	37457.0 p	38402.8 p	38495.3 p	39861.1 p	40506.4 p
P51G,SCA,MIO_EUR_SCA,NO	19897.5 	19932.5 	19742.2 	21020.7 	21903.9 	22454.3 	22677.1 	21966.7 	21942.3 	21823.0 	20532.8 	21857.1 
P51G,SCA,MIO_EUR_SCA,PL	21605.9 	21658.7 	18753.0 	19172.8 	19343.6 	19227.5 	19560.4 	20452.8 	20619.9 	21136.5 	21847.1 	21607.1 
P51G,SCA,MIO_EUR_SCA,PT	6916.0 	6937.0 	6963.0 	7011.1 	7242.5 	7613.0 	7889.9 	8031.3 	8108.8 	8260.2 	8334.9 	8439.6 
P51G,SCA,MIO_EUR_SCA,RO	9489.5 	10885.3 	9654.4 p	10265.3 p	9486.5 p	9692.0 p	9880.8 p	10513.7 p	10629.5 p	10925.0 p	11007.6 p	10660.5 p
P51G,SCA,MIO_EUR_SCA,SE	26041.0 	27616.2 	27400.7 	28034.5 	27486.1 	27522.2 	29019.7 	29256.6 	30471.5 	29846.2 	30124.5 	29309.4 
P51G,SCA,MIO_EUR_SCA,SI	1821.4 	1814.1 	1688.9 	1760.4 	1797.9 	1838.4 	1935.2 	1962.5 	1976.8 	2093.9 	2151.4 	2171.9 
P51G,SCA,MIO_EUR_SCA,UK	110176.3 	111503.7 	104712.0 	104773.9 	98847.9 	97053.2 	99383.8 	101517.8 	98349.3 	100859.9 	100897.7 	101318.3 
