unit,tenure,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,OWN_NL,DE	: 	: 	: 	: 	1.7 	1.8 	1.4 	1.1 	1.6 	1.2 	1.6 	1.5 
PC,OWN_NL,DK	3.5 	3.3 	2.3 	2.5 	3.1 	2.8 	1.5 	3.2 	4.2 	2.5 	4.6 	4.9 
PC,OWN_NL,EA18	: 	13.7 e	13.0 e	12.0 e	10.4 	10.1 	10.1 	10.2 	10.1 	10.2 	10.3 	10.1 e
PC,OWN_NL,EA19	: 	14.6 e	13.9 e	12.8 e	11.1 	10.2 	10.2 	10.5 	10.4 	10.5 	10.5 	10.3 e
PC,OWN_NL,EE	45.6 	42.4 	41.2 	40.6 	38.4 	12.9 	12.4 	20.4 	12.1 b	11.9 	12.7 	11.6 
PC,OWN_NL,EL	: 	26.7 	24.5 	22.8 	23.3 	25.6 	25.2 	26.6 	25.3 	25.3 	25.1 	25.5 
PC,OWN_NL,ES	: 	3.3 	3.2 	3.2 	2.7 	4.2 b	3.6 	3.0 	3.5 	3.9 	4.0 	3.1 
PC,OWN_NL,EU27	: 	24.0 e	23.1 e	21.9 e	20.5 	19.6 	19.2 	19.2 	18.7 	18.5 	17.9 	19.2 e
PC,OWN_NL,EU28	: 	: 	: 	: 	20.8 	20.0 	19.6 	19.6 	19.1 	18.9 	18.3 	19.2 e
PC,OWN_NL,FI	2.4 	2.5 	2.5 	2.3 	2.1 	2.9 	2.6 	2.4 	3.0 	2.8 	3.2 	1.8 
PC,OWN_NL,FR	2.2 	3.1 	2.7 	2.6 	2.3 	1.6 	1.8 	1.5 	1.3 	1.9 	2.3 	1.9 
PC,OWN_NL,HR	: 	: 	: 	: 	40.8 	42.9 	42.3 	40.6 	41.5 	40.1 	39.8 	: 
PC,OWN_NL,HU	48.9 	44.7 	45.7 	43.4 	43.1 	41.0 	40.3 	38.8 	37.2 	38.2 	36.4 	36.5 
PC,OWN_NL,IE	3.6 	3.6 	1.7 	1.3 	1.3 	0.6 	0.9 	1.3 	1.9 	0.7 	0.1 	: 
PC,OWN_NL,IS	5.1 	4.0 	3.0 	4.1 	1.1 	2.9 	2.7 	2.5 	4.2 	3.7 	2.5 p	: 
PC,OWN_NL,IT	20.0 	19.8 	19.5 	17.9 	18.8 	18.9 	19.8 	20.2 	20.5 	20.9 	20.7 	20.6 
PC,OWN_NL,LT	52.6 	50.7 	46.3 	45.3 	44.1 	18.7 b	17.8 	27.1 b	26.8 	24.6 	22.9 	22.4 
PC,OWN_NL,LU	: 	2.1 	2.0 	0.3 	0.5 	0.8 	1.2 	0.8 	0.7 	0.5 	1.1 b	2.0 
PC,OWN_NL,LV	: 	57.7 	55.3 	54.6 	52.5 	41.1 	34.7 	35.9 	37.6 	38.2 	40.6 	38.8 
PC,OWN_NL,MK	: 	: 	: 	: 	: 	: 	52.3 	48.3 	44.9 b	49.6 	48.3 	: 
PC,OWN_NL,MT	2.2 	3.1 	2.7 	2.5 	3.3 	3.8 	3.1 	2.6 	3.1 	2.1 	2.0 	1.8 
PC,OWN_NL,NL	1.9 	0.3 	0.4 	0.6 	0.4 	0.3 	1.6 	0.8 	0.9 	1.5 	1.3 b	1.5 
PC,OWN_NL,NO	0.7 	1.7 	2.6 	2.5 	1.2 	2.2 	2.4 	1.9 	1.0 	1.4 	1.0 	1.5 
PC,OWN_NL,PL	: 	46.0 	45.1 	43.4 	43.4 	43.0 	41.9 	40.8 	40.4 	39.8 	36.9 	37.0 
PC,OWN_NL,PT	11.4 	12.6 	12.7 	10.4 	9.3 	6.8 	5.6 	6.2 	6.9 	6.7 	7.3 	6.2 
PC,OWN_NL,RO	: 	54.7 	53.8 	52.5 	51.4 	50.8 	51.0 	49.9 	48.6 	49.1 	47.8 	46.7 
PC,OWN_NL,RS	: 	: 	: 	: 	: 	: 	: 	51.7 	48.0 	51.3 	53.3 	: 
PC,OWN_NL,SE	7.4 	5.1 	5.5 b	4.1 	3.9 	6.3 	4.2 	4.6 	3.9 	3.2 	5.0 	4.6 
PC,OWN_NL,SI	37.7 	36.1 	35.9 	34.5 	30.3 	14.1 b	13.2 	12.1 	11.1 	10.2 	9.4 	9.5 
PC,OWN_NL,SK	43.8 	40.8 	40.4 	36.7 	37.5 	37.0 	36.5 	37.6 	36.3 	35.7 	36.8 	35.4 
PC,OWN_NL,TR	53.8 	53.2 	53.6 	51.6 	50.8 	51.5 	50.5 	50.3 	50.9 	50.0 	: 	: 
PC,OWN_NL,UK	2.1 	2.4 	1.6 	1.2 	1.4 	1.4 	2.0 b	1.6 	1.5 	1.0 	1.3 	: 
PC,RENT_FR,AT	: 	17.8 	15.7 b	14.0 	13.9 	13.7 	15.3 	17.1 	15.5 	17.9 	17.3 	15.1 
PC,RENT_FR,BE	8.1 	9.2 	9.8 	6.5 	8.0 	3.8 	2.4 	3.7 	2.5 	4.2 	8.6 	7.8 
PC,RENT_FR,BG	60.5 	63.8 	63.5 	63.6 	65.0 	63.7 	58.8 	57.8 	56.6 	50.3 	52.0 b	51.1 
PC,RENT_FR,CH	: 	: 	: 	: 	14.9 	8.1 	7.2 	4.1 	8.3 b	10.1 	11.7 	: 
PC,RENT_FR,CY	: 	2.0 	3.6 b	3.1 	3.7 	3.9 	3.8 	3.5 	2.7 	1.3 	2.3 	3.7 
PC,RENT_FR,CZ	55.8 	54.7 	50.1 	47.5 	41.8 	35.6 	31.2 	26.0 	27.4 	25.0 	22.9 	21.1 
PC,RENT_FR,DE	: 	: 	: 	: 	14.5 	10.8 	11.3 	10.9 	12.1 	14.1 	14.8 	13.1 
PC,RENT_FR,DK	: 	: 	: 	: 	: u	18.3 	14.7 	: u	: u	: u	: u	: u
PC,RENT_FR,EA18	: 	21.1 e	21.8 e	21.3 e	19.9 e	18.6 	18.8 	19.2 	18.8 	19.0 	18.9 	18.1 e
PC,RENT_FR,EA19	: 	21.6 e	22.1 e	21.6 e	20.1 e	18.7 	18.9 	19.3 	19.0 	19.2 	19.0 	18.2 e
PC,RENT_FR,EE	49.1 	52.0 	46.8 	49.0 	47.5 	20.7 	19.4 	23.9 	20.1 b	19.4 	18.5 	19.3 
PC,RENT_FR,EL	: 	27.5 	25.8 	20.7 	24.3 	30.4 	34.0 	26.7 	25.9 	28.8 	30.4 	30.8 
PC,RENT_FR,ES	: 	7.8 	8.7 	8.5 	8.4 	11.2 b	9.6 	11.7 	10.8 	10.1 	10.9 	9.0 
PC,RENT_FR,EU27	: 	32.7 e	32.1 e	31.1 e	26.4 e	24.9 e	24.8 e	24.8 e	24.8 e	24.0 e	24.8 e	25.2 e
PC,RENT_FR,EU28	: 	: 	: 	: 	26.6 e	25.0 e	25.1 e	25.0 e	25.0 e	24.2 e	24.9 e	25.2 e
PC,RENT_FR,FI	15.3 	15.8 	15.0 	15.1 	14.9 	16.4 	14.7 	18.5 	18.5 	16.3 	15.6 	15.8 
PC,RENT_FR,FR	13.9 	16.9 	20.1 	19.3 	18.4 	16.1 	15.0 	14.1 	12.5 	14.4 	14.1 	15.8 
PC,RENT_FR,HR	: 	: 	: 	: 	57.1 	54.6 	60.6 	55.3 	48.9 	55.0 	52.0 	: 
PC,RENT_FR,HU	68.0 	65.8 	61.6 	61.8 	63.4 	61.6 	62.3 	62.7 	63.6 	54.9 	61.2 	58.1 
PC,RENT_FR,IE	17.7 	16.2 	14.1 	13.3 	10.4 	8.4 	9.7 	6.6 	10.4 	12.2 	11.0 	: 
PC,RENT_FR,IS	23.4 	31.4 	23.3 	24.2 	20.8 	17.3 	17.6 	19.2 	15.1 	20.9 	16.9 p	: 
PC,RENT_FR,IT	31.3 	31.1 	31.3 	31.5 	31.7 	33.1 	37.5 	38.7 	39.0 	36.8 	36.4 	34.7 
PC,RENT_FR,LT	68.9 	71.1 	66.9 	68.2 	64.5 	34.7 b	36.3 	39.3 b	41.9 	44.3 	40.2 	42.6 
PC,RENT_FR,LU	: 	15.0 	14.5 	10.2 	10.4 	12.3 	16.2 	19.0 	15.2 	10.9 	13.3 b	15.1 
PC,RENT_FR,LV	: 	76.4 	68.9 	75.2 	75.7 	58.0 	43.8 	46.0 	47.0 	53.7 	56.5 	52.3 
PC,RENT_FR,MK	: 	: 	: 	: 	: 	: 	50.8 	63.2 	58.4 b	66.1 	65.7 	: 
PC,RENT_FR,MT	9.7 	10.2 	10.2 	9.2 	8.0 	8.1 	8.1 	9.0 	8.2 	8.1 	6.6 	8.0 
PC,RENT_FR,NL	3.2 	15.8 u	0.0 	2.7 	0.0 u	7.4 	6.2 	0.0 	6.0 	0.0 	13.2 b	12.3 
PC,RENT_FR,NO	10.6 	11.3 	16.4 	19.2 	18.4 	19.5 	17.0 	21.0 	13.7 	14.2 	15.4 	13.0 
PC,RENT_FR,PL	: 	63.4 	63.6 	63.0 	69.2 	69.3 	69.6 	67.8 	68.7 	66.5 	64.6 	63.7 
PC,RENT_FR,PT	26.4 	28.0 	25.0 	23.9 	22.1 	17.2 	16.7 	21.4 	18.4 	19.2 	17.6 	17.1 
PC,RENT_FR,RO	: 	80.8 	81.8 	80.8 	67.8 	62.4 	64.9 	60.7 	73.8 	63.5 	62.3 	51.5 
PC,RENT_FR,RS	: 	: 	: 	: 	: 	: 	: 	60.8 	57.1 	59.9 	61.5 	: 
PC,RENT_FR,SE	13.9 	25.2 	21.7 b	20.0 	2.2 	32.8 u	6.6 u	28.3 u	10.5 u	6.9 u	28.5 	18.4 
PC,RENT_FR,SI	46.5 	46.7 	47.1 	46.2 	45.5 	20.4 b	21.3 	20.7 	19.8 	19.8 	17.0 	18.7 
PC,RENT_FR,SK	52.4 	44.8 	52.2 	58.5 	57.7 	54.3 	57.1 	65.7 	58.9 	56.9 	56.5 	51.1 
PC,RENT_FR,TR	51.3 	51.7 	49.4 	47.9 	46.2 	46.5 	45.3 	45.3 	45.6 	44.3 	: 	: 
PC,RENT_FR,UK	14.8 	14.4 	16.7 	17.5 	15.7 	17.3 	16.6 b	17.5 	16.7 	16.0 	19.7 	: 
PC,RENT_MKT,AT	: 	31.0 	32.5 b	30.1 	27.5 	26.8 	31.2 	30.4 	34.2 	32.1 	32.5 	32.8 
PC,RENT_MKT,BE	10.0 	9.8 	10.6 	11.2 	11.4 	6.7 	5.1 	6.7 	7.4 	4.5 	10.8 	17.1 
PC,RENT_MKT,BG	79.5 	73.6 	77.1 	74.4 	78.8 	67.8 	69.6 	72.0 	71.0 	82.0 	77.3 b	71.2 
PC,RENT_MKT,CH	: 	: 	: 	: 	8.6 	9.6 	9.3 	10.9 	11.5 b	10.1 	10.7 	: 
PC,RENT_MKT,CY	: 	6.7 	12.6 b	4.4 	9.2 	7.6 	6.8 	4.5 	5.6 	3.3 	3.7 	4.7 
PC,RENT_MKT,CZ	48.1 	52.0 	50.0 	47.4 	50.8 	42.2 	42.3 	40.8 	42.4 	40.9 	42.5 	38.3 
PC,RENT_MKT,DE	: 	: 	: 	: 	12.8 	12.2 	11.7 	12.0 	11.5 	11.8 	12.2 	12.3 
PC,RENT_MKT,DK	14.0 	14.5 	14.7 	15.6 	14.2 	15.2 	13.7 	15.9 	15.5 	14.9 	15.7 	16.1 
PC,RENT_MKT,EA18	: 	24.4 e	23.7 e	23.0 e	18.3 	17.3 	17.7 	17.4 	18.0 	17.9 	18.7 	19.2 e
PC,RENT_MKT,EA19	: 	24.5 e	23.8 e	23.1 e	18.3 	17.3 	17.7 	17.4 	18.0 	17.9 	18.8 	19.2 e
PC,RENT_MKT,EE	74.2 	70.7 	64.7 	55.4 	59.1 	22.0 	19.3 	30.0 	27.2 b	18.4 	21.3 	25.6 
PC,RENT_MKT,EL	: 	41.4 	37.6 	37.1 	35.4 	29.5 	31.4 	31.2 	33.6 	32.2 	33.8 	34.0 
PC,RENT_MKT,ES	: 	17.3 	15.9 	16.5 	15.2 	16.8 b	14.1 	12.0 	12.0 	11.7 	12.5 	12.4 
PC,RENT_MKT,EU27	: 	24.9 e	24.0 e	23.3 e	19.7 	18.7 	19.2 	19.4 	19.7 	19.9 	20.4 	21.3 e
PC,RENT_MKT,EU28	: 	: 	: 	: 	19.8 	18.8 	19.3 	19.4 	19.7 	20.0 	20.4 	21.3 e
PC,RENT_MKT,FI	18.9 	16.8 	16.1 	18.6 	20.3 	18.6 	17.8 	20.0 	17.2 	16.7 	16.8 	14.7 
PC,RENT_MKT,FR	20.0 	23.3 	20.9 	19.3 	19.0 	17.7 	18.8 	15.6 	17.3 	16.1 	17.2 	17.7 
PC,RENT_MKT,HR	: 	: 	: 	: 	69.4 	72.2 	63.7 	74.8 	68.4 	65.2 	63.5 	: 
PC,RENT_MKT,HU	76.5 	74.4 	77.7 	73.0 	70.5 	66.6 	67.5 	65.3 	60.2 	61.9 	58.8 	58.5 
PC,RENT_MKT,IE	13.6 	7.2 	10.9 	5.6 	8.3 	4.0 	3.6 	4.7 	7.2 	6.1 	7.2 	: 
PC,RENT_MKT,IS	30.9 	29.8 	21.8 	17.9 	21.5 	17.3 	19.8 	26.7 	15.8 	13.9 	13.3 p	: 
PC,RENT_MKT,IT	41.5 	39.8 	39.3 	38.4 	39.7 	40.5 	43.7 	43.8 	44.9 	45.7 	43.7 	42.5 
PC,RENT_MKT,LT	81.7 	81.2 	84.0 	88.4 	69.9 	32.4 b	50.6 	71.5 b	68.0 	62.6 	37.5 	35.7 
PC,RENT_MKT,LU	: 	23.2 	24.7 	21.1 	22.6 	18.1 	18.4 	15.9 	17.6 	20.6 	20.9 b	22.8 
PC,RENT_MKT,LV	: 	71.8 	71.3 	67.9 	73.1 	58.5 	56.2 	57.6 	61.6 	63.3 	63.9 	64.6 
PC,RENT_MKT,MK	: 	: 	: 	: 	: 	: 	81.8 	87.3 	78.8 b	75.4 	69.9 	: 
PC,RENT_MKT,MT	3.3 	3.0 	0.0 	5.3 	5.9 	11.8 	12.2 	6.4 	9.7 	7.3 	11.5 	6.4 
PC,RENT_MKT,NL	3.3 	3.9 	3.8 	4.3 	4.6 	3.6 	4.9 	5.7 	7.1 	6.4 	9.0 b	9.4 
PC,RENT_MKT,NO	24.0 	24.4 	22.4 	21.1 	24.4 	22.1 	23.6 	26.9 	22.8 	24.7 	23.6 	23.8 
PC,RENT_MKT,PL	: 	73.8 	65.9 	71.1 	71.7 	74.6 	75.2 	72.8 	70.0 	71.2 	72.1 	69.4 
PC,RENT_MKT,PT	30.4 	26.2 	27.3 	26.2 	30.8 	22.7 	22.1 	20.6 	20.0 	16.6 	17.4 	16.3 
PC,RENT_MKT,RO	: 	77.1 	84.3 	78.5 	83.0 	77.8 	74.5 	74.5 	67.2 	81.0 	73.9 	67.3 
PC,RENT_MKT,RS	: 	: 	: 	: 	: 	: 	: 	80.1 	72.5 	74.7 	79.8 	: 
PC,RENT_MKT,SE	25.0 	23.4 	24.7 b	27.0 	28.9 	28.4 	29.5 	28.3 	30.5 	31.7 	32.8 	30.4 
PC,RENT_MKT,SI	77.9 	78.6 	80.6 	81.6 	75.9 	51.3 b	49.4 	47.2 	44.4 	38.5 	37.4 	36.8 
PC,RENT_MKT,SK	67.1 	71.4 	69.8 	69.7 	66.7 	66.4 	63.0 	65.5 	65.3 	61.6 	57.6 	57.1 
PC,RENT_MKT,TR	46.7 	48.8 	45.9 	45.2 	42.7 	40.7 	39.4 	39.8 	43.1 	42.1 	: 	: 
PC,RENT_MKT,UK	14.8 	13.3 	13.7 	14.2 	17.1 	11.1 	12.9 b	16.2 	14.6 	16.1 	14.1 	: 
