s_adj,age,sex,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,TOTAL,F,THS_PER,AT	102 	106 	106 	103 	101 	102 	98 	95 	95 	102 	106 	: 
SA,TOTAL,F,THS_PER,BE	151 	147 	143 	136 	133 	134 	139 	142 	144 	149 	148 	: 
SA,TOTAL,F,THS_PER,BG	90 	88 	84 	78 	74 	72 	74 	74 	73 	71 	70 	: 
SA,TOTAL,F,THS_PER,CY	21 	21 	21 	21 	20 	19 	18 	17 	17 	17 	17 	: 
SA,TOTAL,F,THS_PER,CZ	73 	71 	69 	72 	68 	68 	70 	69 	71 	70 	76 	: 
SA,TOTAL,F,THS_PER,DE	656 	641 	625 	611 	602 	596 	594 	592 	588 	583 	577 	: 
SA,TOTAL,F,THS_PER,DK	82 	79 	80 	77 	78 	75 	78 	76 	74 	74 	71 	: 
SA,TOTAL,F,THS_PER,EA	6935 	6885 	6824 	6831 	6724 	6683 	6605 	6507 	6505 	6446 	6393 	: 
SA,TOTAL,F,THS_PER,EA18	6895 	6845 	6783 	6792 	6686 	6644 	6566 	6468 	6465 	6405 	6353 	: 
SA,TOTAL,F,THS_PER,EA19	6935 	6885 	6824 	6831 	6724 	6683 	6605 	6507 	6505 	6446 	6393 	: 
SA,TOTAL,F,THS_PER,EE	18 	18 	19 	21 	21 	18 	16 	17 	17 	18 	: 	: 
SA,TOTAL,F,THS_PER,EL	544 	544 	546 	538 	538 	522 	517 	511 	508 	502 	: 	: 
SA,TOTAL,F,THS_PER,ES	1946 	1940 	1934 	1933 	1913 	1876 	1843 	1822 	1811 	1815 	1824 	: 
SA,TOTAL,F,THS_PER,EU27	8608 	8547 	8484 	8451 	8289 	8244 	8132 	7991 	8013 	7938 	7871 	: 
SA,TOTAL,F,THS_PER,EU28	8701 	8637 	8572 	8538 	8374 	8326 	8212 	8069 	8091 	8014 	7946 	: 
SA,TOTAL,F,THS_PER,FI	107 	107 	107 	106 	105 	103 	102 	100 	99 	99 	99 	99 
SA,TOTAL,F,THS_PER,FR	1307 	1307 	1316 	1331 	1332 	1325 	1316 	1308 	1304 	1305 	1307 	: 
SA,TOTAL,F,THS_PER,HR	92 	90 	88 	87 	85 	82 	80 	78 	78 	77 	75 	: 
SA,TOTAL,F,THS_PER,HU	92 	93 	91 	90 	87 	88 	84 	81 	82 	85 	: 	: 
SA,TOTAL,F,THS_PER,IE	67 	66 	64 	62 	61 	61 	61 	62 	62 	63 	59 	56 
SA,TOTAL,F,THS_PER,IS	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	: 
SA,TOTAL,F,THS_PER,IT	1367 	1359 	1319 	1359 	1309 	1354 	1343 	1284 	1306 	1241 	1185 	: 
SA,TOTAL,F,THS_PER,JP	770 	750 	800 	660 	700 	690 	650 	610 	670 	690 	700 	: 
SA,TOTAL,F,THS_PER,LT	40 	40 	42 	39 	38 	40 	39 	39 	40 	41 	40 	: 
SA,TOTAL,F,THS_PER,LU	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	: 
SA,TOTAL,F,THS_PER,LV	37 	36 	36 	36 	34 	33 	32 	31 	31 	31 	31 	: 
SA,TOTAL,F,THS_PER,MT	4 	4 	4 	4 	4 	4 	4 	3 	3 	4 	4 	: 
SA,TOTAL,F,THS_PER,NL	200 	197 	197 	188 	182 	174 	170 	170 	171 	165 	167 	162 
SA,TOTAL,F,THS_PER,NO	46 	47 	47 	47 	46 	46 	44 	45 	45 	47 	: 	: 
SA,TOTAL,F,THS_PER,PL	361 	353 	340 	325 	313 	304 	297 	287 	275 	261 	248 	: 
SA,TOTAL,F,THS_PER,PT	228 	213 	211 	210 	199 	193 	185 	190 	185 	185 	185 	: 
SA,TOTAL,F,THS_PER,RO	159 	155 	156 	153 	147 	153 	136 	135 	138 	134 	133 	: 
SA,TOTAL,F,THS_PER,SE	160 	157 	169 	167 	143 	162 	158 	140 	170 	170 	170 	: 
SA,TOTAL,F,THS_PER,SI	34 	32 	31 	31 	30 	29 	29 	28 	27 	26 	26 	: 
SA,TOTAL,F,THS_PER,SK	101 	100 	98 	96 	94 	93 	92 	93 	92 	92 	92 	: 
SA,TOTAL,F,THS_PER,UK	658 	668 	671 	657 	654 	638 	630 	621 	625 	619 	: 	: 
SA,TOTAL,F,THS_PER,US	2951 	3069 	3061 	3014 	3124 	3056 	2819 	2667 	3017 	3010 	2908 	: 
SA,TOTAL,M,THS_PER,AT	140 	138 	137 	131 	124 	123 	119 	115 	119 	119 	112 	: 
SA,TOTAL,M,THS_PER,BE	180 	170 	168 	171 	173 	174 	175 	176 	177 	182 	179 	: 
SA,TOTAL,M,THS_PER,BG	109 	108 	108 	109 	108 	107 	105 	104 	103 	103 	103 	: 
SA,TOTAL,M,THS_PER,CY	22 	24 	24 	22 	20 	19 	18 	18 	17 	16 	16 	: 
SA,TOTAL,M,THS_PER,CZ	63 	58 	57 	55 	57 	53 	54 	55 	58 	58 	57 	: 
SA,TOTAL,M,THS_PER,DE	917 	914 	913 	911 	908 	903 	895 	888 	883 	880 	878 	: 
SA,TOTAL,M,THS_PER,DK	82 	80 	78 	73 	72 	73 	78 	77 	76 	76 	77 	: 
SA,TOTAL,M,THS_PER,EA	7390 	7311 	7264 	7250 	7203 	7107 	7042 	6919 	6909 	6875 	6827 	: 
SA,TOTAL,M,THS_PER,EA18	7332 	7254 	7207 	7197 	7150 	7053 	6995 	6874 	6865 	6826 	6778 	: 
SA,TOTAL,M,THS_PER,EA19	7390 	7311 	7264 	7250 	7203 	7107 	7042 	6919 	6909 	6875 	6827 	: 
SA,TOTAL,M,THS_PER,EE	20 	21 	20 	23 	24 	22 	20 	19 	18 	19 	: 	: 
SA,TOTAL,M,THS_PER,EL	455 	452 	444 	438 	435 	432 	425 	413 	403 	396 	: 	: 
SA,TOTAL,M,THS_PER,ES	1828 	1816 	1809 	1796 	1779 	1757 	1722 	1696 	1667 	1655 	1659 	: 
SA,TOTAL,M,THS_PER,EU27	9390 	9282 	9182 	9142 	9083 	8964 	8890 	8729 	8692 	8677 	8632 	: 
SA,TOTAL,M,THS_PER,EU28	9484 	9374 	9270 	9227 	9166 	9045 	8971 	8810 	8774 	8757 	8711 	: 
SA,TOTAL,M,THS_PER,FI	121 	121 	120 	117 	114 	112 	110 	109 	108 	107 	104 	102 
SA,TOTAL,M,THS_PER,FR	1424 	1392 	1397 	1418 	1417 	1410 	1391 	1389 	1400 	1437 	1460 	: 
SA,TOTAL,M,THS_PER,HR	94 	92 	88 	86 	83 	82 	81 	81 	82 	80 	78 	: 
SA,TOTAL,M,THS_PER,HU	89 	86 	84 	84 	84 	84 	86 	88 	87 	88 	: 	: 
SA,TOTAL,M,THS_PER,IE	89 	87 	84 	79 	76 	76 	77 	78 	77 	76 	75 	73 
SA,TOTAL,M,THS_PER,IS	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	: 
SA,TOTAL,M,THS_PER,IT	1528 	1521 	1500 	1511 	1511 	1464 	1491 	1437 	1462 	1400 	1338 	: 
SA,TOTAL,M,THS_PER,JP	1090 	1090 	1050 	950 	990 	1020 	1080 	900 	1000 	1030 	970 	: 
SA,TOTAL,M,THS_PER,LT	58 	57 	57 	53 	53 	54 	47 	45 	44 	50 	50 	: 
SA,TOTAL,M,THS_PER,LU	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	: 
SA,TOTAL,M,THS_PER,LV	45 	45 	45 	44 	42 	43 	44 	45 	45 	43 	41 	: 
SA,TOTAL,M,THS_PER,MT	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	5 	: 
SA,TOTAL,M,THS_PER,NL	204 	199 	198 	192 	186 	183 	185 	182 	183 	183 	186 	181 
SA,TOTAL,M,THS_PER,NO	64 	65 	65 	64 	62 	63 	61 	62 	63 	66 	: 	: 
SA,TOTAL,M,THS_PER,PL	424 	416 	404 	391 	378 	368 	360 	352 	347 	342 	337 	: 
SA,TOTAL,M,THS_PER,PT	207 	204 	200 	198 	196 	192 	184 	174 	168 	166 	168 	: 
SA,TOTAL,M,THS_PER,RO	275 	273 	263 	259 	260 	250 	259 	246 	240 	252 	253 	: 
SA,TOTAL,M,THS_PER,SE	199 	188 	181 	186 	177 	175 	186 	193 	174 	182 	191 	: 
SA,TOTAL,M,THS_PER,SI	28 	27 	27 	28 	27 	27 	27 	28 	28 	28 	28 	: 
SA,TOTAL,M,THS_PER,SK	111 	108 	106 	105 	102 	100 	97 	94 	92 	90 	89 	: 
SA,TOTAL,M,THS_PER,UK	757 	762 	742 	734 	744 	747 	722 	695 	702 	731 	: 	: 
SA,TOTAL,M,THS_PER,US	3559 	3573 	3516 	3647 	3579 	3534 	3564 	3411 	3515 	3273 	3300 	: 
SA,TOTAL,T,THS_PER,AT	242 	244 	243 	234 	225 	225 	217 	210 	214 	221 	218 	: 
SA,TOTAL,T,THS_PER,BE	331 	317 	311 	307 	307 	309 	314 	317 	321 	331 	327 	: 
SA,TOTAL,T,THS_PER,BG	198 	196 	192 	187 	182 	179 	179 	179 	175 	174 	173 	: 
SA,TOTAL,T,THS_PER,CY	43 	44 	44 	42 	40 	38 	36 	35 	34 	33 	33 	: 
SA,TOTAL,T,THS_PER,CZ	136 	129 	127 	127 	125 	121 	124 	124 	129 	129 	133 	: 
SA,TOTAL,T,THS_PER,DE	1573 	1556 	1538 	1523 	1510 	1499 	1489 	1480 	1472 	1463 	1455 	: 
SA,TOTAL,T,THS_PER,DK	164 	159 	158 	150 	150 	148 	156 	153 	150 	151 	148 	: 
SA,TOTAL,T,THS_PER,EA	14325 	14196 	14088 	14081 	13927 	13790 	13647 	13427 	13414 	13322 	13220 	: 
SA,TOTAL,T,THS_PER,EA18	14228 	14099 	13989 	13990 	13836 	13696 	13561 	13343 	13329 	13231 	13131 	: 
SA,TOTAL,T,THS_PER,EA19	14325 	14196 	14088 	14081 	13927 	13790 	13647 	13427 	13414 	13322 	13220 	: 
SA,TOTAL,T,THS_PER,EE	38 	39 	39 	44 	45 	40 	36 	36 	35 	37 	: 	: 
SA,TOTAL,T,THS_PER,EL	999 	996 	990 	976 	973 	954 	942 	923 	911 	898 	: 	: 
SA,TOTAL,T,THS_PER,ES	3774 	3756 	3742 	3728 	3692 	3633 	3566 	3519 	3478 	3471 	3484 	: 
SA,TOTAL,T,THS_PER,EU27	17998 	17829 	17666 	17593 	17372 	17207 	17022 	16720 	16706 	16614 	16504 	: 
SA,TOTAL,T,THS_PER,EU28	18185 	18011 	17842 	17765 	17540 	17371 	17182 	16879 	16866 	16771 	16657 	: 
SA,TOTAL,T,THS_PER,FI	228 	228 	227 	224 	219 	215 	212 	209 	208 	206 	203 	201 
SA,TOTAL,T,THS_PER,FR	2731 	2700 	2713 	2749 	2749 	2735 	2707 	2697 	2704 	2742 	2767 	: 
SA,TOTAL,T,THS_PER,HR	186 	182 	176 	173 	168 	164 	160 	159 	160 	157 	154 	: 
SA,TOTAL,T,THS_PER,HU	181 	179 	174 	174 	171 	172 	170 	169 	169 	173 	: 	: 
SA,TOTAL,T,THS_PER,IE	156 	152 	147 	141 	137 	137 	138 	139 	139 	139 	134 	129 
SA,TOTAL,T,THS_PER,IS	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	: 
SA,TOTAL,T,THS_PER,IT	2895 	2879 	2819 	2870 	2820 	2818 	2834 	2721 	2768 	2641 	2522 	: 
SA,TOTAL,T,THS_PER,JP	1860 	1840 	1850 	1610 	1690 	1710 	1730 	1510 	1670 	1720 	1670 	: 
SA,TOTAL,T,THS_PER,LT	97 	97 	99 	92 	91 	94 	86 	84 	84 	91 	90 	: 
SA,TOTAL,T,THS_PER,LU	16 	16 	16 	15 	16 	16 	15 	15 	15 	15 	15 	: 
SA,TOTAL,T,THS_PER,LV	82 	81 	80 	79 	77 	76 	76 	76 	76 	74 	72 	: 
SA,TOTAL,T,THS_PER,MT	10 	10 	10 	10 	10 	10 	9 	9 	9 	9 	9 	: 
SA,TOTAL,T,THS_PER,NL	404 	397 	395 	380 	367 	357 	355 	352 	354 	348 	353 	343 
SA,TOTAL,T,THS_PER,NO	110 	112 	112 	111 	108 	109 	105 	107 	108 	113 	: 	: 
SA,TOTAL,T,THS_PER,PL	785 	769 	745 	716 	691 	673 	657 	639 	622 	603 	585 	: 
SA,TOTAL,T,THS_PER,PT	434 	417 	411 	408 	395 	385 	368 	363 	353 	351 	353 	: 
SA,TOTAL,T,THS_PER,RO	434 	427 	419 	413 	408 	404 	395 	381 	377 	386 	386 	: 
SA,TOTAL,T,THS_PER,SE	359 	345 	349 	353 	320 	336 	344 	333 	344 	352 	360 	: 
SA,TOTAL,T,THS_PER,SI	62 	59 	58 	58 	58 	56 	56 	55 	55 	55 	55 	: 
SA,TOTAL,T,THS_PER,SK	212 	208 	204 	201 	196 	192 	189 	187 	185 	182 	180 	: 
SA,TOTAL,T,THS_PER,TR	3268 	3242 	3177 	3178 	3173 	3202 	3310 	3410 	3507 	: 	: 	: 
SA,TOTAL,T,THS_PER,UK	1415 	1429 	1413 	1391 	1397 	1385 	1351 	1315 	1327 	1350 	: 	: 
SA,TOTAL,T,THS_PER,US	6510 	6642 	6577 	6661 	6703 	6590 	6383 	6078 	6532 	6283 	6208 	: 
