unit,geo\time	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CLV10_EUR_AWU,AT	: 	: 	: 	: 	16147 	18161 	20495 	19897 	15201 	18305 	21067 	19787 	17341 	16087 	14930 	16761 	: 
CLV10_EUR_AWU,BE	: 	: 	: 	: 	29613 	36453 	39373 	31778 	30152 	39160 	34932 	42274 	34346 	32640 	34191 	31384 	: 
CLV10_EUR_AWU,BG	: 	: 	: 	: 	3225 	3130 	3135 	5067 	3553 	3956 	4515 	5272 	6407 	6835 	6254 	7446 	: 
CLV10_EUR_AWU,CY	: 	: 	: 	: 	13978 	12595 	12600 	12010 	12927 	12868 	9615 	13259 	13149 	12184 	15862 	16365 	: 
CLV10_EUR_AWU,CZ	: 	: 	: 	: 	10475 	10994 	12411 	13469 	10999 	12964 	17470 	17325 	17488 	20135 	17850 	20046 	: 
CLV10_EUR_AWU,DE	: 	: 	: 	: 	20524 	22339 	27714 	29445 	21411 	32496 	36471 	32815 	37556 	35545 	23541 	26420 	: 
CLV10_EUR_AWU,DK	: 	: 	: 	: 	33664 	37979 	38289 	21950 	22436 	39554 	44450 	60716 	42198 	47327 	30660 	26234 	: 
CLV10_EUR_AWU,EE	: 	: 	: 	: 	8333 	8271 	11430 	8831 	7491 	12366 	15396 	17902 	16645 	15748 	12760 	8053 	: 
CLV10_EUR_AWU,EL	: 	: 	: 	: 	13501 	12910 	13867 	13874 	15860 	15284 	13324 	13314 	12326 	13589 	14844 	14122 	: 
CLV10_EUR_AWU,ES	: 	: 	: 	: 	24994 	23912 	26866 	22844 	22922 	24314 	24590 	24922 	27395 	28269 	29690 	31578 	: 
CLV10_EUR_AWU,EU28	: 	: 	: 	: 	11087 	11486 	12705 	12383 	11210 	13952 	15129 	14938 	15517 	15734 	15240 	15433 	: 
CLV10_EUR_AWU,FI	: 	: 	: 	: 	21374 	21096 	24324 	21200 	23989 	26399 	22813 	23115 	22772 	20566 	17117 	20435 	: 
CLV10_EUR_AWU,FR	: 	: 	: 	: 	24282 	26934 	30337 	26186 	21590 	30490 	31888 	32099 	27305 	31050 	33122 	29143 	: 
CLV10_EUR_AWU,HR	: 	: 	: 	: 	4183 	4863 	5033 	5779 	5523 	5056 	4827 	4128 	4568 	3955 	5349 	5947 	: 
CLV10_EUR_AWU,HU	: 	: 	: 	: 	4360 	4676 	5004 	6636 	4495 	5261 	7817 	7183 	7891 	8418 	8028 	8594 	: 
CLV10_EUR_AWU,IE	: 	: 	: 	: 	19365 	15955 	17507 	15878 	12265 	13925 	18129 	16335 	16934 	17537 	16625 	17228 	: 
CLV10_EUR_AWU,IT	: 	: 	: 	: 	17184 	16618 	16342 	16749 	16381 	14827 	17538 	18823 	22267 	20217 	19824 	19259 	: 
CLV10_EUR_AWU,LT	: 	: 	: 	: 	3571 	3171 	4753 	4397 	3768 	4276 	5464 	6827 	6183 	5639 	6211 	5152 	: 
CLV10_EUR_AWU,LU	: 	: 	: 	: 	26631 	28243 	36453 	27369 	16884 	19751 	19727 	20927 	18091 	24031 	20006 	19024 	: 
CLV10_EUR_AWU,LV	: 	: 	: 	: 	3152 	4060 	4249 	3617 	3530 	4536 	4346 	5228 	4713 	5247 	5952 	5458 	: 
CLV10_EUR_AWU,MT	: 	: 	: 	: 	17247 	16880 	16444 	15305 	17078 	15616 	13581 	12840 	12648 	12456 	15053 	10903 	: 
CLV10_EUR_AWU,NL	: 	: 	: 	: 	39979 	48294 	47129 	42409 	35847 	45914 	39927 	43166 	48581 	46492 	45830 	46360 	: 
CLV10_EUR_AWU,PL	: 	: 	: 	: 	2831 	3127 	3855 	3376 	3813 	4960 	5645 	5271 	5698 	5111 	4926 	6210 	: 
CLV10_EUR_AWU,PT	: 	: 	: 	: 	7779 	7733 	7324 	8156 	6923 	8255 	6899 	7578 	8824 	8932 	9141 	10781 	: 
CLV10_EUR_AWU,RO	: 	: 	: 	: 	2620 	2601 	2026 	3008 	2541 	3206 	4099 	3026 	3575 	3905 	3869 	3786 	: 
CLV10_EUR_AWU,SE	: 	: 	: 	: 	19867 	22566 	27333 	24158 	18806 	24329 	24804 	24662 	22323 	24593 	25935 	23766 	: 
CLV10_EUR_AWU,SI	: 	: 	: 	: 	5231 	5070 	5679 	5019 	4770 	5232 	5958 	4811 	4853 	5510 	6055 	5620 	: 
CLV10_EUR_AWU,SK	: 	: 	: 	: 	5549 	6775 	7151 	7964 	6133 	9352 	11096 	12499 	12184 	13403 	13349 	16197 	: 
CLV10_EUR_AWU,UK	: 	: 	: 	: 	23951 	23925 	24953 	31772 	32635 	30852 	35938 	34059 	36761 	35868 	30642 	29762 	: 
I10,AT	91.6 	84.7 	84.3 	89.5 	87.9 	98.9 	111.6 	108.7 	83.0 	100.0 	115.1 	108.1 	94.7 	87.9 	81.5 	91.6 	108.9 e
I10,BE	81.8 	72.4 	78.7 	82.7 	75.5 	92.9 	100.4 	81.1 	77.0 	100.0 	89.2 	108.0 	87.7 	83.4 	93.9 	80.1 	89.2 e
I10,BG	96.0 	77.7 	72.7 	78.6 	81.5 	79.1 	79.3 	128.1 	89.8 	100.0 	114.1 	133.3 	162.0 	172.8 	158.1 	188.2 	205.5 e
I10,CH	95.0 	101.1 	94.0 	104.7 	97.2 	96.7 	100.0 	105.5 	101.9 	100.0 	103.5 	102.8 	110.0 	117.2 	110.3 p	118.0 	120.7 e
I10,CY	115.7 	117.8 	108.0 	105.7 	108.6 	97.9 	97.9 	93.3 	100.5 	100.0 	74.7 	103.0 	102.2 	94.7 	123.3 	127.2 	138.1 e
I10,CZ	60.4 	48.0 	49.4 	78.2 	80.8 	84.8 	95.8 	103.9 	84.8 	100.0 	134.8 	133.6 	134.9 	155.3 	137.7 	155.1 	148.4 e
I10,DE	75.4 	55.7 	51.3 	76.0 	68.0 	74.0 	91.8 	97.5 	70.9 	100.0 	118.0 	103.9 	121.3 	115.3 	76.5 	84.6 	107.9 e
I10,DK	107.4 	76.1 	74.6 	84.1 	85.1 	96.0 	96.8 	55.5 	56.7 	100.0 	112.4 	153.5 	106.7 	109.2 	67.5 	66.3 	107.6 e
I10,EA19	98.6 	92.6 	93.7 	97.1 	89.2 	91.8 	100.9 	94.7 	85.6 p	100.0 p	105.3 	105.9 	110.2 	110.9 	108.0 	107.7 	116.6 e
I10,EE	37.5 	36.3 	40.5 	64.8 	67.4 	66.9 	92.5 	71.4 	60.6 	100.0 	124.5 	144.8 	134.6 	127.4 	103.2 	65.1 	100.7 e
I10,EL	105.5 	103.1 	93.0 	90.8 	88.3 	84.5 	90.7 	90.8 	103.8 	100.0 p	87.2 	87.1 	80.6 	88.9 	97.1 e	92.4 	95.2 e
I10,ES	114.8 	111.4 	126.3 	116.3 	102.8 	98.3 	110.5 	94.0 	94.3 	100.0 	101.1 	102.5 	112.7 	116.3 	122.1 	129.9 	122.7 e
I10,EU27	83.7 	80.1 	81.6 	90.1 	80.0 	82.8 	91.5 	89.1 	80.7 p	100.0 p	109.2 	107.7 	112.0 	113.5 	110.0 	111.1 	120.5 e
I10,EU28	: 	: 	: 	: 	80.1 	83.0 	91.7 	89.4 	81.0 p	100.0 p	109.1 	107.5 	111.8 	113.3 	110.0 	111.3 	120.6 e
I10,FI	80.0 	78.0 	75.1 	73.4 	81.0 	79.9 	92.1 	80.3 	90.9 p	100.0 	86.4 	87.6 	86.3 	77.9 	64.9 	77.6 	76.6 e
I10,FR	86.5 	86.1 	84.7 	85.3 	79.6 	88.3 	99.5 	85.9 	70.8 	100.0 	104.6 	105.3 	89.6 	101.8 	108.6 	95.6 	105.6 e
I10,HR	: 	: 	: 	: 	82.7 	96.2 	99.5 	114.3 	109.2 	100.0 	95.5 	81.6 	90.3 	78.2 	105.8 	117.6 	111.6 e
I10,HU	66.4 	52.6 	54.2 	82.2 	83.0 	89.0 	95.2 	126.1 	85.4 	100.0 r	148.6 	136.5 	150.0 	160.0 	152.6 	163.3 	161.1 e
I10,IE	127.8 	111.3 	105.4 	113.3 	137.8 	113.2 	125.9 	114.0 	88.1 	100.0 	130.2 	117.3 	121.6 	125.9 	119.4 	123.7 	159.4 e
I10,IS	: 	: 	: 	: 	: 	: 	: 	: 	142.3 e	100.0 	109.6 	121.0 	98.3 	156.4 	175.7 	170.2 	: 
I10,IT	136.8 	133.0 	132.5 	135.3 	115.9 	112.1 	110.2 	113.0 	110.5 	100.0 	118.3 	126.9 	150.2 	136.3 	133.7 	129.9 	135.0 e
I10,LT	47.3 	43.8 	49.2 	77.5 	83.5 	74.2 	111.1 	102.8 	88.1 	100.0 	127.8 	159.6 	144.6 	131.9 	145.2 	120.5 	146.2 e
I10,LU	153.1 	223.8 	139.3 	176.9 	140.7 	136.5 	162.9 	138.5 	85.3 	100.0 	99.9 	105.8 	91.6 	121.4 	101.1 	96.2 	123.2 e
I10,LV	38.4 	37.3 	40.4 	67.4 	69.6 	89.6 	93.8 	79.7 	77.8 	100.0 	95.8 	115.2 	103.9 	115.7 	131.3 	120.4 	142.1 e
I10,MK	41.4 	61.8 	71.1 	100.4 	81.8 	93.1 	82.5 	84.9 	91.3 	100.0 	: 	: 	: 	: 	: 	: 	: 
I10,MT	117.3 	116.1 	109.3 	106.7 	110.4 	108.1 	105.3 	98.0 	109.4 	100.0 	87.0 	82.2 	81.0 	79.8 	96.4 	69.8 	65.9 e
I10,NL	98.4 	87.4 	92.4 	84.8 	87.1 	105.2 	102.6 	92.4 	78.1 	100.0 	87.0 	94.0 	105.8 	101.3 	99.8 	101.0 	123.1 e
I10,NO	95.6 	99.4 	97.5 	94.9 	80.0 	75.5 	83.6 	85.7 	94.6 	100.0 	98.4 	102.6 	99.2 	108.1 	123.3 	127.0 	119.9 e
I10,PL	40.2 	36.5 	33.6 	62.1 	57.1 	63.0 	76.7 	68.1 	76.9 	100.0 	113.8 	106.3 	114.9 	103.0 	99.3 	125.2 	123.0 e
I10,PT	99.7 	91.1 	90.7 	105.1 	94.2 	93.7 	88.7 	98.8 	83.9 	100.0 	83.6 	91.8 	106.9 	108.2 	110.7 	130.5 	131.8 e
I10,RO	93.4 	87.4 	99.2 	143.4 	81.9 	81.3 	61.7 	91.5 	77.9 	100.0 	128.8 	95.1 	112.3 	122.7 	121.6 	119.1 	128.0 e
I10,SE	74.2 	84.9 	82.8 	75.5 	81.7 	92.8 	112.3 	99.3 	77.3 	100.0 	102.0 	101.4 	91.8 	101.1 	106.6 	97.7 	109.6 e
I10,SI	62.1 	81.9 	64.9 	97.7 	100.0 	96.9 	108.5 	95.9 	91.2 	100.0 	113.9 	92.0 	92.8 	105.3 	115.7 	107.4 	93.0 e
I10,SK	55.7 	52.6 	49.2 	63.7 	59.3 	72.4 	76.5 	85.2 	65.6 	100.0 	118.7 	133.7 	130.3 	143.3 	142.7 	173.2 	182.5 e
I10,UK	64.7 	70.8 	80.9 	78.0 	77.7 	77.6 	80.9 	103.0 	105.8 	100.0 r	116.5 	110.4 	119.2 	116.3 	99.3 	96.5 	114.6 e
