age,unit,sex,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,AVG_3Y,T,FI	: 	: 	14.2 	12.9 	11.4 	10.5 	9.7 	9.3 	9.1 	9.0 	8.7 	8.3 	7.7 	7.0 	7.2 	7.7 	8.1 	8.0 	7.9 	8.2 	8.8 	9.0 	8.9 
TOTAL,AVG_3Y,T,FR	: d	: d	10.5 d	10.5 	10.3 	9.6 	8.8 	8.1 	8.1 	8.4 	8.8 	8.9 	8.6 	8.1 	8.2 	8.6 	9.2 	9.4 	9.8 	10.1 	10.3 	10.3 	10.0 
TOTAL,AVG_3Y,T,HR	: 	: 	: 	: 	: 	: 	: 	15.6 	15.1 	14.4 	13.6 	12.8 d	11.5 d	10.0 d	9.3 	9.9 	11.6 	13.8 	15.6 	16.8 	16.9 	15.6 	13.5 
TOTAL,AVG_3Y,T,HU	: 	: 	: 	9.2 	8.2 	7.3 	6.3 	5.8 	5.7 	5.8 	6.4 	6.9 	7.4 	7.6 d	8.4 d	9.7 d	10.7 	11.1 	10.7 	9.6 	8.2 	6.5 	5.4 
TOTAL,AVG_3Y,T,IE	: 	: 	11.3 	9.7 	7.7 	5.9 	4.8 	4.5 	4.6 	4.7 	4.7 	4.7 	4.8 	5.5 	8.1 	11.3 	14.2 	15.2 	14.9 	13.7 	11.9 	10.1 	8.4 
TOTAL,AVG_3Y,T,IT	: 	: 	11.2 	11.2 	11.1 	10.7 	10.0 	9.2 	8.6 	8.3 	8.0 	7.5 	6.9 	6.5 	6.8 	7.6 	8.2 	9.2 	10.4 	11.8 	12.2 	12.1 	11.6 
TOTAL,AVG_3Y,T,LT	: 	: 	: 	: 	: 	14.7 	16.1 	15.9 	14.5 	12.4 	10.5 	8.3 	6.1 	5.3 	8.0 	12.5 	15.7 	15.5 	13.5 	12.0 	10.5 	9.2 	8.0 
TOTAL,AVG_3Y,T,LU	: 	: 	2.8 	2.8 	2.6 	2.4 	2.2 	2.2 	2.8 	3.8 	4.5 	4.7 d	4.5 d	4.6 d	4.7 	4.9 	4.8 	4.8 	5.3 	5.7 	6.1 	6.3 	6.1 
TOTAL,AVG_3Y,T,LV	: 	: 	: 	: 	: 	: 	14.0 d	13.4 d	12.5 d	11.9 	11.1 	9.6 	7.7 	6.9 	10.4 	14.9 	17.7 	16.9 	14.4 	12.6 	10.9 	10.1 	9.4 
TOTAL,AVG_3Y,T,MT	: 	: 	: 	: 	: 	: 	: 	7.6 	7.8 	7.7 	7.7 	7.4 	7.2 	6.9 	6.9 	7.0 	7.1 	7.0 	6.8 	6.6 	6.3 	5.8 	5.2 
TOTAL,AVG_3Y,T,NL	: 	: 	7.5 	6.4 	5.3 	4.3 	3.7 	3.5 d	3.9 d	4.7 d	5.5 	5.5 	5.0 	4.3 	4.1 	4.4 	4.8 	5.3 	6.0 	6.8 	7.2 	6.8 	5.9 
TOTAL,AVG_3Y,T,PL	: 	: 	: 	: 	11.5 	13.2 	15.9 	18.1 	19.4 	19.6 	18.9 	17.0 	13.8 	10.2 	8.3 d	8.3 d	9.2 d	9.8 	10.0 	9.8 	8.9 	7.6 	6.2 
TOTAL,AVG_3Y,T,PT	: 	: 	7.8 d	7.2 d	6.4 d	5.6 	5.2 	5.5 	6.2 	7.1 	8.0 	8.5 	8.9 	8.9 	9.5 	10.5 	11.9 	13.6 	15.0 	15.4 	14.4 	12.6 	10.9 
TOTAL,AVG_3Y,T,RO	: 	: 	: 	: 	6.5 	7.0 	7.4 	7.8 	7.8 d	8.0 d	7.6 d	7.4 	6.9 	6.4 	6.2 	6.4 	6.9 	7.0 	7.0 	6.9 	6.9 	6.5 	5.9 
TOTAL,AVG_3Y,T,SE	: 	: 	9.4 	9.2 	8.3 	6.8 d	6.0 bd	5.8 bd	6.1 b	6.7 	7.2 	7.4 	7.0 	6.5 	6.9 	7.7 	8.2 	8.1 	7.9 	8.0 	7.8 	7.4 	7.0 
TOTAL,AVG_3Y,T,SI	: 	: 	: 	7.1 	7.2 	7.2 	6.8 	6.4 	6.4 	6.4 	6.5 	6.3 	5.8 	5.1 	5.1 	5.9 	7.1 	8.1 	9.1 	9.6 	9.6 	8.9 	7.9 
TOTAL,AVG_3Y,T,SK	: 	: 	: 	: 	: 	16.0 	18.3 	19.1 	18.7 	18.3 	17.5 	16.1 	13.7 	11.4 	11.0 	12.1 	13.4 d	14.1 d	14.0 d	13.8 	13.0 	11.5 	9.8 
TOTAL,AVG_3Y,T,UK	: 	: 	7.7 	6.9 	6.3 	5.8 	5.4 	5.2 	5.0 	4.9 	4.8 	5.0 	5.2 	5.4 	6.2 	7.0 	7.8 	7.9 	7.8 	7.2 	6.3 	5.4 	4.8 
