na_item,s_adj,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1GQ,SCA,PD10_EUR,AT	110.610 	111.155 	111.498 	111.375 	111.907 	112.406 	112.615 	113.061 	113.391 	113.679 	114.332 	114.757 
B1GQ,SCA,PD10_EUR,BE	107.347 	107.763 	107.252 	108.838 	109.124 	109.485 	109.884 	110.574 	110.611 	110.931 	111.121 	111.988 
B1GQ,SCA,PD10_EUR,BG	108.576 	110.282 	112.248 	110.663 	112.429 	113.426 	114.611 	115.594 	116.297 	117.284 	117.920 p	119.457 p
B1GQ,SCA,PD10_EUR,CH	127.095 	125.601 	123.815 	123.940 	124.586 	125.541 	126.638 	124.422 	119.272 	116.327 	116.223 	115.671 
B1GQ,SCA,PD10_EUR,CY	99.278 	99.114 	98.057 	98.850 	99.304 	99.332 	100.115 	100.035 	100.451 	101.060 	101.663 	102.347 
B1GQ,SCA,PD10_EUR,CZ	99.820 	99.966 	100.865 	100.854 	101.334 	101.235 	101.651 	103.815 	106.771 	109.223 	110.896 	110.122 
B1GQ,SCA,PD10_EUR,DE	108.698 	109.284 	109.781 	109.930 	110.008 	110.567 	110.783 	111.608 	112.175 	112.499 	112.816 	113.610 
B1GQ,SCA,PD10_EUR,DK	105.524 	105.503 	105.332 	105.569 	105.518 	106.503 	106.665 	107.908 	107.997 	108.087 	107.283 	107.356 
B1GQ,SCA,PD10_EUR,EA	106.150 	106.491 	106.626 	106.728 	106.884 	107.139 	107.384 	107.902 	108.250 	108.510 	108.877 	109.355 
B1GQ,SCA,PD10_EUR,EA19	106.150 	106.491 	106.626 	106.728 	106.884 	107.139 	107.384 	107.902 	108.250 	108.510 	108.877 	109.355 
B1GQ,SCA,PD10_EUR,EE	117.536 	117.603 	117.591 	117.848 	118.513 	120.350 	121.665 	122.706 	124.152 	124.589 	126.495 	127.728 
B1GQ,SCA,PD10_EUR,EL	95.573 p	94.668 p	94.056 p	94.628 p	94.200 p	94.159 p	94.941 p	94.566 p	94.852 p	94.769 p	95.212 p	95.334 p
B1GQ,SCA,PD10_EUR,ES	100.835 	100.575 	100.791 p	100.999 p	101.193 p	101.274 p	101.504 p	102.273 p	102.371 p	103.095 p	102.614 p	103.054 p
B1GQ,SCA,PD10_EUR,EU28	109.438 	109.547 	108.524 	108.403 	107.245 	107.142 	107.821 	108.337 	108.111 	108.625 	109.091 	109.457 
B1GQ,SCA,PD10_EUR,FI	112.565 	112.701 	112.225 	113.199 	113.062 	113.075 	113.501 	113.426 	113.859 	114.204 	114.864 	115.086 
B1GQ,SCA,PD10_EUR,FR	104.828 	104.946 	105.030 	104.818 	104.841 	104.880 	105.308 	105.588 	105.701 	105.738 	106.162 	106.300 
B1GQ,SCA,PD10_EUR,HR	100.025 	99.481 	99.611 	100.981 	101.092 	100.824 	102.059 	102.830 	103.493 	102.331 	104.073 	105.367 
B1GQ,SCA,PD10_EUR,HU	101.331 	103.090 	101.412 	101.903 	102.584 	103.401 	105.376 	105.898 	108.072 	107.658 	108.897 	108.109 
B1GQ,SCA,PD10_EUR,IE	108.978 	111.155 	108.448 	106.779 	108.840 	109.350 	107.552 	108.106 	109.678 	109.682 	111.235 	110.272 
B1GQ,SCA,PD10_EUR,IT	106.233 	106.788 	107.184 	107.198 	107.361 	107.395 	107.542 	107.743 	107.968 	108.040 	108.368 	109.241 
B1GQ,SCA,PD10_EUR,LT	110.629 	112.054 	111.060 	112.530 	113.039 	113.008 	115.738 	116.160 	118.209 	119.242 	118.979 	119.833 
B1GQ,SCA,PD10_EUR,LU	111.571 	113.065 	113.223 	111.799 	113.209 	113.177 	114.540 	114.679 	114.997 	116.736 	117.392 	118.394 
B1GQ,SCA,PD10_EUR,LV	114.906 	114.636 	115.419 	115.458 	116.098 	117.183 	117.733 	118.970 	120.150 	121.272 	122.287 	123.469 
B1GQ,SCA,PD10_EUR,MT	112.434 	112.768 	113.364 	113.416 	113.761 	114.233 	115.551 	116.473 	116.960 	117.389 	118.225 	119.612 
B1GQ,SCA,PD10_EUR,NL	104.648 	104.657 	104.169 p	104.558 p	104.525 p	104.823 p	105.006 p	105.647 p	106.008 p	106.267 p	107.464 p	107.276 p
B1GQ,SCA,PD10_EUR,NO	96.914 	93.141 	90.041 	93.249 	94.262 	98.458 	100.659 	95.716 	96.539 	95.584 	96.527 	99.858 
B1GQ,SCA,PD10_EUR,PL	101.845 	101.545 	98.249 	98.179 	99.281 	98.388 	100.768 	103.596 	103.412 	103.923 	105.385 	102.991 
B1GQ,SCA,PD10_EUR,PT	104.789 	105.093 	105.983 	105.978 	106.397 	106.646 	107.047 	107.673 	108.173 	108.582 	108.887 	108.973 
B1GQ,SCA,PD10_EUR,RO	112.545 	111.585 	110.532 p	112.983 p	113.860 p	114.498 p	115.453 p	115.292 p	116.150 p	117.462 p	118.690 p	120.311 p
B1GQ,SCA,PD10_EUR,SE	108.666 	110.406 	110.381 	111.644 	109.675 	108.002 	111.143 	109.634 	111.166 	109.474 	108.520 	104.852 
B1GQ,SCA,PD10_EUR,SI	104.929 	105.336 	105.732 	105.203 	105.718 	106.710 	106.570 	107.465 	108.052 	108.461 	109.422 	110.355 
B1GQ,SCA,PD10_EUR,UK	129.020 	127.835 	121.314 	119.617 	111.189 	109.497 	111.238 	111.332 	107.279 	109.331 	110.303 	111.613 
