indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60BT,TOTAL,F,AT	26.3 	26.0 	27.1 b	25.8 	26.7 	27.4 	26.5 	26.5 	26.2 	26.1 	26.8 	25.6 
LI_R_MD60BT,TOTAL,F,BE	27.8 	28.5 	28.0 	27.5 	27.5 	28.4 	28.1 	26.5 	27.7 	27.7 	27.6 	27.0 
LI_R_MD60BT,TOTAL,F,BG	26.1 	26.5 	28.5 	28.2 	28.8 	28.9 	27.5 	28.1 	27.9 	30.3 	28.9 b	30.8 
LI_R_MD60BT,TOTAL,F,CH	: 	23.5 	23.9 	24.2 	24.2 	24.9 	24.8 	23.5 	26.0 b	25.8 	25.8 	: 
LI_R_MD60BT,TOTAL,F,CY	23.8 	22.8 	25.3 b	25.7 	25.2 	25.5 	25.5 	25.9 	25.5 	25.9 	25.5 	25.3 
LI_R_MD60BT,TOTAL,F,CZ	22.0 	20.9 	21.2 	18.9 	19.1 	18.9 	18.6 	17.4 	18.2 	18.1 	17.4 	17.5 
LI_R_MD60BT,TOTAL,F,DE	26.2 	26.0 	25.2 	25.0 	25.1 	26.0 	25.4 	25.8 	25.8 	26.0 	26.7 	25.3 
LI_R_MD60BT,TOTAL,F,DK	29.0 	28.7 	29.4 	32.8 	30.1 	27.9 b	27.6 	27.5 	26.6 	26.3 	25.6 	24.5 
LI_R_MD60BT,TOTAL,F,EA18	25.8 	25.7 	25.3 	25.4 	25.9 	26.4 	25.9 	26.1 	26.2 	26.2 	26.3 	25.5 e
LI_R_MD60BT,TOTAL,F,EA19	25.8 	25.7 	25.3 	25.4 	26.0 	26.5 	25.9 	26.2 	26.2 	26.2 	26.4 	25.6 e
LI_R_MD60BT,TOTAL,F,EE	26.0 	27.4 	27.2 	27.7 	24.8 	24.5 	25.3 	26.6 	29.6 b	29.5 	31.1 	31.2 
LI_R_MD60BT,TOTAL,F,EL	24.7 	24.7 	24.3 	23.7 	24.9 	25.4 	27.4 	28.8 	25.9 	25.5 	25.2 	24.2 
LI_R_MD60BT,TOTAL,F,ES	26.0 	24.8 	27.0 b	27.9 	29.2 	30.4 	29.1 	29.3 	30.8 	29.5 	28.9 	28.7 
LI_R_MD60BT,TOTAL,F,EU27	27.1 e	26.8 	26.4 	26.4 	26.8 	27.1 	26.4 	26.7 	26.6 	26.6 	26.6 	25.5 e
LI_R_MD60BT,TOTAL,F,EU28	: 	: 	: 	: 	26.9 	27.2 	26.4 	26.7 	26.6 	26.6 	26.6 	25.5 e
LI_R_MD60BT,TOTAL,F,FI	29.6 	30.6 	28.6 	27.6 	28.0 	28.0 	27.6 	26.9 	27.8 	26.9 	27.2 	26.8 
LI_R_MD60BT,TOTAL,F,FR	25.8 	26.8 	24.4 b	25.0 	25.5 	25.2 	24.3 	25.1 	24.4 	24.4 	24.4 	24.5 
LI_R_MD60BT,TOTAL,F,HR	: 	: 	: 	: 	30.7 b	31.5 	30.7 	29.6 	30.3 	30.9 	27.7 	: 
LI_R_MD60BT,TOTAL,F,HU	29.0 	28.8 	29.7 	28.4 	28.0 	28.3 	26.7 	26.1 	25.7 	24.9 	25.6 	25.3 
LI_R_MD60BT,TOTAL,F,IE	34.6 	35.3 	35.7 	39.2 	40.8 	40.6 	39.9 	38.6 	37.4 	37.2 	35.9 	: 
LI_R_MD60BT,TOTAL,F,IS	19.3 	19.4 	19.7 	20.9 	23.5 	23.4 	23.7 	23.0 	21.6 	20.4 	20.2 p	: 
LI_R_MD60BT,TOTAL,F,IT	25.2 	24.9 	24.9 	24.6 	25.0 	26.0 	25.7 	25.4 	25.3 	26.1 	26.7 	25.7 
LI_R_MD60BT,TOTAL,F,LT	27.5 	27.2 	29.0 	29.3 	31.1 	29.2 	28.3 	31.2 	28.1 	28.4 	28.7 	30.7 
LI_R_MD60BT,TOTAL,F,LU	23.4 	24.1 	24.0 	27.4 	28.9 	28.2 	29.5 	29.7 	28.3 	27.1 	28.3 b	30.4 
LI_R_MD60BT,TOTAL,F,LV	30.3 	29.9 	32.2 	32.5 	28.2 	26.0 	25.4 	26.6 	28.5 	29.7 	29.9 	30.8 
LI_R_MD60BT,TOTAL,F,MK	: 	: 	: 	: 	: 	: 	28.2 	26.3 	24.4 	24.9 	25.6 	: 
LI_R_MD60BT,TOTAL,F,MT	22.2 	22.0 	24.2 	23.7 	24.5 	24.5 	25.2 	24.8 	25.1 	24.9 	24.4 	25.1 
LI_R_MD60BT,TOTAL,F,NL	22.0 	21.7 	20.7 	20.9 	21.7 	21.5 	21.5 	21.9 	21.6 	22.5 	22.9 b	22.7 
LI_R_MD60BT,TOTAL,F,NO	32.0 	29.8 	27.6 	27.2 	28.4 	30.3 	26.4 	27.1 	26.3 	28.1 	27.7 	26.0 
LI_R_MD60BT,TOTAL,F,PL	27.7 	26.1 	24.8 	23.7 	24.3 	23.9 	22.8 	22.9 	22.8 	22.4 	22.9 	23.8 
LI_R_MD60BT,TOTAL,F,PT	25.7 	24.8 	25.5 	24.8 	26.7 	25.6 	25.4 	25.2 	26.9 	26.8 	25.6 	23.8 
LI_R_MD60BT,TOTAL,F,RO	: 	32.1 	31.4 	29.2 	28.0 	29.3 	28.6 	28.1 	28.5 	29.6 	29.7 	28.8 
LI_R_MD60BT,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	31.2 	32.0 	36.5 	35.7 	: 
LI_R_MD60BT,TOTAL,F,SE	30.4 	29.2 	31.9 b	30.8 	30.9 	32.5 	30.5 	31.1 	32.1 	32.2 	32.0 	30.5 
LI_R_MD60BT,TOTAL,F,SI	25.3 	24.9 	24.5 	23.7 	25.4 	25.5 	26.2 	26.2 	26.1 	25.7 	25.3 	25.3 
LI_R_MD60BT,TOTAL,F,SK	19.9 	18.8 	18.9 	17.8 	19.7 	19.7 	19.8 	20.1 	19.9 	19.3 	18.7 	17.5 
LI_R_MD60BT,TOTAL,F,TR	27.9 	26.2 	26.2 	27.3 	27.2 	25.5 	25.7 	25.3 	25.1 	24.4 	: 	: 
LI_R_MD60BT,TOTAL,F,UK	32.0 	31.5 	30.7 	31.9 	32.7 	32.2 	30.9 b	31.8 	30.9 	30.6 	29.5 	: 
