unit,direct,na_item,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CP_MNAC,PAID,B9,S1,AT	-4712 	-5110 	-4678 	-4098 	-5013 	-1916 	-2367 	4250 	3423 	4387 	5162 	6600 	9504 	12244 	6658 	10033 	6365 	5646 	5691 	7872 	4580 	8922 	7376 
CP_MNAC,PAID,B9,S1,BE	9323 	8040 	10661 	10116 	11732 	9938 	10519 	16079 	15799 	13416 	10247 	12016 	12758 	3501 	2554 	13208 	505 	8545 	4317 	-1940 	-1682 	877 	: 
CP_MNAC,PAID,B9,S1,BG	111 b	20 b	1954 b	1460 b	-904 b	-1529 	-1716 	-830 	-1945 	-2282 	-4876 	-8817 	-16235 	-15572 	-5027 	468 	1472 	951 	3166 	2046 	3474 	6913 	: 
CP_MNAC,PAID,B9,S1,CY	-83 	-40 	-437 	594 	-305 	-591 	-189 	-373 	-388 	-1745 	-2121 	-2945 	-4832 	-2906 	-1355 	-2120 	-725 	-1120 	-629 	-625 	-202 	-850 p	: 
CP_MNAC,PAID,B9,S1,CZ	-53529 	-111005 	-98555 	-35121 	-48914 	-87437 	-99920 	-92024 	-129949 	-118178 	-101321 	-114930 	-155593 	-161136 	-72349 	-123169 	-116092 	-48989 	45148 	22250 	58228 	26317 	42405 
CP_MNAC,PAID,B9,S1,DE	-25175 	-15066 	-10275 	-14630 	-29257 	-31154 	-9852 	37760 	37570 	101215 	104622 	137309 	170842 	140452 	142698 	150024 	162696 	195175 	187047 	223144 	269889 	271791 	262467 
CP_MNAC,PAID,B9,S1,DK	7713 	14054 	8150 	-7950 	35535 	22366 	44311 	43518 	50938 	47767 	68709 	55981 	25425 	52980 	59401 	119317 	127395 	119488 	149132 	172671 	171529 	151392 	168943 
CP_MNAC,PAID,B9,S1,EE	-151 	-321 	-522 	-459 	-235 	-312 	-506 	-874 	-1037 	-1053 	-810 	-1813 	-2305 	-1242 	843 	765 	904 	260 	590 	377 	805 	608 	998 
CP_MNAC,PAID,B9,S1,EL	-2104 p	-3316 p	-2267 p	-6181 p	-6409 p	-9314 p	-12224 p	-13462 p	-17681 p	-14135 p	-15858 p	-22201 p	-31260 p	-34360 p	-27365 p	-21711 p	-17258 p	-4598 p	286 p	-226 p	4239 p	1653 p	: 
CP_MNAC,PAID,B9,S1,ES	: 	: 	: 	: 	-11292 	-21914 	-23626 	-20427 	-23639 	-40039 	-62973 	-85763 	-99924 	-97372 	-42019 	-36128 	-30930 	769 	21561 	15395 	18498 	26646 	25096 
CP_MNAC,PAID,B9,S1,FI	3766 	3682 	5402 	5963 	8698 	10301 	11760 	12212 	7358 	9403 	5463 	7034 	7794 	5470 	3850 	2882 	-2674 	-3554 	-3571 	-2505 	-1553 	-1293 	1565 
CP_MNAC,PAID,B9,S1,FR	8379 	17109 	37874 	37490 	39971 	21738 	27682 	24893 	12675 	15507 	2653 	1555 	-8825 	-13101 	-7168 	-16007 	-24468 	-27644 	-20293 	-27516 	-10773 	-17932 p	-12788 p
CP_MNAC,PAID,B9,S1,HR	: 	: 	: 	: 	: 	: 	: 	-11804 	-15632 	-10405 	-14006 	-19037 	-22613 	-30143 	-16166 	-3014 	-1887 	1832 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B9,S1,HU	-176305 	-229855 	-342602 	-673436 	-927672 	-1013984 	-810560 	-1132561 	-1595074 	-2015371 	-1804602 	-1630270 	-1670752 	-1544824 	250993 	572127 	920958 	1233968 	2210280 	1704271 	2532040 	2189097 	1654268 
CP_MNAC,PAID,B9,S1,IE	1691 	1913 	2205 	903 	526 	1849 	992 	856 	1068 	169 	-5716 	-9629 	-12613 	-11649 	-7935 	-1937 	-2476 	-4536 	2906 	-3587 	27285 	4129 	: 
CP_MNAC,PAID,B9,S1,IT	20457 	29459 	31348 	21009 	12082 	-286 	2898 	-6917 	-8669 	-5338 	-12320 	-21653 	-20483 	-46085 	-29449 	-54743 	-48251 	-1874 	14613 	33124 	27530 	38311 	45820 
CP_MNAC,PAID,B9,S1,LT	-757 	-831 	-1132 	-1506 	-1362 	-779 	-672 	-732 	-1071 	-1219 	-1275 	-2098 	-3722 	-3683 	1733 	969 	-194 	648 	1587 	2431 	360 	283 	878 
CP_MNAC,PAID,B9,S1,LU	1760 	1667 	1454 	1469 	1011 	1168 	2290 	1766 	699 	1708 	2651 	158 	3123 	1922 	-1745 	805 	-5 	-694 	20 	-152 	599 	253 	: 
CP_MNAC,PAID,B9,S1,LV	-112 	-318 	-372 	-571 	-587 	-357 	-586 	-588 	-753 	-1315 	-1531 	-3469 	-4365 	-2752 	1938 	733 	-195 	-119 	15 	343 	561 	655 	409 
CP_MNAC,PAID,B9,S1,NL	19661 	18613 	18955 	15645 	20833 	27816 	20848 	24729 	31533 	35183 	28892 	42422 	36675 	26004 	33956 	42200 	55206 	56153 	64872 	62559 	40083 	55928 	76575 p
CP_MNAC,PAID,B9,S1,PL	5848 	-3718 	-16520 	-22460 	-33703 	-40888 	-19476 	-18010 	-15649 	-55104 	-28483 	-32974 	-68375 	-76499 	-30253 	-46577 	-43090 	-18340 	26141 	7610 	46171 	32012 	: 
CP_MNAC,PAID,B9,S1,PT	-763 	-2448 	-3877 	-6262 	-8016 	-12318 	-11841 	-9810 	-7617 	-10801 	-13956 	-15814 	-15612 	-20472 	-15719 	-16171 	-7043 	15 	3946 	1786 	567 	1952 	2133 p
CP_MNAC,PAID,B9,S1,RO	-320 	-767 	-1531 	-2629 	-2177 	-3008 	-6225 	-1168 	-10987 	-18491 	-22711 	-36044 	-50344 	-62756 	-18243 	-23394 	-21744 	-16738 	9435 b	16659 	11702 	6595 p	: 
CP_MNAC,PAID,B9,S1,SE	62815 	61283 	78936 	93331 	79412 	108500 	124521 	138159 	178245 	185361 	203710 	248281 	276518 	264855 	210957 	223267 	182176 	198659 	182683 	181085 	183627 	183457 	163201 
