unit,material,indic_env,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T_HAB,TOTAL,DMC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	7.144 	7.219 	: c	: c	: c	: 	: 
T_HAB,TOTAL,DMC,AT	: 	: 	: 	: 	: 	22.27 	22.923 	23.858 	22.841 	23.579 	23.212 	22.452 	23.989 	22.707 	23.633 	24.126 	24.797 	24.962 	22.192 	21.03 	20.331 	21.392 	20.934 	20.61 	20.594 	20.144 	20.384 s	20.762 ps
T_HAB,TOTAL,DMC,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.928 s	15.206 s	14.864 s	14.422 s	14.739 s	14.85 	16.734 s	16.901 s	16.845 	15.067 	15.077 	15.806 	14.068 	13.573 	13.14 	12.931 	12.474 s	13.196 ps
T_HAB,TOTAL,DMC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.353 	13.461 s	14.041 s	14.313 s	16.196 s	16.539 s	18.106 s	18.838 s	20.447 s	16.444 s	16.327 s	18.197 s	17.591 s	17.075 s	18.775 s	21.325 p	19.38 ps	20.793 ps
T_HAB,TOTAL,DMC,CH	15.661 	14.435 	13.654 	12.979 	13.684 	13.11 	12.176 	11.993 	11.943 	11.538 	12.529 	12.457 	12.104 	11.641 	12.292 	12.403 	12.61 	12.302 	12.345 	12.209 	12.433 	12.507 	11.971 	12.135 	12.126 	11.352 	11.445 	11.085 p
T_HAB,TOTAL,DMC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.315 s	24.058 s	25.809 s	22.436 s	24.739 s	24.907 s	24.234 s	27.313 s	40.103 	30.671 	27.831 	26.627 	19.245 	13.939 	13.992 	14.157 	16.377 s	19.432 ps
T_HAB,TOTAL,DMC,CZ	: 	: 	: 	19.178 	17.208 	18.045 	19.466 	19.478 	17.973 	16.739 	17.541 	17.798 	17.015 	17.504 	18.577 	18.402 	18.93 	19.095 	18.641 	16.918 	16.022 	16.878 	14.989 	14.752 	15.238 	15.853 	15.605 	15.185 ps
T_HAB,TOTAL,DMC,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.686 	16.688 	16.269 	16.069 	16.303 	15.792 	16.228 	16.257 	16.174 	15.443 	15.468 	17.017 	16.425 	16.265 	16.824 	16.029 	15.911 ep	15.614 ps
T_HAB,TOTAL,DMC,DK	: 	: 	: 	23.841 	24.319 	25.302 	26.143 	27.388 	26.2 	27.941 	25.596 	25.021 	23.871 	24.446 	25.649 	27.761 	29.427 	28.383 	27.02 	22.545 	20.999 	23.332 	23.316 	21.928 	21.929 	22.396 	22.911 e	23.484 ps
T_HAB,TOTAL,DMC,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.347 	15.686 	18.121 	23.053 	21.63 	21.29 	23.796 	29.013 	26.391 	24.748 	25.031 	26.775 	26.918 	28.8 	28.278 	27.483 	26.541 s	29.425 ps
T_HAB,TOTAL,DMC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.189 s	14.988 s	15.334 s	16.823 s	16.479 s	16.459 s	16.054 s	22.178 s	21.003 	17.79 s	15.9 s	14.32 	13.169 	12.299 	12.74 	12.017 	11.979 s	11.993 ps
T_HAB,TOTAL,DMC,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.007 s	17.389 s	18.681 s	19.371 s	19.6 s	19.889 s	20.491 s	20.601 s	17.668 b	14.294 	12.638 	11.115 	8.839 	8.324 	8.417 	8.754 	8.532 s	8.746 ps
T_HAB,TOTAL,DMC,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.592 s	15.638 s	15.4 s	15.274 s	15.975 s	16.054 s	16.294 s	16.728 s	16.5 s	14.489 s	14.077 s	14.629 s	13.544 s	13.245 s	13.39 s	13.465 s	13.363 ps	13.577 ps
T_HAB,TOTAL,DMC,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.73 s	34.353 s	34.347 s	35.875 s	36.142 s	36.665 s	38.188 s	38.75 s	39.048 s	32.029 s	34.389 s	34.64 s	33.094 s	37.346 s	31.023 s	30.528 s	31.468 s	32.296 ps
T_HAB,TOTAL,DMC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.55 s	13.893 s	13.876 	12.951 	14.147 	13.603 	13.809 	14.282 	13.907 	12.38 	12.1 	12.409 	11.998 	11.961 	11.762 	11.114 	10.753 s	11.263 ps
T_HAB,TOTAL,DMC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.515 s	9.498 	11.007 	11.685 	13.193 	12.772 	13.526 	13.587 	15.598 	12.254 	10.384 	10.314 	9.426 	9.951 	9.108 	9.738 	10.127 	9.716 ps
T_HAB,TOTAL,DMC,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.857 s	13.511 s	13.034 s	13.23 s	15.632 	17.968 	15.069 	11.807 	13.289 	10.854 	9.953 	9.992 	8.692 	9.992 	12.893 	12.699 	12.517 ps	13.413 ps
T_HAB,TOTAL,DMC,IE	: 	: 	: 	: 	24.983 	24.91 	26.312 	26.668 	29.05 	31.257 	33.702 	33.511 	33.287 	37.076 	39.615 	39.249 	41.148 	41.201 	35.817 	27.086 	23.149 	21.719 	19.861 	21.821 	20.792 	20.825 	22.212 	24.308 ps
T_HAB,TOTAL,DMC,IT	: 	15.301 	15.347 	13.499 	13.451 	14.093 	13.739 	13.474 	15.147 	16.951 	16.656 	16.226 	15.162 	13.596 	14.516 	14.915 	15.055 	14.238 	13.688 	12.25 	11.5 	11.132 	9.485 	8.262 	7.811 	8.323 b	8.377 s	8.491 ps
T_HAB,TOTAL,DMC,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.336 s	7.547 s	9.164 s	10.831 s	11.703 s	12.309 s	12.595 s	15.082 s	16.19 	11.037 	12.418 	13.779 	12.813 	15.669 	14.836 	14.973 	15.701 	16.795 ps
