sectperf,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,MIO_NAC,PT	460.04 	518.46 e	576.88 	695.8 	814.75 	926.59 e	1038.432 	1029.006 e	1019.581 	1110.346 e	1201.112 	1586.922 e	1972.733 	2585.075 b	2771.6 	2757.555 	2566.45 	2320.133 	2258.471 	2232.249 	2234.37 	2347.7 p
TOTAL,MIO_NAC,RO	57.715 b	76.835 	146.5 	183.339 	219.581 	296.205 	459.343 	574.386 	762.065 	952.872 	1183.66 	1565.802 	2177.335 	2980.7 	2356.907 	2413.467 	2786.83 b	2872.728 	2464.779 	2555.662 	3476.933 	3675.142 
TOTAL,MIO_NAC,SE	59023 be	: 	67026.439 e	: 	76569.726 e	: 	96989.601 e	: 	96773 e	95131 e	98472 b	108477.83 e	107372 	118405 e	113442 	113207 e	118809 	120911 e	124635 e	123848 e	137146 	143372 p
TOTAL,MIO_NAC,SI	157.123 e	153.63 	172.463 	200.363 	230.298 	256.368 	310.379 	339.865 	319.632 	378.579 	412.765 	483.716 	500.51 	616.949 b	656.882 	745.942 	894.213 b	928.306 	935.006 	890.232 	853.067 	809.18 p
TOTAL,MIO_NAC,SK	178.384 	196.01 	257.054 b	204.275 	184.293 	202.018 	214.665 	210.217 	232.889 	231.196 	249.054 	267.649 	282.63 	316.459 	302.994 	416.369 	468.439 	585.225 	610.876 	669.632 	927.272 	640.835 
TOTAL,MIO_NAC,UK	14033.5 	14336 	14656.6 	15454.494 	16928.638 	17718 	18286 	19227.8 	19898.1 	20248.1 	21681.2 	23203.1 	24996.837 	25641.211 e	25863.6 e	26362 e	27379.7 b	27006 e	28875.1 	30599.6 e	31626 	33150 p
TOTAL,PC_GDP,AT	1.53 e	1.58 e	1.66 e	1.73 	1.85 e	1.89 e	1.99 e	2.07 	2.17 e	2.17 	2.37 e	2.36 	2.42 	2.57 e	2.6 	2.73 e	2.67 	2.91 e	2.95 	3.07 e	3.05 	3.09 p
TOTAL,PC_GDP,BE	1.64 	1.73 	1.79 	1.82 	1.89 	1.92 	2.02 	1.89 	1.83 	1.81 	1.78 	1.81 	1.84 	1.92 	1.99 	2.05 	2.16 	2.27 	2.33 	2.39 	2.47 	2.49 p
TOTAL,PC_GDP,BG	0.56 	0.51 b	0.47 	0.5 	0.54 b	0.5 	0.45 	0.47 	0.48 	0.47 	0.45 	0.45 	0.43 	0.45 	0.49 	0.56 	0.53 	0.6 	0.63 	0.79 	0.96 	0.78 
TOTAL,PC_GDP,CY	: 	: 	: 	0.2 	0.22 	0.23 	0.24 	0.28 	0.32 	0.34 	0.37 	0.38 	0.4 	0.39 	0.44 	0.45 	0.46 	0.44 	0.48 	0.51 	0.48 	0.5 p
TOTAL,PC_GDP,CZ	0.88 b	0.89 	0.99 	1.07 	1.05 	1.11 	1.1 	1.1 	1.15 	1.15 	1.17 	1.23 	1.3 	1.24 	1.29 	1.34 	1.56 	1.78 	1.9 	1.97 	1.93 	1.68 p
TOTAL,PC_GDP,DE	2.13 e	2.14 e	2.18 	2.21 	2.33 	2.39 	2.39 	2.42 	2.46 	2.42 	2.42 	2.46 	2.45 	2.6 	2.72 	2.71 	2.8 	2.87 	2.82 	2.87 	2.92 	2.94 e
TOTAL,PC_GDP,DK	1.79 	1.81 e	1.89 	2.01 	2.13 	2.19 	2.32 	2.44 	2.51 	2.42 	2.39 	2.4 	2.52 b	2.77 	3.06 	2.92 	2.94 	2.98 	2.97 	2.91 	2.96 p	2.87 e
