unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,T,AT	3.6 	3.3 	5.9 	4.6 	4.3 	4.0 	4.0 	4.2 	4.0 	3.6 	3.0 	3.7 
PC,TOTAL,T,BE	6.4 	5.7 	5.6 	5.2 	5.9 	5.7 	6.3 	5.1 	5.9 	5.8 	5.5 	5.1 
PC,TOTAL,T,BG	57.7 	57.6 	41.2 	41.9 	45.7 	43.6 	44.1 	43.0 	33.1 	34.2 	31.9 b	30.0 
PC,TOTAL,T,CH	: 	2.3 	2.1 	2.1 	1.7 	1.0 	0.8 	0.7 	1.3 	1.4 	1.5 	: 
PC,TOTAL,T,CY	12.6 	13.3 	9.1 	9.5 	11.2 	11.7 	15.0 	16.1 	15.3 	15.4 	13.6 	11.5 
PC,TOTAL,T,CZ	9.6 	7.4 	6.8 	6.1 	6.2 	6.1 	6.6 	6.6 	6.7 	5.6 	4.8 	3.7 
PC,TOTAL,T,DE	5.1 	4.8 	5.5 	5.4 	4.5 	5.3 	4.9 	5.4 	5.0 	4.4 	3.7 	3.4 
PC,TOTAL,T,DK	3.1 	3.3 	2.0 	2.3 	2.7 	2.3 	2.7 	3.6 	3.2 	3.7 	2.6 	3.1 
PC,TOTAL,T,EA18	5.8 	5.5 	5.9 	5.9 	5.9 	6.8 	7.7 	7.4 	7.3 	7.0 	6.6 	5.9 e
PC,TOTAL,T,EA19	6.0 	5.6 	5.9 	6.0 	6.1 	6.9 	7.8 	7.5 	7.4 	7.0 	6.6 	5.9 e
PC,TOTAL,T,EE	7.0 	5.6 	4.9 	6.2 	9.0 	8.7 	9.4 	7.6 	6.2 	4.5 	4.7 	4.1 
PC,TOTAL,T,EL	11.5 	11.5 	11.2 	11.0 	11.6 	15.2 	19.5 	20.3 	21.5 	22.2 	22.4 	21.1 
PC,TOTAL,T,ES	4.1 	3.5 	3.6 	4.5 	4.9 	4.5 	5.8 	6.2 	7.1 	6.4 	5.8 	5.1 
PC,TOTAL,T,EU27	9.9 e	9.2 	8.5 	8.2 e	8.4 	8.8 	9.9 	9.6 	8.9 	8.0 	7.5 	6.9 e
PC,TOTAL,T,EU28	: 	: 	: 	: 	8.4 	8.8 	9.9 	9.6 	8.9 	8.1 	7.5 	6.9 e
PC,TOTAL,T,FI	3.3 	3.6 	3.5 	2.8 	2.8 	3.2 	2.9 	2.5 	2.8 	2.2 	2.2 	2.1 
PC,TOTAL,T,FR	5.0 	4.7 	5.4 	5.6 	5.8 	5.2 	5.3 	4.9 	4.8 	4.5 	4.4 	4.1 
PC,TOTAL,T,HR	: 	: 	: 	: 	14.3 	15.2 	15.9 	14.7 	13.9 	13.7 	12.5 	10.3 p
PC,TOTAL,T,HU	20.9 	19.9 	17.9 	20.3 	21.6 	23.4 	26.3 	27.8 	24.0 	19.4 	16.2 	14.5 
PC,TOTAL,T,IE	4.8 	4.5 	5.5 	6.1 	5.7 	7.8 	9.8 	9.9 	8.4 	7.5 	6.5 	: 
PC,TOTAL,T,IS	2.1 	2.1 	0.8 	0.8 	1.8 	2.1 	2.4 	1.9 	1.4 	1.6 	1.9 p	: 
PC,TOTAL,T,IT	6.4 	7.0 	7.5 	7.3 	7.4 	11.1 	14.5 	12.3 	11.6 	11.5 	12.1 	10.1 
PC,TOTAL,T,LT	25.3 	16.6 	12.5 	15.6 	19.9 	19.0 	19.8 	16.0 	13.6 	13.9 	13.5 	12.4 
PC,TOTAL,T,LU	1.1 	0.8 	0.7 	1.1 	0.5 	1.2 	1.3 	1.8 	1.4 	2.0 	1.6 b	1.2 
PC,TOTAL,T,LV	31.3 	24.0 	19.3 	22.1 	27.6 	31.0 	25.6 	24.0 	19.2 	16.4 	12.8 	11.3 
PC,TOTAL,T,MK	: 	: 	: 	: 	34.7 	40.3 	40.9 	37.7 	35.7 	30.4 	30.0 	: 
PC,TOTAL,T,MT	3.9 	4.4 	4.3 	5.0 	6.5 	6.6 	9.2 	9.5 	10.2 	8.1 	4.4 	3.3 
PC,TOTAL,T,NL	2.3 	1.7 	1.5 	1.4 	2.2 	2.5 	2.3 	2.5 	3.2 	2.6 	2.6 b	2.6 
PC,TOTAL,T,NO	2.8 	2.3 	2.0 	2.2 	2.0 	2.3 	1.7 	1.9 	1.2 	1.7 	2.0 	1.9 
PC,TOTAL,T,PL	27.6 	22.3 	17.7 	15.0 	14.2 	13.0 	13.5 	11.9 	10.4 	8.1 	6.7 	5.9 
PC,TOTAL,T,PT	9.1 	9.6 	9.7 	9.1 	9.0 	8.3 	8.6 	10.9 	10.6 	9.6 	8.4 	6.9 
PC,TOTAL,T,RO	: 	38.0 	32.7 	32.1 	30.5 	29.5 	31.1 	29.8 	25.9 	22.7 	23.8 	19.7 
PC,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	26.9 	26.3 	24.0 	19.5 	: 
PC,TOTAL,T,SE	2.1 	2.2 	1.8 b	2.0 	1.9 	1.7 	1.8 	1.9 	1.0 	1.1 	0.8 	1.1 
PC,TOTAL,T,SI	5.1 	5.1 	6.7 	6.1 	5.9 	6.1 	6.6 	6.7 	6.6 	5.8 	5.4 	4.6 
PC,TOTAL,T,SK	18.2 	13.7 	11.8 	11.1 	11.4 	10.6 	10.5 	10.2 	9.9 	9.0 	8.2 	7.0 
PC,TOTAL,T,TR	60.4 	58.8 	57.7 	56.7 	59.3 	57.9 	55.0 	43.8 b	29.3 	30.3 	: 	: 
PC,TOTAL,T,UK	4.5 	4.2 	4.5 	3.3 u	4.8 	5.1 	7.8 	8.3 	7.4 	6.1 	5.2 	4.9 p
