unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE65,T,AT	17.3 	15.1 	21.2 b	18.6 	17.4 	17.4 	16.2 	16.2 	15.7 	14.0 	13.7 	13.4 
PC,Y_GE65,T,BE	25.2 	25.0 	22.9 	23.1 	21.0 	21.6 	21.2 	19.5 	17.3 	16.2 	16.4 	17.1 
PC,Y_GE65,T,BG	73.7 	71.1 	65.5 b	66.0 	63.9 	61.1 	59.1 	57.6 	47.8 b	51.8 	45.9 b	48.9 
PC,Y_GE65,T,CH	: 	26.6 	28.3 	30.3 	27.8 	28.3 	30.1 	29.6 	25.8 b	26.6 	25.5 	: 
PC,Y_GE65,T,CY	55.6 	55.6 	49.3 b	48.6 	42.6 	39.8 	33.4 	26.1 	27.2 	20.8 	22.9 	24.6 
PC,Y_GE65,T,CZ	12.7 	10.9 	12.5 	11.7 	10.1 	10.7 	10.8 	10.4 	10.7 	10.9 	10.1 	12.6 
PC,Y_GE65,T,DE	13.5 	16.8 	15.5 	16.0 	14.8 	15.3 	15.8 	16.0 	17.4 	17.2 	18.3 	17.7 
PC,Y_GE65,T,DK	18.3 	18.3 	18.6 	20.6 	18.4 	14.6 b	13.2 	10.8 	10.8 	9.9 	9.2 	9.5 
PC,Y_GE65,T,EA18	21.1 	21.3 	20.2 	19.3 	17.4 	18.1 	17.4 	16.4 	16.0 	15.8 	17.1 	16.9 e
PC,Y_GE65,T,EA19	21.3 	21.5 	20.4 	19.5 	17.6 	18.2 	17.6 	16.5 	16.2 	15.9 	17.3 	17.1 e
PC,Y_GE65,T,EE	27.8 	35.4 	40.9 	35.6 	19.0 	17.0 	21.8 	28.0 	35.0 b	37.0 	41.4 	42.0 
PC,Y_GE65,T,EL	33.8 	30.6 	28.1 	26.8 	26.7 	29.3 	23.5 	23.1 	23.0 	22.8 	22.0 	22.8 
PC,Y_GE65,T,ES	31.1 	27.8 	26.2 b	24.9 	22.9 	21.2 	16.5 	14.5 	12.9 	13.7 	14.4 	16.4 
PC,Y_GE65,T,EU27	24.7 e	24.4 	23.3 	21.8 	19.9 	20.3 	19.1 	18.1 	17.7 	17.3 	18.1 	18.1 e
